Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN ACEH BARAT,"Kabupaten Aceh Barat adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Sebelum pemekaran, Aceh Barat mempunyai luas wilayah 10.097.04 km² atau 1.010.466 Ha dan merupakan bagian wilayah pantai barat dan selatan kepulauan Sumatera yang membentang dari barat ke timur mulai dari kaki gunung Geurutee (perbatasan dengan Aceh Besar) sampai ke sisi Krueng Seumayam (perbatasan Aceh Selatan) dengan panjang garis pantai sejauh 250 km. Sesudah dimekarkan luas wilayah menjadi 2.927,95 km².",Aceh,Meulaboh,H. T. Alaidinsyah,"Drs. H. RACHMAT FITRI. HD, MPA","2.927,95 km2",173.558 jiwa (2010),"59,28  jiwa/km2",0655,rumah cut nyak dien | masjid purbakala indrapuri | kuta indra patra | makam laksamana malahayati | perpustakaan kuno tanoh abee | rumoh teunun nyak mu | pantai lhok nga | pantai lam pu'uk | pantai ujong batee | pantai lhok me | air terjun sihom | air terjun kuta malaka | air terjun peukan biluy | waduk keuliling | pusat pelatihan gajah saree | cagar alam jantho,hutan kapas | hutan jati super | pertanian padi hibrida | palawija | perkebunan lada | jahe | rambutan | peternakan sapi | kerbau | kambing | domba | sapi perah | perikanan ikan mas | lele | kepiting lunak | bandeng | tuna | cakalang | kerapu | kakap | ,bolu | gulai kambing | ayam tangkap,www.acehbaratkab.go.id,"Wakil-Bupati.jpg (https://dl.airtable.com/kjZQAbTRyyv32L2rtxfe_Wakil-Bupati.jpg),map.png (https://dl.airtable.com/q44tjUl1SJLbnpsH3ypb_map.png),logo.png (https://dl.airtable.com/7ursq4NRT0OkfWSWvD0A_logo.png),Bupati.jpg (https://dl.airtable.com/AC7PTiHQz665dBo8PjgX_Bupati.jpg)"
KABUPATEN ACEH BARAT DAYA,"Kabupaten Aceh Barat Daya adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Kabupaten ini resmi berdiri setelah disahkannya Undang-Undang Republik Indonesia Nomor 4 Tahun 2002. Aceh Barat Daya sebagai hasil pemekaran dari Kabupaten Aceh Selatan bukanlah merupakan ekses dari reformasi pada tahun 1998 semata. Meskipun perubahan pemerintahan nasional saat itu mempercepat pemekaran tersebut, namun wacana untuk pemekaran itu sendiri sudah berkembang sejak sekitar tahun 1960-an.",Aceh,Blangpidie,"Ir. Jufri Hasanudin, MM","Erwanto, SE., MA","2.334,01 km2",126.036 jiwa (2010),54 jiwa/km2,0659,"Pemandian Krueng Baru | Teupin Batee | Taman Laut Ujung Manggeng | Pantai Ujung Manggeng | Pasir Butiran Lhok Pawoh | Pantai Wisata Blang Padang | Air Terjun Alue Kareng | Kolam Tgk. Malem | Batee Permata | Pemandian Kolam Putroe Hijau | Gunung Cot Keummeunyan | Panorama Gunung dan Irigasi Mata Ie | Kuala Katung | Pantai Wisata Nelayan | Pasir Ujong Keutapang | Pulau Gosong | Taman Laut Ujong Serangga
 | Taman Laut Lama Tuha | Pemandian Air Terjun | Pantai Lama Muda",budi daya perikanan air payau | budi daya air tawar | ikan selar | ikan kwee | ikan layang | ikan talang-talang | ikan lemuru | ikan teri | ikan kakap merah | ikan lisong | ikan tongkol krai | ikan tongkol kromo | ikan cakalang | ikan kembung | ikan tenggiri | ikan tuna mata besar | ikan kerapu karang | ikan layur | ikan cucut lanyam | pertmabangan biji besi | emas | batubara | pasir zirkon | galena,mie kocok | leugoek | ,www.acehbaratdayakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/qDe1ivu3TMMGQ0n085Kg_wakil-bupati.jpg),map.png (https://dl.airtable.com/tXz8HIxSewZPptPwjKmg_map.png),logo.png (https://dl.airtable.com/CEVsCLdkReObF7BZZDe9_logo.png),Bupati.jpg (https://dl.airtable.com/HSG3wAQJS5hJCHuuUKMg_Bupati.jpg)"
KABUPATEN ACEH BESAR,"Kabupaten Aceh Besar adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Sebelum dimekarkan pada akhir tahun 1970-an, ibu kota Kabupaten Aceh Besar adalah Kota Banda Aceh. Setelah Kota Banda Aceh berpisah menjadi kotamadya tersendiri, ibukota kabupaten dipindahkan ke Jantho di Pegunungan Seulawah. Kabupaten Aceh Besar juga merupakan tempat kelahiran pahlawan nasional Cut Nyak Dhien yang berasal dari Lampadang.",Aceh,Kota Janto,Mukhlis Basyah,Syamsurizal,2.974.12 km2,351.418 jiwa ,"118,16 jiwa/km2",0651,"Pantai silalahi, Puncak Sidiangkat, Hutan Wisata Lae Pondom, Aek Nauli, Air Terjun Lae Basbas, Air Terjun Lae Pendaroh, Panorama Kangkung",Pertanian Kakao | Perkebunan Kopi  | Pertanian Jagung ,Pelleng | Ginaru | Ikan Lele | Gettuk | Lappet | Durian Sidikalang | Nanas PakPak Bharat | Kopi Sidikalang ,www.acehbesarkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/IQEhhUy9S0qcGbNLYxFS_wakil-bupati.jpg),map.png (https://dl.airtable.com/aadAmU3xQxaacqMf79vp_map.png),logo.png (https://dl.airtable.com/DlDWLG7tStiVUWU7R7aP_logo.png),bupati.jpg (https://dl.airtable.com/pvvZVgYDSbcK1haKl26J_bupati.jpg)"
KABUPATEN ACEH JAYA,"Kabupaten Aceh Jaya adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Kabupaten Aceh Jaya dibentuk tahun 2002 sebagai hasil pemekaran dari Kabupaten Aceh Barat. Kabupaten Aceh Jaya, khususnya kecamatan Jaya terkenal dengan profil penduduknya yang khas. Sebagian penduduk Kecamatan Jaya ini berprofil seperti orang Eropa di mana ada yang berkulit putih, bermata biru, dan berrambut pirang. Mereka dipercaya merupakan keturunan prajurit Portugis pada abad ke-16 yang kapalnya terdampar di pantai Kerajaan Daya, dan ditawan oleh raja kawasan itu.",Aceh,Calang,Ir. Azhar Abdurrahman,Tgk Maulidi,3.627 km2,76.782 jiwa (2010) ,21.17 jiwa/km2,0645,"Arung Jeram Sungai Teunom | Danau Laut Nie Pineung Suasa | Lhok Geulumpang | Pantai Kuala Dhoi | Pantai Kuala Merisi | Pantai Pasir Saka | Pulau Reusam | Pulau Tsunami | Teluk Rigaih

",perkebunan kelapa sawit | kelapa | coklat | semangka | rambutan | jeruk salam | durian | pisang | pepaya | ,gulai masam keueung | timphan | ,www.acehjayakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/yuqjj9AQIigXE4j88qVD_wakil-bupati.jpg),map.png (https://dl.airtable.com/bMY06Q1VSfiAiEkxfu7W_map.png),logo.jpg (https://dl.airtable.com/PthqJvNRMqq4Jr99y4r1_logo.jpg),bupati.JPG (https://dl.airtable.com/hZdpv2BTAa1UUPu0paIp_bupati.JPG)"
KABUPATEN ACEH SELATAN,"Kabupaten Aceh Selatan adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Sebelum berdiri sendiri sebagai kabupaten otonom, calon wilayah Kabupaten Aceh Selatan adalah bagian dari Kabupaten Aceh Barat. Pembentukan Kabupaten Aceh Selatan ditandai dengan disahkannya Undang-Undang Darurat Nomor 7 Tahun 1956 pada 4 November 1956. Kabupaten Aceh Selatan pada tanggal 10 April 2002 resmi dimekarkan sesuai dengan UU RI Nomor 4 tahun 2002 menjadi tiga Kabupaten, yaitu: Kabupaten Aceh Barat Daya, Kabupaten Aceh Singkil dan Kabupaten Aceh Selatan.",Aceh,Tapak Tuan,"H. T. Sama Indra, SH","kamarsyah, S.Sos, MM","3.841,60 km2",206.252 jiwa,52 jiwa/km2,0656,air terjun tujuh tingkat | pantai air dingin | pantai batu berlayar | air terjun air dingin | Kasik Putih | tuan tapa | pulau dua | kuburan tgk tuan | gunung lampu | perkuburan raja trumon | kuburan tgk syeh | ,perkebunan kelapa sawit | pala | karet | nilam | kopi | kelapa | coklat | peternakan sapi | peternakan kerbau | kambing | domba | ayam beras | ayam pedagang | perikanan darat tamabak | kolam | sawah | ,kue pala | sirup pala | balsem pala | selai pala | kripik pala | manisan pala | ,www.acehselatankab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/LoXnmJ8EQ7uPRPSgiq9Q_wakil-bupati.jpg),map.png (https://dl.airtable.com/VYHy18IzRdSKhTBTKGfB_map.png),logo.png (https://dl.airtable.com/CSiuUJapRHyBf0W59g6L_logo.png),Bupati.jpg (https://dl.airtable.com/JU6lACYMQYKrHDPavpeA_Bupati.jpg)"
KABUPATEN ACEH SINGKIL,"Kabupaten Aceh Singkil adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Kabupaten Aceh Singkil merupakan pemekaran dari Kabupaten Aceh Selatan dan sebagian wilayahnya berada di kawasan Taman Nasional Gunung Leuser. Kabupaten ini juga terdiri dari dua wilayah, yakni daratan dan kepulauan. Kepulauan yang menjadi bagian dari Kabupaten Aceh Singkil adalah Kepulauan Banyak. Ibu kota Kabupaten Aceh Singkil terletak di Singkil. Singkil sendiri berada di jalur barat Sumatera yang menghubungkan Banda Aceh, Medan dan Sibolga. Namun, jalurnya lebih bergunung-gunung dan perlu dilakukan banyak perbaikan akses jalan agar keterpencilan wilayah dapat diatasi. Diharapkan dalam waktu dekat Pelabuhan Singkil dapat dipergunakan sebagai pelabuhan transit untuk jalur barat Sumatera.",Aceh,Singkil,"H.Safriadi Manik, SH",Dulmusrid,2.187 km2,102.213 jiwa,46 jiwa/km2,0658,pulau palembak | pulau taliana | ujung lolok/pulau tuangku | pulau bengkaru | air terjun lae paris | rawa singkil | pantai pulau sarok | pantai cemara indah | air terjun lae gecih | air terjun siompin | air terjun lae petal | danau bungara | ,perkebunan kelapa sawit | karet | kelapa | pinang | coklat | kemiri | kopi | perikanan air laut | perikanan air tawar | ,pulut bekuah | kue jalo | nditak | pelita talam | ndalabakh | buah belaka | nakan nggekhsing | seme malum | manuk labakh | ikan kekhah | sanok galuh | jekoh,www.acehsingkilkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/xQkl6loRnSPO6MGCCqCQ_wakil-bupati.jpg),map.png (https://dl.airtable.com/VHoQfk4kQraO8TnRsdwY_map.png),logo.png (https://dl.airtable.com/sikghuBDTuqoOpeoxs7U_logo.png),bupati.jpg (https://dl.airtable.com/wXX6DIQSe2iqz5fvOWDO_bupati.jpg)"
KABUPATEN ACEH TAMIANG,"Kabupaten Aceh Tamiang adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Kabupaten yang merupakan hasil pemekaran dari Kabupaten Aceh Timur ini terletak di perbatasan Aceh-Sumatera Utara. Istilah ""Tamiang"" berasal dari kata Da Miang. Sejarah menunjukkan tentang eksistensi wilayah Tamiang seperti prasasti Sriwijaya, kemudian ada riwayat dari Tiongkok karya Wee Pei Shih yang mencatat keberadaan negeri Kan Pei Chiang (Tamiang), atau Tumihang dalam Kitab Nagarakretagama. Daerah ini juga dikenal dengan nama Bumi Muda Sedia, sesuai dengan nama Raja Muda Sedia yang memerintah wilayah ini selama 6 tahun (1330-1336). Raja ini mendapatkan Cap Sikureung dan hak Tumpang Gantung dari Sultan Aceh atas wilayah Karang dan Kejuruan Muda pada masa itu.",Aceh,Karang Baru,"H. Hamdan Sati, ST",Drs. Iskandar Zulkarnain. MAP,"1.957,02 km2",251.914 jiwa (2010),"128,72 jiwa/km2",0641,air terjun bampoo | goa kalamuning | pemandian air belerang | goa mata air | goa alur bening | situs purbakala bukit kerang | air terjun ekor kuda | air terjun gunung pandan | goa singgasana gunung pandan | a place near to god | goa indah | air terjun rongoh pintu kuari | pantai kuala ketapang | pemandian gunung pandan | wisata kuala paret | air terjun sangka pane | ,perkebunan kelapa sawit | kelapa sawit perkebunan besar | karet | coklat | kelapa | kopi | peternakan sapi | kerbau | kambing | domba | ayam buras | ayam pedaging | ,ikan cah rebung | ,www.acehtamiangkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/VwvDoFYoRqevu5yOSCbz_wakil-bupati.jpg),map.png (https://dl.airtable.com/FLGkFvMaQOCxdHSJnjsM_map.png),logo.png (https://dl.airtable.com/rOx8QrogQzaUPtQGOVTl_logo.png),bupati.jpg (https://dl.airtable.com/fhj1S01KQh2WPYQjefRk_bupati.jpg)"
KABUPATEN ACEH TENGAH,"Kabupaten Aceh Tengah adalah salah satu kabupaten di Provinsi Aceh, Indonesia. Ibu kotanya adalah Takengon, sebuah kota kecil berhawa sejuk yang berada di salah satu bagian punggung pegunungan Bukit Barisan yang membentang sepanjang Pulau Sumatera. Kabupaten Aceh Tengah berada di kawasan Dataran Tinggi Gayo. Kabupaten lain yang berada di kawasan ini adalah Kabupaten Bener Meriah serta Kabupaten Gayo Lues. Tiga kota utamanya yaitu Takengon, Blang Kejeren, dan Simpang Tiga Redelong. Jalan yang menghubungkan ketiga kota ini melewati daerah dengan pemandangan yang sangat indah. Pada masa lalu daerah Gayo merupakan kawasan yang terpencil sebelum pembangunan jalan dilaksanakan di daerah ini.",Aceh,Takengon,"Ir. H. Nasaruddin, M.M",Drs. H. Khairul Asmara,44.404.13 km²,213.732 jiwa (2010),41 jiwa/km²,0643,danau laut tawar | rumah adat dan makam raja linge | pantai terong | pantai menye | goa putri pukes | goa loyang datu merah mege | air terjun mengaya | goa loyang koro | tari guell dan dingdong,perkebunan tembakau | kopi | tebu | kemiri | nilam | pepternakan sapi | kuda | kerbau | kambing | domba | ayam buras | perikanan air tawar | ,pengat gayo | masam jeng | cecah angur | cecah bajik | cecah ries | cecah kekulit | gutel | sambal deupik cabai hijau | ,www.acehtengahkab.go.id,"Wakil-bupati.JPG (https://dl.airtable.com/crEZEPkPSZGPjXgUVrh1_Wakil-bupati.JPG),map.png (https://dl.airtable.com/uCY9r4AzQDeUd8ReSPjw_map.png),logo.png (https://dl.airtable.com/QvOLyZ7jTGad69PoRWP1_logo.png),Bupati.JPG (https://dl.airtable.com/Q8XrN0kJQ3SUWYWDgaCS_Bupati.JPG)"
KABUPATEN ACEH TENGGARA,"Kabupaten Aceh Tenggara adalah salah satu kabupaten di Aceh, Indonesia. kabupaten ini beribukota Kutacane, Kabupaten ini berada di daerah pegunungan dengan ketinggian 1.000 meter di atas permukaan laut, yakni bagian dari pegunungan Bukit Barisan. Taman Nasional Gunung Leuser yang merupakan daerah cagar alam nasional terbesar terdapat di kabupaten ini. Pada dasarnya wilayah Kabupaten Aceh Tenggara kaya akan potensi wisata alam, salah satu diantaranya adalah Sungai Alas yang sudah dikenal luas sebagai tempat olah raga Arung Sungai yang sangat menantang. Secara umum ditinjau dari potensi pengembangan ekonomi, wilayah ini termasuk Zona Pertanian. Potensi ekonomi daerah berhawa sejuk ini adalah padi, kakao, kembiri, rotan, kayu glondongan, ikan air tawar dan hasil hutan lainnya. Dalam bidang Pertambangan, Aceh Tenggara memiliki deposit bahan galian golongan-C yang sangat beragam dan potensial dalam jumlah cadangannya.",Aceh,Kutacane,"Ir. H. Hasanudin Beruh, M.M","H. Ali Basrah, S.Pd., M.M",4.231.41 km2,211.171 jiwa (2010),42 jiwa/km2,0629,benteng kuta reh | tman nasional gunung leuser | arung jeram sungai alas | air terjun lawe dua | festival seni gayo-alas | bukit cinta(bukit mbarung) | pemandian kolam air panas lawe ger-ger | jamur mamang | pantai goyang | taman kota | masjid agung at-taqwa,buah buahan rambutan | durian | mangga | pisang | lapukat | pepaya | jeruk siam | jambu biji | perkebunan kemiri | coklat | kelapa sawit rakyat | kelapa | kopi | nilam | pala | karet | kayu glondongan | perikanan air tawar | peternakan sapi | kerbau | kambing | domba | kuda | ayam buras,puket labar | sophe penget | cihmpe | gelame | gutel | lepat | gegerip | brahrum | apam | masam jeing | pengat | dedah | tenaruh dedah ,www.acehtenggarakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/m7WZlBD0Q86xii5GZ1Da_wakil-bupati.jpg),map.png (https://dl.airtable.com/7f6WzFLiRpSRvR6QMhEy_map.png),logo.png (https://dl.airtable.com/wP6nZYB4SRSMjTIQfAtw_logo.png),bupati.jpg (https://dl.airtable.com/x9o4cbxqQ7yvhcrBzewG_bupati.jpg)"
KABUPATEN ACEH TIMUR,"Kabupaten Aceh Timur adalah sebuah kabupaten yang berada di sisi timur Aceh, Indonesia. Kabupaten ini juga termasuk kabupaten kaya minyak selain Aceh Utara dan Aceh Tamiang. Kawasan ini juga termasuk basis Gerakan Aceh Merdeka sebelum diberlakukannya Darurat Militer sejak Mei 2003. Sebelum penerapan Darurat Militer ini, kawasan Aceh Timur termasuk kawasan hitam, terutama di kawasan Peureulak dan sekitarnya.",Aceh,Idi Rayeuk,Tgk. Hasballah M. Thalib,Syahrul Bin Sama'un,"6.040,60 km2",360.475 jiwa (2000),"59,68 jiwa/km2",0646,air terjun terujak | pantai kuala parek | pantai kuala beukah | situs kerajaan peyreulak | pantai pusong kuala idi | pantai keutapang mameh | pantai matang ulim idi cut,"perikanan laut | udang windu | udang putih | perkebunan kelapa sawit | perkebunan kelapa sawit rakyat | karet | coklat | kelapa | kopi | peternakan sapi | kerbau | kambing | domba | ayam buras | ayam pedaging | 

","ayam tangkap | rasyidah | tumeh engkot seumilang | timpan | boh rom rom | 

",www.acehtimurkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/DuIT4zTFSwWDYBRUTAqi_wakil-bupati.jpg),map.png (https://dl.airtable.com/3G5Nbx1BS5aMw5JeBPIA_map.png),logo.png (https://dl.airtable.com/6Cc1H1lPSZ2lq5H5J9zB_logo.png),Bupati.jpg (https://dl.airtable.com/GzTpyIUjRwrNNEa70MK8_Bupati.jpg)"
