Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BENGKULU SELATAN,"Bengkulu Selatan adalah sebuah kabupaten di provinsi Bengkulu, Indonesia. Kabupaten Bengkulu Selatan berdiri berdasarkan Keputusan Gubernur Militer Daerah Militer Istimewa Sumatera Selatan pada tanggal 8 Maret 1949 Nomor GB/27/1949 tentang pengangkatan Baksir sebagai Bupati Bengkulu Selatan (sebelumnya bernama kabupaten Manna Kaur 1945–1948 dan kabupaten Seluma Manna Kaur 1948–1949). Pada perkembangan selanjutnya dikuatkan dengan Surat Keputusan Presiden RI tanggal 14 November 1956 dengan Undang-undang Nomor 4 Tahun 1956 (Tambahan Lembaran Negara 109).",Bengkulu,Kota Manna,H. Dirwan Mahmud,Gusnan Mulyadi,"1.185,70 km2",142.940 jiwa (2010),"120,55 jiwa/km2",0739,"Pantai Pasar Bawah | Pantai Muara Kedurang | Air Terjun geluguran | Batu Balai Air Nipis | Pantai Mangkudum |  Sungai Air Manna | Meria ""Honisuit"" | Gua Suluman","perkebunan karet | Perkebunan kelapa sawit |  Perkebunan kakao | Perkebunan kelapa | Perkebunan kopi | Perkebunan kacang | Pertanina kacang hijau | Pertanian jagung pipilan | pertanian kacang tanah

",gulai pelus | gulai teghung | gulai lepang masak | gulai rebung manis | gulai kambas | gulai bunga sesilo | rebung asam undak liling | pendap | tempoyak | lapek binti | bagar hiu | lema,www.bengkuluselatankab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/o7UaO2xhQfOcIu9Nvzp1_wakil-bupati.jpg),map.png (https://dl.airtable.com/1PL8WbFDQ9i9fsi2njLW_map.png),logo.png (https://dl.airtable.com/AGkfaMxzSUSe3YEKAeT5_logo.png),bupati.jpg (https://dl.airtable.com/j9fdxoASN6QD07PvjA8r_bupati.jpg)"
KABUPATEN BENGKULU TENGAH,"Kabupaten Bengkulu Tengah adalah sebuah kabupaten di Provinsi Bengkulu, Indonesia. Ibukotanya adalah Karang Tinggi. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 24 Tahun 2008 yang merupakan pemekaran dari Kabupaten Bengkulu Utara.",Bengkulu,Kota Karang Tinggi,Ferry Ramlli ,Muhamad Sabri,"1.223,94 km2",98.333 jiwa (2010),"80,34 jiwa/km2",38383,taman liku sembilan | bukit kandis | gunung bungku | air terjun datar lebar | pantai sungai suci | bunker coa sako,pengolahan bahan galian | pengolahan ikan segar | pengolahan ikan beku | pengolahan biji coklat | pengolahan biji kopi | pengolahan pakan ternak | pengolahan karet remah | pengolahan rotan,dodol durian | pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak | kue tat,www.bengkulutengahkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/C7O5juH4T5eT98Sb7X2k_wakil-bupati.jpg),map.png (https://dl.airtable.com/T0NXZ5CYQzCknlUyDp1o_map.png),logo.jpg (https://dl.airtable.com/YXSiZIWLRNGUrp39sK9p_logo.jpg),bupati.png (https://dl.airtable.com/gpdYD6z7RSKpHiD76I0G_bupati.png)"
KABUPATEN BENGKULU UTARA,"Bengkulu Utara adalah sebuah kabupaten di provinsi Bengkulu, Indonesia. Kabupaten yang terletak di kawasan pesisir Pantai Barat Sumatera dengan ibukotanya Arga Makmur. Kota Arga Makmur berjarak sekitar 60 km dari Kota Bengkulu. Kabupaten Bengkulu Utara memiliki luas 9.585,24 km² saat wilayah Kabupaten Bengkulu Tengah dan Kabupaten Mukomuko masih menjadi wilayah kabupaten ini. Setelah dimekarkannya Bengkulu tengah, luasnya menjadi 4.424,60 km² dengan populasi 471.302 jiwa (2000).",Bengkulu,Kota Arga Makmur,"Dr. Ir. H. M. Imron Rosyadi, MM, M.Si.",Ir. Mi’an,"4.424,60 km2",257.675 jiwa (2010),"58,24 jiwa/km2",0736,air terjun palak siring | air terjun desa balam | tapak balai | taman nasional kerinci seblat | taman laut enggano | pusat pelatihan gajah | kawasan pantai putri hijau | curug sembilan,perkebunan kelapa sawit | perkebunankaret | perkebunankopi | perkebunan kakao | perkebunan kelapa | perkebunan lada | perkebunan kayu manis | perkebunan aren | perkebunan pinang | perkebunan kapuk | perkebunan kemiri | perkebunan pala,dodol durian | pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak | kue tat,www.bengkuluutarakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/kXZ7p7KTYqftFqcmjGoe_wakil-bupati.jpg),map.png (https://dl.airtable.com/zrZbMBMSwChVAfhVoOBA_map.png),logo.png (https://dl.airtable.com/oenshnVSpGIvFxs8xRBA_logo.png),bupati.jpg (https://dl.airtable.com/1YaHwBqSTKkIqvnWyreC_bupati.jpg)"
KABUPATEN KAUR,"Kaur adalah sebuah kabupaten di provinsi Bengkulu, Indonesia. Terletak sekitar 250 km dari kota Bengkulu, Kaur mempunyai luas sebesar 2.369,05 km² dan dihuni sedikitnya 298.176 jiwa. Mereka mengandalkan hidup pada sektor pertanian, perkebunan dan perikanan. Warga Kaur tersebar di 15 Kecamatan, 191 desa dan 4 kelurahan",Bengkulu,kota Bintuhan,"Dr. Ir. H. Hermen Malik, M.Sc.",hj. Yulis Suti Sutri,"2.369,05 km2",296.178 jiwa (2010),"125,02 jiwa/km2",0739,Danau Kembar | pantai linau | pantai way hawang | air terjun nunung | pantai manungla | pantai bunga karang | air terjun tiga panggung | air terjun curug perpah,batubara | pasir besi | batu | pasir | tambang | karet | cengkeh lada | kopra | palawija | kacang hijau | ubi kayu | ubi jalar | jahe gajah | perikanan laut | perikanan laut | perikanan air tawar | lobster,dodol durian | pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak | kue tat | gulai ikan mungkus | rebung asam undak liling | sayur terung | unji | etak | kuwau | kelicuk | tapai siwuk,www.kaurkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/XJ7UYIw9RAGTGZPIl9cQ_wakil-bupati.jpg),map.png (https://dl.airtable.com/8p13eDRGRQeSpHGVJCfl_map.png),logo.jpg (https://dl.airtable.com/RZsGCnTSSNG5lB97wVNy_logo.jpg),bupati.jpg (https://dl.airtable.com/vNEBh1TIOPScS6qnraJg_bupati.jpg)"
KABUPATEN KEPAHIANG,"Kabupaten Kepahiang adalah salah satu kabupaten di Provinsi Bengkulu, Indonesia. Kabupaten ini merupakan kabupaten pemekaran dari Kabupaten Rejang Lebong. Mayoritas penduduk Kabupaten Kepahiang adalah suku Rejang. Rejang disebut dengan Hejang oleh suku tersebut.",Bengkulu,Kota Kepahiang,Hidayatullah Sjahid,"Netti Herawati, S.Sos","664,80 km²",124.865 jiwa (2010),163 jiwa/km2,0732,panoarama pegunungan | taman kota | danau musi ujan mas | PLTA musi uajn mas | kebun teh kabawetan | flora langka amorphophallus | bunga raflesia arnoldi | air terjun bukit hitam | air terjun curug embun | danau suro,perkebunan kopi | perkebunan jeruk | perkebunan karet | perkebunan aren | perkebunan kayumanis | perkebunan lada | perkebunan nilam | perkebunan cokelat | perkebunan kelapa | perkebunan cengkeh | perkebunan pinang, pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak,www.kepahiangkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/6PhZqbQLQgQORWNx6olh_wakil-bupati.jpg),map.png (https://dl.airtable.com/o9X5h7OtTE2cD5X92u23_map.png),logo.png (https://dl.airtable.com/knzzdHyAQ5ey7fPpe3B5_logo.png),bupati.jpg (https://dl.airtable.com/YcBXJLsQ1mNMWHRK91I9_bupati.jpg)"
KABUPATEN LEBONG,"Kabupaten Lebong merupakan salah satu kabupaten di provinsi Bengkulu, Indonesia. Kabupaten Lebong beribukota di Muara Aman. Kabupaten Lebong dibentuk dari hasil pemekaran Kabupaten Rejang Lebong berdasarkan UU No. 39 Tahun 2003.",Bengkulu,Muara Aman,"H. Rosjonsyah Syahili, S.Ip.","Wawan Fernandez, SH., M.KN","2.427,31 km2",97.091 jiwa,40 jiwa/km2,0732,"Wisata Danau Picung | Wisata Air Putih | Wisata Pasir Lebar | Wisata Tambang Sulit | Wisata Danau Tes | Wisata Lobang Kaca Mata | Wisata Telaga Tujuh Warna
Arum Jeram Air Ketahun | Air Terjun Tebing Serai | Air Terjun Tik Gumaceak | Air Terjun Santan | Air Terjun Blau | Air Terjun Bio Baes | Air Terjun Uram | Air Terjun Siapang | Air Terjun Taman Peri
",peternakan Kambing | peternakan Domba | peternakan Kelinci | Peternakan Unggas | peternakan Ayam Potong | peternakan Ayam | peternakan Itik,sambea ujak | samba macang | lema | kue tat | pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak,www.lebongkab.go.id,"map.jpg (https://dl.airtable.com/kil0nKXTxmjGmyOqac9A_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/FTfuhRqeTzKMr6CQJGFN_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/ztlaCFHQSaq56x3EuZ6U_logo.jpg),bupati.jpg (https://dl.airtable.com/SiOF5KBCRBuYGYg568Jl_bupati.jpg)"
KABUPATEN MUKOMUKO,"Kabupaten Mukomuko adalah salah satu kabupaten di Provinsi Bengkulu, Indonesia, sebagai pemekaran dari Kabupaten Bengkulu Utara. Sebagian besar penduduk Muko-muko ini merupakan transmigran yang berasal dari Jawa, Sunda, Minang, dan lain sebagainya. Sebab, Bengkulu termasuk mukomuko sejak zaman kolonial Belanda dijadikan ""tanah harapan"" bagi penduduk luar Bengkulu. Dari jumlah itu 37,4 persen suku Jawa, 6,3 persen suku Sunda, 5,4 persen Minang dan sisanya dari Bali, Bugis, Melayu, Rejang, Serawai, Lembak, serta lainnya.",Bengkulu,Kota Mukomuko,"Choirul Huda, SH","Haidir, S.I.P","4036,70 km2",155.000 jiwa (2010),"33,2 jiwa/km2",0737,Pantai Abrasi (Tapi Lauik) | Danau Teratai Indah | Danau Lebar | Danau Nimbung | Dam Air Manjunto | Benteng Anna (Forth Anna | Pantai Air Rami | Pantai Pandan Wangi,Tambang Emas | ,dodol durian | pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak | kue tat,www.mukomukokab.go.id,"bupati.jpg (https://dl.airtable.com/vz42VpERRfikomvhKtO1_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/wpjLNVgDS8CCS1jJqSnI_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/Y5VbowzTPuCKk72p8690_map.jpg),logo.jpg (https://dl.airtable.com/UCJFQaiHR42KKYRhADGg_logo.jpg)"
KABUPATEN REJANG LEBONG,"Kabupaten Rejang Lebong adalah sebuah kabupaten di provinsi Bengkulu, Indonesia. Kabupaten ini memiliki luas wilayah 1.515,76 km² dan populasi sekitar 246.787 jiwa. Ibu kotanya ialah Curup. Kabupaten ini terletak di lereng pegunungan Bukit Barisan dan berjarak 85 km dari kota Bengkulu yang merupakan ibukota provinsi.",Bengkulu,Curup,"Dr H.A. Hijazi, SH, M.Si","H Iqbal Bastari, S.Pd, MM","1.515,76 km2",246.787 jiwa,"162,81 jiwa/km2",0732,Suban Air Panas | Kolam Renang Muna Tirta | Danau Talang Kering | Air Terjun Talang Rimbo | Masjid Agung Curup | Rumah Adat Rejang Lebong | Bendungan Musi Kejalo | Obyek Wisata Alam “DIOBAGITE”,batu kali | batu pasir | pasir | pasir merah | pasir emas | kaolin | tanah liat | lempung | pasir besi | granit | batu gunung,sambea ujak | samba macang | lema | kue tat | pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak,www.rejanglebongkab.go.id,"bupati.jpg (https://dl.airtable.com/2hhNwOHeQ16oL582rrxy_bupati.jpg),wakil-bupati.JPG (https://dl.airtable.com/CxeHFzUFQ9CPwsNQaonw_wakil-bupati.JPG),map.jpg (https://dl.airtable.com/rzh1K8ATP6dh7tj7FbPN_map.jpg),logo.jpg (https://dl.airtable.com/D21ptrfSuSttu9ZOqjdu_logo.jpg)"
KABUPATEN SELUMA,"Kabupaten Seluma adalah salah satu kabupaten di provinsi Bengkulu, Indonesia dengan ibu kotanya Tais, terbentuk berdasarkan UU No. 3, Tahun 2003, Kabupaten ini merupakan pemekaran dari Kabupaten Bengkulu Selatan. Dulunya Kabupaten ini masuk dalam Kabupaten Tertinggal alasannya Kabupaten ini pendudunya sedikit, dan belum sama sekali berkembangnya potensi Unggulan daerah, tetapi sejak tahun 2008 Kabupaten ini bukan Lagi kabupaten tertinggal karena Padi adalah Potensi Unggulan Kabupaten ini. Sebab itu di setiap Kecamatan kebutuhan Padi, Beras, dan kebutuhan pangan sudah mencukupi, dan penduduknya sekitar 297.876 jiwa dengan komposisi 145.180 jiwa (laki-laki) dan 129.187 jiwa (perempuan).",Bengkulu,Tais,"H. Bundra Jaya, SH, MH","Drs. Suparto, M.SI","2.321,74 km2",172.890 jiwa,"74,47 jiwa/km2",0739,taman buru semindang bukit kabu | air terjun batu bekinyak | air panas lubuk resam | bendungan seluma | pantai seluma | wisata arung jeram sungai seluma | wisata alam goa seluma,goetermal | minyak bumi | panas bumi | bentomin cair |  penghasil semen |  perkebunan karet |  perkebunan kelapa sawit |  perkebunan kopi,gulai remis | sambea ujak | samba macang | lema | kue tat | pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak,www.selumakab.go.id,"map.jpg (https://dl.airtable.com/kLBjKSd5Ry2qPkIgFNkb_map.jpg),bupati.jpg (https://dl.airtable.com/RZXYU95Q6SVhE95QxJYD_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/ZY4BhSC5TwehHpPStagh_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/4Tv5wqflT6yDY7LDIDiq_logo.jpg)"
KOTA BENGKULU,"Kota Bengkulu adalah salah satu kota, sekaligus ibu kota provinsi Bengkulu, Indonesia. Sebelumnya kawasan ini berada dalam pengaruh kerajaan Inderapura dan kesultanan Banten. Kemudian dikuasai Inggris sebelum diserahkan kepada Belanda. Kota ini juga menjadi tempat pengasingan Bung Karno dalam kurun tahun 1939 - 1942 pada masa pemerintahan Hindia Belanda. Kota Bengkulu memiliki luas wilayah sebesar 151,7 km²[2] dengan jumlah penduduk sebesar 319.098 orang yang terdiri atas 160.293 orang laki-laki dan 158.805 orang perempuan pada tahun 2012.",Bengkulu,Bengkulu,"H. Helmi Hasan, S.E.",Ir. Patriana Sosialinda ,,"319,098 jiwa","2,103.48/km2",0736,Fort Marlborough | Pantai Panjang | Monumen Hamilton | Monumen Parr | Objek wisata Rumah Pengasingan Bung Karno | Masjid Jamik yang didesain oleh Ir. Soekarno.,peternakan sapi | peternakan domba | peternakan babi | peternakan kerbau | peternakan kuda | peternakan ayam buras | peternakan entok | peternakan angsa | peternakan burung puyuh | perkebunan kelapa sawit | perkebunan karet | perkebunan kopi robusta | perkebunan kopi arabika | perkebunan kelapa | perkebunan lada | perkebunan cengkeh | perkebunan aren | perkebunan kayu manis | perkebunan pinang | perkebunan kemiri,pendap kudapan | lema | lemang tapai | bagar hiu | lempuk durian | lepek binti | tempoyak | kue tat,www.bengkulukota.go.id,"map.jpg (https://dl.airtable.com/qMxH2GnSCiX4cfhXiHdz_map.jpg),wakil-bupati.JPG (https://dl.airtable.com/ylBHAGqPTsaYoS2C0kCQ_wakil-bupati.JPG),bupati.jpg (https://dl.airtable.com/iVqaMgrnSrCSQGaA2Iz4_bupati.jpg),logo.jpg (https://dl.airtable.com/1KqK9qvQQ4eA57VgWy2W_logo.jpg)"
