Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BATANG HARI,"Kabupaten Batanghari adalah salah satu kabupaten di bagian timur Provinsi Jambi, Indonesia. Ibu kotanya ialah Muara Bulian. Kabupaten ini adalah salah satu Kabupaten yang paling tinggi Tingkat Laju Pertumbuhan Penduduknya, Sesudah Kabupaten Merangin.Kabupaten Batang Hari terletak di bagian tengah Provinsi Jambi dengan luas wilayah 5.180,35 Km2. Kabupaten Batang Hari secara geografis terletak pada posisi 1º15’ lintang selatan sampai dengan 2º2’ lintang selatan dan diantara 102º30’ bujur timur sampai dengan 104º30’ bujur timur. Dalam lingkup provinsi letak Kabupaten Batang Hari berada di wilayah bagian tengah provinsi dan merupakan daerah perbukitan. ",Jambi,Muara Bulian,Ir.H. Syahirsah. SY,"Hj. Sofia Joesoef, SH","5.804,83 km2",241.334 jiwa (2010),"41,57 jiwa/km2",743,Sungai batanghari | taman hutan rakyat senami | taman hutan sengkati | taman hutan kota muara bulian | ,"Karet | kelapa sawit | 
",tepek ikan | kue srikaya | gandus | jus pinang | nasi gemuk | cumi cah kangkung | ,http://www.batangharikab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/dZN3fwSCyB962YTgQRwQ_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/zyrtrimsTIy1B05WkQ6A_bupati.jpg),map.jpg (https://dl.airtable.com/VZva0F4SXio1NTyIzyp1_map.jpg),logo.jpg (https://dl.airtable.com/MO8j86E5QFCxzIfIlmwF_logo.jpg)"
KABUPATEN BUNGO,"Kabupaten Bungo adalah salah satu kabupaten di Provinsi Jambi, Indonesia. Kabupaten ini berasal dari hasil pemekaran Kabupaten Bungo Tebo pada tanggal 12 Oktober 1999. Luas wilayahnya 4.659 km² (9,80% dari luas Provinsi Jambi) dengan populasi 303.135 jiwa (Sensus Penduduk Tahun 2010).Kabupaten ini beribukota di Muara Bungo. Sebelumnya merupakan pemekaran dari Kabupaten Bungo Tebo. Kabupaten ini terdiri dari 17 kecamatan. Kabupaten ini memiliki kekayaan alam yang melimpah di antaranya sektor perkebunan yang ditopang oleh karet dan kelapa sawit dan sektor pertambangan ditopang oleh batubara. Selain itu Kabupaten Bungo juga kaya akan emas yang tersebar hampir di seluruh wilayah Kabupaten Bungo.",Jambi,Muara Bungo,"H. Sudirman Zaini, S.H., M.H","H.Mashuri, SP.,ME",4.659 km2,303.135 jiwa (2010),"65,06 jiwa/km2",0747,"Air terjun tegan kiri | gua alam | sumber air panas | wisata alam | air terjun punjung empat | gua alam | bunga bangkai | 
",Jagung | padi sawah | keramba jaring apung | batubara | emas | minyak bumi | kebun sawit | karet | ,Sambal nio | gulai tekuyung | ,http://www.bungokab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/dgiU7k49R8uVn7tOMHIt_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/OMw60dmpRnmYx7IC0YE0_map.jpg),bupati.jpg (https://dl.airtable.com/OdaWI3g7QOn78hQNFwYg_bupati.jpg)"
KABUPATEN KERINCI,"Kabupaten Kerinci adalah salah satu kabupaten di Provinsi Jambi, Indonesia. Kerinci ditetapkan sebagai Kabupaten sejak awal berdirinya Provinsi Jambi dengan pusat pemerintahan di Sungai Penuh. Pada tahun 2011, pusat pemerintahan berpindah ke Siulak. Kabupaten Kerinci memiliki luas 3.355,27 km² terdiri atas 12 kecamatan. Nama kerinci berasal dari bahasa tamil yaitu kurinji, yang merupakan nama bunga yang tumbuh di daerah pegunungan india selatan.",Jambi,Siulak,"DR. H. Adi Rozal, M.Si.","Zainal Abidin, SH, MM.","3.355,27 km2",229.495 jiwa (2010),"68,4 jiwa/km2",0748,Gunung kerinci | perkebunan teh kayoe aro | perkebunan kayu manis | danau kerinci | danau kaca | danau gunung tujuh | danau belibis | tanjung pelita | taman husein | pesanggrahan dan tanjung hatta | goa kasah | danau lingkat | air terjun tujuh tingkat | ,Alpukat | pisang | manggis | durian | jeruk | batu menhir | nekara perunggu | ,Soto semurup |  gulai ikan semah | air kawo | , 	http://www.kerincikab.go.id/,"bupati.jpg (https://dl.airtable.com/RPrK2piaRxqUMfUESSYL_bupati.jpg),map.jpg (https://dl.airtable.com/FA4uwar0QQ2oiVARcFvY_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/EMCyL4SBS5agDV9BkWHN_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/Mh0VXRpwSxaEC4skocCo_logo.jpg)"
KABUPATEN MERANGIN,"Kabupaten Merangin adalah salah satu kabupaten di Provinsi Jambi, Indonesia. Luas wilayahnya 7.668.61 km². dengan populasi 335.000 jiwa. Ibu kotanya ialah Bangko. Kabupaten ini merupakan pemekaran dari Kabupaten Sarolangun-Bangko dan terbagi menjadi 9 kecamatan yang terbagi lagi menjadi 141 desa.",Jambi,Bangko,"Al-Haris, S.Sos, MH","Drs. H. Khafied Moein, MM","7.668,61 km2",333.206 jiwa (2010),"43,45 jiwa/km2",746,Rumah tua tabir | dam betuk | taman bukit tiung | teluk wang | arung jeram | air terjun sigerincing | tepian dukun betuah | goa tiangko sengayau | danau pauh | depati empat air panas | gunung masurai | ,Kayu balok | kopi | kentang | nilam | jagung | singkong | emas | ,Pidang serani | gulai terjun | gulai ikan semah | gulai tekuyung | tempoyak | gelamai | , 	http://www.meranginkab.go.id/,"bupati.jpg (https://dl.airtable.com/WymC4HRQamFtzeIj4FgQ_bupati.jpg),map.jpg (https://dl.airtable.com/LMVJCOuRqO4zKwUUulHN_map.jpg),logo.jpg (https://dl.airtable.com/3qowNI8DTT6AFLvQ9b4C_logo.jpg)"
KABUPATEN MUARO JAMBI,"Kabupaten Muaro Jambi adalah salah satu kabupaten di Provinsi Jambi, Indonesia. Kabupaten ini merupakan salah satu Kabupaten pemekaran dari Kabupaten Batanghari berdasarkan Undang-undang nomor 54 Tahun 1999, dengan luas wilayah 5.246 km², secara administratif terdiri dari 9 Kecamatan, 129 Desa/Kelurahan, dengan jumlah penduduk 342.952 jiwa dengan tingkat pertumbuhan 3,93 persen per tahun.

",Jambi,Sengeti,Drs. H. Burhanuddin Mahir,"Drs. Kemas Muhammad Fuad, Msi", 	5.246 km2,342.952 jiwa (2010),"65,37 jiwa/km2",0741,"Taman nsional berbak  | taman rekreasi alam citra indah | penangkaran buaya | wisata agro perbukitan sawit | wisata agro perkebunan nanas | wisata agro tanaman hultikultura | danau lamo 
",Ikan patin jambal nila | ikan gabus | ikan lele | ikan gurame | ikan mujaer | ,Nasi minyak , 	www.muarojambi.go.id,"wakil-bupati.jpg (https://dl.airtable.com/IH5e61KPQQGUHRn56qp3_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/SbF6z9TRfysOPZjeOFKn_map.jpg),bupati.jpg (https://dl.airtable.com/mp1OlBuvSoaPqqBdSR5z_bupati.jpg),logo.jpg (https://dl.airtable.com/ozP4joYRSFifdtscts7A_logo.jpg)"
KABUPATEN SAROLANGUN,"Kabupaten Sarolangun adalah salah satu kabupaten di provinsi Jambi, Indonesia. Luas wilayahnya 6.174 km² dengan populasi 246.245 jiwa (Sensus Penduduk 2010). Kabupaten ini beribukota di Sarolangun. Sarolangun rsmi berdiri pada tanggal 10 Oktober 1999 yang berdasarkan pada Undang-Undang Republik Indonesia Nomor 54 Tahun 1999 tentang pembentukan kabupaten Sarolangun, kabupaten Tebo, kabupaten Muaro Jambi, dan kabupaten Tanjung Jabung Timur.

Sebelumnya, kabupaten Sarolangun dan kabupaten Merangin tergabung dalam Kabupaten Sarolangun-Bangko, selanjutnya diperkuat dengan keputusan DPRD Provinsi Jambi Nomor 2/DPRD/99 tanggal 9 Juli 1999 tentang pemekaran Kabupaten di Provinsi Jambi.",Jambi,Sarolangun,Drs. H. Cek Endra,"Drs. Pahrul Rozi, M.Si.",6.174 Km², 	246.245 jiwa (2010),40 jiwa/km²,745,Danau Biaro Desa Lidung |  Dam Kutur Kecamatan Limun | Taman Nasional Bukit Dua Belas | Terbang Layang Bukit Rayo | Air Panas Paku Aji  ,ikan mas | ikan nila | ikan patin | ikan gurami | ikan lele | ,Gulai ikan patin | pamadaran | dendeng batokok | nasi minyak | empek - empek | tekwan | martabak mesir | ,www.sarolangunkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/xMrFaUNxToub2vtcTuGr_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/RuLrbzsRomT3LBxz9Qwb_map.jpg),bupati.jpg (https://dl.airtable.com/l2Naw5tIS7Wh0w5TG0mh_bupati.jpg),logo.jpg (https://dl.airtable.com/OFT07kqQRzKZ2K31HEIp_logo.jpg)"
KABUPATEN TANJUNG JABUNG BARAT,"Kabupaten Tanjung Jabung Barat adalah salah satu kabupaten di Provinsi Jambi, Indonesia. Luas wilayahnya 5.009,82 km² dengan populasi 293.594 jiwa pada tahun 2012. Ibukotanya ialah Kualatungkal. Kabupaten ini terbagi menjadi 13 kecamatan yang terbagi lagi menjadi 20 kelurahan dan 114 desa. Dulunya dengan Kabupaten Tanjung Jabung Timur kabupaten ini membentuk Kabupaten Tanjung Jabung.",Jambi,Kuala Tungkal,"Drs. H. Usman Ermulan, MM","Katamso, SA, SE, ME","5009,82km²",293.594 jiwa (2012),,742,Water front city | ancol beach | pemandian air hangat di pematang | air terjun bukit pinang | cagar alam hutan bakau | air terjun pelang | wisata alam pelatihan | taman wisata lestari indah ,Kelapa sawit | kelapa dalam | pinang | karet | kopi | sapi | kerbau | ayam buras | ,tempoyak | kue  srikaya | gulai tepek ikan | dodol nanas | jus pinang | nasi gemuk | gandus ,http://tanjabbarkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/w0HojjUSqmFIY4sxI4Qw_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/qg38OENCT1uf3L9iLXRO_bupati.jpg),logo.jpg (https://dl.airtable.com/WK1qLT76QoaPWtYiSvPd_logo.jpg),map.jpg (https://dl.airtable.com/WCpbHGUdTBayKIIA3sHA_map.jpg)"
KABUPATEN TANJUNG JABUNG TIMUR,"Kabupaten Tanjung Jabung Timur adalah salah satu kabupaten di Provinsi Jambi, Indonesia. Luas wilayahnya 5.445 km² dengan populasi 205.272 jiwa (2010) atau 10,86% dari Luas Provinsi Jambi[2]. Ibu kotanya ialah Kota Muara Sabak. Kabupaten ini terbagi menjadi 11 kecamatan yang terbagi lagi menjadi 60 desa. Dulunya dengan Kabupaten Tanjung Jabung Barat yang membentuk Kabupaten Tanjung Jabung.",Jambi,Muara Sabak,"H. Ambo Tang, A.Md",, 	5.445 km2,205.272 jiwa (2010),"37,7 jiwa/km2",0740,Pemandanga alam hutan lahan basah. | Pantai Cemara | air hitam laut ,Padi | kacang tanah | ubi kayu | ubi jalar | ,pempek | otak itak | tempoyak jambi | dodol nanas | lempok durian | duku kumpeh | kue buayketan srikayo | kue buayo berenang | kue bawang putih ,http://www.tanjabtimkab.go.id/,"map.jpg (https://dl.airtable.com/A3jHmqvSPumC5Pj4IRfT_map.jpg),logo.jpg (https://dl.airtable.com/KMTlVnt2QYK4UKedsRbD_logo.jpg)"
KABUPATEN TEBO,"Kabupaten Tebo adalah salah satu kabupaten di Provinsi Jambi, Indonesia. Kabupaten ini berasal dari hasil pemekaran Kabupaten Bungo Tebo, tanggal 12 Oktober 1999.",Jambi ,Kota Muara Tabir,"H. Sukandar, S.Kom, M.Si","Hamdi , S.Sos, MM",6.461 km2, 	297.735 jiwa,"46,08 jiwa/km2",0744,Taman nasional bukit tiga puluh | taman nasional bukit  dua belas | kebun raya bukit sari | taman makam pahlawan sulthan thah syaifuddin | taman tanggo rajo ujung tanjung | air panas sungai bengkal | danau sigombak | ,batu bara | emas | kaolin | batu kuarsa | granit | pasir dan batu | minyak | batu kerikil | sapi | karet | kopi | sawit | pinang | coklat | ,Pindang patin | umbut kelapa | pepes pedo | ,http://www.tebokab.go.id,"bupati.jpg (https://dl.airtable.com/ElS7Fn1PQIivyammNOeb_bupati.jpg),map.jpg (https://dl.airtable.com/jeKjuKjQFuviH62JtKYR_map.jpg),logo.jpg (https://dl.airtable.com/JqUhdvsSF2Dabk4AXlxh_logo.jpg)"
KOTA JAMBI,"Kota Jambi adalah sebuah kota sekaligus merupakan ibu kota dari provinsi Jambi, Indonesia. Dahulu dikenal dengan Djambi (1946-1972).Kota Jambi dibelah oleh sungai yang bernama Batanghari, kedua kawasan tersebut terhubung oleh jembatan yang bernama jembatan Aur Duri.",Jambi,Kota jambi ,"H. Syarif Fasha, ME","Drs.H.Abudllah Sani,M.Pdi",205.38 km²,"531,857 jiwa","2.589,62/km2 (670,710/sq mi)",741,Jembatan makalam | tugu jam | sungai batanghari | tugu juang | tugu pers | masjid agung al-falah | tepian tanggo rajo | kampung rajo | tugu jam monas | jembatan gentala arasy | kebun binatang taman rimbo | taman remaja ,Minyak bumi | gas bumi | batu bara | kelapa sawit | karet | ,Tempoyak | Kue srikaya | Nasi gemuk | jus pinang | ,www.jambikota.go.id/,"wakil-walikota.jpg (https://dl.airtable.com/l6QdSMJRZSldmMuHhvZV_wakil-walikota.jpg),map.jpg (https://dl.airtable.com/t6oWoaseRliLHpdLtYV7_map.jpg),walikota.jpg (https://dl.airtable.com/2GlQn24XTOGGGmHZ04xD_walikota.jpg),logo.jpg (https://dl.airtable.com/DhqHzsxFSYKtKxgtXzg7_logo.jpg)"
