Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BANDUNG,"Kabupaten Bandung adalah sebuah kabupaten di Tatar Pasundan, Provinsi Jawa Barat, Indonesia. Ibukotanya adalah Soreang",Jawa Barat,Soreang,H. Dadang M. Nasser,H. Deden Rukman Rumaji,"1.762,39 km2",3.178.543 jiwa (2010),"1.803,54 jiwa/km2",022,Desa Wisata Ciburial | Kampung Adat Cikondang | Situs Rumah Hitam | Situs Bumi Alit Kabuyutan | Situs Makam Bosscha | Situs Gunung Padang | Situ Patengan | Situ Cileunca | Situ Cipanunjang | Situ Cisanti,Strawberry | teh | kopi | cokelat | karet | padi,Bajigur Durian | Surabi | Seblak | Batagor | Mie Kocok | Lotek,www.bandungkab.go.id,"bupati.jpg (https://dl.airtable.com/NgaXhNwTTyBfBL9es7bQ_bupati.jpg),map.jpg (https://dl.airtable.com/W4FGc6JxQs6l1gQiomm2_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/FPdtWc7NSv2ZPpeygtbC_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/Wsd4fA01Su6q9Z6CyuLc_logo.jpg)"
KABUPATEN BANDUNG BARAT,"Kabupaten Bandung Barat adalah kabupaten di Provinsi Jawa Barat, Indonesia, sebagai hasil pemekaran Kabupaten Bandung. Kabupaten ini berbatasan dengan Kabupaten Purwakarta dan Kabupaten Subang di sebelah barat dan utara, Kabupaten Bandung dan Kota Cimahi di sebelah timur, Kota Bandung di sebelah selatan, serta Kabupaten Cianjur di sebelah barat dan timur.",Jawa Barat,Ngamprah,"Drs. H. Abu Bakar, M.Si.",Drs. H. Yayat Turochmat Soemitra,"1.311,31 km2",1.531.072 jiwa (2008),"1.167,59 jiwa/km2",022,Taman Wisata Alam Maribaya | Curug Cimahi | Kawasan Wisata Bunga Cihideung | Curug Malela | De Ranch | Curug Layung | Lembah Bougenville | Curug Tilu Leuwi Opat | Ciwangun Indah Camp | Natural Hills,Teh | Kopi | Kelapa | Cengkeh | Karet | Kakao | Jagung | Kedelai | Kentang | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Batagor | Siomay | Seblak | Misro,www.bandungbaratkab.go.id,"map.jpg (https://dl.airtable.com/i4JCo3mcTUqIBc79HcAl_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/1tZg9FLKSoG3ZVJRiOEr_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/Bf0dhC6SGeDb1abSTJlX_bupati.jpg),logo.jpg (https://dl.airtable.com/hSVffvkSQFOw6ertfv9v_logo.jpg)"
KABUPATEN BEKASI,"Kabupaten Bekasi adalah sebuah kabupaten di Tatar Pasundan, Provinsi Jawa Barat, Indonesia. Ibukotanya adalah Cikarang. Kabupaten ini berada tepat di sebelah timur Jakarta, berbatasan dengan Kota Bekasi dan Provinsi DKI Jakarta di barat, Laut Jawa di barat dan utara, Kabupaten Karawang di timur, serta Kabupaten Bogor di selatan. Kabupaten Bekasi terdiri atas 23 kecamatan, yang dibagi lagi atas sejumlah desa dan kelurahan",Jawa Barat,Cikarang,Dr. Hj. Neneng Hasanah Yasin,Rohim Mintareja,"1.484,37 km2",2.830.401 jiwa,"1.906,8 jiwa/km2",021,Taman Buaya Indonesia Jaya | Waterboom Lippo Cikarang | Gedung juang 45 | Saung Ranggon | Danau Cibeureum | Pantai Muara Beting | Wisata Rumah Pohon | Hutan Kota | Danau Marakas | Pantai Muara Bendera | Pantai Muara Gembong | Bumi Perkemahan Karang Kitri,Minyak dan Gas bumi,Sayur gabus pucung | dodol betawi | kue akar kelapa | kue rengginang | kue sagon | kue geplak | kue duit | kue gipang,www.bekasikab.go.id,"map.jpg (https://dl.airtable.com/7uXlR0gJTBSDLqmH2Oox_map.jpg),bupati.jpg (https://dl.airtable.com/th6dMjcsR5itmdGTw9j0_bupati.jpg),logo.jpg (https://dl.airtable.com/OdbVYseRSUKoiygGveBV_logo.jpg),wakil-bupati.jpg (https://dl.airtable.com/NLqtn6IQyKCLNdNJW5Ti_wakil-bupati.jpg)"
KABUPATEN BOGOR,"Kabupaten Bogor adalah sebuah kabupaten di provinsi Jawa Barat, Indonesia. Ibukotanya adalah Cibinong. Kabupaten Bogor berbatasan dengan Kabupaten Tangerang dan Kota Tangerang Selatan (Banten), Kota Depok, Kota Bekasi, dan Kabupaten Bekasi di utara; Kabupaten Karawang di timur, Kabupaten Cianjur di tenggara, Kabupaten Sukabumi di selatan, serta Kabupaten Lebak (Banten) di barat. Kabupaten Bogor terdiri atas 40 kecamatan, yang dibagi atas sejumlah desa dan kelurahan.",Jawa Barat,Cibinong,"Hj. Nurhayanti, S.H., M.M., M.Si.",-,"2.071,21 km2",4.771.932 jiwa (2010),"2.303,93 jiwa/km2",021 dan 0251,Puncak | Taman Safari | Gunung Salak Endah (Gn. Bunder) | Gunung Gede Pangrango | Gunung Salak | Sirkuit Sentul | Hutan Pinus Catang Malang | Taman Wisata Air Panas Tirta Sanita Ciseeng | Penangkaran Rusa Cariu milik Perhutani | The Jungleland | Pemandian Air Panas Gunung Pancar | Bukit Pelangi (Rainbow Hills) | Pasar Ah Poong | Sentul Paradise Park (Air Terjun Bidadari) | Taman Wisata Mekarsari,Pertambangan andesit | pasir | tanah | lempung | bentonit | falshdpar | bijih besi | galena,Toge goreng | Bapatong | Laksa Bogor | Doclang | Cungkring | Ngo Hiang | Pepes Sagu | Es Pala,www.bogorkab.go.id,"map.jpg (https://dl.airtable.com/QB8vTtgAQfehua1PYomF_map.jpg),bupati.jpg (https://dl.airtable.com/hx27LcTZR2OuLmaXjU7l_bupati.jpg),logo.jpg (https://dl.airtable.com/3NuqGOraR3q9faJOpbJU_logo.jpg)"
KABUPATEN CIAMIS,"Kabupaten Ciamis, adalah sebuah kabupaten di Provinsi Jawa Barat, Indonesia. Ibu kotanya adalah Ciamis Kota. Kabupaten ini berada di bagian tenggara Jawa Barat, berbatasan dengan Kabupaten Majalengka dan Kabupaten Kuningan di utara, Kabupaten Cilacap (Jawa Tengah) dan Kota Banjar di timur, Kabupaten Pangandaran dan Samudra Hindia di selatan, serta Kota Tasikmalaya dan Kabupaten Tasikmalaya di barat.",Jawa Barat,Ciamis,H. Iing Syam Arifin,Jeje Wiradinata,"2.556,75 km2",1.768.532 jiwa Setelah pemekaran Pangandaran (2014),"691,71 jiwa/km2",0265,Ngarai Hijau (Green Canyon) | Pantai Batu Karas | Pantai Madasari | Lembah Putri | Pantai Karapyak | Karang Nini |  Pantai Batu Hiu | Pantai Pangandaran | Citumang | Situ Lengkong | Karang Kamuliyan (Ciung Wanara ),Ubi Jalar | Ubi Kayu | Kedelai | Jagung | Kentang | Nanas | Pisang | Kakao | Karet | Kopi | Kelapa | Cengkeh | Teh,Dodol Galendo | Abon Ikan Patin | Sale Pisang | Colok Gembrung,www.ciamiskab.go.id,"bupati.jpg (https://dl.airtable.com/U12OpsRfSOKJCHZ1UMmx_bupati.jpg),map.jpg (https://dl.airtable.com/N3jiqBQBahZWS7SypFgh_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/dgJzVcmpQ7GOFHzv5QQG_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/5R9Ver2wQpepZJD1Efa4_logo.jpg)"
KABUPATEN CIANJUR,"Kabupaten Cianjur, adalah sebuah kabupaten di Tatar Pasundan Provinsi Jawa Barat, Indonesia. Ibukotanya terletak di kecamatan Cianjur. Kabupaten ini berbatasan dengan Kabupaten Bogor dan Kabupaten Purwakarta di Utara , Kabupaten Bandung, Kabupaten Bandung Barat, dan Kabupaten Garut di timur, Samudra Hindia di selatan, serta Kabupaten Sukabumi di barat.",Jawa Barat,Kota Cianjur,"Ir.Prof Cecep Rahman,MTA, MOS",-,"3.432,96 km2",2.149.121 jiwa (2007),"626,03 jiwa/km2",0263,Pantai Jayanti | curug citambur | Taman Bunga Nusantara | Kebun Raya Cibodas | Situs Megalitikum Gunung Padang | Gunung Gede | Gunung Pangrango | Air terjun Kab. Cianjur.,Padi | Jagung | Kedelai | Kacang Tanah | Kacang Hijau | Ubi Kayu | Ubi Jalar,Tauco | Bubur ayam khas Cianjur | Manisan Cianjur | Geco Cianjur | Sate Maranggi Cipanas | Ikan Bakar Cianjur | Ongol-Ongol,www.cianjurkab.go.id,"bupati.jpg (https://dl.airtable.com/x1xk6vq5SmGnZmb8jHnz_bupati.jpg),map.jpg (https://dl.airtable.com/nAcn2q6QRcuPn7ffggkz_map.jpg),logo.jpg (https://dl.airtable.com/sOTRfE1UTyKhmJtqRt5Y_logo.jpg),wakil-bupati.jpg (https://dl.airtable.com/8krG2BH4THKXtVkkCK6s_wakil-bupati.jpg)"
KABUPATEN CIREBON,"Kabupaten Cirebon adalah sebuah kabupaten di Provinsi Jawa Barat yang terletak di bagian timur, dan berbatasan dengan Jawa Tengah. Dalam sektor pertanian, kabupaten Cirebon merupakan salah satu daerah produsen beras yang terletak di jalur pantura.",Jawa Barat,Kota Cirebon,"Drs. H. Sunjaya Purwadi S., M.M., M.Si.","H. Tasiya Soemadi, S.E., M.M.","1.071,05 km2",2.957.257 jiwa,"2.761,08 jiwa/km2",0231,Wisata Belawa | Pasir Paniis | Banyu panas Palimanan | Cikalahang | Situ Sedong | Wanawisata Ciwaringin | Situ Patok | Taman Wisata Siwalk,Nanas | Pisang | Ubi Jalar | Ubi Kayu | Jagung | Kedelai | Tebu | Kelapa | Cengkeh,Sate Kalong | Teh Poci | Kerupuk Melarat | Mie Kocok | Docang,www.cirebonkab.go.id,"map.jpg (https://dl.airtable.com/Dyn5462HTrmtpbXR5T0z_map.jpg),bupati.jpg (https://dl.airtable.com/iqlrp43IS06mIWL7qEp9_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/i7LRnCiDR9eqgJ5MpvjL_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/HaeOXq1PQRyW7hzdx5gg_logo.jpg)"
KABUPATEN GARUT,"Kabupaten Garut, adalah sebuah Kabupaten di Provinsi Jawa Barat, Indonesia. Ibukotanya adalah Tarogong Kidul. Kabupaten ini berbatasan dengan Kabupaten Sumedang di utara, Kabupaten Tasikmalaya di timur, Samudera Hindia di selatan, serta Kabupaten Cianjur dan Kabupaten Bandung di barat.",Jawa Barat,Tarogong Kidul,"H. Rudy Gunawan, S.H., M.H.",Dr. H. Helmi Budiman,"3.065,19 km2",2.429.167 jiwa (2007),"792,5 jiwa/km2",0262,Leuweung Sancang | Pantai Cijeruk Indah | Pantai Karang Paranje | Pantai Sayang Heulang | Pantai Santolo | Taman Manalusu | Pantai Cijayana | Taman Ranca Buaya,Zeolit | Bentonit | Pasir Besi | Pozolan | Felspar | Permata/Gemstone,Dodol Garut | Angleng | Seblak Cenghar | Ladu | Rangginang,www.garutkab.go.id,"map.jpg (https://dl.airtable.com/Jbd8mvW6QlqS6fGQ4hUn_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/tppCdx5ITj27VeVQb2jl_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/SO47A0pSEqYLyKMPIGMY_logo.jpg),bupati.jpg (https://dl.airtable.com/o1gl5qITw2B5emsuZY23_bupati.jpg)"
KABUPATEN INDRAMAYU,"Kabupaten Indramayu adalah salah satu kabupaten di Provinsi Jawa Barat, Indonesia. Ibu kotanya adalah Indramayu yang merupakan pusat pemerintahan, sedangkan titik keramaian justru berada di kecamatan Jatibarang dan Haurgeulis, hal ini dikarenakan di Jatibarang terdapat pusat Pasar dan memiliki akses yang mudah seperti Jalur Pantura dan Stasiun Kereta Api, hal yang sama juga terjadi untuk Kecamatan Haurgeulis meski tak dilewati secara langsung oleh Jalur Pantura, namun Kecamatan ini dilalui oleh Jalur Kereta Api. Kabupaten ini berbatasan dengan Laut Jawa di utara, Kabupaten Cirebon di tenggara, Kabupaten Majalengka dan Kabupaten Sumedang di Selatan, serta Kabupaten Subang di barat.",Jawa Barat,Indramayu,Hj. Anna Sophana,H. Supendi,"2.000,99 km2",1.795.372 jiwa (2007),"897,24 jiwa/km2",0234,Pantai Tirtamayu | Pantai Eretan | Situ Bojongsari | Situ Bolang | Koloni Kera Banjar,Minyak dan Gas bumi | Ikan kakap | Udang putih | Udang api-api | Kepiting | Rumput laut,Pedesan Entog | Bubur Indramayu | Rumbah | Nagasari | Koci,www.indramayukab.go.id,"bupati.jpg (https://dl.airtable.com/ES9GMq23QwaadjR8ef1w_bupati.jpg),map.jpg (https://dl.airtable.com/0UHbVutaRD7Me9VSpKOD_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/FkXDRlT9OIHN7QxxgjwA_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/tFC6BK9HRwy81PJHtJfF_logo.jpg)"
KABUPATEN KARAWANG,"Kabupaten Karawang adalah sebuah kabupaten di Provinsi Jawa Barat, Indonesia. Ibukotanya adalah Karawang. Kabupaten ini berbatasan dengan Kabupaten Bekasi dan Kabupaten Bogor di barat, Laut Jawa di utara, Kabupaten Subang di timur, Kabupaten Purwakarta di tenggara, serta Kabupaten Cianjur di selatan ini memiliki luas wilayah 1.737,53 km2, dengan jumlah penduduk 2.125.234 jiwa (sensus 2010) yang berarti berkepadatan 1.223 jiwa per km2.",Jawa Barat,Kota Karawang,Dr. Cellica Nurrachdiana,-,"1.737,30 km2",2.073.356 jiwa (2007),"1.193,44 jiwa/km2",0267 dan 0264,Curug Cigentis | Curug Cipanundaan | Curug Bandung | Curug Cikalongkak | Curug Cikarapyak | Danau kalimati | Danau Cipule | Situ Kamojing | Pantai Tanjung Pakis,Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu | Kakao | Kopi | Kelapa | Cengkeh,Sorabi Hijau | Opak Ketan Rawa Gede | Ikan Gabus Bumbu Pucung | Kue Gonjing | Pepes Walahar | Soto Gempol,www.karawangkab.go.id,"map.jpg (https://dl.airtable.com/nd56cHWRDqg4ZmOrbRcD_map.jpg),logo.jpg (https://dl.airtable.com/24Sk9X9OSWKeE3oA12bT_logo.jpg),bupati.jpg (https://dl.airtable.com/OuNq4mvGReCr4XH0x6EA_bupati.jpg)"
