Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BANJARNEGARA,"Kabupaten Banjarnegara adalah sebuah kabupaten di Provinsi Jawa Tengah, Indonesia. Ibukotanya namanya juga Banjarnegara. Kabupaten Banjarnegara terletak di antara 7° 12' - 7° 31' Lintang Selatan dan 109° 29' - 109° 45'50"" Bujur Timur. Luas Wilayah Kabupaten Banjarnegara adalah 106.970,997 ha atau 3,10 % dari luas seluruh Wilayah Provinsi Jawa Tengah. Kabupaten ini berbatasan dengan Kabupaten Pekalongan dan Kabupaten Batang di Utara, Kabupaten Wonosobo di Timur, Kabupaten Kebumen di Selatan, dan Kabupaten Banyumas dan Kabupaten Purbalingga di Barat.",Jawa Tengah,Banjarnegara,"H. Sutedjo Slamet Utomo, S.H., M.Hum","Drs. H. Hadi Supeno, M.Si","1.069,71 km2",916.875 jiwa,"857,12 jiwa/km2",0286,Obyek Wisata Dataran Tinggi Dieng | Taman Rekreasi Marga Satwa Serulingmas | Arung Jeram Sungai Serayu | Bendungan Panglima Besar Jenderal Soedirman | Curug Pitu | Serayu Park | Curug Muncar | Gunung Tampomas | Gunung Lanang | Wadas Tumpang,Pertambangan marmer | Pertambangan feldspar | Pertambangan trass | Pertambangan batu lempeng | Pertambangan batu granit | Pertambanganasbes | Pertambangan pasir kuarsa | Pertambangan oker | Pertambangan zeolit | Pertambangan sirtu | Pertambangan breksi | Pertambangan andesit | Pertambangan slate | Pertambangan gas alam,Dawet ayu | Buntil | Jenang salak | Soto Krandegan | Soto Pringgading | Soto Ikan (Gumiwang) | Purwaceng,www.banjarnegarakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/lCkm1fF0SOOXXUSlC2UE_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/4IRoN36kTIK0pzYOLPRi_map.jpg),bupati.jpg (https://dl.airtable.com/Awwn5gOLQVOZqXUVWG5s_bupati.jpg),logo.jpg (https://dl.airtable.com/j4M2YidZSoitCb9022em_logo.jpg)"
KABUPATEN BANYUMAS,"Kabupaten Banyumas  adalah kabupaten di Provinsi Jawa Tengah. Ibukotanya adalah Purwokerto. Kabupaten ini berbatasan dengan Kabupaten Brebes di utara; Kabupaten Purbalingga, Kabupaten Banjarnegara, dan Kabupaten Kebumen di timur, serta Kabupaten Cilacap di sebelah selatan dan barat. Gunung Slamet, gunung tertinggi di Jawa Tengah terdapat di ujung utara wilayah kabupaten ini.",Jawa Tengah,Kota Purwokerto,Ir. H. Achmad Husein,Dr. Budhi Setiawan,"1.329,02 km2",1.578.129 jiwa (2013),"1.187,44 jiwa/km2",0281,Baturaden | Pancuran Pitu | Pancuran Telu | Gua SaraBadak | Curug Gede | Curug Ceheng | Curug Belot | Curug Cipendok | Bumi Perkemahan Kendalisada | Telaga Sunyi | Mata Air Panas Kalibacin | Wahana Wisata Lembah Combong | Bendung Gerak Serayu | Batur Agung Adventure Forest | Curug Nangga Pekuncen Ajibarang | Masjid Saka Tunggal | Museum Wayang Sendang Mas | Museum BRI Purwokerto | Museum Jenderal Soedirman | Combong Valley Paint Ball and War Games | Serayu River Voyage | Dreamland Spring Water Park | Depo Bay | Taman Rekreasi Andhang Pangrenan | Baturraden,"Pertambangan andesit | Pertambangan andesit hornblende | Pertambangan batu tempel andesit | Pertambangan diorit | Pertambangan garanodiorit | Pertambangan basalt | Pertambangan batu gamping | Pertambangan phospat | Pertambangan kaolin | Pertambangan pasir | Pertambangan trass | Pertambangan sirtu | Tanah liat | Tanah urug | Batu pasir | Oker | Kalsit | Pertambangan emas
",Soto Sokaraja | Gethuk Goreng | Tempe bongkrek | Tempe mendoan | Tempe keripik | Temlek | Jenang Jaket Mersi | Nopia/mino | Lanting | Cimplung | Tegegan | Kraca | Cenil | Lupis | Ciwel | Kepok | Badeg | Kluban,www.banyumaskab.go.id,"map.jpg (https://dl.airtable.com/45bulVRNSWWL0jUktpWa_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/vCEjcgaQyOtOC1msm8NK_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/lxSJ4SQYSb2cWDTsgqQz_bupati.jpg),logo.jpg (https://dl.airtable.com/KZpzEEpKS5GYB7AbnDq6_logo.jpg)"
KABUPATEN BATANG,"Kabupaten Batang  adalah kabupaten di Provinsi Jawa Tengah. Ibukotanya adalah Batang. Kabupaten ini berbatasan dengan Laut Jawa di utara, Kabupaten Kendal di timur, Kabupaten Banjarnegara di selatan, serta Kota Pekalongan dan Kabupaten Pekalongan di barat.",Jawa Tengah,Batang,Yoyok Riyo Sudibyo,"H. Soetadi, SH. MM","788,64 km2",706.764 jiwa (2010),"896,18 jiwa/km2",0285 (bagian barat) | 0294 (bagian timur),Agrowisata Salak Sodong | Curug Genting | Curug Gombong | Pantai Sigandu | Upacara Nyadran | Pantai Ujungnegoro | Pantai Pelabuhan,Ikan mata besar | Ikan Remang | Ikan Banmbangan/ Kakap Merah | Ikan Bawal | Udang Windu | Udang Putih | Ikan Bandeng | Ikan Lele | Jagung | Ubi Jalar | Bawang daun | Cabe | Melinjo | Nangka | Rambutan | Durian | Pisang Gebyar | Salak Sodong | Sapi Simental | Perkebunan Cengkeh | Budidaya Kelapa | Budidaya Melinjo | Budidaya Sapi Potong | Budidaya Sengon | Budidaya Jati Mas |Tanah Liat | Tanah Urug | Trass| Andesit batu | Andesit pasir | Sirtu | Pasir besi,Mie Eblek | Gethuk Mawur |,www.batangkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/EOixakatR3OKRaPcPsOM_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/uwSWNWgSCuRV7Dsk40aQ_map.jpg),logo.jpg (https://dl.airtable.com/ipjgl7GQbejUvtiGSdHg_logo.jpg),bupati.jpg (https://dl.airtable.com/hJhi7GGQWypwC7XCOX2w_bupati.jpg)"
KABUPATEN BLORA,"Kabupaten Blora adalah kabupaten di Provinsi Jawa Tengah. Ibukotanya adalah Blora, sekitar 127 km sebelah timur Semarang. Berada di bagian timur Jawa Tengah, Kabupaten Blora berbatasan langsung dengan Provinsi Jawa Timur.",Jawa Tengah,Blora,Ikhwan Sudrajat (Pjs.),Yudhi Sancoyo,"1.820,59 km2",844.490 jiwa (2006),"463,86 jiwa/km2",0296,Waduk Greneng | Goa Terawang | Waduk Tempuran | Kampoeng Bluron | Waduk Bentolo | Wisata Kereta Lokomotif Cepu | Pemandian Sayuran | Taman Rekreasi Tirtonadi | Taman Water Splash Sarbini | Gunung Manggir | Ara-Ara Kesanga | Goa Sentono |  Mendenrejo | Gunung Pencu | Blora City Park | Taman Seribu Lampu | Taman Mustika | Taman Patung Sate | Air Terjun Temajang | Kampoeng Gojekan | Desa Wisata | Sendang Banyu Biru,Batu gamping | Batu lempung | Batu pasir kuarsa | Bentonit | Phosphat | Marmer | Onix | Sirtu | Gypsum | Minyak bumi,Soto Blora | Sate ayam Blora | Sate kambing Blora | Dumbeg | Lontong tahu,www.blorakab.go.id,"map.jpg (https://dl.airtable.com/CyDWhvEIQdmmlSuDCdzA_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/a6LhvUPyRcihVn0Fwby7_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/MLsJXNZ2RTW2srCvZ9JV_bupati.jpg),logo.jpg (https://dl.airtable.com/er3rPfRGSgqt21F4jkW5_logo.jpg)"
KABUPATEN BOYOLALI,"Kabupaten Boyolali adalah sebuah kabupaten di Provinsi Jawa Tengah. Pusat administrasi berada di Kecamatan Boyolali, terletak sekitar 25 km sebelah barat Kota Surakarta. Kabupaten ini berbatasan dengan Kabupaten Semarang dan Kabupaten Grobogan di utara; Kabupaten Sragen, Kabupaten Karanganyar, Kabupaten Sukoharjo, dan Kota Surakarta (Solo) di timur; Kabupaten Klaten dan Daerah Istimewa Yogyakarta di selatan; serta Kabupaten Magelang dan Kabupaten Semarang di barat. Kabupaten ini termasuk kawasan Solo Raya.",Jawa Tengah,Boyolali,Drs. Seno Samodro,"Agus Purmanto, SH, MH","1.015,10 km2",930.531 jiwa (SP2010),"916,69 jiwa/km2",0276,Gunung Merapi | Gunung Merbabu | Umbul Tlatar | Waduk Sidorejo | Waduk Kedung Ombo | Air Terjun Kedung Kayang | Waduk Badhe | Waduk Cengklik | Umbul Tlatar | Pemandian Umbul Pengging | Candi Lawang | Candi Sari | Candi Kunthi,Sapi perah | Sayur selo | Padi | Ikan Lele | Kelapa | Kapok randu | Jambu mete | Jarak pagar | Karet | Tebu | Kapas | Tembakau asepan | Tembakau rajangan | Jarak pagar,Tempe mendoan | Telur asin |,www.boyolalikab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/jStfzKL2Thyg2GiDHnfd_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/GvrockfQEq56BwFQ5g75_map.jpg),bupati.jpg (https://dl.airtable.com/loKHpNUPSr6OKHBpCVCc_bupati.jpg),logo.jpg (https://dl.airtable.com/yXAxZ0JYSXCvMrYFPEsC_logo.jpg)"
KABUPATEN BREBES,"Kabupaten Brebes adalah salah satu Kabupaten di Provinsi Jawa Tengah, Indonesia. Luas wilayahnya 1.902,37 km², jumlah penduduknya sekitar 1.732.719 jiwa (2010). Ibukotanya ada di Kecamatan Brebes. Brebes merupakan kabupaten dengan jumlah penduduk paling banyak di Jawa Tengah, dan paling luas di Jawa Tengah ke-2 setelah Kabupaten Cilacap.",Jawa Tengah,Kota Brebes,"Hj. Idza Priyanti, A.Md., S.E.","Narjo, Sh","1.902,37km2",1.792.511 jiwa,1.066 jiwa/km2,0283 (Brebes Utara) | 0289 (Brebes Selatan),Waduk Malahayu | Waduk Penjalin | Mata Air Sungai Pemali | Pantai Randusanga | Pemandian Air Panas Cipanas Bantarkawung | Pemandian Air Panas Cipanas Kedungoleng | Cagar Alam Telaga Ranjeng | Mata Air Cibentar | Mata Air Bentarsari | Mata Air Salem | Air Terjun Waru Doyong | Mata Air Dua Suhu | Ciblon Waterboom Brebes | Agrowisata Kaligua | Agrowisata Sepoor Teboe PG Jatibarang | Kebun Durian Antap Sari | Cipanas Jalatunda,Perkebunan bawang putih | perkebunan bawang merah |,Telor asin | Kupat sate blengong |,www.brebeskab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/HgiwF3pBSd2t4DuRJDBj_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/7ne4DOoETCOoyCsUy44e_map.jpg),bupati.jpg (https://dl.airtable.com/bAgAP568T7qIgIge4Y5q_bupati.jpg),logo.jpg (https://dl.airtable.com/yczUqMCZTNEDBuaHVnIk_logo.jpg)"
KABUPATEN CILACAP,"Kabupaten Cilacap adalah salah satu kabupaten di Provinsi Jawa Tengah. Ibukotanya adalah Cilacap. Kabupaten ini berbatasan dengan Kabupaten Brebes dan Kabupaten Banyumas di utara, Kabupaten Banyumas dan Kabupaten Kebumen di timur, Samudra Hindia di selatan, serta Kabupaten Ciamis, Kota Banjar, dan Kabupaten Pangandaran (Jawa Barat) di sebelah Barat. Berbatasan langsung dengan Provinsi Jawa Barat, Cilacap merupakan daerah pertemuan budaya Jawa Banyumasan dengan budaya Sunda (Priangan Timur). Nusa Kambangan, sebuah pulau yang tertutup dan terdapat lembaga pemasyarakatan Kelas I, berada di kabupaten ini. Ada beberapa Lembaga Pemasyarakatan (LP) Kelas I yang masih aktif antara lain: LP Permisan, LP Kembangkuning, LP Batu, dan LP Besi.",Jawa Tengah,Kota Cilacap,Tatto Suwarto Pamuji,"H. Akhmad Edi Susanto, ST","2.142,59 km2",1.642.107 jiwa,"766,41 jiwa/km2",0282 | 0280,Pantai Indah Widrapayung | Pantai Rancah Babakan | Pantai Teluk Penyu | Benteng Pendem | Air Panas Cipari |,Minyak dan Gas Bumi | Batubara | Emas | Pasir Besi| Bentonit | Trass | Andesit | Gamping | Pasir Sungai | Pasir Batu | Lempung | Tanah Urug | Perkebunan Karet | Perkebunan Kakao | Tanaman Jati | Mahoni | Albasia,Tempe mendoan | Tahu berontak | Thempleng | Lanting | Tahu masak | Karedok | Gembus | Lepet | Kerupuk tenggiri | Brekecek Ikan | Cenil | Lupis | Kue mata roda | Kue putu | Kue mendut,www.cilacapkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/FivOwpSBu8XtpeCdAN9Q_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/54wp5Fv1TheIPmYKDAd8_bupati.jpg),logo.jpg (https://dl.airtable.com/y7rza6KPSa4tAXRyGkAO_logo.jpg),map.jpg (https://dl.airtable.com/Yxi3NX5TwO3GXUMLbmfr_map.jpg)"
KABUPATEN DEMAK,"Kabupaten Demak adalah salah satu kabupaten di provinsi Jawa Tengah. Ibukotanya adalah Demak. Kabupaten ini berbatasan dengan Laut Jawa di barat, Kabupaten Jepara di utara, Kabupaten Kudus di timur, Kabupaten Grobogan di tenggara, serta Kota Semarang dan Kabupaten Semarang di sebelah barat. Kabupaten Demak memiliki luas 897,43 km² dan berpenduduk 1.055.579 jiwa (2010).",Jawa Tengah,Kota Demak,"Drs. H.M. Dachirin Said, S.H., M.Si.",Drs. Harwanto,"897,43 km2",1.055.579 jiwa (SP2010),"1.176,22 jiwa/km2",0291,Wisata Bahari Morosari | Wisata Pantai Surodadi | Brown Canyon | Masjid Agung Demak | Bekas Stasiun Demak | Makam Sunan Kalijaga | Makam Raden Patah | Aneka Jaya Mall | Maharani Mall,Pertanian Belimbing Demak | Pertanian Jambu Demak | Pertanian Melon Dempet | Pertanian Cabe Keriting | Pertanian Kelengkeng Pingpong | Pertanian Kelengkeng Itoh | Pertanian Semangka | Pertanian Bawang merah | Perikanan Lele | Perikanan Ikan Bandeng | Udang,Nasi Brongkok | Bakso balungan,www.demakkab.go.id,"bupati.jpg (https://dl.airtable.com/NExZdttpSquql7bNO8gk_bupati.jpg),logo.jpg (https://dl.airtable.com/4coRZfRFR4mApsCGypWb_logo.jpg),map.jpg (https://dl.airtable.com/oBxB8SS5eZrPW8uR6q7w_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/sryeryf5TvmQlASocjME_wakil-bupati.jpg)"
KABUPATEN GROBOGAN,"Kabupaten Grobogan merupakan kabupaten terluas kedua di Jawa Tengah setelah Kabupaten Cilacap, dan berbatasan langsung dengan 9 kabupaten lain. Letak astronomis wilayah antara 110° 15' BT – 111° 25' BT dan 7° LS - 7°30’ LS, dengan jarak bentang dari utara ke selatan ± 37 km dan dari barat ke timur ± 83 km. Secara geografis, Grobogan merupakan lembah yang diapit oleh dua pegunungan kapur, yaitu Pegunungan Kendeng di bagian selatan dan Pegunungan Kapur Utara di bagian utara. Bagian tengah wilayahnya adalah dataran rendah. Dua sungai besar yang mengalir adalah Kali Serang dan Kali Lusi. Dua pegunungan tersebut merupakan hutan jati, mahoni dan campuran yang memiliki fungsi sebagai resapan air hujan disamping juga sebagai lahan pertanian meskipun dengan daya dukung tanah yang rendah.",Jawa Tengah,Purwodadi,Bambang Pudjiono,H. Icek Baskoro,"1.975,865 km2",1.413.328 jiwa (2010),"715,3 jiwa/km2",0293,Api Abadi Mrapen | Waduk Kedung Ombo | Cindelaras | Bledug Kuwu | Bledug Kesongo | Bledug Medang Kawit | Air Terjun Widuri | Air Terjun Ngayoman | Goa Urang | Goa Gajah | Goa Macan | Goa Lowo | Goa Gogor | Goa Angil-Angil | Goa Ngesong | Goa Teges | Pemandian Sangeh | Pemandian Mudal | Pemandian Segoro Gunung | Sendang Keyongan | Sendang Wangi | Sendang Coyo | Sendang Bulusan | Sendang sungapan | Bloombang Waterpark | Mulia Waterpark Klambu | Kolam Renang Jatipohon | Makam Ki Ageng Selo | Masjid KH Burham | Makam Ki Ageng Tarub | Makam Ki Ageng Getas Pendowo,Padi | Kedelai | Kacang Hijau | Mangga | Belimbing | Pisang | Tembakau | Kapas | Kelapa | Peternakan sapi potong | peternakan kambing | peternakan kerbau | batu gamping | pasir berbatu | tanah liat | gipsum | phosphat,Swike | Nasi Jagung dan Sambal Gereh | Nasi Pecel | Sayur Becek |,www.grobogan.go.id,"map.jpg (https://dl.airtable.com/21qcy7PQfimAIXfLJ7dA_map.jpg),bupati.jpg (https://dl.airtable.com/Ss86L53NS1mjY7obqoc9_bupati.jpg),logo.jpg (https://dl.airtable.com/X0FHKOZyT4CdUo10ODD9_logo.jpg),wakil-bupati.JPG (https://dl.airtable.com/y7YBtkJqRmqjvP59IHmD_wakil-bupati.JPG)"
KABUPATEN JEPARA,"Kabupaten Jepara adalah salah satu kabupaten di Provinsi Jawa Tengah. Ibukotanya adalah Jepara. Kabupaten ini berbatasan dengan Laut Jawa di barat dan utara, Kabupaten Pati dan Kabupaten Kudus di timur, serta Kabupaten Demak di selatan. Wilayah Kabupaten Jepara juga meliputi Kepulauan Karimunjawa, yang berada di Laut Jawa.",Jawa Tengah,Jepara,"K.H. Ahmad Marzuqi, S.E.",Subroto,"1.004,16 km2",1.100.000 jiwa (2008),"1.095,44 jiwa/km2",0291 | 0297 (Karimun Jawa),Karimun Jawa | Museum R.A Kartini | Pantai Kartini | Pulau Panjang | Pantai Bandengan | Air Terjun Songgolangit | Benteng Portugis | Pantai Teluk Awur | Pulau Mandalika | Pantai Ombak Mati,Perkebunan cengkih | Kopi | Kelapa | Kapuk | Kapas | Tebu | Jambu mete | Lada | Coklat | Karet | Pertambangan batu bara |,Pindang Serani | Soto Jepara | Soto Bumbu | Soto Udang | Opor Panggang | Bongko Mento | Singit | Semur Jepara | Sayur Asem Jepara | Kelan Antep | Gule Petih Jepara,www.jeparakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/rci5q2TpOy1RI9rnK19Q_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/wayr4yq7QlSyYcT9bmwO_map.jpg),logo.jpg (https://dl.airtable.com/zt6YntlfTGWMuuWWzogR_logo.jpg),bupati.jpg (https://dl.airtable.com/pKkh3liR96IKu5iYXkfa_bupati.jpg)"
