Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BANGKALAN,"Kabupaten Bangkalan adalah sebuah kabupaten di Pulau Madura, Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Bangkalan. Kabupaten ini terletak di ujung paling barat Pulau Madura; berbatasan dengan Laut Jawa di utara, Kabupaten Sampang di timur serta Selat Madura di selatan dan barat. Pelabuhan Kamal merupakan pintu gerbang Madura dari Jawa, dimana terdapat layanan kapal feri yang menghubungkan Madura dengan Surabaya (Pelabuhan Ujung). Saat ini telah beroperasi Jembatan Suramadu (Surabaya-Madura) yang merupakan jembatan terpanjang di Indonesia. Kabupaten Bangkalan merupakan salah satu wilayah yang masuk dalam kawasan metropolitan Surabaya, yaitu Gerbangkertosusila.Kabupaten Bangkalan terdiri atas 18 kecamatan yang dibagi lagi atas sejumlah 273 desa dan 8 kelurahan. Pusat pemerintahannya berada di Kecamatan Bangkalan.",Jawa Timur ,Bangkalan,"Muhammad Makmun Ibnu Fuad, S.E.",Ir. H. Mondir Rofi'i,"1.260,14","927,433 jiwa",774jiwa /km2 ,31,Bukit geger | pantai siring kemuning | pantai rongkang | pantai basmalah | pantai maneron | taman rekreasi kota | makam raja raja bangkalan | benteng ERFPRINS | mercusuar sembilangan | benteng tjaraningrat | parirtan tjaraningrat ,pertambangan | galian c kapur | phospat | tanah liat | pasir kuarsa | marmer | dolomite | pasir urug ,Topak Ladhe Bangkalan | tajin sobih bangkalan | nasi serpang bangkalan | sate madura | kaldu kokot | nasi jagung | nasi krawu | soto madura | rujak buah sumenep | kue apem ,www.bangkalankab.go.id,"map.jpg (https://dl.airtable.com/PRIRlbRTgWnTTtGhVyiV_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/LMsFuAwKRcKrchGDJPrP_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/KQWxqQ6gRoOV2wR3UV5i_bupati.jpg),logo.jpg (https://dl.airtable.com/NtX6JF2SLq7dvlQyqnjw_logo.jpg)"
KABUPATEN BANYUWANGI,"Kabupaten Banyuwangi adalah sebuah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Banyuwangi. Kabupaten ini terletak di ujung paling timur pulau Jawa, di kawasan Tapal Kuda, dan berbatasan dengan Kabupaten Situbondo di utara, Selat Bali di timur, Samudra Hindia di selatan serta Kabupaten Jember dan Kabupaten Bondowoso di barat. Kabupaten Banyuwangi merupakan kabupaten terluas di Jawa Timur sekaligus menjadi yang terluas di Pulau Jawa, dengan luas wilayahnya yang mencapai 5.782,50 km2, atau lebih luas dari Pulau Bali (5.636,66 km2). Di pesisir Kabupaten Banyuwangi, terdapat Pelabuhan Ketapang, yang merupakan perhubungan utama antara pulau Jawa dengan pulau Bali (Pelabuhan Gilimanuk).",Jawa Timur ,Banyuwangi,"Drs. Zarkasi, M.Si",,"5.782,50 km2",2.100.000 jiwa,"363,16 jiwa/km2",333,Pantai kawah ijen | pantai boom | pantai plegkung | pantai rajegwesi | pulau merah | watu dodol | teluk hijau | pantai lampon | pantai blimbingsari | rawa  bayu | tabuhan island | air terjun lider | taman blambangan | taman tirtawangi | taman jawatan ,Di bidang pertambangan Bahan galian strategis golongan A | bahan galian vital golongan B | emas | perak | tembaga | belerang | batu kapur | tanah lempung | pasir batu ( sirtu ) | andesit ( batu gunung ) | batu gamping  batu galian lempung | batuan beku andesit |,Sego tempong | Rujak soto | Ayam pedes | sego cawuk | pecel pitik  | pecel rawon | sop kesrut | kupat lodoh | lontong campur | botok tawon | sayur dan sambel lucu | ,http://www.banyuwangikab.go.id/,"map.jpg (https://dl.airtable.com/CgssDv4STCq4GM1MEI6r_map.jpg),bupati.jpg (https://dl.airtable.com/yC7f7ZPgQCWjmsI7yAaK_bupati.jpg),logo.jpg (https://dl.airtable.com/Xyo25TFeT3WJeYSgyasG_logo.jpg)"
KABUPATEN BLITAR,"Blitar merupakan salah satu daerah di wilayah Propinsi Jawa Timur yang secara geografis terletak di sisi selatan Jawa Timur dengan ketinggian 167 m di atas permukaan laut, pada koordinat 111° 40’ – 112°10’ BT dan 7°58’ – 8°9’51” LS. Wilayah yang berjarak 160 Km arah tenggara dari Ibukota Propinsi Jawa Timur ini memiliki suhu udara sejuk, rata-rata 24° C- 34° C.",Jawa Timur ,Kanigoro,"H. Herry Noegroho, S.E, M.H.","Drs. H. Rijanto, M.M.","1,588.79 km2",1.116.639,700/km2 ,342,Pantai Tambakrejo | pantai pasetran gondo mayit | pantai jolosutro | pantai serang | Pantai peh pulo | pantai pangi | arung jeram soko | candi penataran | candi sawentar | candi plumbangan | goa embultuk | ,Tanah regosol di utara sungai brantas yang subur | kenampakan alam yang berpotensi bagi sektor kepariwisataan.,Nasi pecel blitar | soto mbok ireng | es blitar | es pleret blitar | nasi ampok | peyek uceng | rujak cingur | wajik kletik | geti | ,http://www.blitarkab.go.id,"bupati.JPG (https://dl.airtable.com/OyViv0EERpGWGLS8TNSf_bupati.JPG),wakil-bupati.jpg (https://dl.airtable.com/Sh1JUSHVSH6YJYkhQepJ_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/qkE3LtvQvGqYTQExt4nR_map.jpg),logo.jpg (https://dl.airtable.com/Pxf4Jw25TbCjTQUudIUm_logo.jpg)"
KABUPATEN BOJONEGORO,"Kabupaten Bojonegoro adalah sebuah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Bojonegoro. Kabupaten ini berbatasan dengan Kabupaten Tuban di utara, Kabupaten Lamongan di timur, Kabupaten Nganjuk, Kabupaten Madiun, dan Kabupaten Ngawi di selatan, serta Kabupaten Blora (Jawa Tengah) di barat. Bagian barat Bojonegoro (perbatasan dengan Jawa Tengah) merupakan bagian dari Blok Cepu, salah satu sumber deposit minyak bumi terbesar di Indonesia.",Jawa Timur ,Kota bojonegoro,"Drs. H. Suyoto, M.Si.","Drs. H. Setyo Hartono, M.M.","2.384,02 km2",1.472.805 jiwa,"617,78 jiwa/km2",353,Kebun blimbing ngringinrejo | bendungan gerak | waduk pacal | wisata kayangan api | wisata wana tirta | Masjid Al Birru Pertiwi | Museum Rajekwesi | Klenteng Hok Swie Bio | Makam Wali Kidangan |  Makam Buyut Dalem | Makam Mbah Malang Negoro | Swalayan Sultan Ratu Keraton | ,tambang minyak bumi dan gas alam | ,Tempe penyet | Kue putu | kripik tempe | serabih | getok | welut bakar | weder kakli | nasi flambe | sego mawut | wedang tape | ,http://www.blitarkab.go.id,"wakil-bupati.JPG (https://dl.airtable.com/62LqUnPxTvCJfUvrMxWo_wakil-bupati.JPG),bupati.JPG (https://dl.airtable.com/wTx6dJYiS4yMXBKyo5O6_bupati.JPG),logo.jpg (https://dl.airtable.com/ZDqGua2WSiszcKwTzZ8x_logo.jpg),map.jpg (https://dl.airtable.com/Vl1Qkk04TsZRheDrCIAU_map.jpg)"
KABUPATEN BONDOWOSO,"Kabupaten Bondowoso, adalah sebuah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Bondowoso. Ibu kota kabupaten Bondowoso berada di persimpangan jalur dari Besuki dan Situbondo menuju Jember. Kabupaten Bondowoso merupakan salah satu kabupaten yang tidak memiliki wilayah laut (terkurung daratan) dan terletak di wilayah Tapal Kuda, Jawa Timur.",Jawa Timur ,Bondowoso ,Drs. H. Amin Said Husni,Drs. K. H. Salwa Arifin,"1.560,10 km2",736.772 jiwa,"472,26 jiwa/km2",332,Air Terjun Tancak Kembar | Air | Terjun Belawan | Air Terjun Polo Agung | Agrowisata Kopi Arabica | Pemandangan Wringin Arak-arak | Situs Purbakala Megalitikum | Kawah Ijen | Gunung Raung | Bosamba Rafting | Pemandian Tasnan,Pertanian dan perkebunan sayur | buah | kopi | batu alam | batu piring | andesit | paras | balsato | alur | ,Tape bondowoso | nasi bondowoso | nasi mamong | tape bakar | kripik singkong tape | tahu tamanan | ,http://www.bondowosokab.go.id,"bupati.JPG (https://dl.airtable.com/YocMAjhSmuLsW6Mi0y0x_bupati.JPG),wakil-bupati.jpg (https://dl.airtable.com/dEob7aSNRD6C2QvYFq8P_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/pJsmW7DT72CpedUhBksL_map.jpg),logo.jpg (https://dl.airtable.com/cM7piFrTbyqiPSQF3PCX_logo.jpg)"
KABUPATEN GRESIK,"Kabupaten Gresik  adalah sebuah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Gresik. Kabupaten Gresik memiliki luas 1.191,25 km². Wilayah Kabupaten Gresik juga mencakup Pulau Bawean, yang berada 150 km lepas pantai Laut Jawa. Kabupaten Gresik berbatasan dengan Kota Surabaya dan Selat Madura di sebelah timur, Kabupaten Lamongan di sebelah barat, Laut Jawa di sebelah utara, serta Kabupaten Sidoarjo dan Mojokerto di sebelah selatan. Gresik dikenal sebagai kota tempat berdirinya pabrik semen pertama dan perusahaan semen terbesar di Indonesia, yaitu Semen Gresik. Bersama dengan Sidoarjo, Gresik merupakan salah satu penyangga utama Kota Surabaya, dan termasuk dalam kawasan Gerbangkertosusila.",Jawa Timur ,Gresik ,"Dr. Ir. H. Sambari Halim Radianto, S.T., M.Si.","Drs. H. Moh. Qosim, M.Si.","1.191,25 km2",1.307.995 jiwa,1.098 jiwa/km2,31,Pulau bawen | pantai dalegan | bukit jamur | makam maulana malik ibrahim | makam sunan giri | makam sunan prapen | makam fatimah binti maimun | makam kanjeng sepuh | ,Batu kapur | minyak bumi | kayu | ikan | ikan tambak | sarang burung walet | ,Nasi krawu | jubug khas gresik | sego rumo | otak otak bandeng | bonggolan | pudak | krupuk goreng wedi | kothokan ,www.gresikkab.go.id,"bupati.jpg (https://dl.airtable.com/GEN2IuXbT6qXnugUhhqn_bupati.jpg),map.jpg (https://dl.airtable.com/hkSTTNffSf2bgvNIaWPu_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/2axFM9yLT8ehqOwQRYZ3_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/AtyhBfsTGS7FS0PH1P3v_logo.jpg)"
KABUPATEN JEMBER,"Kabupaten Jember adalah kabupaten di Provinsi Jawa Timur, Indonesia yang beribukota di Jember. Kabupaten ini berbatasan dengan Kabupaten Probolinggo dan Kabupaten Bondowoso di utara, Kabupaten Banyuwangi di timur, Samudera Hindia di selatan, dan Kabupaten Lumajang di barat. Kabupaten Jember terdiri dari 31 kecamatan. Kabupaten Jember terletak di wilayah Tapal Kuda, Jawa Timur. Jember dahulu merupakan kota administratif, namun sejak tahun 2001 istilah kota administratif dihapus, sehingga Kota Administratif Jember kembali menjadi bagian dari Kabupaten Jember. Jember merupakan pusat regional di kawasan timur Tapal Kuda. Hari jadi Kabupaten Jember diperingati setiap tanggal 1 Januari.",Jawa Timur ,Jember ,"Ir. H . MZA Djalal, M.Si.","Kusen Andalas, S.I.P","3.293,34 km2","2,332,726 jiwa ",2.179.829 jiwa/km2,"0331 , 0336",Pantai puger | pantai bandealit | pantai pasir putih malikan | Pantai Watu Ulo Jember | Tiara Waterpark Jember | Taman Botani Jember | Pemandian Kebon Agung Jember | Pemandian Patemon Jember,Pasir besi | tambang emas | mangaan | pertanian | tanaman palawija | padi | jagung | perkebunan tembakau | kopi | coklat ,pece gudeg khas jember | pecel pincuk garahan | suwar suwir | prol tape khas jember | pia tape khas jember | es krim domino | jenang waluh ,www.jemberkab.go.id,"bupati.jpeg (https://dl.airtable.com/XpVj9iuiRqiKUYqKgoTW_bupati.jpeg),wakil-bupati.jpg (https://dl.airtable.com/ZVbgJTd6SJKROnZa3A8s_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/jmorzRJiTAqiBpJHLkqQ_map.jpg),logo.jpg (https://dl.airtable.com/wjusIHIKTrSJ7lFn4EfP_logo.jpg)"
KABUPATEN JOMBANG,"Kabupaten Jombang adalah sebuah kabupaten yang terletak di bagian tengah Provinsi Jawa Timur. Luas wilayahnya 1.159,50 km²[2], dan jumlah penduduknya 1.201.557 jiwa (2010), terdiri dari 597.219 laki-laki, dan 604.338 perempuan. Pusat pemerintahan Kabupaten Jombang terletak di tengah-tengah wilayah kabupaten, memiliki ketinggian 44 meter di atas permukaan laut, dan berjarak 79 km (1,5 jam perjalanan) dari barat daya Surabaya, ibu kota Provinsi Jawa Timur. Kabupaten Jombang memiliki posisi yang sangat strategis, karena berada di persimpangan jalur lintas utara, dan selatan Pulau Jawa (Surabaya-Madiun-Yogyakarta), jalur Surabaya-Tulungagung, serta jalur Malang-Tuban.Jombang juga dikenal dengan sebutan Kota Santri, karena banyaknya sekolah pendidikan Islam (pondok pesantren) di wilayahnya.[4] Bahkan ada pameo yang mengatakan Jombang adalah pusat pondok pesantren di tanah Jawa karena hampir seluruh pendiri pesantren di Jawa pasti pernah berguru di Jombang. Di antara pondok pesantren yang terkenal adalah Tebuireng, Denanyar, Tambak Beras, Pesantren Attahdzib (PA), dan Darul Ulum (Rejoso).",Jawa Timur ,Jombang ,Dr. Ec. H. Nyono Suharli Wihandoko,"Hj. Mundjidah Wahab, B.A.","1.159,50 km2",1.201.557 jiwa ,"1.036,27 jiwa/km2",321,Kampung durian | Goa sriti | air terjun tretes | taman tirta keplaksari | sendang made | candi rimbi | kenteng hon sang kiong | pondok pesantren | pengajian padag mbulan | klenteng hong san kiong | gereja mojowarno ,Tanaman perkebunan | sayur mayur | buah buahan | durian bido | cengkeh | kopi | perkembangan tanah sawah dan kering | padi | jagung | ubi jalar | ubi kayu | kacang tanah | kacang hijau | kedelai | buah buahan | ,Ketan merdeka | ayam panggang urap | sop buntut bakar | nasi kikil | tom yam | pecel pincuk | es degan | pecel rengkek | sego sadukan | onde onde kacang merah ,www.jombangkab.go.id,"bupati.jpg (https://dl.airtable.com/REbiubLqSweproA8QYgR_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/DAN2XXUvQ86qZgS6AiSv_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/4yUXKNr2QNu5S21Nvy3Q_map.jpg),logo.jpg (https://dl.airtable.com/8qbW3T31RUOKti0XIpxO_logo.jpg)"
KABUPATEN KEDIRI,"Kabupaten Kediri adalah kabupaten di Provinsi Jawa Timur, Indonesia. Pusat pemerintahan berada di Kediri meskipun pemindahan pusat pemerintahan ke Pare telah lama direncanakan dan bahkan sekarang dibatalkan[2]. Akhirnya pada saat ini ibu kota Kabupaten Kediri secara de jure berada di Kecamatan Ngasem. Kabupaten ini berbatasan dengan Kabupaten Jombang di utara, Kabupaten Malang di timur, Kabupaten Blitar dan Kabupaten Tulungagung di selatan, Kabupaten Madiun dan Kabupaten Ponorogo di barat, serta Kabupaten Nganjuk di barat dan utara.",Jawa Timur ,Ngasem,dr. Hj. Haryanti Sutrisno,Drs. H. Masykuri MM,"963,21 km2",1.475.000 jiwa,"1.531,34 jiwa/km2",354,Gunung kelud | monumen simpang kediri | air terjun dolo kediri| gumul paradise island | sumber ubalan kediri | air terjun irenggolo | goa selomangleng | Petilasan Sri Aji Jayabaya | candi tegowangi | candi surowono | arca totok kerot ,potensi pertanian | padi | jagung | ubi kau | ubi jalar | kacang tanah | kacang kedelai | sayur sayuran | buah | perkebunan lada | cengkeh | kopi robusta | tebu | jambu | mete | kenanga | kakao | pembenihan ikan ,Soto khas kediri | sate bekicot khas kediri | tahu takwa khas kediri | nasi pecel tumpang khas kediri | sate emprit khas kediri | tahu poo kediri | nasi pecel tumpang keiri | gethuk pisang kediri ,www.kedirikab.go.id,"map.jpg (https://dl.airtable.com/jMR2L4gTFujAg3ywqSli_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/LmL3wTPdStGSMa7fbN6G_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/VI56LP2uRmqnu6epnczZ_bupati.jpg),logo.jpg (https://dl.airtable.com/KhKKvxVWTzMM2XEMycsG_logo.jpg)"
KABUPATEN LAMONGAN,"Kabupaten Lamongan adalah sebuah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Lamongan. Kabupaten ini berbatasan dengan Laut Jawa di utara, Kabupaten Gresik di timur, Kabupaten Mojokerto dan Kabupaten Jombang di selatan, serta Kabupaten Bojonegoro dan Kabupaten Tuban di barat. Pusat pemerintahan Kabupaten Lamongan terletak 50 km sebelah barat Kota Surabaya, ibu kota Provinsi Jawa Timur. Kabupaten Lamongan merupakan salah satu wilayah yang masuk dalam kawasan metropolitan Surabaya, yaitu Gerbangkertosusila.",Jawa Timur ,Lamongan,"H. Fadeli, S.H., M.M.",Kartika Hidayati,"1.812,80 km2",1.365.402 jiwa,"753,2 jiwa/km2",322,Waduk gondang | waduk prijetan | wisata bahari lamongan | gua maharani zoo | pemandian air panas brumbum | mesuem sunan drajat | monumen van der wijck | makam sunan drajat | makam sunan sendang duwur | makam dewi sekardadu ,,soto lamongan | nasi boranan lamongan | tahu campur lamongan | wingko babat | bandeng colo lamongan | es dawet siwalan | asem bandeng cak takim | ,www.lamongankab.go.id,"map.jpg (https://dl.airtable.com/C2zsRbLTGGPreUW9dmNW_map.jpg),bupati.jpg (https://dl.airtable.com/0liq6XZoTlqDrpA3dmPm_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/7RnmhI2qTsu7riIDV79J_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/X8XpFM0UTYi5jCTaN0Pi_logo.jpg)"
