Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BENGKAYANG,"Kabupaten Bengkayang  adalah salah satu kabupaten di provinsi Kalimantan Barat, Indonesia. Kantor Bupati terletak di Jalan Guna Baru Trans Rangkang, Bengkayang, 79282. Sebelumnya merupakan pemekaran dari Kabupaten Sambas yang karena adanya Undang-undang Otonomi Daerah dimekarkan menjadi 3 daerah otonom yang terpisah, yaitu Kabupaten Sambas, Kabupaten Bengkayang dan Kota Singkawang. Terletak di bagian utara Kalimantan Barat, Kabupaten ini berbatasan langsung dengan Sarawak, Malaysia.",Kalimantan Barat ,Bengkayang,"Suryadman Gidot, S.Pd","Agustinus Naon, S.Sos","5.396,30 km2",214.785 jiwa ,"39,8 jiwa/km2",562,Air terjun merasap | air terjun berawan | air panas | air terjun seraung | danau taipi | riam pelayo | riam marum | riam sangadum | riam bangaram | riam baro | riam pain't batah ,Jagung | kedelai | nanas | pisang | ubi jalar | ubi kayu | kelapa sawit | kakao | karet  kopi | kelapa | lada ,Pekasam ikan | lempok dodol durian | kalamange | ,http://www.bengkayangkab.go.id/,"map.png (https://dl.airtable.com/1t6U5spETUSoEiHkqmys_map.png),wakil-bupati.jpg (https://dl.airtable.com/pPQE789RhqxI0Pc3hfSA_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/ckiIrACqQ6m3KKRwr2Cq_bupati.jpg),logo.jpg (https://dl.airtable.com/gWR4sP4QjCb1jTUCjblL_logo.jpg)"
KABUPATEN KAPUAS HULU,"Kabupaten Kapuas Hulu adalah salah satu Daerah Tingkat II di provinsi Kalimantan Barat. Ibu kota kabupaten ini terletak di Putussibau yang dapat ditempuh lewat transportasi sungai Kapuas sejauh 846 km, lewat jalan darat sejauh 814 km dan lewat udara ditempuh dengan pesawat berbadan kecil dari Pontianak melalui Bandar Udara Pangsuma. Memiliki luas wilayah 29.842 km² dan berpenduduk 222.160 Hasil Sensus Penduduk Tahun 2010.",Kalimantan Barat ,Putussibau,"Marius Marcellus TJ, SH, MM",,29.842 km²,222.160 jiwa (2010),6 jiwa/km2,567,Taman nasional danau sentarum | taman nasional betung kerihun | danau empangau | sungai ikan | danau budak | mupa kencana | medang pulang | goa beluang | pusaka tunggal | bukit ibis | ,,Kerupuk basah | temet | ,http://www.kapuashulukab.go.id,"map.jpg (https://dl.airtable.com/X06uOn1BTwKRkLbipK7T_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/YCckpcUXQOSg4eyN62qY_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/s9aILkxASoq3bgZV3mD9_bupati.jpg),logo.jpg (https://dl.airtable.com/dkltUGiRtasK0F8ybfeZ_logo.jpg)"
KABUPATEN KAYONG UTARA,"Kabupaten Kayong Utara adalah sebuah kabupaten di provinsi Kalimantan Barat, Indonesia. Ibukotanya adalah Sukadana. Kabupaten ini dibentuk berdasarkan Undang-undang Nomor 6 Tahun 2007 pada tanggal 2 Januari 2007.Kabupaten Kayong Utara adalah 1 dari 16 usulan pemekaran kabupaten/kota yang disetujui oleh Dewan Perwakilan Rakyat pada tanggal 8 Desember 2006.",Kalimantan Barat ,Kota Sukadana,H. Hildi Hamid,idrus,"4.568,26 km2",95.594 jiwa (2010),"20,93 jiwa/km2",535,Pantai pulau datok | Kota sukadana | pulau datok | air terjun lubok baji | ,Perikanan | sapi | kambing | babi | kerbau | ayam buras | kelapa sawit | ,Kerupuk amplang | sate sapi melayu | tengiri ayam pedas terung asam rimbang | pecel bihun pontianak | acar kuning pontianak | rujak ebi | ,http://www.kayongutarakab.go.id,"map.jpg (https://dl.airtable.com/0ERsZAFzSFqLX5oJW6fn_map.jpg),bupati.png (https://dl.airtable.com/X6QjX4kJR3mJeJMNQCbc_bupati.png),wakil-bupati.jpg (https://dl.airtable.com/WQ1HeQ0ySXUmVFusUVIo_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/vpZhYtkTLi3hSLzKESuS_logo.jpg)"
KABUPATEN KETAPANG,"Kabupaten Ketapang adalah salah satu Daerah Tingkat II di provinsi Kalimantan Barat. Ibu kota kabupaten ini terletak di Kota Ketapang, sebuah kota yang terletak di tepi Sungai Pawan. Kabupaten ini memiliki luas wilayah 31.240,74 km² dan berpenduduk sebesar 427.460 Jiwa (2010).",Kalimantan Barat ,Ketapang,"Drs. Henrikus, MSi.",Boyman Harun,"31.240,74 km2",427.460 jiwa (2004),"13,68 jiwa/km2",534,Pantai sungai Jawi | pantai tanjung batu | pantai pagar mentimun | pantai air mata permai | pantai tanjung belandang | tugu ale ale | tugu tolak bala | museum keraton | kelenteng tua pek kong ,Hutan rawa gambut | hutan bakau | hutan riparian | kelapa sawit | karet | tebu | kopi | kelapa | ,Ale ale | asam pedas terong asam | asam pedas tempoyak | ketupat colet | sambal ale ale | serundeng ale ale ,http://www.ketapangkab.go.id/,"bupati.jpg (https://dl.airtable.com/E03eGOlPQKCybsq8UxOw_bupati.jpg),map.jpg (https://dl.airtable.com/DIP3mRpcQLyKvsrA9yvV_map.jpg),logo.jpg (https://dl.airtable.com/X0oigaAdSGe7PmlODIph_logo.jpg)"
KABUPATEN KUBU RAYA,"Kabupaten Kubu Raya adalah kabupaten di Provinsi Kalimantan Barat. Kabupaten ini merupakan pemekaran dari Kabupaten Mempawah. Sudah lima tahun usia Kabupaten Kubu Raya yang dibentuk berdasarkan Undang-Undang Nomor 35 Tahun 2007 dan secara definitif sudah tiga tahun lebih Bupati H. Muda Mahendrawan, SH bersama dengan Wakil Bupati DR. Drs. Andreas Muhrotien, M.Si memimpin penyelenggaraan pemerintahan di Kabupaten Kubu Raya sejak dilantik oleh Gubernur Kalimantan Barat pada tanggal 17 Februari 2009 lalu di Kantor Bupati Kubu Raya. Dalam kurun waktu tersebut, sudah banyak prestasi yang dicapai.",Kalimantan Barat ,Sungai Raya,"H. Rusman H.M Ali, SH","Drs. Hermanus, M.Si","6.985,20 km2",500.970 jiwa (2010), ,"71,72 jiwa/km2",561,Batu gajah | selat teluk air | dermaga batu ampar | hutan mangrove | pulau bidara | air terjun bidang bahar | gunung wangkang | pulau gelanggang | ,Tanaman jagung | ubi jalar | ubi kayu | kelapa sawit | kakao | kopi | kelapa | cengkeh | lada | ,Pisang sale | dodol aloevera | teh aloevera | kerupuk aloevera | lempok durian | stik keladi | amplang | sotong pangkong | kerupuk basah | ,"bupati.jpg (https://dl.airtable.com/yvUSFJUwQSeVGMNKxgeQ_bupati.jpg),map.jpg (https://dl.airtable.com/qsZyoNIRRIiBAkhBIrNA_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/uvirGcGOSH2JnrKnLOpK_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/r9TI8rblRTmkLxvHBI1A_logo.jpg)"
KABUPATEN LANDAK,"Kabupaten Landak adalah salah satu Daerah Tingkat II di provinsi Kalimantan Barat yang terbentuk dari hasil pemekaran Kabupaten Mempawah tahun 1999. Ibu kota kabupaten ini terletak di Ngabang. Memiliki luas wilayah 9.909,10 km² dan berpenduduk sebesar 282.026 jiwa. Landak terbagi menjadi 10 kecamatan dengan 174 desa dan 6 desa diantaranya termasuk desa tertinggal.Kabupaten Landak adalah salah satu kabupaten yang boleh dikatakan maju dari segi pembangunan, pendidikan dan perekonomian serta keamanan. ",Kalimantan Barat ,Ngabang,"Drs. Adrianus Asia Sidot, M.Si","Herculanus Heriadi S,E",9.909 km2,282.026 jiwa,"28,46 jiwa/km2",563,Rombo katio | riapm solakng | gunung sehaq | gunung keong | air terjun manganggar | rumah panjanf | rumah radakng |,Jagung | kedelai | nanas | padi | pisang | ubi jalar | ubi kayu | kelapa sawit | kakao | karet | kelapa | lada ,Poe | lemang | rotikap | cucur | dange | uma mototn | parikng ,http://www.landakkab.go.id/,"map.jpg (https://dl.airtable.com/hskGQlxTSrGi01vNpAn0_map.jpg),bupati.JPG (https://dl.airtable.com/Wdhd1VeaTSmpqKCVc1Y1_bupati.JPG),wakil-bupati.jpg (https://dl.airtable.com/riqAPCkTSRmYHxvHcvMV_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/KboGqTBNQiW9O3DHkykI_logo.jpg)"
KABUPATEN MELAWI,"Kabupaten Melawi adalah sebuah kabupaten di provinsi Kalimantan Barat. Kabupaten Melawi memiliki tiga sungai membentang di wilayah tersebut di antaranya, yaitu Sungai Kayan, Sungai Melawi dan Sungai Pinoh. Dahulu dikenal sebagai daerah Melawei (alias Laway, Melahoei., Pinoe). Daerah aliran sungai Pinoh merupakan termasuk wilayah Kerajaan Kotawaringin Kontrak 1756, Sultan Tamjidullah I dari Banjarmasin dengan VOC-Belanda mendaftarkan Melawai (alias Melawi) dalam wilayah pengaruh Kesultanan Banjarmasin. Tanggal 1 Januari 1817 Raja Banjar Sultan Sulaiman menyerahkan Sintang dan Melawi (disebut dengan nama Lawai) kepada Hindia Belanda.Tanggal 4 Mei 1826, Sultan Adam dari Banjarmasin menyerahkan Lawai (alias Melawi) kepada Hindia Belanda.",Kalimantan Barat ,Nanga Pinoh,"H. Firman Muntaco SH ,MH","Drs. Erik Suseno Martio.SH,MM","10.640,80 km2",178.645 jiwa (2010),"16,79 jiwa/km2",568,Batu manok | Batang kayu | pengayuh | tongkat awan | riam dara nimpai | batu dara tanggoi | telapak kaki diatas batu | patung batu manusia | gunung kerapau | batu kapal ,Perikanan | ikan mas | ikan nila | jelawat | patin | ,Tempoyak | lempok | ,http://www.melawikab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/odImsQMRs6fV2G46LQZz_wakil-bupati.jpg),bupati1.jpg (https://dl.airtable.com/DtVI8sMkTyOi1PYGtgvw_bupati1.jpg),map.jpg (https://dl.airtable.com/css4HvvcSFKJ6Jc9vofl_map.jpg),logo.jpg (https://dl.airtable.com/0DxkT0UkSkCekTSk78U8_logo.jpg)"
KABUPATEN MEMPAWAH,"Kabupaten Mempawah (sebelumnya bernama Kabupaten Pontianak) adalah salah satu Daerah Tingkat II di provinsi Kalimantan Barat. Ibu kota kabupaten ini terletak di Kota Mempawah. Kabupaten ini memiliki luas wilayah 1.276,90 km² dan berpenduduk sebesar kurang lebih 234.021 jiwa",Kalimantan Barat ,Kota Mempawah,"Drs. H. Ria Norsan, MM, MH",,"2.797,88 km2 ","298,383 jiwa (2014)",,561,Sungai mempawah | pantai kijing | Pantai pasir panjang | palm beach | pantai batu payung | kura kura beach | pantai teluk mejantu | pantai tanjung batu ,,,http://www.mempawahkab.go.id/,"bupati.jpg (https://dl.airtable.com/yq7wuWVkQ3qldrlo7NG8_bupati.jpg),map.jpg (https://dl.airtable.com/Zczj7qnSuekoN37Oq5ML_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/mIH8unc0TGS4B6UjjI29_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/Bn2l7HQ9WCR5x7c9QWbA_logo.jpg)"
KABUPATEN SAMBAS,"Kabupaten Sambas adalah salah satu kabupaten di provinsi Kalimantan Barat. Kabupaten Sambas memiliki luas wilayah 6.395,70 km² atau 639.570 ha (4,36% dari luas wilayah Provinsi Kalimantan Barat), merupakan wilayah Kabupaten yang terletak pada bagian pantai barat paling utara dari wilayah provinsi Kalimantan Barat. Panjang pantai ± 128,5 km dan panjang perbatasan negara ± 97 km",Kalimantan Barat ,Kota Sambas ,"dr. Hj. Juliarti Djuhardi Alwi, M.Ph.","Dr. Pabali Musa, M.Ag.","6.395,70 km2",501.149 jiwa (2011),"78,36 jiwa/km2",562,Tanjung Batu | Danau Sebedang | Pantai jawang | pantai temanjung | air terjun riam caggat | gua alam santok | tanjung dato | pantai tanjung kemuning | pantai selimpai | pantai bukit raya putri serai,Gula tebu | kayu belian | pasir uranium | ikan | lada | kopra | kacang kedelai | ikan bawal ,Choi pan | kwetiau goreng | pie susu tionghoa | sambal goreng hati | hekeng | sup ikan asam pedas | gulai asam pedas | ikan asam pedas | ikan asam pedas terong asam | chai kwe | acar kuning | ,http://www.sambas.go.id,"map.jpg (https://dl.airtable.com/yxysD8GwQ52VlYc5ZllZ_map.jpg),bupati.jpg (https://dl.airtable.com/owrEbYOT6L0G5oBRjqgA_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/CQdQUgMsQiQWPANWhY6w_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/l4G914ArQwmhgDW9meWH_logo.jpg)"
KABUPATEN SANGGAU,"Kabupaten Sanggau adalah salah satu Daerah Tingkat II di provinsi Kalimantan Barat. Kabupaten Sanggau merupakan salah satu daerah yang terletak di tengah-tengah dan berada di bagian utara provinsi Kalimantan Barat dengan luas daerah 12.857,70 km² dengan kepadatan 29 jiwa per km². Dilihat dari letak geografisnya kabupaten sanggau terletak di antara 1° 10"" Lintang Utara dan 0° 35"" Lintang Selatan serta di antara 109° 45"", 111° 11"" Bujur Timur. Daerah ini merupakan tempat kelahiran Gubernur Kalimantan Barat saat ini, Cornelis M.H.",Kalimantan Barat ,Sanggau,"Paolus Hadi, S.Ip",Dr.Yohanes Ontot M.si,"12.857,70 km2","422,448 jiwa (2014)","0,03 jiwa/km2",564,Pancur aji | arung jeram | sipatn lotup | gunung tiong kandang | ,Perikanan | Batu granit | ,Sungkui | merke | tempoyak | keripik singkong | lempok durian | ,http://www.sanggau.go.id/,"map.jpg (https://dl.airtable.com/I2ax5hQnQMWuZRBdEAvS_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/QUuu1jYRSmoKkjFfvGsf_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/q1ype8yoQam0dIAcmLl7_bupati.jpg),logo.jpg (https://dl.airtable.com/ze9ZG9V5Ro2s3EQ9IhHn_logo.jpg)"
