Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BALANGAN,"Kabupaten Balangan merupakan kabupaten pemekaran dari Kabupaten Hulu Sungai Utara yang ditetapkan berdasarkan Undang-undang Nomor 2 Tahun 2003 tanggal 25 Februari 2003 tentang Pembentukan Kabupaten Tanah Bumbu dan Kabupaten Balangan di Provinsi Kalimantan Selatan. Berdasarkan undang-undang tersebut, Menteri Dalam Negeri Hari Sabarno meresmikan Kabupaten Balangan pada tanggal 8 April 2003 yang kemudian menjadi hari jadi yang dirayakan setiap tahunnya.",Kalimantan Selatan ,Parigin ,"Ir.H. Sefek Effendie, ME","Drs. H. Ansharuddin, M.Si.","1.819,75 km2",112.430 jiwa (2010,"61,78 jiwa/km2",0526,Gunung batu sumsum | goa hantanung | batuh bahinu | makam datuk kandang haji | benteng tundakan | air terjun manyandar | goa berangin gunung belawan | ,Padi | kacang | kedelai | kacang tanah | kacang hijau | ubi kayu | ubi jalar | langsat | ikan patin | nila | mas | sapi | kambing | ayam | kebun karet | kebun kelapa sawit | ,Kalalapon | bingka kentang | bolu gulung | ketupat kandangan | apam barabai ,http://www.balangankab.go.id,"wakil-bupati.JPG (https://dl.airtable.com/7Fa6pXLTGixN47CHQaoL_wakil-bupati.JPG),map.jpg (https://dl.airtable.com/Vfxgx2OeS2y459cKQlNf_map.jpg),bupati.png (https://dl.airtable.com/DThT43nYRa2YVLWvhaWB_bupati.png),logo.jpg (https://dl.airtable.com/cnpiK152Qzakbk95S62V_logo.jpg)"
KABUPATEN BANJAR,"Kabupaten Banjar adalah kabupaten di Kalimantan Selatan, Indonesia. Ibu kota kabupaten ini terletak di Martapura. Kabupaten ini memiliki luas wilayah ± 4.688 km² dan berpenduduk sebanyak 506.204 jiwa (hasil Sensus Penduduk Indonesia 2010). Kabupaten Banjar termasuk dalam calon Wilayah Metropolitan Banjar Bakula",Kalimantan Selatan ,Martapura,Pangeran H. Khairul Saleh,Fauzan Saleh,4.688 km²,506.204 jiwa (2010),107jiwa/km2,0511,Panorama Puncak matang keladan | sungai kembang aranio | paronama bukit batas | air terjun panayar | pulau pinus 2 | waduk riam kanan ,Kayu | intan | batu bara | rotan | ,Lontong Banjar | Soto banjar | karih kambing | itik panggang | laksa | serabi lupis | using using kangkung | kembang tiragon barajuk |,http://www.banjarkab.go.id/,"bupati.jpg (https://dl.airtable.com/uA9RZYnaS1FUc55kiKFC_bupati.jpg),wakil-bupati.JPG (https://dl.airtable.com/OcVbvDkRQR2chb4rw5hz_wakil-bupati.JPG),map.jpg (https://dl.airtable.com/64xTXM2XSGKMG9tQ6Q8k_map.jpg),logo.jpg (https://dl.airtable.com/odnxEsbROUycPJLNPAAQ_logo.jpg)"
KABUPATEN BARITO KUALA,"Kabupaten Barito Kuala adalah salah satu Pemerintah Kabupaten di provinsi Kalimantan Selatan, Indonesia. Ibu kota kabupaten ini terletak di Marabahan. Kabupaten ini memiliki luas wilayah 3.284 km² dan berpenduduk sebanyak 276.066 jiwa (hasil Sensus Penduduk Indonesia 2010). Kabupaten Barito Kuala merupakan pemekaran dari Kabupaten Banjar. Sebagian wilayah Barito Kuala termasuk dalam calon Wilayah Metropolitan Banjar Bakula",Kalimantan Selatan ,Marabahan,"H. Hasanudin Murad, SH",Drs. H. Sukardhi,3.284 km²,276.066 jiwa (2010),"74,8 jiwa/km2",0511,Agrowisata terantang | jembatan barito | jembatan rumpiyang | makam H.abdussamad | makam datu kayan | makam datu aminin | pulau kembang | pulau kaget | wisata argo argo sei.kambat,Hutan produksi terbatas | Hutan suaka marga satwa | hasil perikanan ,Iwak karing batanak | cumi baubar | iga masak habang | tik masak habang | puteri selat | es sarang burung walet | ,http://www.baritokualakab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/rKDQcQgQIqUygcppYtau_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/97OyEl08RBijNk23ewVr_bupati.jpg),map.jpg (https://dl.airtable.com/RaqhAuYT4CJ1Y8hvWqFi_map.jpg),logo.jpg (https://dl.airtable.com/6UkgS30MR1GKbnxJpgIz_logo.jpg)"
KABUPATEN HULU SUNGAI SELATAN,"Kabupaten Hulu Sungai Selatan adalah salah satu kabupaten di Kalimantan Selatan, Indonesia. Ibukota sekaligus pusat pemerintahan terletak di Kandangan. Hulu Sungai Selatan memiliki luas sekitar 1.703 km² dan berpenduduk sekitar 212.485 jiwa (hasil Sensus Penduduk Indonesia 2010).",Kalimantan Selatan ,Kandangan,"Drs. H. Achmad Fikry, M.AP",Ardiansyah,1.703 km2,212.485 jiwa (2010),"124,77 jiwa/km2",0517,Balanting paring | air panas tanuhi | air terjun rampah | air terjun haratai | air terjun riam barajang | air terjun riam hanai | air telaga bidadari | gunung langara | gunung sarai | gunung batuk baduduk ,Pertambangan | Hutan Lindung | padi sawah | Ubi jalar | kacang kedelai | Ubi rambat | kelapa sawit | logam ,Ketupat kandangan | ikan haruang | kukulih | pupudak | papare | puracit | slada gumbili,http://www.hulusungaiselatankab.go.id/#,"wakil-bupati.jpg (https://dl.airtable.com/RS1qL0XyTaacVk4N8a9J_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/yaf4DH2TSQmn4HQiwzGX_bupati.jpg),map.jpg (https://dl.airtable.com/HwaO3HRfRROjD6o0FBiU_map.jpg),logo.jpg (https://dl.airtable.com/J61K5mvdQjibPoj5Us1R_logo.jpg)"
KABUPATEN HULU SUNGAI TENGAH,"Kabupaten Hulu Sungai Tengah adalah salah satu kabupaten di provinsi Kalimantan Selatan. Ibu kota kabupaten ini terletak di Barabai. Kabupaten ini memiliki luas wilayah 1.472 km² dan berpenduduk sebanyak 243.460 jiwa (hasil Sensus Penduduk Indonesia 2010). Motto daerah ini adalah ""Murakata"" yang diambil dari bahasa Banjar. Murakata merupakan singkatan dari kata Mufakat, Rakat, dan Seiya-sekata. Makanan khas Hulu Sungai Tengah adalah Apam Barabai dan Pakasam.",Kalimantan Selatan ,Barabai,"Dr. Drs. Ngadimun, MM.",-,"1.770,8 km2",251.063 jiwa (2012,"141,78 jiwa/km2",0517,Log laga Ria | batu benawa pagat | banyu panas hantakan ,Karet | Bambu | kemiri | kayu manis | walatung | rotan | obat obatan | buah buahan | kayu manis | pisang | madu,Apam Barabai | pakasam | Kue lam barabai | ,http://www.hulusungaitengahkab.go.id/,"map.jpg (https://dl.airtable.com/B2t3AjtZRryPlzShmk3Z_map.jpg),bupati.jpg (https://dl.airtable.com/qj9XNzDhQxeG7pLHFEQt_bupati.jpg),logo.jpg (https://dl.airtable.com/IBPQ4UYdRiWUjUnX2V4q_logo.jpg)"
KABUPATEN HULU SUNGAI UTARA,"Kabupaten Hulu Sungai Utara merupakan salah satu kabupaten di provinsi Kalimantan Selatan. Ibukota kabupaten ini terletak di Amuntai. Kabupaten ini memiliki luas wilayah 915,05 km² atau 2,38% dari luas provinsi Kalimantan Selatan dan berpenduduk sebanyak 211.699 jiwa (Data BPS Hulu Sungai Utara 2011). Secara umum kabupaten Hulu Sungai Utara terletak pada koordinat 2' sampai 3' Lintang Selatan dan 115' sampai 116' Bujur Timur.",Kalimantan Selatan ,Amuntai,Drs. H. Abdul Wahid,-,"915,5 km2",211.699 jiwa (2011),220jiwa/km2,0527,Candi agung | kerbau rawa | monumen kota bebek alabio | pasar itik alabio | masjid jami sungai banar | mesjid raya | makam datu syukh sayid sulaiman ,Minyak bumi | karet | bambu |,itik panggang | itik goreng | kerupuk haruan | ikan gabus ,http://www.hulusungaiutarakab.go.id/,"map.jpg (https://dl.airtable.com/LKlLSyaRTIu4HceDyGvE_map.jpg),bupati.jpg (https://dl.airtable.com/GvR8stn7ShmPJAg6PZVU_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/wlbqOSfISpalfGx11MEl_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/r6pBPeIQQfWZ4mGELed1_logo.jpg)"
KABUPATEN KOTA BARU,"Kabupaten Kotabaru adalah salah satu kabupaten di provinsi Kalimantan Selatan, Indonesia. Ibu kota kabupaten ini terletak di Kota Kotabaru. Kabupaten ini merupakan salah satu kabupaten pertama dalam provinsi Kalimantan dahulu. Dan pada masa Hindia Belanda merupakan Afdeeling Pasir en de Tanah Boemboe dengan ibukota Kota Baru. Kabupaten ini memiliki luas wilayah 9.442,46 km² dan berpenduduk sebanyak 290.142 jiwa (hasil Sensus Penduduk Indonesia 2010) dengan nelayan laut sebanyak 15.961 jiwa. Motto daerah ini adalah ""Sa-ijaan"" (bahasa Banjar) yang memiliki arti: Semufakat, satu hati dan se-iya sekata.",Kalimantan Selatan ,Kotabaru,"H. Irhami Ridjani, S.Sos, M.Si","Rudy Suryana, S.Sos, M.M.Pd","9.442,46 km2",290.142 jiwa (2010),"30,73 jiwa/km2",0518,Siring laut | air terjun tumpang | pantai gedambaan | teluk gosong | air terjun seratak | bukit mamake | teluk tamiang | tanjung kunyit | samber gelap | pulau kerayaan | pulau sembilan | pulau cinta | pantai labatan ,Pertambangan | hutan | perkebunan | perikanan | batu bara | bijih besi | minyak bumi | ,ikan bakar | sambal terasi pembelacanan | sate telur puyuh | sanggar pisang manurun | pisang gepet | tempe | tahu bacem | singkong goreng | ,http://www.kotabarukab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/CXPG077MRvuQSTL2hALl_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/6IGXEG6HRUit2ok1bNTw_map.jpg),bupati.jpg (https://dl.airtable.com/55inoNSqQbGlS5RhFTBs_bupati.jpg),logo.jpg (https://dl.airtable.com/3nDimspRSLW58KaRBXll_logo.jpg)"
KABUPATEN TABALONG,"Kabupaten Tabalong adalah salah satu kabupaten di provinsi Kalimantan Selatan, Indonesia. Ibu kota kabupaten ini terletak di Kota Tanjung. Kabupaten ini memiliki luas wilayah 3.496 km² dan berpenduduk sebanyak 218.954 jiwa (hasil Sensus Penduduk Indonesia 2010). Motto kabupaten ini ialah Saraba Kawa dalam bahasa Banjar yang berarti Serba Sanggup.",Kalimantan Selatan ,Tanjung ,"Drs. H. Anang Syakhfiani, M.Si","H. Zony Alfianoor, SE, Akt, MM",3.496 km²,218.954 jiwa (2010),61 jiwa/km,0526,Tabalong ethnic festival | gua babi | muara uya | air terjun lano | gua liang kantin | sungai salikung | danau tanjung puri | kinarum indah | taman kota bersinar | taman kota tanjung | goa kelelawar | danau marido ,Lahan gambut | hasil tambang | perkebunan | pertanian | batu bara | minyak bumi | langsat | rambutan | cempedak | durian ,Gangan Paliat | luncar kaladi | Bingka | bingka barandam | karaban | kikicak | bulungan hayam |kelalapon | cingkarok batu | wajik | apam | undi undi ,http://www.tabalongkab.go.id/,"bupati.jpg (https://dl.airtable.com/qxzu99YkTWYMT4nKqwQT_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/RUGskbNKQQWppwL8Iflw_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/TzN9BboVTk6YFI3gJWnS_map.jpg),logo.jpg (https://dl.airtable.com/aIvW9LAsSge7kPe1aYjm_logo.jpg)"
KABUPATEN TANAH LAUT,"Kabupaten Tanah Laut adalah salah satu kabupaten di provinsi Kalimantan Selatan, Indonesia. Ibu kota kabupaten ini terletak di Pelaihari yang merupakan pusat kegiatan Kabupaten Tanah Laut. Kabupaten ini memiliki luas wilayah 3.631,35 km² dan berpenduduk sebanyak 296.333 jiwa, terdiri dari 152.426 jiwa laki-laki dan 143.856 jiwa perempuan (hasil Sensus Penduduk Indonesia 2010).",Kalimantan Selatan , Pelaihari,Bambang Alamsyah,H. Sukamta,"3.631,35 km²",296.333 jiwa (2010),"81,59 jiwa/km2",0512,Pantai batakan | pulau datu | pantai srawangan | pantai takisung | batu bejanggut | pantai tabanio | pantai batu lima | air terjun bajuin | air terjun balangdaras | pantai sarang tiung ,Gabas | beras | padi sawah | padi ladang | ubi kayu | ubi jalar | tanah kacang | kedelai | kacang hijau | sayuran ,Soto banjar | amparan tatak | bingka barandam | kalapon | puti selat | ,http://www.tanahlautkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/5K2UxmieTbGoBHg8gAoe_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/yZRHjAJbTN2PliUmlI74_map.jpg),bupati.jpg (https://dl.airtable.com/4RidQtrS0a32mDJUKkcV_bupati.jpg),logo.jpg (https://dl.airtable.com/2gR5jyauS4eFHMVAf2Fg_logo.jpg)"
KABUPATEN TANAH BUMBU,"Kabupaten Tanah Bumbu adalah salah satu kabupaten di provinsi Kalimantan Selatan, Indonesia. Sebelumnya kabupaten ini termasuk dalam wilayah Kabupaten Kotabaru. Ibukota kabupaten terletak di Batulicin, tepatnya di Kelurahan Gunung Tinggi yang dulunya bernama Desa Pondok Butun. Adapun yang menjadi sentra kegiatan usaha dan ekonomi adalah kecamatan Simpang Empat, yang dulunya merupakan bagian dari Kecamatan Batulicin. Kabupaten ini memiliki luas wilayah 5.066,96 km² dan jumlah penduduk sebanyak 267.913 jiwa (hasil Sensus Penduduk Indonesia 2010), dan pada tahun 2014 berdasarkan proyeksi penduduk, jumlah penduduk Tanah Bumbu mencapai 315.815. Kabupaten Tanah Bumbu merupakan kabupaten pemekaran dari Kabupaten Kotabaru yang ditetapkan berdasarkan Undang-undang Nomor 2 Tahun 2003 tanggal 8 April 2003 tentang Pembentukan Kabupaten Tanah Bumbu dan Kabupaten Balangan di Provinsi Kalimantan Selatan. Berdasarkan undang-undang tersebut, Kabupaten Tanah Bumbu selalu merayakan hari jadinya pada tanggal 8 April setiap tahunnya. Nama historis yang pernah digunakan untuk menyebut daerah kabupaten ini adalah Tanah Koesan - 1879 & Tanah Bumbu Selatan.",Kalimantan Selatan,Batu Licin,"Mardani H. Maming, SH.",Drs. H. Difriadi Darjat,"5.066,96 km2",267.913 jiwa (2010),"52,87 jiwa/km2",0518,Pantai Angsana | Pantai Pagatan | Festival Mappanretasi,Udang Windu | Rumput Laut | Ikan Kerapu | Ikan Asin | ,Kacang Ting Ting | Putri Daun | Gogos | Nennu Nennu,http://www.tanahbumbukab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/dIcdVY50S2u99zf2fBTb_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/TckFlx4lTqPHnjsB1I44_bupati.jpg),kalsel-logo.jpg (https://dl.airtable.com/k9jiiGT94cXyiIPnSKgw_kalsel-logo.jpg),map.jpg (https://dl.airtable.com/2IziYlISlu1BLv7VO7Lw_map.jpg)"
