Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BARITO SELATAN,"Kabupaten Barito Selatan adalah salah satu kabupaten di provinsi Kalimantan Tengah. Ibu kota kabupaten ini terletak di Buntok. Kabupaten ini memiliki luas wilayah 8.830 km² dan berpenduduk kurang lebih sebanyak 124.128 jiwa. Motto kabupaten ini adalah ""Dahani dahanai tuntung tulus"".",Kalimantan Tengah,Buntok,"Ir. H. M. Farid Yusran, M.M.",Satya Titiek Atyani Djoedir,8.830 km2,124.128 jiwa (2010),"14,06 jiwa/km2",0525,Arena lomba dayung | danau sanggu | taman anggrek | danau melawen | ekosistem air hitam sei | situs suku bawo | ,Ikan patin | ikan nila | ikan mas | ikan gabus | kayu bulat | kayu olahan | rotan irit | rotan semambu | damar | gaharu | pasir kuarsa | tanah lempung | kaolin | granit | batu bara ,Nasi pundut | lapat | laksa | hintalu karuang | bubur beayak | apam paranggi | ,http://www.baritoselatankab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/p1S45pe6SLyPHQRIAQbQ_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/VdvF1FNRmG3bI4R2sPTq_bupati.jpg),map.jpg (https://dl.airtable.com/2bvrvNiRRhimBF4KcINo_map.jpg),logo.jpg (https://dl.airtable.com/QuyYDYIwTim53f1uPpFw_logo.jpg)"
KABUPATEN BARITO TIMUR,"Wilayah Kabupaten Barito Timur (Tamiang Layang) termasuk daerah inti kerajaan Banjar sejak zaman Hindu hingga dihapuskannya Kerajaan Banjar oleh Hindia Belanda pada tahun 1860, jadi sebelumnya tidak pernah diserahkan oleh Kerajaan Banjar kepada Hindia Belanda seperti kebanyakan daerah lainnya di Kalimantan. Perjanjian 1826 menetapkan daerah tepi barat sepanjang sungai Barito dari Kuin hingga Mengkatip ditarik garis ke gunung Luang sampai ke selatan sepanjang sisi barat pegunungan Meratus termasuk dalam wilayah Kesultanan Banjar (1826-1860), sedangkan sebagian wilayah lainnya menjadi wilayah Hindia Belanda, seperti pembagian wilayah menurut Staatsblad van Nederlandisch Indië tahun 1849, merupakan bagian dari zuid-ooster-afdeeling berdasarkan Bêsluit van den Minister van Staat, Gouverneur-Generaal van Nederlandsch-Indie, pada 27 Agustus 1849",Kalimantan Tengah, Tamiang Layang,"Ampera A.Y. Mebas, S.E.","H. Suriansyah, S.K.M.",3.834 km²,96.820 jiwa (2010),-,0526,Liang ayah | liang saragih | air terjun | taman anggrek,Ikan pelagis | udang | rajungan | ,Mandai | kue kiping | kakicak | kue tumpi | kue baayak | kue gagatas | kue lapat | sulur kaladi |  sayur umbut | wadi | pakasem | papaken ,www.kalteng.go.id,"wakil-bupati.JPG (https://dl.airtable.com/lKiSiUZRYifHB72zfyMs_wakil-bupati.JPG),map.jpg (https://dl.airtable.com/9WChTlqxQ5eA3Um0rGkh_map.jpg),logo.jpg (https://dl.airtable.com/Kv5pybrRWHoKJrobe0gC_logo.jpg),bupati.jpg (https://dl.airtable.com/fYSCbfH9Q3CXTEDSvjHS_bupati.jpg)"
KABUPATEN BARITO UTARA,"Kabupaten Barito Utara adalah salah satu kabupaten di Provinsi Kalimantan Tengah, Indonesia. Ibu kota kabupaten ini terletak di Muara Teweh. Kabupaten ini berdiri pada tanggal 29 Juni 1959. Semboyan kabupaten ini adalah ""Iya Mulik Bengkang Turan"".",Kalimantan Tengah,Muara Teweh,H. Nadalsyah,Drs. Ompie Herby,8.300 km2,123.781 jiwa (2012),"14,91 jiwa/km2",0519,Air terjun jantur doyan | hutan lindung pararawen | panorama danau butong | air terjun dan danau inih | gua siapa | gua lambung | gua liang pandan | gua liang idai ,-,-,http://www.baritoutarakab.go.id/,"bupati.jpg (https://dl.airtable.com/Nz7nytNMQci1nxBDuRyj_bupati.jpg),map.jpg (https://dl.airtable.com/lqFizGAZTca8nMc9CKlQ_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/g6vwkDmYQv6dK8V0rT2m_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/OlR3TPOzS4Oqgys3XFrN_logo.jpg)"
KABUPATEN GUNUNG MAS,"Kabupaten Gunung Mas adalah salah satu kabupaten di provinsi Kalimantan Tengah, Indonesia. Kabupaten ini merupakan hasil pemekaran dari Kabupaten Kapuas provinsi Kalimantan Tengah berdasarkan UU Nomor 5 tahun 2002. Kabupaten ini secara astronomi terletak pada ± 0° 18’ 00” Lintang Selatan s/d 01° 40’ 30” Lintang Selatan dan ± 113° 01’ 00” Bujur Timur s/d 114° 01’ 00” Bujur Timur. Berpenduduk sebanyak 74.823 jiwa (sensus 2000).",Kalimantan Tengah,Kuala Kurun ,Drs. Arton S. Dohong,"Rony Karlos, S.Sos.",10.804 km2,96.990 jiwa (2010),"8,98 jiwa/km2",0537,Air terjun bawih kameloh | batu suli | air terjun batu mahasur ,Emas | bijih besi | batu bara | pasir kwarsa | garnit | ,Juha umbut rotan | juhu umbut sawit | kalumpe | wadi | bangamat ,http://www.gunungmaskab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/h1qfcQlRT0ahhgpoGDAB_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/4nrQSWTQU2ffkSLV7I6u_bupati.jpg),map.jpg (https://dl.airtable.com/nN7RTVxXSbGjhFOLpD9K_map.jpg),logo.jpg (https://dl.airtable.com/o4FP1gy6SIio42hgFf7t_logo.jpg)"
KABUPATEN KAPUAS,"Kabupaten Kapuas adalah salah satu kabupaten di provinsi Kalimantan Tengah. Ibu kota kabupaten ini terletak di Kuala Kapuas. Terdiri dari 17 kecamatan dan berpenduduk 329.646 jiwa dengan klasifikasi 168.139 laki-laki dan 161.507 perempuan (hasil Sensus Penduduk Indonesia 2010). Wilayah ini memiliki luas 14.999 km2 atau 1.499.900 ha dengan tingkat kepadatan penduduk 21,97 jiwa/km2.Menurut Staatsblad van Nederlandisch Indië tahun 1849, wilayah Dayak Kecil ini termasuk dalam zuid-ooster-afdeeling berdasarkan Bêsluit van den Minister van Staat, Gouverneur-Generaal van Nederlandsch-Indie, pada 27 Agustus 1849, No.8",Kalimantan Tengah, Kuala Kapuas,"Ir. Ben Brahim S. Bahat, MT","Ir. H. Muhajirin, MP",14.999 km2,329.646 jiwa (2010),"21,98 jiwa/km2",0513,Pantai cemara labat | pantai teluk gabang | rumah bentang | desa wisata getah getaj nyatu | mozaik desa saka mangkahal | tikar purun | sungai hampatung | arung jeram ,Jagung | umbi umbian | singkong | vanili | kakao | kambing | domba | babi | batu bara | minyak gas | krikil berntan ,Juhu singkah | umbut rotan | kalumpe karuang | wadi | bangamat | paing | ,http://www.kapuaskab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/dCpaxWSR5CqwlgBAsDwC_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/WFlR56YzR62y9hj3aSfk_bupati.jpg),logo.jpg (https://dl.airtable.com/DOUX9fbrREo1sM44DjeG_logo.jpg),map.jpg (https://dl.airtable.com/S9hLhQkQRnSV2YCwMIcm_map.jpg)"
KABUPATEN KATINGAN,"Kabupaten Katingan adalah salah satu kabupaten di provinsi Kalimantan Tengah. Kabupaten yang beribu kota di Kasongan ini memiliki luas wilayah 17.800 km² dan berpenduduk sebanyak 146.439 jiwa (hasil Sensus Penduduk Indonesia 2010). Semboyan kabupaten ini adalah ""Penyang Hinje Simpei"" (bahasa Ngaju) yang artinya adalah Hidup Rukun dan Damai untuk Kesejahteraan Bersama. Kabupaten ini terdiri dari 13 kecamatan 154 Desa dan 7 Kelurahan.",Kalimantan Tengah,Kasongan ,Ahmad Yantenglie,Sakariyas,17.800 km2,146.439 jiwa (2010),"8,23 jiwa/km2",0536,Sumber air panas sepan apol | arung jeram riam jerawi | bukit batu | taman nasional bukit raya ,Minyak kelapa sawit | cengkeh | Rotan | rotan sabutan | hutan lindung,kerupuk udang | kecombrang | juhu putok,www.katingan.go.id,"wakil-bupati.png (https://dl.airtable.com/BdrGsf9rRZaSciBqIAjU_wakil-bupati.png),map.jpg (https://dl.airtable.com/J0ajKfKSHGTeOUtmwJFN_map.jpg),bupati.png (https://dl.airtable.com/8dZFbri3S3W47r9E2okL_bupati.png),logo.jpg (https://dl.airtable.com/SKpILa7RSuaGq4kSV8oM_logo.jpg)"
KABUPATEN KOTAWARINGIN BARAT,Kabupaten Kotawaringin Barat adalah salah satu kabupaten di provinsi Kalimantan Tengah. Ibu kota kabupaten ini terletak di Pangkalan Bun. Kabupaten ini memiliki luas wilayah 10.759 km² dan berpenduduk sebanyak 235.274 jiwa (hasil Sensus Penduduk Indonesia 2010). Semboyan kabupaten ini adalah Marunting Batu Aji yang artinya Menuju Kejayaan.,Kalimantan Tengah,Pangkalan Bun,"Bambang Purwanto, S.S.T., M.H.",-,10.759 km²,235.274 jiwa (2010),"17,60jiwa/km2",0532,Taman nasional tanjung puting | tanjung harapan | pondok tanggul | camp lakey | wisata pantai bogam raya ,Kelapa sawit | perikanan ,Soto manggala | soto banjar | longtong balap | wadai tole tole | durian lokal | tangkuhis | ketiau | terong asam | wadai cincin ,http://www.kotawaringinbaratkab.go.id/,"bupati.jpg (https://dl.airtable.com/k6HnTUizShS29vrbHWma_bupati.jpg),map.jpg (https://dl.airtable.com/AYpvUQRSNuZSVbnjPhRW_map.jpg),logo.jpg (https://dl.airtable.com/e3Htdnm2QNym8g5LaqbP_logo.jpg)"
KABUPATEN KOTAWARINGIN TIMUR,Kabupaten Kotawaringin Timur adalah salah satu kabupaten di provinsi Kalimantan Tengah. Ibu kota kabupaten ini terletak di Sampit. Kabupaten ini memiliki luas wilayah 16.496 km² dan berpenduduk kurang lebih sebanyak 373.842 jiwa pada tahun 2010.Bupati Kotawaringin Timur saat ini adalah Ir. Godlin sebagai penjabat bupati hingga terpilih bupati definitif pada Pemilukada serentak 2015.,Kalimantan Tengah,Sampit, Ir. Godlin,-,16.496 km²,373.842 jiwa (2010),-,0531,Rumah bentang tumbang gagu antang kalang | pantai ujung pandaran | orang utan tumbang koling | riam sandung angui tumbang manya | danau burung ,Hutan Lindung | ayam | sapi | buih besi | batu bara | zarkon | andesit | diorit | granit ,Nasi kuning | bingka | ,http://kotimkab.go.id,"map.jpg (https://dl.airtable.com/BW2WQ4v3TJCTY7zEo1kJ_map.jpg),bupati.JPG (https://dl.airtable.com/TUzUr0K1QPahk420PsPs_bupati.JPG),logo.jpg (https://dl.airtable.com/B91bIuLcTTuQlZNYLzYV_logo.jpg)"
KABUPATEN LAMANDAU,"Kabupaten Lamandau adalah salah satu kabupaten di provinsi Kalimantan Tengah. Ibu kota kabupaten ini terletak di Nanga Bulik. Kabupaten ini memiliki luas wilayah 6.414 km² dan berpenduduk sebanyak 62.776 jiwa (hasil Sensus Penduduk Indonesia 2010).Lamandau adalah salah satu kabupaten baru hasil pemekaran dari Kabupaten Kotawaringin Barat (Kobar) berdasarkan UU No. 5 Tahun 2002, yang di resmikan pada tanggal 4 Agustus 2002 dengan ibukota Nanga Bulik. Kabupaten ini merupakan satu-satunya kabupaten pemekaran yang berawal dari sebuah kecamatan atau tidak melalui perubahan status Kabupaten Administratif.",Kalimantan Tengah,Nanga Bulik,Ir.Marukan Hendrik,"Drs. H. Sugiyarto, M.A.P ",6.414 km²,62.776 jiwa (2010),"8,13jiwa/km2",0532,Riam sangkaruyupan | riam tapin bini | riam sungai setongah | sebayang bungsu | bolau | sampuraga | sangakarapuyan | seboi | air terjun siukan bidadari tujuh | air terjun palei kodan | danau sematu ,Pasir sirkom | gelena | bijih besi | ,Sayur bening | sayur asam | sayur tempoyak | sayur goreng | cencalu | ,www.lamandaukab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/Z42b9mNOQH2uGgmSyjYN_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/8OgTNy48TjCjJw7bFpny_bupati.jpg),map.jpg (https://dl.airtable.com/qIoL8PRkyhrmxnOTHbQd_map.jpg),logo.jpg (https://dl.airtable.com/VpP5uRT7WMMUcC1PKNdA_logo.jpg)"
KABUPATEN PULANG PISAU,"Kabupaten Pulang Pisau adalah salah satu kabupaten di provinsi Kalimantan Tengah. Ibu kota kabupaten ini terletak di Pulang Pisau. Kabupaten ini memiliki luas wilayah 8.997 km² dan berpenduduk sebanyak 120.062 jiwa (hasil Sensus Penduduk Indonesia 2010). Semboyan kabupaten ini adalah ""Handep Hapakat"".",Kalimantan Tengah,Pulang Pisau,"H. Eddy Pratowo, SE, MM",, 8.997 km2,120.062 jiwa (2010),"13,34 jiwa/km2",0513,Taman nasional sebangau | pulau mintin | kawasan hutan bakau | kawasan hutan tanaman industri | pantai cemantan | danau sabuah ,Tanah liat | kaolin | pasir kuarsa | sirtu | minyak | pasir kuarsa | gambut | minyak | timah | emas ,Umbut Rotan | Juhu singkah | kalumpe | karuang | wadi ,http://www.pulangpisaukab.go.id/,"bupati.JPG (https://dl.airtable.com/Eg5JPxWvQkafW2hbjTS5_bupati.JPG),map.jpg (https://dl.airtable.com/tDLZlRIDRhCVz4m9vTsb_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/1FAUN6AaSHIB0lfN13HI_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/BDq6bS46Ru6IMXtAlCkn_logo.jpg)"
