Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BERAU,"Kabupaten Berau adalah salah satu kabupaten di Provinsi Kalimantan Timur, Indonesia. Ibu kota kabupaten ini terletak di Tanjung Redeb. Kabupaten ini memiliki luas wilayah 34.127,47 km² dan berpenduduk sebesar kurang lebih 179.079 jiwa (hasil Sensus Penduduk Indonesia 2010).",Kalimantan Timur ,Tanjung Redeb,"H. Syarifuddin,M.Si",H. Jonie Marhansyah,"34.127,47 km2",179.079 jiwa (2010),"5,25 jiwa/km2",554,Pulau derawan | danau ubur ubur | labuan cermin | kolam air panas | taman buru batu putih | bekas istana | keraton kesultanan sambailung | makam raja raja kesultanan gunung tabur | sentosa park ,Emas | Gelena | seng | pasir kuarsa | dolomite | kalsit | batu gamping | granit | granodiorit | andesit | tanah urug | kristal | kuarsa | kerikil sungai | barubara | tanah urukan ,Ancur padas | bubur pedas | talinga sagayi | rangai | satu | satu kacang | kajajanga | udang singgang | udang jarang asam | tumpi udang | pindang mannung ,http://www.beraukab.go.id/,"map.jpg (https://dl.airtable.com/Jf3Y8hNVQDyrf3KYvJGJ_map.jpg),bupati.jpg (https://dl.airtable.com/MyQ66plSRw6I9MeNYNwE_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/vPEnqt7RTFKJRL20Qfws_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/pQ9j2WaDQmK0dmE0DS0a_logo.jpg)"
KABUPATEN KUTAI BARAT,"Kabupaten Kutai Barat adalah salah satu kabupaten di Provinsi Kalimantan Timur, Indonesia. Dengan Ibukota Sendawar merupakan pemekaran dari wilayah Kabupaten Kutai yang telah ditetapkan berdasarkan UU. Nomor 47 Tahun 1999. Dengan luas sekitar 31.628,70 Km2 atau kurang lebih 15 persen dari luas Provinsi Kalimantan Timur dan berpenduduk sebanyak 165.934 jiwa (hasil Sensus Penduduk Indonesia 2010) , Secara Geografis Kabupaten Kutai Barat terletak antara 113'048'49"" sampai dengan 116'032'43""Bujur Timur serta di antara 103'1'05"" Lintang Utara dan 100'9'33"" Lintang Selatan. Adapun wilayah yang menjadi batas Kabupaten Kutai Barat adalah Kabupaten Mahakam Ulu, Kabupaten Malinau dan Negara Sarawak (Malaysia Timur) di sebelah Utara, Kabupaten Kutai Kartanegara di sebelah Timur, Kabupaten Penajam Paser Utara di sebelah Selatan dan untuk sebelah Barat berbatasan dengan Kabupaten Barito Utara, Kabupaten Murung Raya Provinsi Kalimantan Tengah serta Kabupaten Kapuas Hulu Provinsi Kalimantan Barat. Kabupaten Kutai Barat terbagi menjadi 21 Kecamatan dan 238 Kampung. Kedua Puluh Satu Kecamatan tersebut adalah Kecamatan Bongan, Kecamatan Jempang, Kecamatan Penyinggahan, Kecamatan Muara Pahu, Kecamatan Muara Lawa, Kecamatan Damai, Kecamatan Barong Tongkok, Kecamatan Melak, Kecamatan Long Iram, Kecamatan Long Hubung, Kecamatan Long Bagun, Kecamatan Long Pahangai, Kecamatan Long Apari, Kecamatan Bentian Besar, Kecamatan Linggang Bigung, Kecamatan Nyuatan, Kecamatan Siluq Ngurai, Kecamatan Manor Bulatn, Kecamatan Sekolaq Darat, Kecamatan Tering dan Kecamatan Laham",Kalimantan Timur ,Sendawar,"Ismael Thomas, SH., M.Si.",Didik Effendi,"31.628,70 km2",165.934 jiwa (2010),5 jiwa/km2,545,Lamin tolan | danau tolan | danau jempang | kersik luway | mencimai | benung | engkuni pasek | pepas eheng | air terjun jantur gemuruh | desa tering | rukun damai long bagun liir | long pahangai | long tuyuk ,-,Jelore | biji delima | kerupuk bumbu rasa ketumbar | kerupuk trigu spesial | kerupuk ikan belida | kerupuk ikan haruan | ,www.kubarkab.go.id,"bupati.JPG (https://dl.airtable.com/wGuc7pHT9ef0v7xpR0wx_bupati.JPG),wakil-bupati.jpg (https://dl.airtable.com/8OmPAYsZRPeCEPf7mgvX_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/6c6PTY7NRxGoWEMdXIng_map.jpg),logo.jpg (https://dl.airtable.com/Kv9uAajKRYiiXMUGGiHF_logo.jpg)"
KABUPATEN KUTAI KARTANEGARA,"Kabupaten Kutai Kartanegara merupakan sebuah kabupaten di Kalimantan Timur, Indonesia. Ibu kota berada di Kecamatan Tenggarong.Kabupaten Kutai Kartanegara memiliki luas wilayah 27.263,10 km² dan luas perairan sekitar 4.097 km² yang dibagi dalam 18 wilayah kecamatan dan 225 desa/kelurahan dengan jumlah penduduk mencapai 626.286 jiwa (sensus 2010).",Kalimantan Timur ,Tenggarong,Rita Widyasari,Gufron Yusuf.,"27.263,10 km2",626.286 jiwa (2010),"22,97 jiwa/km2",0541 dan 0542,Pantai pengempang | bukit bangkirai | pantai tanah merah | danau semayang | danau murung | waduk panji | pantai kumala | taman rekreasi tepian mahakam jembatan kartanegara ,Minyak bumi | gas alam | bahan galian golongan C | pasir kuarsa | hutan | padi ladang | padi sawah | kacang tanah | kacang hijau | kopi | kelapa sawit | kambing | ayam | kayu lapis | ,Bukang bukang | gangan rojak cabe | abuh | abon kepiting | akar sampai | amplang | apam balembar | gegaok ,http://www.kutaikartanegarakab.go.id/,"bupati.jpg (https://dl.airtable.com/nZbyqafuQoKidHfT7Lbm_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/eo4ixbCTnO9SS2cVdzig_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/2osTRsOXSZOp9H8pUWcE_map.jpg),logo.jpg (https://dl.airtable.com/a05JArkmR6abFXSTQFnJ_logo.jpg)"
KABUPATEN KUTAI TIMUR,"Kabupaten Kutai Timur adalah salah satu kabupaten di Provinsi Kalimantan Timur, Indonesia. Ibu kota kabupaten ini terletak di Sangatta. Kabupaten ini memiliki luas wilayah 35.747,50 km² atau 17% dari luas Provinsi Kalimantan Timur dan berpenduduk sebanyak 253.847 jiwa (hasil Sensus Penduduk Indonesia 2010) dengan kepadatan 4,74 jiwa/km² dan pertumbuhan penduduk selama 4 tahun terakhir rata-rata 4,08% setiap tahun",Kalimantan Timur ,Sangatta,Isran Noor,Ardiansyah Sulaiman,"35.747,50 km2",253.847 jiwa (2010),"7,1 jiwa/km2",549,Taman nasional kutai | pantai sangkulirang | desa benua baru | pulau birah birahan | pantai jepu jepu | desa pengadan | gua ampanas | desa muara wahau ,Batu bara | padi sawah | padi ladang | jagung | ketela | ketela rambat | kedelai | kacang hijau | kacang tanah | sapi | sapi merah | kerbau | kambing | domba | babi | hutan lindung | hutan suaka alam | hutan produksi terbatas | hutan tetap | hutan produksi yang dapat di konvensi | hutan pendidikan ,Gangan ubi jukut salai | sambal raja | pepes kepiting | bebek betutu | ayam cincane | pisang gapit saus durian | ,http://www.kutaitimurkab.go.id/,"map.jpg (https://dl.airtable.com/X5YKrqCsTSiqe1aL4jZh_map.jpg),wakil-bupati.JPG (https://dl.airtable.com/0kMe3GS6Ryee1sGGFS4N_wakil-bupati.JPG),bupati.jpg (https://dl.airtable.com/vMVpA69pQyI7GATKxwG2_bupati.jpg),logo.jpg (https://dl.airtable.com/OsXFKHMcSqme8F9QRPv2_logo.jpg)"
KABUPATEN MAHAKAM HULU,"Kabupaten Mahakam Ulu adalah salah satu kabupaten di provinsi Kalimantan Timur, Indonesia. Mahakam Ulu merupakan hasil pemekaran dari Kabupaten Kutai Barat yang disahkan dalam sidang paripurna DPR RI pada 14 Desember 2012 di gedung DPR RI tentang Rancangan UU Daerah Otonomi Baru (DOB).",Kalimantan Timur , 	Ujoh Bilang,Ir. Frederick Bid M.si,-,15.315 km²,27.923 jiwa (2012),-,545,Batuq  mili | batuq dinding | eksotisme air terjun kenheq | lamin ,Batuq  mili | batuq dinding | eksotisme air terjun kenheq | lamin | hutan anggrek ,,www.mahakamulukab.go.id,"map.jpg (https://dl.airtable.com/I4074L9lSg2YlBf6CM8o_map.jpg),bupati.jpg (https://dl.airtable.com/H8t9vEMbQH2IS7fqjWqp_bupati.jpg),sekda..jpg (https://dl.airtable.com/WSgjiV4T5O1IQ2N1Ys7Q_sekda..jpg),logo.jpg (https://dl.airtable.com/gS4RAwpaQg2baNVgDTc8_logo.jpg)"
KABUPATEN PASER,Kabupaten Paser,Kalimantan Timur ,Tana Paser,Haji Muhammad Ridwan Suwidi, H.M. Hatta Garit,"41.603,94 km2",317.532 jiwa (2011),"7,63 jiwa/km2",543,Telaga air panas | goa jurong | air terjun tiwei | air terjun gerigu | air terjun batu badinding | air terjun doyam seriam ,Pertambangan | pertanian | listrik gas | air bersih | ,Pisang rimpi | nasi goreng pisang | sayur asam keladi ,http://www.paserkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/cT5PwEjeRT6R1xYPNw0U_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/MVl7cNbOQSCWjX5ljzZD_map.jpg),bupati.jpg (https://dl.airtable.com/fex7Nu8nQAW2FwZlbd17_bupati.jpg),logo.jpg (https://dl.airtable.com/Df86pEQR7y2XRGOU1hIg_logo.jpg)"
KABUPATEN PENAJAM PASER UTARA,"Kabupaten Penajam Paser Utara, adalah sebuah kabupaten di Provinsi Kalimantan Timur, Indonesia. Ibukotanya adalah Penajam. Kabupaten ini berbatasan dengan Kabupaten Kutai Kartanegara disebelah Utara, sebelah timur berbatasan dengan Selat Makassar dan Kota Balikpapan, sebelah selatan berbatasan dengan Kabupaten Pasir dan sebelah barat berbatasan dengan Kabupaten Kutai Barat. Penajam merupakan kabupaten termuda di provinsi Kalimantan Timur yang merupakan daerah pemekaran dari Kabupaten Pasir.",Kalimantan Timur ,Penajam,"Drs. H. Yusran Aspar, M.Si","Drs. H. Mustaqim. MZ, MM","3.333,06 km2",142.922 jiwa (2010),"42,88 jiwa/km2",0542 dan 0543,Pantai tanjung jumlai | panai sipakario | pulau gusung | ,Kelapa sawit | karet | kelapa | kopi | lada | kakao | palawija | ,Gangan ubi jukut salai | sambal raja | pepes kepiting | bebek betutu | ayam cincane | pisang gapit sauus durian | ,http://www.penajamkab.go.id/,"bupati.jpg (https://dl.airtable.com/7Bn25jycQ0ubNKk7kW4V_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/Huox9Q1pT3WNQ0xDOWex_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/NX5BSbWnlQyD1h3K3AWC_map.jpg),logo.jpg (https://dl.airtable.com/6a5k45CRYeyrcCzYVtUc_logo.jpg)"
KOTA BALIKPAPAN,"Balikpapan merupakan sebuah kota di Kalimantan Timur, Indonesia. Balikpapan memiliki penduduk sebanyak 701.066 jiwa, yang merupakan 22 % dari keseluruhan penduduk Kaltim. Balikpapan merupakan kota dengan biaya hidup termahal se-Indonesia.Logo dari kota yang sering disebut Kota Minyak (Banua Patra) dan Bumi Manuntung ini adalah beruang madu, maskot Balikpapan yang mulai di ambang kepunahan. Nama asli Balikpapan adalah Billipapan atau Balikkappan(logat Banjar).",Kalimantan Timur ,-,"H.M. Rizal Effendi, SE",Heru Bambang,"503,3 km²",701.066 (28 Nopember 2014),1.360/km²,542,Taman agrowisata | wana wisata | karang joang resort | jembatan ulin kariangau | pantai manggar | hutan lindung sungai wain | panorama dermaga | penangkaran dermaga | penangkaran buaya | monumen jepang | monumen perjuangan rakyat | ,Minyak bumi | bawang daun | sawi | cabe | tomat | terong | buncis | mentimun | karet | kopi | kakao | lada | cengkeh | kopi | labu siam | nenas | pepaya | pisang | rambutan | salak | ,Kepiting lada hitam | kepiting saos spesial | kepiting saus tiram | kepiting tauco | kepiting goreng mentega | bingka | abon kepiting | amplang | bakpia | mantau ,www.balikpapan.go.id,"map.jpg (https://dl.airtable.com/FjPlpaonRSv39YG5muwh_map.jpg),walikota.jpg (https://dl.airtable.com/84jTeDjQu6wCRifuo9wt_walikota.jpg),wakil-walikota.jpg (https://dl.airtable.com/S7CjuKtT8CJi1VZBJnqq_wakil-walikota.jpg),logo.jpg (https://dl.airtable.com/S7EHtNbSQyy6ErhSMm8N_logo.jpg)"
KOTA BONTANG,"Kota Bontang adalah sebuah kota di provinsi Kalimantan Timur, Indonesia. Kota ini terletak sekitar 120 kilometer dari Kota Samarinda, berbatasan langsung dengan Kabupaten Kutai Timur di utara dan barat, Kabupaten Kutai Kartanegara di selatan dan Selat Makassar di timur. Letak geografisnya 0.137° LU dan 117.5° BT.",Kalimantan Timur ,-,dr. Hj.Neni Moerniaeni Sp. OG`,H. Isro Umarghani,497.57 km2 (192.11 mil²),143.683 jiwa,288/km2 (750/sq mi),548,Pulau beras basah | pulau segajah | padang golf hotel bukit sintuk | taman nasional kutai | taman cibodas | pulau gusung tihi tihi | pulau selangan | rumah adat kutai guntung | lembah hijau lestari | danau PKT | kenari water park | wisata mangrove kedindingan | ,Udang | kepiting | kerapu | lobster | kakap merah | teripang | rumput laut | tiram | gas alam | ,Ikan Bawis Sambal gami | cemilan amplang | ikan kering | rumput laut | manisan | ,http://www.bontangkota.go.id/,"bupati.jpg (https://dl.airtable.com/DdfTyn7QoinUoLWWY2N7_bupati.jpg),map.jpg (https://dl.airtable.com/viQNEAWGTxG3jFm8XwEA_map.jpg),wakil-bupati.png (https://dl.airtable.com/RXqTopU7Tta5dfcGXmyq_wakil-bupati.png),logo.jpg (https://dl.airtable.com/uB4vFIDQjSA5sMlZp6CQ_logo.jpg)"
KOTA SAMARINDA,"Kota Samarinda merupakan ibu kota provinsi Kalimantan Timur, Indonesia serta salah satu kota terbesar di Kalimantan. Seluruh wilayah kota ini berbatasan langsung dengan Kabupaten Kutai Kartanegara. Kota Samarinda dapat dicapai dengan perjalanan darat, laut dan udara. Dengan Sungai Mahakam yang membelah di tengah Kota Samarinda, yang menjadi ""gerbang"" menuju pedalaman Kalimantan Timur. Kota ini memiliki luas wilayah 718 kilometer persegi dan berpenduduk 805.688 jiwa pada tahun 2013 (Badan Pusat Statistik Kota Samarinda), menjadikan kota ini berpenduduk terbesar di seluruh Kalimantan.",Kalimantan Timur ,-,"H. SyaharieJa'ang, SH, M.Si","Ir. H. Nusyirwan Ismail, M.Si",718 km2 (277 mil²),805.688 jiwa,-,541,Air terjun tanah merah | air terjun berambai | air terjun pinang seribu | kebun raya unmul samarinda | ,Peternakan | perikanan | kelapa sawit | kopi | kakao | lada | batubara | panili | pala | pinang | aren | ,Nasi kuning | soto banjar | ayam banjar | sate banjar | bubur ayam banten | ikan bakar | sup ikan akmal | gado gado kemuning | bakso awang long | rojak singkil | puyu bakar | terong bakar | gangan asam ,http://www.samarindakota.go.id/,"walikota.jpg (https://dl.airtable.com/ImIhDWLSTwauozVvW18T_walikota.jpg),map.jpg (https://dl.airtable.com/cWoF9hKS12YKybWtABAN_map.jpg),wakil-walikota.jpg (https://dl.airtable.com/hzNgPUJAQ5SNFuOMYNN1_wakil-walikota.jpg),logo.jpg (https://dl.airtable.com/LSEdsxn7QnivtM4w6lxG_logo.jpg)"
