Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN LAMPUNG BARAT,"Kabupaten Lampung Barat adalah salah satu kabupaten di provinsi Lampung, Indonesia. Ibu kota kabupaten ini terletak di Liwa. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 6 Tahun 1991 tanggal 16 Agustus 1991 yang merupakan hasil pemekaran dari Kabupaten Lampung Utara. Saat ini Bupati Kabupaten Lampung Barat adalah Drs. Mukhlis Basri dan Wakilnya Drs.hi.makmur azhari [5] Kabupaten ini dominan dengan perbukitan dengan pantai di sepanjang pesisir barat Lampung. Daerah pegunungan yang merupakan punggung Bukit Barisan, ditempati oleh vulkanik quarter dari beberapa formasi. Daerah ini berada pada ketinggian 50 - > 1000 mdpl. Daerah ini dilalui oleh sesar Semangka, dengan lebar zona sebesar ± 20 Km. Pada beberapa tempat dijumpai beberapa aktivitas vulkanik dan pemunculan panas bumi.",Lampung,Liwa,"Drs. Hi. Mukhlis Basri, MM",Drs. Hi. Makmur Azhari,"3.368,14 km2",419.037 jiwa (2010),"124,41 jiwa/km2",0726,kawasan wisata terpadu lumbok ranau | wisata paralayang | wisata alam pekon hujung | wisata alam kubu perahu | desa wisata lumbok | danau suoh | arung jeram | pantai tanjung setia | pantai labuhan jukung | pantai way jambu | pantai way sindi | pantai suka negara | pantai way haru,kentang | cabai merah | kubis | labu siam | tomat | wortel | buncis | sawi | tanaman anggrek | helicona | krisan | sedap malam | melati | palem | bougenvill | herbra,Seruit | Tempoyak | Sambal halipu lampung | keripik pisang | kemplang | pindang | bakso soni | gulai taboh | gabing | engkak | umbu | ,www.lampungbaratkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/dqfSc8l2Q7Cw5D5myo26_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/0Cx3IMWpTkyqoVvUwFvB_map.jpg),logo.png (https://dl.airtable.com/C9vWLSzlTCGmGFh7csQC_logo.png),bupati.jpg (https://dl.airtable.com/OhbEB7hWQHUfadMAhonP_bupati.jpg)"
KABUPATEN LAMPUNG SELATAN,"Kabupaten Lampung Selatan adalah salah satu kabupaten di Provinsi Lampung. Ibu kota kabupaten ini terletak di Kalianda. Kabupaten ini memiliki luas wilayah 2.109,74 km² dan berpenduduk sebanyak kurang lebih 923.002 jiwa (LSDA 2007). Kabupaten Lampung Selatan bagian selatan meruncing dan mempunyai sebuah teluk besar yaitu Teluk Lampung. Di Teluk Lampung terdapat sebuah pelabuhan yaitu Pelabuhan Panjang di mana kapal-kapal dalam dan luar negeri dapat merapat. Secara umum pelabuhan ini merupakan faktor yang sangat penting bagi kegiatan ekonomi penduduk Lampung, terutama penduduk Lampung Selatan. Pelabuhan ini sejak tahun 1982 termasuk dalam wilayah Kota Bandar Lampung.",Lampung,kalianda,"DR. H. Zainudin Hasan, M.Hum",Nanang Ermanto,"2.007,01 km2",932.552 jiwa (2012),"464,65 jiwa/km2",0727,Air Terjun Way Peros | Goa MajaPantai Air Panas | Pantai Bagus | Pantai Guci Batu Kapal | Pantai Kresna | Pantai Marina | Pantai Merak Belatung | Pantai Sapenan | Pantai Tanjung Beo | Pantai Way Urang | Pantai Sebalang / Wisata Bahari Saburai | Pantai Tarahan / Tanjung Selaki | Pulau Pasir | Pantai Tarahan | Pantai Alami,peternakan sapi potong | pertanian jagung | pertanian ubi kayu | perkebunan kopi | perkebunan kelapa | perkebunan karet | perkebunan lada | perkebunan tebu ,keripik nagka | geguduh | lapis legit | sambal asam kembang | Seruit | Tempoyak | Sambal halipu lampung | keripik pisang | kemplang | pindang | bakso soni | gulai taboh | gabing | engkak | umbu | ,www.lampungselatankab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/aqdYiLSERC6QWYJiHRdm_wakil-bupati.jpg),map.png (https://dl.airtable.com/mnSAO4akT2OdJ29BXmFj_map.png),logo.jpg (https://dl.airtable.com/6cN6FuHRlChZ0ciRMkhT_logo.jpg),bupati.jpg (https://dl.airtable.com/l1zFf9YWTpqc1P2aspQJ_bupati.jpg)"
KABUPATEN LAMPUNG TENGAH,"Kabupaten Lampung Tengah adalah salah satu kabupaten di Provinsi Lampung, Indonesia. Ibu kota kabupaten ini terletak di Gunung Sugih. Kabupaten ini memiliki luas wilayah 9.189,50 km² dan berpenduduk sebanyak 1.109.884 jiwa (tahun 2004). Merupakan salah satu kabupaten yang terkurung daratan/land lock di provinsi Lampung. Kabupaten ini terletak sekitar 75 kilo meter dari ibukota provinsi Lampung yaitu Kota Bandar Lampung dan dapat ditempuh dari ibukota selama sekitar 1,5 jam dengan memakai Bus atau Mobil.",Lampung,Gunung Sugih,"H. A. Pairin, S.Sos ","Ir Mustafa, MH","4.789,82 km2",1.170.717 jiwa (2010),"244,42 jiwa/km2",0725,air terjun palak siring | air terjun desa balam | tapak balai | taman nasional kerinci seblat | taman laut enggano | pusat pelatihan gajah | kawasan pantai putri hijau | curug sembilan,pertanian jagung | pertanian ubi kayu | perkebunan kopi | perkebunan kelapa | perkebunan karet | perkebunan lada | perkebunan tebu ,geguduh | lapis legit | sambal asam kembang | Seruit | Tempoyak | Sambal halipu lampung | keripik pisang | kemplang,www.lampungtengahkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/cfAMvsXkTYm9chBsVlCL_wakil-bupati.jpg),map.png (https://dl.airtable.com/kHEX3TX2T1Gi6ol3lNII_map.png),logo.png (https://dl.airtable.com/jqntPkMZRN6UYaykK6qG_logo.png),bupati.jpg (https://dl.airtable.com/6uFuyStCR4egA3ssetc5_bupati.jpg)"
KABUPATEN LAMPUNG TIMUR,"Kabupaten Lampung Timur adalah salah satu kabupaten di Provinsi Lampung, Indonesia. Ibu kota kabupaten ini terletak di Sukadana. Kabupaten ini memiliki luas wilayah 5.300 km² dan berpenduduk sebesar 989.639 jiwa (sensus 2010). Kabupaten ini memiliki semboyan ""Bumei Tuwah Bepadan"". Saat ini, Kabupaten Lampung Timur dipimpin oleh seorang pelaksana tugas yang ditunjuk oleh Gubernur Lampung, Tauhidi, karena masa jabatan bupati sebelumnya, Erwin Arifin, telah usai sebelum diadakannya pemilihan umum bupati. Kabupaten ini sebelumnya termasuk dalam Kabupaten Lampung Tengah.",Lampung,Sukadana,Hj. Chusnunia Chalim,Hi. Zaiful Bokhari,"5,300 km2","951,639 jiwa (2010)","179,55 jiwa/km2",0725,agro wisata | museum budaya | persinggahan way curup | sesat agung | suaka rhino sumatera | taman nasonal way kambas | taman purbakala pugung raharjo | taman wisata tirta swadaya | pesona pantai labuhan maringgai,Pasir Kwarsa | Pasir Bangunan | Batu Basalt | Lempung | Sumber Air Bersih/ Mineral | perikanan udang | ikan pari | kakap | ikan patin | lele | ikan mas | gurame,Tempoyak | Sambal halipu lampung | keripik pisang | kemplang | pindang | bakso soni | gulai taboh | gabing | engkak | umbu | ,www.lampungtimurkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/sHL7wGw4RVqI2b54FtwP_wakil-bupati.jpg),map.png (https://dl.airtable.com/hg49wf1TvCwffaHc4Eqp_map.png),logo.png (https://dl.airtable.com/KfMpaLsIQg6v6duMkksO_logo.png),buppati.jpg (https://dl.airtable.com/hBg0LARVScS1E4nzjopp_buppati.jpg)"
KABUPATEN LAMPUNG UTARA,"Kabupaten Lampung Utara adalah salah satu kabupaten di Provinsi Lampung, Indonesia. Kabupaten ini dulunya adalah kabupaten terluas/terbesar di Provinsi Lampung yang sekarang meliputi Kabupaten Lampung Utara sendiri, Kabupaten Way Kanan, Kabupaten Lampung Barat (yang melahirkan Kabupaten Pesisir Barat), dan Kabupaten Tulang Bawang (yang melahirkan Kabupaten Tulang Bawang Barat dan Kabupaten Mesuji).",Lampung,Kotabumi,"H. Agung Ilmu Mangkunegara, STP, MM.","Dr H. Sri widodo, M.Kes., Sp.PD.","2.725,63 km2",602.727 jiwa (2015),"221,13 jiwa/km2",0724,"Pusat Latihan Gajah (PLG) | Bumi perkemahan(Way Kambas) | Penangkaran Badak Sumatera(Way kanan) | Rawa kali Biru(Way kanan) | Rawa Gajah(Way kanan)
Kuala Kambas(Way kanan) | Situs Purbakala Pugung Raharjo | Desa Tradisional Wana | Taman Agro Wisata | Danau Way Jepara | Danau Way Kawat | Pesanggrahan Way Curup | Wisata Magrove",pertanian padi | pertanian ubi kayu | pertanian jagung | peternak sap potong | peternak ayam potong | perkebunan kopi | perkebunan lada | perkebunan karet | perkebunan tebu | perkebunan singkong,keripik pisang | kemplang | pindang | bakso soni | gulai taboh | gabing | engkak | umbu | ,www.lampungutarakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/3kUhjjRYR8yMQ9TiG2Lv_wakil-bupati.jpg),map.png (https://dl.airtable.com/auf7B7xYTPCBjhud8au9_map.png),logo.png (https://dl.airtable.com/Z1w7jDTjT5SvdMdE0oHM_logo.png),bupati.jpg (https://dl.airtable.com/IMyevNqoQN2beEaeJmS6_bupati.jpg)"
KABUPATEN MESUJI,"Kabupaten Mesuji adalah salah satu kabupaten di Provinsi Lampung, Indonesia. Mesuji merupakan kabupaten dengan jarak terjauh dari Bandar Lampung, ibukota Lampung, serta berbatasan langsung dengan Kabupaten Ogan Komering Ilir Provinsi Sumatera Selatan. Kabupaten ini memisahkan diri dari kabupaten Tulang Bawang dan diresmikan oleh Menteri Dalam Negeri Indonesia, Mardiyanto, pada 29 Oktober 2008. Luas wilayah kabupaten ini adalah 2.184,00 km² sedangkan jumlah penduduknya sebanyak 189.999 jiwa (2006).",Lampung,Mesuji,"H. Khamamik, S.H",H. Ismail Ishak,2.184 km2,219.654 jiwa (2012),"100,57 jiwa/km2",0726,Air terjun Curup Paten | Taman Wisata Bendungan Way Rarem | Way Tebabeng | Bendungan Tirta Shinta | Kermat Semul Asem | Minak Trio Deso | Curup Selampung | Curup | Kelawas Indah | Curup Ateng | Taman Olah Seni,pertanian kedelai | pertanian padi | pertanian ubi kayu | pertanian jagung | peternak sap potong | peternak ayam potong | perkebunan kopi | perkebunan lada | perkebunan karet | perkebunan tebu | perkebunan kacang hijau | perkebunan ubi jalar,pindang | bakso soni | gulai taboh | gabing | engkak | umbu |,www.mesujikab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/QpIJxyvoTqyFkKu7UxK4_wakil-bupati.jpg),Map.jpg (https://dl.airtable.com/DN9SGpKRvi7So9bsBVce_Map.jpg),logo.jpg (https://dl.airtable.com/H39cGcPOR8a34T0ewUyj_logo.jpg),bupati.jpg (https://dl.airtable.com/WkzWYsFPRCC1PoG41hek_bupati.jpg)"
KABUPATEN PESAWARAN,"Kabupaten Pesawaran adalah salah satu kabupaten di Provinsi Lampung, Indonesia. Kabupaten ini diresmikan pada tanggal 2 November 2007 berdasarkan Undang-Undang Nomor 33 Tahun 2007 tentang Pembentukan Kabupaten Pesawaran. Semula kabupaten ini merupakan bagian dari Kabupaten Lampung Selatan. Daerah ini kaya akan sumberdaya alam pertanian, perkebunan dan kehutanan. Secara umum memiliki iklim hujan tropis sebagaimana iklim Provinsi Lampung pada umumnya, curah hujan per tahun berkisar antara 2.264 mm sampai dengan 2.868 mm dan hari hujan antara 90 sampai dengan 176 hari/tahun.",Lampung,Gedong Tataan,"H. Dendi Ramadhona, ST","Eriawan, SH","1.173,77 km2",398.848 jiwa,"339,8 jiwa/km2",0721,antai Cuku Upas | Pantai Sekar Wana | THR Ringgung (akses ke pulau tegal) | Pantai Mutun (akses ke pulau tangkil) | Pantai Kelapa Rapet Air Terjun Kembar | Air Terjun Ciupang (Muara) | Air Terjun Gunung Minggu | Air Terjun Abah Uban | Tahura wan Abdurrahman | Pulau Umang umang | Pulau Tangkil | Pulau Seserot | Pulau Pahawang Lunik | Pulau Tega | Pulau Maitem | Pulau Pahaw | Pantai Pancur Permai | Pulau Legundi | Pulau Balak | Lunik Resort | Air Terjun Gunung Tanjung,pertambangan mineral | pertambangan batubara | batu andesit | tanah urug | silika/kuarsa | pasir sungai | batu kapur | biji besi | emas | mangan,kemplang | pindang | bakso soni | gulai taboh | gabing | engkak | umbu | selimpok,www.pesawarankab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/JvD3rJAStWQQglA1s9cg_wakil-bupati.jpg),map.png (https://dl.airtable.com/FFqDCXYeRBeDJcNCVImv_map.png),logo.png (https://dl.airtable.com/DIi5hqR3CEARjzkfHWgA_logo.png),bupati.jpg (https://dl.airtable.com/MoJEXbflQGigaMu8UfGI_bupati.jpg)"
KABUPATEN PESISIR BARAT,"Kabupaten Pesisir Barat merupakan sebuah kabupaten termuda di Provinsi Lampung. Pesisir Barat merupakan hasil pemekaran Kabupaten Lampung Barat, yang disahkan pada tanggal 25 Oktober 2012.
",Lampung,Krui,"DR. Drs. H. Agus Istiqlal, SH., MH","Erlina, SP., M.H","2.907,23 km2",135.684 jiwa,"46,67 jiwa/km2",0728,rhino camp sukaraja atas | eko wisata pemerihan | penangkaran penyu muara tembulih | pantai way jambu | pantau karang nyimbor tanjung setia | pantai mandiri | labuhan jukung krui | repong damar pahmungan | goa matu | pulau pisang | kerramat manula,asir besi | batuan hias taman | peternakan kerbau | peternakan sapi | peternakan babi | peternakan kambing | peternakan itk | pepternakan ayam | peternakan buras | pertanian padi | perkebunan aren | perkebunan kelapa | perkebunan kelapa sawit | perkebunan cengkeh | perkebunan karet | perkebunan kakao,sate blue marlin | keripik pisang | kemplang | pindang | bakso soni | gulai taboh | gabing | engkak | umbu ,www.pesisirbaratkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/mXBp67eoTLiopULUG72R_wakil-bupati.jpg),map.png (https://dl.airtable.com/paihqoxS0BaGsShPcNwQ_map.png),logo.jpg (https://dl.airtable.com/qpGHEtdCQFqPLoj7nOZh_logo.jpg),bupati.jpg (https://dl.airtable.com/OEXu2PpfQXGXNu5Lxpa5_bupati.jpg)"
KABUPATEN PRINGSEWU,"Pringsewu adalah salah satu kabupaten di Provinsi Lampung, Indonesia. Kabupaten ini disahkan menjadi kabupaten dalam Rapat Paripurna DPR tanggal 29 Oktober 2008, sebagai pemekaran dari Kabupaten Tanggamus. Kabupaten ini Terletak 37 kilometer sebelah barat Bandar Lampung, ibu kota provinsi.
",Lampung,Pringsewu,H. Sujadi Saddat,"H. Handitya Narapati, SH",625 km2,370.157 jiwa (2013),"592,25 jiwa/km2",0729,Kolam Renang Grojogan Sewu | Kolam Pemancingan Sembilan | makam KH Ghalib | Goa maria La Verna | goa selapan | telaga gupit | bangunan pura bukit hindu,galian mangan | bentonit | marmer | biji besi | silika | biorit | andesit | perikanan lele | perikanan mas | perikanan nila | perikanan belut | perikanan patin | tomat | tanaman palawija | cabe | sayur mayur | peternak sapi | peternak kerbau | peternak domba | peternak ayam | peternak kambing | peternak ayam,abon lele | lapis legit | sambal asam kembang | Seruit | Tempoyak keripik pisang | kemplang | pindang | bakso soni | gulai taboh | gabing | engkak | umbu ,www.pringsewukab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/BQWPLRUoQs8AdPpoiEFh_wakil-bupati.jpg),map.png (https://dl.airtable.com/rix6df7fTQif3JiLHc4n_map.png),logo.png (https://dl.airtable.com/C6Bh9rpZTMOorca0VxsY_logo.png),bupati.JPG (https://dl.airtable.com/H4oiLTMGRV21O88EZyGW_bupati.JPG)"
KABUPATEN TANGGAMUS,"Kabupaten Tanggamus adalah salah satu kabupaten di Propinsi Lampung, Indonesia. Ibu kota kabupaten ini terletak di Kota Agung Pusat. Kabupaten Tanggamus diresmikan berdasarkan Undang-Undang Nomor 2 Tahun 1997, tanggal 21 Maret 1997. Kabupaten ini memiliki luas wilayah 2.731,61 km² dan berpenduduk sebanyak 536.613 jiwa dengan kepadatan penduduk 178 jiwa/km².",Lampung,Kota Agung Pusat,"Hi. Bambang Kurniawan, S.T","Hi.Samsul Hadi, M.Pd.I","2.731,61 km2",548.728 jiwa (2013),"200,88 jiwa/km2",0722,Wisata Pantai Terbaya | Gisting dan Kawasan Batu keramat | Taman Nasional Bukit Barisan Selatan | air terjun way lalaan  | air terjun  jeram semaka | air terjun curup way kerap | air terjun curup karang agung | air terjun way nyapuk | air terjun way tapisan | pantai mulang sayang | pantai batu malang,pertmabangan emas  | mangan | silika | biji besi | galena | batu kapur | pasir besi | batu kali | andesit | seng | batubara | zeolite | batu gamping | belerang | batu apung | granite | lempung | ,"pindang | Seruit | Tempoyak | Sambal halipu lampung | keripik pisang | kemplang | pindang
",www.tanggamus.go.id,"wakil-bupati.jpg (https://dl.airtable.com/paDOy49RkgytMZhCJ78Q_wakil-bupati.jpg),map.png (https://dl.airtable.com/jHbmDDH2TxiCFK5zCTth_map.png),log.jpg (https://dl.airtable.com/0YdSdmDjTB2UsMtKTCOa_log.jpg),bupati.jpg (https://dl.airtable.com/00UBdR2nQBu7Ix41ODkz_bupati.jpg)"
