Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN HALMAHERA BARAT,"Kabupaten Halmahera Barat adalah salah satu kabupaten di provinsi Maluku Utara, Indonesia. Ibukota kabupaten ini terletak di Jailolo.Kabupaten ini memiliki luas wilayah 2.755 km2 dan berpenduduk sebanyak 94.644 jiwa (2004). Sejumlah tersebut laki-laki 48.979 jiwa dan perempuan 45.666 jiwa. Jumlah penduduk di Kabupaten ini 10,34 persen dari jumlah penduduk Maluku Utara yang 910.656 jiwa.",Maluku Utara,Jailolo,Ir. Namto H. Roba,"Ahmad Zakir Mando, S. Sos",2.755 km²,94.644 jiwa (2004),34 jiwa/km2,927,Pantai disa | pantai gamsungi | pantai bataka | pantai tobaol | teluk jailolo | pantai tuada | pantai idamdehe | gunung gamgonora | air panas desa akesibu | pantai kahatola | makam banau | pantai kahatola | pantai guaeria | pantai tuada | ,Jagung | kedelai | nanas | pisang | ubi jalar | ubi kayu | kakao | kopi | kelapa | aren | cengkeh | jambu mete | kapuk | kayu manis | lada | pala ,Gohu ikan | gatang kenari | halua kenari | papeda | nasi jaha | ,http://www.halbarkab.go.id/,"map.jpg (https://dl.airtable.com/dvBlrSTSGSdMEFXYjf3w_map.jpg),bupati.jpg (https://dl.airtable.com/YGgHkErqQEy2aOzQAA8p_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/2htMLtYbQ5CkFYHqtW4Z_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/GMImVIUQIifk7GsYdO0w_logo.jpg)"
KABUPATEN HALMAHERA TENGAH,Kabupaten halmahera tengah terletak di pulau halmahera yang merupakan pulau terbesar di provinsi maluku utara dan ibukota nya adalah weda . Halmahera terngah memiliki 37 pulau kecil dimana hanya  ada dua pulau yang memiliki penduduk yaitu pulau gebe dan pulau yoi . kabupaten halmahera tengah di dominasi oleh daya tarik wisata alam dan hutan hutan . keberagaman dan kekhasan flora dan fauna baik di laut maupun hutan yang di yang dimiliki halmahera tengah menjadi suatu negeri yang menarik untuk di kunjungi ,Maluku Utara,Weda,"Ir. H. Al Yasin Ali, M.MT",Soksi Hi Ahmad,"8.381,48 km2",30.234 jiwa (2007),"3,61 jiwa/km2",921,Tapeleo batu dua | pulau sayafi | pulau luwo | kepulauan gebe | desa wisata nusliko | gua boki moruru | pulau morr | telaga legaye lol | weda resort | pantai bay wolot | tanjung ngolo popo | ,Ikan calang | perkebunan | cengkeh | cokelat | kakao | pala | kelapa | kapuk | pala | kayu manis | ,Nasi kuning | air guraka | nasi kuning | , 	http://www.haltengkab.go.id/,"bupati.jpg (https://dl.airtable.com/GhPjGQhuRVK36REQbtv3_bupati.jpg),map.jpg (https://dl.airtable.com/8O2cWtIKSmqILsWLHJ3A_map.jpg),logo.jpg (https://dl.airtable.com/IUoyu6sBSWugjrJh7z6x_logo.jpg)"
KABUPATEN HALMAHERA TIMUR,"Kabupaten Halmahera Timur adalah salah satu kabupaten di provinsi Maluku Utara, Indonesia. Ibukota kabupaten ini terletak di Maba. Kabupaten ini memiliki luas wilayah 5.615 km2 dan berpenduduk sebanyak 38.681 jiwa (2000).",Maluku Utara,Maba,"H. Rudi Erawan, SE , M.Si",Muhammad Din,5.615 km2,38.681 jiwa (2007),"6,89 jiwa/km2",927,Danau bicoli | air terjun cibi cebi | air terjun beralapis | air terjun tukur tukur | pantai buli | pantai mabapura | pantai subaim | pantai gotowasi | pantai ekor | pantai lolobata Kali barangka dolong di bacan | cagar alam gunung sibela | pantai tabuji | taman laut kawasan kepulauan widi | pantai pulau sambiki | pantai pulau nusara | taman laut pantai guraici | taman laut pulau lelei | pantai pawate | sumber air panas peleri ,Kelapa | batok kelapa | cengkeh | ikan layang | ikan kembung | ikan teri | kepiting | kanari | kakap merah | pisang pisang | baronang | rumput laut | teripang | teripang lotong | teripang hitam Kelapa | batok kelapa | cengkeh | ikan layang | ikan kembung | ikan teri | kepiting | kanari | kakap merah | pisang pisang | baronang | rumput laut | teripang | teripang lotong | teripang hitam ,Air guraka | suami | sagu | gohu | pisang goreng sambal ,http://haltimkab.go.id/,"map.jpg (https://dl.airtable.com/cEb6vjZ8Q2RydkShIjk4_map.jpg),bupati.jpg (https://dl.airtable.com/y9d2yF2lTiaTsTx08myq_bupati.jpg),logo.jpg (https://dl.airtable.com/rPcT1RUqTWqnktJMOh1g_logo.jpg)"
KABUPATEN HALMAHERA SELATAN,"Kabupaten Halmahera Selatan adalah salah satu kabupaten di provinsi Maluku Utara, Indonesia. Ibu kota kabupaten ini terletak di Labuha. Kabupaten ini memiliki luas wilayah 8.892 km² dan berpenduduk sebanyak 147.919 jiwa (2000). Pada sebelah barat kabupaten halmahera berbatasan dengan laut maluku dan sebelah timur berbatasan dengan laut halmahra pada sebelah utara berbatasan dengan kota tidore kepulauan dan kota ternate yang terakhir pada sebelah selaran  berbatasan dengan laut seram ",Maluku Utara,Labuha,Muhammad Kasuba,Rusdan T. Haruna,8.892 km2,198.911 jiwa (2010),"22,37 jiwa/km2",927,Kali barangka dolong di bacan | cagar alam gunung sibela | pantai tabuji | taman laut kawasan kepulauan widi | pantai pulau sambiki | pantai pulau nusara | taman laut pantai guraici | taman laut pulau lelei | pantai pawate | sumber air panas peleri ,Cengkeh | pala | kelapa | lada | tambang emas | batubara | nikel | ,Pelita | sagubi | kasida | es pijang ijo | lapis lanso | sashimi ,http://www.halselkab.go.id/,"bupati.jpg (https://dl.airtable.com/5Hx2dVs8T0uR5yuSyXU1_bupati.jpg),map.jpg (https://dl.airtable.com/P86XJqMkTZxuQGb4YMP3_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/jSiTqI7NQvGUy6ZJEKWb_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/1kZgKQ1ORL2Gh3TLlCoi_logo.jpg)"
KABUPATEN HALMAHERA UTARA,"Secara geografis, Kabupaten Halmahera Utara berada pada posisi kordinat 10,57'-20,0' lintang Utara dan 128,17'-128,18' bujur timur.Kabupaten Halmahera Utara (Halut) terbentuk pada 31 Mei 2003 dengan ibukota Tobelo. Sejalan dengan pembentukan kabupaten baru, maka kecamatan dan desa pun dimekarkan. Sembilan kecamatan dimekarkan menjadi 22 kecamatan dan 174 desa menjadi 260 desa. Pada tahun 2009, seiring ditetapkannya Pulau Morotai sebagai kabupaten tersendiri maka jumlahnya pun berubah menjadi 17 Kecamatan dan 196 desa.Dengan demikian, secara administratif Kabupaten Halmahera Utara berbatasan dengan Kabupaten Pulau Morotai di sebelah utara, Kabupaten Halmahera Timur di sebelah timur, Kabupaten Halmahera Barat di sebelah selatan maupun barat. Jumlah penduduk kabupaten Halmahera Utara tahun 2012 adalah 179.566 jiwa dimana 52% berkelamin pria dan 48% wanita. Populasi terbanyak tercatat di Kecamatan Tobelo dengan 35.639 jiwa, sedangkan Kecamatan Kao Teluk adalah yang paling sedikit dengan 3.933 jiwa.",Maluku Utara,Tobelo,Hein Namotemo,Rusman Soleman,24.983 km2 ,220.765 jiwa (2007,"8,84 jiwa/km2",0924,Telaga biru | meriam pune | gunung api dokono | telaga duma galela | pulau tegalaya | pulau kakara | terowongan jepang perang dunia II | pulau kumo | pantai kupakupa | telaga paca | pantai sosol | air panas mamuya | pantai luari | pulau bobale | rumah adat hibualamo | pantai dorume | taman laut tobotobo ,Jeruk | langsat | rambutan | mangga | durian | kelapa | cengkeh | kakao | pala | kopi | ayam petelur | babi | hutan lindung | hutan produksi | hutan tanaman industri | emas | pasir besi | tembaga | ,"Papeda | ola ola 
",www.halmaherautara.com,"wakil-bupati.jpg (https://dl.airtable.com/SP3q0yXRRmEYsBR2VaFw_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/kjcVAioRYagkD3nZEUnA_map.jpg),logo.jpg (https://dl.airtable.com/ffugyfhUTEm6Lt2tP5q2_logo.jpg),bupati.jpg (https://dl.airtable.com/0NWKTNdQqymHlBAq3hHw_bupati.jpg)"
KABUPATEN KEPULAUAN SULA,"Kabupaten Kepulauan Sula adalah salah satu kabupaten di provinsi Maluku Utara, Indonesia.
Kabupaten Kepulauan Sula dengan ibukota Sanana terletak paling Selatan di wilayah Provinsi Maluku Utara. Jarak dari Kota Ternate, ibukota provinsi sekitar 284 km dapat ditempuh melalui penerbangan udara dan pelayaran laut.Kabupaten Kepulauan Sula pada awalnya menjadi bagian dari Kabupaten Halmahera Barat, bersama-sama dengan Kabupaten Halmahera Utara dan Kabupaten Halmahera Selatan.",Maluku Utara,Sanana,Ahmad Hidayat Mus,Ahmad Hidayat Mus,9.632 km2,132.524 jiwa,"13,76 jiwa/km2",929,Pulau pagama | benteng de verwatching | pantai fukweu | pantai wa ipa | pantai mangoli | air terjun wailau | teluk paslal | pantai manaf | selat capalulu | pantai fat fina koa | pantai waigoiyofa | telaga kabau ,Langsat | manggis | durian | mangga | hutan lindung | cengkeh | pala | kakao | sumber bahan galian a dan c | tambang minyak dan gas | zeolit | andesit |,Papeda | air goraka | ikan kuning | ulang ulang | ,kepsulkab.bps.go.id/,"bupati.JPG (https://dl.airtable.com/JVrXCYOySobENq4jjNYR_bupati.JPG),wakil-bupati.jpg (https://dl.airtable.com/ostOpEFTRLicjv27q6VV_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/jPpe2MwASV2I27OIT0U3_map.jpg),logo.jpg (https://dl.airtable.com/H5YN1s8qSyyKaHmaoegw_logo.jpg)"
KABUPATEN PULAU MOROTAI,"Pulau Morotai (695 mil persegi/1.800 km²) adalah nama sebuah pulau sekaligus kabupaten definitif baru yang terletak di kepulauan Halmahera, Kepulauan Maluku, Indonesia. Sebagai bagian dari Provinsi Maluku Utara, ia merupakan salah satu pulau paling utara di Indonesia.Kabupaten Pulau Morotai diresmikan oleh Menteri Dalam Negeri Indonesia, Mardiyanto, pada 29 Oktober 2008, sebagai hasil pemekaran dari Kabupaten Halmahera Utara.",Maluku Utara, 	Daruba,Rusli Sibua,Weni R. Paraisu, 	2.476 km2,119.063 jiwa (2009),"48,09 jiwa/km2",0923,Pulau sumsum | pulau dodola | pulau ngelengele | tanjung gorango | air terjun leo leo | batu kopi | pantai gorua | air terjun raja | tanjung sopi | taman kota daruba | monumen teuro nakamura | air terjun nakamura | bere bere kecil | landasan pitu | air kaca | pulau tabailenge | pantai rorasa | air terjun bunga kokota |,Emas | biji besi | cengkeh | kelapa | pala | coklat | wortel | sawi | sambiki | labu | wortel | bawang merah | bawang putih ,Bia rica rica | ikan bakar dabu dabu | ikan fufu | kue bubengka | nasi bulu | papeda | ,Situs Pemkab Daerah,"wakil-bupati.jpg (https://dl.airtable.com/CaoVwxEcQ6uwcI9nuTgr_wakil-bupati.jpg),map.png (https://dl.airtable.com/7PriOtQmNWE4jjHv4AU3_map.png),bupati.jpg (https://dl.airtable.com/hoBgVEEmR9Ob9OE5G9mV_bupati.jpg),logo.png (https://dl.airtable.com/wjCMMBQcSi6pL8N49JIu_logo.png)"
KABUPATEN PULAU TALIABU,"Kabupaten Pulau Taliabu adalah salah satu kabupaten di provinsi Maluku Utara, Indonesia. Pulau Taliabu merupakan hasil pemekaran dari Kabupaten Kepulauan Sula yang disahkan dalam sidang paripurna DPR RI pada 14 Desember 2012 di gedung DPR RI tentang Rancangan UU Daerah Otonomi Baru (DOB).jika di lihat dari letak geografisnya pulau talibu berada antara laut maluku bagian utara dan laut banda bagian selatan ",Maluku Utara,Bobong,Pj. Arman Sangadji,-,"15.078,05 km²",56.135 jiwa,4 jiwa/km²,,Pulau samada besar | pulau seho | pulau empat | tanjung kodipo | tanjung kramat | lede | pulau limbo | pantai tikong | air terjun kalimat | pulau tabila | pantai pasir anjing | air gela | pantai pulau woyo | telaga lekitobi | benteng kawalo | pantai losseng | gunung kukusang ,Cengkeh | tuna | cakalang | kerapu | biji besi | galena | padi | jagung | ubi jalar | ,Gatang kenari | papeda | gohu ikan | halua kenari | popeda  | bagea ,,"map.png (https://dl.airtable.com/eNpO4JKQSqo4CiHegFcy_map.png),logo.png (https://dl.airtable.com/sRN0ndajTkl0QX4OAbF2_logo.png)"
KOTA TERNATE,"Kota Ternate adalah sebuah kota yang berada di bawah kaki gunung api Gamalama pada sebuah Pulau Ternate di Provinsi Maluku Utara, Indonesia.Ternate menjadi satu kota otonom sejak 4 Agustus 2010, dan menjadi Ibukota sementara Provinsi Maluku Utara sampai Sofifi yang menjadi ibukotanya di Pulau Halmahera siap secara infrastruktur.",Maluku Utara,Ternate,Burhan Abdurrahman,Arifin Djafar,"111,39 km2",185.705 jiwa[2] (2010),,0921,"Benteng tolukko | benteng oranje | benteng kalamata | benteng kota janji | benteng kastela | pantai sulamadaha | danau laguna | danau tolire | pantai bobahena lci | batu angus | keraton kesultaan ternate | 

","Ubi kayu | ikan legis besar | tuna | cakalang | tongkoh | kakap | tenggiri | ikan teri | ikan kembung | layar selar | julung | ikan demersal | kakap merah | lobster | ikan kerapu | 
",Sagu | nasi jaha | nasi bambu | gohu ikan | ikan bakar colo colo | sayur garu | lalampa | bagea | nasi kuning ternate ,http://www.ternatekota.go.id/,"map.jpg (https://dl.airtable.com/sbKrhxoESxGSF7IgV2XL_map.jpg),walikota.jpg (https://dl.airtable.com/c2ajQSESTBl5INY7K6kg_walikota.jpg),wakil-walikota.jpg (https://dl.airtable.com/Mi5tr4pjRsuXmYoBQlie_wakil-walikota.jpg),logo.jpg (https://dl.airtable.com/fEWERDUVSNeptRbEdCvv_logo.jpg)"
KOTA TIDORE KEPULAUAN,"Kota Tidore Kepulauan adalah salah satu kota di provinsi Maluku Utara, Indonesia. Kota ini memiliki luas wilayah 9.564,7 km² dan berpenduduk sebanyak 98.025 jiwa (2010).Sampai tahun 2010, kota ini dipimpin oleh wali kota Drs. H Achmad Mahifa dan wakil wali kota Salahuddin Adrias, ST. Visi kota ini adalah ""Terwujudnya Kota Tidore Kepulauan yang Beriman, Maju, Mandiri dan Berperadaban"".",Maluku Utara,Tidore,Achmad Mahifa,Hamid Muhammad,"9.564,7 km²",98.025 jiwa (2010),51 jiwa / km2,0921,Puncak kie matubu | benteng tore dan tahula | pulau failonga | pantai cobo | taman laut pulau maitara | pulau mare | pantai ake sahu | air tejun luku cileng  | air terjun goheba | pantai rum | museum kesultanan tidore ,terumbu karang | gas bumi | timah | biji besi | rumput laut | ikan kerapu | kakp | baronang ,Sayur papeda | kue panada | ikan pindang tidore | ikan panggang rica rica | pupeda,https://www.tidorekota.go.id/,"map.jpg (https://dl.airtable.com/krvgWMCcTRGzicthaMCv_map.jpg),wakil-walikota.jpg (https://dl.airtable.com/60yxM9bSBy6zEyRqOovA_wakil-walikota.jpg),walikota.JPG (https://dl.airtable.com/NGDHAj0XRoOjyA5oh33r_walikota.JPG),logo.jpg (https://dl.airtable.com/E2UmphntR5KcPlLPHM18_logo.jpg)"
