Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BURU,"Kabupaten Buru adalah salah satu kabupaten di provinsi Maluku, Indonesia. Ibukota kabupaten yang berada di Pulau Buru ini terletak di Namlea.Dengan telah disahkannya Undang Undang Nomor 32 Tahun 2008 tentang Kabupaten Buru Selatan, maka luas wilayah Kabupaten Buru telah berkurang menjadi 7.594,98 Km² yang terdiri dari luas daratan 5.577,48 Km² dan luas lautan 1.972,5 Km² serta luas perairan 57,4 Km² dengan panjang garis pantai 232,18 Km². Sedangkan berdasarkan letak astronomi, Kabupaten Buru berada pada titik koordinat : o Bujur Timur : 125070’ – 127021’ BT o Lintang Selatan : 2025’ – 3055’ LS",Maluku,Namlea,"Ramly Umasugi, S.Pi, MM", Ir. Juhana Soedradjat,12.655 km2,108.445 jiwa (2010),"8,57 jiwa/km2",0913,Pantai jikumerasa | danau rana | pantai merah putih namlea | air terjun waeura | patai ratu waeperang | waspait resort | pantai lala | telaga jiku merasa | sunset pantai waplau | air terjun dataran tinggi rana | teluk kayeli | air terjun waetele | hamparan sawah dan gembala | ,Kelapa | cokelat | jambu mete | cengkeh | kopi |  pala | ikan tuna | ikan luion | ikan puri | rumput laut | sapi | kerbau | kuda | kambing | babi | ayam buras | itik | kayu bulat | minyak kayu putih | kemedangan | damar | rotan | batu gamping | lempung | sirtu darat | sirtu sungai ,Wajik Hotong | cake roll ubi ,http://www.burukab.go.id/,"map.jpg (https://dl.airtable.com/ZblDV6eaQn8zj7SJODKX_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/KSbRlSgpTsGZziUx8GBG_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/c7izr4GCTZCmJnjEiik8_bupati.jpg),logo.jpg (https://dl.airtable.com/m789PnjfRfKTUh10uTSO_logo.jpg)"
KABUPATEN BURU SELATAN,"Kabupaten Buru Selatan adalah sebuah kabupaten di Provinsi Maluku, Indonesia. Ibukotanya adalah Namrole. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 32 Tahun 2008 yangt merupakan pemekaran dari Kabupaten Buru.Komposisi penduduk Kabupaten Buru Selatan terdiri dari orang-orang asli penghuni Pulau Buru kemudian penduduk yang berasal dari pulau Ambalau dan penduduk pendatang yang kebanyakan berasal dari etnis Jawa, Buton dan Bugis.",Maluku,Namrole,Tagop Sudarsono Soulisa,Ayub Seleky,6.723 km2,53.671 jiwa,"7,98 jiwa/km2",913,Pulau Oki | pantai amboti | pantai masnana | pulau tomaho | pantai wali | dermaga batu buatan belanda | pulau ambalau | pemandangan perbukitan mngeswaen | ,galian batu gamping | biotit | bahan tambang geothermal | batu gamping | ,Wajik Hotong | cake roll ubi ,burselkab.go.id/,"map.jpg (https://dl.airtable.com/TN8bNaRyQTqED9ixvQd7_map.jpg),bupati.jpg (https://dl.airtable.com/8vsnkHrhTuihkwKVngK4_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/bE7mr59sRpCtebeUbEPZ_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/l05VoPv2Sqemf2jFaWzR_logo.jpg)"
KABUPATEN KEPULAUAN ARU,"Kabupaten Kepulauan Aru adalah salah satu kabupaten di provinsi Maluku, Indonesia. Ibukota kabupaten ini terletak di Dobo. Kabupaten Kepulauan Aru memiliki hubungan kembar/patner/sister city/twin towns dengan Urk, sebuah kota/gemettee di Belanda. daerah ini memiliki hutan yang sangat luas yg di mana terdapat beberapa hewan langka, di antaranya yakni, Cendrawasih, rusa, kakatua hitam/putih, kanguru, dan masih banyak lagi. namun kepunahan dan kehancuran mengancam fauna-fauna tsb, akibat dari tangan-tangan nakal (Perusahaan Perusak), yg ingin menjadikan daerah ini sebagai lahan usaha raksasa. sangat disayangkan, porak-poranda dan kerusakan yang mengancam Daerah dengan hutan yg begitu subur dan flora-fauna yg makmur ini, tidak mendapat respon sedikitpun dari Pemerintah setempat, maupun Pemerintah pusat. tak hanya hewan dan tumbuhan, Beberapa Desa di Daerah ini yang berada di tengah hutan pun, terancam kesehatan penduduknya dan kehilangan pekerjaan, karna sebagian besar Warga Kepulauan Aru yg Desanya berada dihutan, memiliki pekerjaan sebagai petani, dan makanan mereka pun, semua diperoleh dari hutan Adat setempat.",Maluku,Dobo,dr. Johan Gonga.,,6.325 km2,84.138 jiwa (2010),"13,3 jiwa/km2",0917,Kampung mesiang | kampung longgar dan apara | kampung durjela | kampung wangel | kampung wokam | benteng kotalama | kampung waifual | kampung langhalau | kampuang kolamar | kampung ujir | kampung nafar | kampung maekor | kampung benjuring | desa samang | ,Udang | lobster | taripang | rumput laut | kerang mutiara,Pom pom | gohu ikan | gatang kenari | halua kenari | papeda | nasi jaha | ikan kyah pala banda | nasi lapola khas maluku | ikan komu asar | ,kepulauanarukab.go.id/,"map.jpg (https://dl.airtable.com/xxncLXXHSCwazof9Fa77_map.jpg),bupati.jpg (https://dl.airtable.com/e9MyvANGRAyBYB434REQ_bupati.jpg),logo.jpg (https://dl.airtable.com/1u5LltRhTZmpDrv4aChY_logo.jpg)"
KABUPATEN MALUKU BARAT DAYA,"Kabupaten Maluku Barat Daya adalah sebuah kabupaten di Provinsi Maluku, Indonesia. Ibukotanya adalah Tiakur. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 31 Tahun 2008 yang merupakan pemekaran dari Kabupaten Maluku Tenggara Barat. kabupaten maluku barat daya pada bagian sebelah utara berbatasan dengan laut banda dan kab. maluku tengah , sebelah timur berbatasan dengan kabupaten maluku tenggara barat sebelah selatan berbatsan dengan laut timor dan selat wetar dan pada sebelah barat berbatasan dengan kabupaten alor ",Maluku,Tiakur,Barnabas Orno,Johanis Leteyai,8.648 km2 ,70.372 jiwa (2010),"8,14 jiwa/km2",918,Pantai nama | pulau kisar | pantai uhum purpura | danau tihu ,Perikanan | nanas | pisang | kopi | kako | jambu mete | cengkeh | pala | ,Sagu tumbuh | bagea | bagea kenari | bagea kelapa | bagea gula ,malukubaratdayakab.bps.go.id/,"map.jpg (https://dl.airtable.com/fnlHcujqQZCo1vKi4h2M_map.jpg),logo.jpg (https://dl.airtable.com/ERAQmNTT5CRTgjStQKB6_logo.jpg),bupati.jpg (https://dl.airtable.com/lTJK8cK6TaG1361vAUTn_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/ZkPzxxA9TBKdJ9LR9J4E_wakil-bupati.jpg)"
KABUPATEN MALUKU TENGGARA,"Kabupaten Maluku Tengah adalah salah satu kabupaten di provinsi Maluku, Indonesia. Ibukota kabupaten ini terletak di Masohi.Sebagian wilayahnya berada di Pulau Seram (Kecamatan Amahai dan Tehoru, serta Kota Masohi). Ada dua kecamatan yang terletak di Pulau Ambon (Kecamatan Leihitu dan Salahutu), dan sisanya adalah pulau-pulau di sekitarnya.",Maluku,Masohi,Anderias Rentanubun,Yunus Serang,11.596 km2,361.698 jiwa (2010),"31,19 jiwa/km2",916,Pantai pasir panjang | pantai daftel | pantai ngurtafur pulau warbal | goa hawang | pantai ohoidertawun | pulau batu kapal | taman ziarah | bukit masbait | mata air nen masil evu dan pemandian alam | pantai ngursarnadan | desa budaya tanimbar kei,Rumput laut | laut banda | pelagis kecil | pelagis besar | demersal | mutiara | ,Pom pom | ulat sagu | pisang goreng colo colo | sayur arwan sir sir | kacang botol dan enbal | ,http://www.malukutenggarakab.go.id/,"bupati.JPG (https://dl.airtable.com/2PFVw7mhTvCrTCIFpXCL_bupati.JPG),map.jpg (https://dl.airtable.com/IetY9MtQQYKlNhSjvnqH_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/0ADpHJjNTNiASNNEGUdM_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/AUx0ymAbTNGW3vAyp2ft_logo.jpg)"
KABUPATEN MALUKU TENGAH,"Kabupaten Maluku Tengah adalah salah satu kabupaten di provinsi Maluku, Indonesia. Ibukota kabupaten ini terletak di Masohi.Sebagian wilayahnya berada di Pulau Seram (Kecamatan Amahai dan Tehoru, serta Kota Masohi). Ada dua kecamatan yang terletak di Pulau Ambon (Kecamatan Leihitu dan Salahutu), dan sisanya adalah pulau-pulau di sekitarnya.",Maluku  ,Masohi,Tuasikal Abua,Marlatu L. Leleury, 11.596 km2,361.698 jiwa (2010),"31,19 jiwa/km2",914,Pulau banda | danau rana | pulau buru | pantai waisisil | pantai motoni | goa haya | pantai kulur | wisata bbahari noloth | goa hao pinalo | pantai ora | pantai kaca | pantai ume ,Rumput laut | tiram mutiara | hutan mangrove | padang lamun | alga | ikan tuna | ,Papeda | ikan kuah pala banda | nasi lapola | kohu kohu | ikan komu asar | sagu woku komo komo | sambal colo colo | talam sagu bakar | bubur sagu ubi | kopi sibu sibu ,http://www.malteng.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/js7RyU4ZQZ2nto7sZfXu_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/KkWC3lnkQqu3nRWEsDL9_bupati.jpg),map.jpg (https://dl.airtable.com/H6CkVWgcQwKwtoDmTlF0_map.jpg),logo.jpg (https://dl.airtable.com/Ct6ZtUMyS6iIfJkhqCzQ_logo.jpg)"
KABUPATEN MALUKU TENGGARA BARAT,"Kabupaten Maluku Tenggara Barat (disingkat MTB) adalah sebuah kabupaten di Provinsi Maluku, Indonesia. Ibukota kabupaten ini terletak di Saumlaki.Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 46 Tahun 1999, pemekaran dari Kabupaten Maluku Tenggara. Pada tahun 2008, sebagian wilayah kabupaten ini dimekarkan menjadi Kabupaten Maluku Barat Daya.",Maluku,Saumlaki,Bitzael Salfester Temmar,Petrus P. Werembinan Taborat,"124,1 km2",149.790 jiwa (2000),"1.207,01 jiwa/km2",0918,Pantai weluan | pantai weibok | hutan alam nus yanat | hutan alam salir | danau hitu | goa air lubang | taman laut matakus | pantai nus kaha | hutan alam pulau wolas | hutan alam pulau moa | taman laut matakus | taman laut angwarmas | ,"Ikan karang | lobster | udang | cumi cumi | tongkol | tuna | marlin | ikan pedang | tenggiri | hutan lindung | beras merah | jagung | ketela 
 jeruk kisar | jambu mete | kapuk | kelapa | pala | ",Ikan kuah kuning dan papeda | papeda dan kah kuning | papeda dan kuah kuning pedis | papeda | ikan samandar dan colo colo  | ikan samandar asar ,mtbkab.bps.go.id/,"map.jpg (https://dl.airtable.com/C080RgKcSSszRo2WpGok_map.jpg),wakil-bupati.gif (https://dl.airtable.com/myJYy7cPTWSS0Ag15BDc_wakil-bupati.gif),bupati.jpg (https://dl.airtable.com/JupMzTxiQliTAMBYwnNS_bupati.jpg),logo.jpg (https://dl.airtable.com/v4SFsnWkQIa6KuXuvN9A_logo.jpg)"
KABUPATEN SERAM BAGIAN BARAT,"Kabupaten Seram Bagian Barat adalah salah satu kabupaten di provinsi Maluku, Indonesia. Pusat kegiatan sebagian besar berlangsung di Piru, ibukota kecamatan Seram Barat, bukan di Dataran Hunipopu, ibukota versi UU Nomor 40 itu. Karena fasilitas umum lebih lengkap, pada awalnya Kairatu yang diusulkan sebagai ibu kota sementara, tetapi kemudian muncul perdebatan hingga akhirnya Piru yang terpilih. Sementara Hunipopu masih berupa wilayah kosong",Maluku,Piru,Jacobus F. Puttileihalat,M. Husni,"85.953,40 Km2",164.656 jiwa (SP2010),"33,00 jiwa/km²",911,Goa Tengkoran | danau tapala | air terjun sapalewa | air terjun tona | goa luhu | telaga tenggelam | air terjun waimosola | arung jeram | air terjun tel pil | pantai waisamu | air terjun sohar | air terjun tone | air terjun waisia | air terjun wailatu ,Rotan | damar | minyak kayu putih | gaharu | bambu | ,Papeda | ikan kuah | jepa | ikan kuah pala banda | nasi lapola | kohu kohu | ikan komu asar ,sbbkab.bps.go.id/,"bupati.jpg (https://dl.airtable.com/ww5G0FbNTZWfeEGJauw5_bupati.jpg),map.jpg (https://dl.airtable.com/6W2g8BQxQ1mP8bCKCJOQ_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/AxqDZdmTSoKp7wa6vzM2_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/I78YgXSFTByPCnwUSums_logo.jpg)"
KABUPATEN SERAM BAGIAN TIMUR,"Kabupaten Seram Bagian Timur adalah salah satu kabupaten di provinsi Maluku, Indonesia. Ibukota kabupaten ini menurut UU tersebut terletak di Dataran Hunimoa, akan tetapi pusat kegiatan termasuk pemerintahan sementara berlangsung di Bula.",Maluku,Balu ,Abdullah Vanath,Sitti Umuria Suruwaky,"6.429,88 Km2",106.017 Jiwa,,915,Tanjung sesar | pulau kon | pantai englas | pulau karang baik | danau sole ,Kakao | nanas | pisang | kopi | kelapa | cengkeh | jambu mete | pala | kuda | kerbau | sapi | kuda ,papeda | sagu | ikan asar | asida | Ayam bakar | ,sbtkab.bps.go.id/,"bupati.jpg (https://dl.airtable.com/D2IJJ3fBSMmU9gPAcZYf_bupati.jpg),map.jpg (https://dl.airtable.com/J8t8JHdbRtyZZX0gr9Iu_map.jpg),logo.jpg (https://dl.airtable.com/xd2OEngNR16SPpvjyPLz_logo.jpg)"
KOTA AMBON,"Kota Ambon atau Amboina atau Ambonese (kadang dieja sebagai Ambong atau Ambuni) adalah sebuah kota dan sekaligus ibu kota dari provinsi Maluku, Indonesia.Kota ini dikenal juga dengan nama Ambon Manise yang berarti kota Ambon yang indah/manis/cantik, merupakan Kota terbesar di wilayah kepulauan Maluku dan menjadi sentral bagi wilayah kepulauan Maluku. Saat ini kota Ambon menjadi pusat pelabuhan, pariwisata dan pendidikan di wilayah kepulauan Maluku.Kota Ambon berbatasan dengan Laut Banda disebelah selatan dan dengan kabupaten Maluku Tengah di sebelah timur (pulau-pulau Lease yang terdiri atas pulau-pulau Haruku, pulau Saparua, pulau Molana, pulau Pombo dan pulau Nusalaut), di sebelah barat (petuanan negeri Hila, Leihitu, Maluku Tengah dan Kaitetu, Leihitu, Maluku Tengah yang masuk dalam kecamatan Leihitu, Maluku Tengah) dan di sebelah utara (kecamatan Salahutu, Maluku Tengah).",Maluku,-,Richard Louhenapessy,"Muhamad armyn syarif latuconsina , ST., MT ",,"395,423 jiwa",,911,patung pattinmura | patung martha christina tiahahu | tugu dolan | tugu trikora | taman makam pahlawan PD II-australia | monumen jepang | museum siwalima | pantai santai | pintu kota | batu layar ,hutan konvensi | hutan lindung | hutan produksi terbatas | hutan produksi tetap | hutan yang dapat di konvensi | emas | mercuri | perak | logam | kuarsa | minyak bumi | mangaan | kakap putih | kerapu | rumput laut | tiram mutiara | teripang | lobster | ,Papeda dan kuah ikan | rujak nastepa | jus gandaria | kohu kohu | roti kering kenari | ampas terigu | kacang kenari | ikan asar galala  ,http://www.ambon.go.id/,"wakil-walikota.jpg (https://dl.airtable.com/BI1n2WNsRTOfWjKCUgW5_wakil-walikota.jpg),map.jpg (https://dl.airtable.com/CMsDDJhPSxmKrYWEjd4J_map.jpg),walikota.jpg (https://dl.airtable.com/NmMwKmHYQkOtL60OTbL5_walikota.jpg),logo.jpg (https://dl.airtable.com/kyZ3NvFSZqyrOI6ZvWkm_logo.jpg)"
