Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BIMA,"Kabupaten Bima adalah sebuah kabupaten di Nusa Tenggara Barat, Indonesia. Ibu kotanya ialah Woha. Kabupaten Bima  memiliki potensi alam yang luar biasa, baik di darat maupun di laut. Di darat terdapat kandungan tambang berupa marmer, pasir  besi, emas, mangan dan gamping. Di samping itu, terdapat lahan pertanian yang cukup luas, baik lahan ber irigasi  maupun ladang yang cocok untuk perkebunan tanaman tahunan dan keras. Di laut memiliki berbagai macam biota laut seeprti ikan  yang sampai saat ini belum dimanfaatkan secara optimal. Sensus Penduduk 2011, penduduk Kabupaten Bima  sebanyak 443.663 jiwa yang terdiri dari 220.981 jiwa (49,81 persen) laki-laki dan 222.682 jiwa (50,19 persen) perempuan dengan kepadatan penduduk sebanyak 101 jiwa/km².",Nusa Tenggara Barat,Woha,"H. Ferry Zulkarnain, ST",Indah Damayanti Putri,"4.389,4 km2",419.302 jiwa,"95,53 jiwa/km2",0374,Pantai Lawalata | Pantai Kalaki | Pantai Amahami | Pantai Ni u | Pantai Ule | Pantai Kolo | Taman Kota Bima,marmer | pasir | besi | emas | mangan | Bijih Besi | budidaya air payau | mutiara | rumput laut | kedelai | jagung | kacang tanah | bawang merah,Uta Palumara Londe | Uta Sepi Tumis | Kahangga | Uta Maju Puru | Tota Fo'o | Bingka Dolu,http://www.bimakab.go.id/,"bupati.jpg (https://dl.airtable.com/IJc8uIoQNSmn9meVAmk4_bupati.jpg),map.jpg (https://dl.airtable.com/9r02fw2Sp6oku7fm9Avw_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/AMKk0ACuRMeTaQTVJZRl_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/hb5MJrXVRYCVYNwDYZ1j_logo.jpg)"
KABUPATEN DOMPU,"Kabupaten Dompu, adalah sebuah kabupaten di Provinsi Nusa Tenggara Barat, Indonesia. Ibukotanya adalah Dompu. Kabupaten ini berada di bagian tengah Pulau Sumbawa. Wilayahnya seluas 2.321,55 km² dan jumlah penduduknya sekitar 218.000 jiwa. Kabupaten Dompu berbatasan dengan Kabupaten Sumbawa dan Teluk Saleh di barat, Kabupaten Bima di utara dan timur serta Samudera Hindia di selatan. Dompu terkenal sebagai penghasil susu kuda liar dan madu. Selain itu Dompu juga dikenal sebagai daerah yang kaya akan keragaman genetik hewan penghasil daging misalnya kerbau rawa atau kerbau lumpur (sahe dalam bahasa Dompu) yang selama ini belum juga diketahui tingkat keragaman genetiknya dengan kerbau di daerah lain untuk menambah sumber informasi akan kekayaan plasma nutfah di Dompu akan segera dilakukan penelitian yang akan memberikan hasil nyata dari pertanyaan oleh pakar kerbau selama ini. Budaya masyarakat Dompu sangat dekat dengan Kabupaten Bima, Meskipun terdapat sedikit perbedaan dari logat dan bahasanya.",Nusa Tenggara Barat,Dompu,Drs. H. Bambang M. Yasin,"Ir. H. Syamsuddin H Yasin, MM","2.321,55 km2",218.973 jiwa (2010),"94,32 jiwa/km2",0373,Pantai Lakey | Pulau Satonda | Lepadi | Gunung Tambora | Nanga Tumpu | Pantai Ria,Emas | Mangan | Galena/Timbal | Bijih Besi | Marmer | Granodiorit | Batugamping,Timbu dan Dahi | Abon Ikan Marlin | Sepi | Doco Fo'o | Susu kuda liar,http://www.dompukab.go.id/,"map.jpg (https://dl.airtable.com/H7zYixksTJeKg5iTmJiv_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/y6Wpz3BUTIacQa98K9FF_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/TVyrfRTGQHyA994sy80n_bupati.jpg),logo.jpg (https://dl.airtable.com/4WrNQRZxRfqbpiqRXT9C_logo.jpg)"
KABUPATEN LOMBOK BARAT,"Kabupaten Lombok Barat adalah sebuah Kabupaten di provinsi Nusa Tenggara Barat, Indonesia. Ibu kotanya ialah Gerung. Lombok Barat merupakan salah satu kabupaten yang sangat penting untuk Nusa Tenggara Barat, karena merupakan pusat pemerintahan di wilayah ini.",Nusa Tenggara Barat,Gerung,"Dr. H. Zainy Arony, M.Pd.","Fauzan Halid, Msi","1.053,92 km²",620.412 jiwa,"58,2 jiwa/km2",0370,Pantai Senggigi | Taman Narmada | Hutan Sesaot | Pantai Sekotong | Bukit Malimbu | Pantai Kerandangan | Pantai Batu Bolong | Pemandian dan Hutan Lindung Suranadi | Hutan Wisata Pusuk,Emas | Tembaga | Pasir Besi | Perak | Belerang | Batu Apung | Batu Gamping | Marmer,Plecing Kangkung | Ayam Taliwang | Sate Bulayak | Nasi Balap Puyung,http://www.lombokbaratkab.go.id/,"map.jpg (https://dl.airtable.com/NmC6S5nFTqpWR6fVIc0g_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/E5hq1WoASGusFKhbEING_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/58XhBWLQjmZbectTiaZU_bupati.jpg),logo.jpg (https://dl.airtable.com/kPO0LsIgR4uanJPLMzSD_logo.jpg)"
KABUPATEN LOMBOK TENGAH,"Kabupaten Lombok Tengah adalah salah satu Daerah Tingkat II di Provinsi Nusa Tenggara Barat. Ibu kota daerah ini ialah Praya. Kabupaten ini memiliki luas wilayah 1.208,39 km² dengan populasi sebanyak 860.209 jiwa.",Nusa Tenggara Barat,Praya,"H. Moh. Suhaili Fadhil Thohir, SH",Drs. H. L. Normal Suzana,"1.208,39 km2",860.209 jiwa (2010),"711,86 jiwa/km2",0370,Air Terjun Benang Stokel | Air Terjun Kelambu | Teluk Gerupuk | Pantai Seger | Selong Belanak | Pantai Mawi,Emas | Tembaga | Pasir Besi | Perak | Belerang | Batu Apung | Batu Gamping | Marmer,Sate Rembiga | Sate Tanjung | Poteng Jaje Tujak dan Iwel | Bebalung | Beberuk Terong,http://www.lomboktengahkab.go.id,"bupati.jpg (https://dl.airtable.com/Jk7RzOBOR5mrKvYYrIbG_bupati.jpg),map.jpg (https://dl.airtable.com/REkHjCw3RI6NtDEx67gw_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/YuRZAFhLQmuI4fiyuL3n_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/8Wg1USn6Q9m6fNYvS2g4_logo.jpg)"
KABUPATEN LOMBOK TIMUR,"Kabupaten Lombok Timur adalah salah satu Daerah Tingkat II di Provinsi Nusa Tenggara Barat yang terletak di sebelah timur Pulau Lombok. Ibu kota daerah ini ialah kota Selong. Kabupaten ini memiliki luas wilayah 1.605,55 km2 dengan populasi 1.105.582 jiwa.",Nusa Tenggara Barat,Selong,"H. Moch. Ali Bin Dachlan, SH",H. Haerul Warisin,"1.605,55 km2",1.105.582 jiwa (BPS 2010),"688,6 jiwa/km2",0376,Pantai Kaliantan | Tanjung Bloam | Tanjung Ringgit | Tanjung Cina | Gili Sunut | Ekas | Pantai Sorga | Gili Bagek/Gili Kondo | Gili Sulat | Gili Lawang,Jagung | Kedelai |Kentang | Nanas | Pisang | Ubi Jalar | Ubi Kayu | Kakao | Tebu | Kopi | Kelapa | Aren | Cengkeh | Jamb Mete | Jarak | Kapuk | Kemiri | Lada | Pinang | Tembakau | Vanila | Vanili,Plecing Kangkung | Ayam Taliwang | Sate Bulayak | Nasi Balap Puyung,http://www.lomboktimurkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/stlOivkPTJeKYf4Q2Xhu_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/Agabr9vVRcymYkXcpLGx_bupati.jpg),map.jpg (https://dl.airtable.com/su4eIDMBSAmeJaXEbrZY_map.jpg),logo.jpg (https://dl.airtable.com/315e0RGdSzaFozCH1kbs_logo.jpg)"
KABUPATEN LOMBOK UTARA,"Kabupaten Lombok Utara (KLU) adalah sebuah kabupaten di Provinsi Nusa Tenggara Barat, Indonesia. Ibukotanya adalah Tanjung. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 26 Tahun 2008 yang merupakan pemekaran dari Kabupaten Lombok Barat. Merupakan Kabupaten Termuda di NTB memiliki luas 809,53 Km², dan secara geografis berada di Kaki Utara Gunung Rinjani. Daerah ini memiliki sejumlah obyek Wisata yang cukup terkenal di Mancanegara, seperti Gili Terawangan, Air Terjun Sendang Gile Bayan, serta keindahan Danau Segare Anak yang ada di puncak Rinjani dll.",Nusa Tenggara Barat,Tanjung,"Ashari, S.H. M.H.",,"809,53 Km²","215,518 jiwa","0,27 jiwa/km2",0370,Air Terjun Sendang Gila | Air Terjun Tiu Kelep | Air Terjun Gangga | Air Terjun Tiu Pupus | Pantai Sire | Pantai Lokok Piko | Gunung Rinjani | Gunung Baru | Segara Anak | Desa Gumantar | Masjid Kuno Bayan | Gili Air | Gili Trawangan | Gili Meno,Aloevera | Bawang Merah | Ikan Kerapu | Ikan Laut | Jagung | Jeruk | Kakao | Kelapa | Padi | Pisang | Rumput Laut | Sapi | Ubi Kayu,Nasi Balap Puyung | Bebalung | Sate Bulayak | Ayam Taliwang | Sate Rembiga | Plecing Kangkung | Beberuk Terong | Sate Tanjung,http://www.lombokutarakab.go.id/,"bupati.jpg (https://dl.airtable.com/ugxljH64RxyEk6KfwgOR_bupati.jpg),map.jpg (https://dl.airtable.com/vGCBoa3SGy9aXaerzuIm_map.jpg),logo.jpg (https://dl.airtable.com/OzlxCxTTGZEK7yGbG3BA_logo.jpg)"
KABUPATEN SUMBAWA,"Kabupaten Sumbawa adalah sebuah kabupaten di provinsi Nusa Tenggara Barat, Indonesia. Ibukotanya adalah Sumbawa Besar. Kabupaten ini terletak di sebagian besar bagian barat Pulau Sumbawa. Batas-batas wilayahnya adalah: Laut Flores dan Teluk Saleh di utara, Kabupaten Dompu di timur, Samudra Hindia di selatan serta Kabupaten Sumbawa Barat di barat. Kabupaten Sumbawa memiliki luas wilayah 8.493 km² dengan jumlah penduduk sekitar 415.000 jiwa. Wilayah Kabupaten Sumbawa juga mencakup sejumlah pulau-pulau di sebelah utara Pulau Sumbawa, termasuk Pulau Moyo (pulau terbesar), Pulau Medang, Pulau Panjang, Pulau Liang, Pulau Ngali dan Pulau Rakit. Pada tanggal 18 Desember 2003, bagian barat wilayah Kabupaten Sumbawa dimekarkan menjadi kabupaten baru, yakni Kabupaten Sumbawa Barat.",Nusa Tenggara Barat,Sumbawa Besar,Drs. H. Jamaluddin Malik,Drs. H. Arasy Muhkan,"6.643,98 km2","415,789 jiwa","0,06 jiwa/km2",0371,Dalam Loka | Bala Kuning | Pantai Kencana | Desa Poto | Pulau Moyo | Pantai Sili dan Maci | Liang Petang,Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu | Kakao | Tebu | Kopi | Kelapa | Aren | Cengkeh | Jambu Mete | Jarak | Kacang Hijau | Kapas | Kapuk | Kemiri | Lada | Pinang | Tembakau | Vanili,Singang | Sepat | Gecok | Ayam Bakar Taliwang,http://www.sumbawakab.go.id,"bupati.jpg (https://dl.airtable.com/oZAWnlGqRMyMdf3tztxY_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/UsjhgfdvQxq0yPJ1Xonj_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/0yrMGRctRauNZq7CqiNs_logo.jpg),map.jpg (https://dl.airtable.com/ioxRLeXCShG1mbiQSqG4_map.jpg)"
KABUPATEN SUMBAWA BARAT,"Kabupaten Sumbawa Barat, adalah sebuah kabupaten di provinsi Nusa Tenggara Barat, Indonesia. Kabupaten terletak di bagian barat Pulau Sumbawa, berbatasan dengan Laut Flores di utara, Kabupaten Sumbawa di timur, Samudera Hindia di selatan serta Selat Alas di barat. Sumbawa Barat merupakan kabupaten hasil pemekaran dari Kabupaten Sumbawa pada tanggal 18 Desember 2003 berdasarkan Undang-undang Nomor 30 Tahun 2003 tentang Pembentukan Kabupaten Sumbawa Barat di Provinsi Nusa Tenggara Barat.",Nusa Tenggara Barat,Taliwang,"KH. Zulkifli Muhadli, SH. MM.",Drs. H. Mala Rahman,"1.636,95 km2",114.951 jiwa (2010),"70,22 jiwa/km2",0372,Pantai Maluk | Pantai Kertasari | Pantai Balat | Pantai Benete | Pantai Sekongkang | Pantai Jelenga,Kelapa | Kapas | Tembakau | Kopi | Kapuk | Kakao | Asam | Lada | Aren | Jambu Mete | Pinang | Jarak Pagar | Vanili | Wijen,Singang | Sepat | Gecok | Ayam Bakar Taliwang,http://sumbawabaratkab.go.id/,"bupati.jpg (https://dl.airtable.com/IS6tzsKT5eZlIm2oB5lw_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/0V8k2APgRqOoTwRwr6jt_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/SWDgglQwSXqSSQBqP3a3_map.jpg),logo.jpg (https://dl.airtable.com/gqsV6wyLR2ykG2InJu5z_logo.jpg)"
KOTA BIMA,"Bima adalah sebuah kota otonom yang terletak di Pulau Sumbawa bagian timur, Provinsi Nusa Tenggara Barat, Indonesia. Secara geografis Kota Bima terletak di bagian timur Pulau Sumbawa pada posisi 118°41'00""-118°48'00"" Bujur Timur dan 8°20'00""-8°30'00"" Lintang Selatan. Tingkat curah hujan rata-rata 132,58 mm dengan hari hujan: rata-rata 10.08 hari/bulan. Sementara matahari bersinar terik sepanjang musim dengan rata-rata intensitas penyinaran tertinggi pada Bulan Oktober, dengan suhu 19,5 °C sampai 30,8 °C. Kota Bima memiliki areal tanah berupa: persawahan seluas 1.923 hektare (94,90% merupakan sawah irigasi), hutan seluas 13.154 ha, tegalan dan kebun seluas 3.632 ha, ladang dan huma seluas 1.225 ha dan wilayah pesisir pantai sepanjang 26 km.",Nusa Tenggara Barat,Kota Bima,M. Qurais. H. Abidin,"H. A. Rahman H. Abidin, SE.",222.25 km2 (85.81 mil²), 142.443 jiwa (2010),640/km2,0380,Pantai Kalaki | Pantai Lawalata | Pantai Amahami | Pantai Oi Ni'u | Pantai Ule | Pantai Kolo | Pulau Kambing | Museum Asi Mboko | Benteng Asa Kota,Srikaya | Kelapa | Asam | Kemiri | Jambu Mete | Wijen | Kapuk,Uta Palumara Londe | Uta Sepi Tumis | Kahangga,www.bimakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/op9YlFYEQpSCLQ0alGLX_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/UQSV75svSRK67TdrSGKL_bupati.jpg),map.jpg (https://dl.airtable.com/49Nrrem5Saiw5tgT9J7P_map.jpg),logo.jpg (https://dl.airtable.com/7w2awPs7SaMsWP7UqMgk_logo.jpg)"
KOTA MATARAM,"Kota Mataram merupakan ibukota Provinsi Nusa Tenggara Barat, Indonesia. Adat Sasak dan Adat Bali cukup mewarnai masyarakat di kota ini. Kota Mataram memiliki topografi wilayah berada pada ketinggian kurang dari 50 meter di atas permukaan laut (dpl) dengan rentang ketinggian sejauh 9 km, terletak pada 08° 33’ - 08° 38’ Lintang Selatan dan 116° 04’ - 116° 10’ Bujur Timur. Struktur geologi Kota Mataram sebagian besar adalah jenis tanah liat dan tanah endapan tuff yang merupakan endapan alluvial yang berasal dari kegiatan Gunung Rinjani, secara visual terlihat seperti lempengan batu pecah, sedangkan di bawahnya terdapat lapisan pasir. Suhu udara di Kota Mataram berkisar antara 20.4 °C sampai dengan 32.10 °C. Kelembapan maksimum 92% terjadi pada bulan Januari, April, Oktober dan November, sedangkan kelembapan minimum 67% terjadi pada bulan Oktober. Rata-rata penyinaran matahari maksimum pada bulan Februari. Sementara jumlah hari hujan tertinggi terjadi pada bulan November sebanyak 27 hari, dengan curah hujan rata-rata mencapai 1.256,66 mm per tahun, dan jumlah hari relatif 110 hari per tahun.",Nusa Tenggara Barat,Kota Mataram,"Dra. Hj. Putu Selly Andayani, M.Si",H. Ahyar Abduh,"61,30 km2","73,921 (2011)","6,870 jiwa/km2",0370,Taman Loang Baloq | Pantai Tanjung Karang | Kangkung Khas Kali Jangkok | Taman Sangkareang | Taman Udayana,Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu | Kopi | Kelapa | Aren | Jambu Mete | Kapuk | Pinang,Ayam bakar Taliwang | Sate rembiga |,http://mataramkota.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/EoWQNJvcQ5OuO7JmnA2y_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/Q0FdycpMTjebZzi3txwU_map.jpg),bupati.jpg (https://dl.airtable.com/QcAbRtg0QE2EFpI7ddhT_bupati.jpg),logo.jpg (https://dl.airtable.com/PcqMeApqRN6sq7qHCpLA_logo.jpg)"
