Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN ALOR,"Kabupaten Alor adalah sebuah kabupaten di provinsi Nusa Tenggara Timur, Indonesia. Ibukota Alor berada di Kalabahi. Penduduk Alor berjumlah sekitar 190.026 jiwa (2010), sedangkan luasnya adalah 2.864,6 km². Kabupaten ini berbentuk kepulauan dan dilintasi jalur pelayaran dagang internasional ke Samudera Pasifik.
Untuk tahun 2006, PAD kabupaten ini sebesar Rp. 13 miliar dengan laju pertumbuhan ekonomi 5,9% dan pendapatan per kapita Rp. 1.200.000,",Nusa Tenggara Timur,Kalabahi,Simeon Th. Pally,,"2.864,6 km2",190.026 jiwa (2010),"66,34 jiwa/km2",386,Baruna’s Point | Never – Never Wall | Cave Point | Barrel Sponge Wall | Mola – mola Point | Night Snacks | Alor Expree / Alor Dreaming | Rocky Point | Three Coconuts | pantai mali | pantai deere | pantai maimol | ,Tufa dasit | bahan galian gypsum | baha galian mineral logam / emas | ,Jagung bose | kenari | kue rambut | lodeh jantung pisang | sup cakalang kuah kuning | perkedel ikan | jagung titi | , http://www.alorkab.go.id/,"map.jpg (https://dl.airtable.com/u4Ngr8SYTv2I8HU7fIDq_map.jpg),bupati.jpg (https://dl.airtable.com/Vr5gMuc4RfquWqS0OwRl_bupati.jpg),logo.jpg (https://dl.airtable.com/HmJwBWfDRH6FoaslsSSD_logo.jpg)"
KABUPATEN BELU,"Kabupaten Belu adalah bagian dan Propinsi Nusa Tenggara Timur (NU) yang terletak di pulau Timor.
Kabupaten ini merupakan kabupaten yang baru saja mengalami pemekaran menjadi dua kabupaten
yaitu Kabupaten Malaka dan Kabupaten Belu. Terletak di paling ujung pulau Timor menjadikan
Kabupaten Belu sebagai kabupaten yang berbatasan langsung dengan negara RDTL. Dan segi
astronomi, wilayah Kabupaten Belu terletak antara koordinat 124g 38’ 33” BT — 125g 11’ 23” BT dan
O8 56’ 30” LS — O9 47’ 30” LS.",Nusa Tenggara Timur,Atambua,Welem Foni,,"1.284,94 km2","368,081 jiwa (2013)","0,29 jiwa/km2",389,Pantai Motadikin | teluk gurita | air terjun lesu til | kikit gewen | Pantai atapupu | taman nasional | kolam susuk | gunung mandeu | niki uman | pasir putih | gua jepang | pantai sukaerlaran | bukit nanaet | ,Lahan pertanian | potensi penyu | flora dan fauna,Kaho no susu tunun | Der Gegrillte Milchkürbis | jagung bakar  | ,http://www.belukab.go.id/,"bupati.jpg (https://dl.airtable.com/07HJGVKXQeW8i49F5DaN_bupati.jpg),map.jpg (https://dl.airtable.com/K2HRc21SVe5kvMV8Wjow_map.jpg),logo.jpg (https://dl.airtable.com/wFksjYcOStd3OZBFlJnP_logo.jpg)"
KABUPATEN ENDE,"Kabupaten Ende yang berada di tengah Pulau Flores, dengan ibukota kabupaten adalah Kota Ende. Kabupaten Ende memiliki letak yang cukup strategis yaitu tepat di persimpangan jalan negara yang menghubungkan Ibukota kabupaten di bagian timur Pulau Flores (Maumere dan Larantuka) dan bagian barat Pulau Flores (Bajawa dan Ruteng). Dengan demikian dari segi transportasi darat, Kabupaten Ende berperan sebagai kota penghubung. Untuk mencapai Kabupaten Ende dari luar Pulau Flores dapat melalui udara yang dilayani oleh Pelabuhan Udara Haji Hasan Aroeboesman dan melalui laut yang dilayani oleh pelabuhan Ende yang dapat disinggahi oleh kapal-kapal relatif besar.
",Nusa Tenggara Timur,Ende ,Ir. Marselinus Y.W. Petu,"Drs. Djafar H. Achmad, MM","2.046,6 km2",278.538 jiwa (2013),"136,1 jiwa/km2",381,Kalimutu lake | Kedebodu waterfallae poro | kebun contoh detu bapa | air panas ae detusoko | gua maria | kampung adat wologai | mumi kaki more wolondopo | air panas liasembe | waterfalls murundao | kampung tradisional ngela | garden tours 17 riungn gada | store mirror tourist attraction | moutain tourism inie rie | ,Kelapa | kemiri | asam | kayu manis | pinang |gewang | padi padian | palem |bambu hutan | anggrek | paku pakuan | umbi umbian | rotan | sapi | kerbau | kuda | kambing | domba | babi ,Ikan tongkol asap kuah santan | onde onde goreng atau rebus | uwi ai ndota | ubi cincang ,http://www.endekab.go.id/,"bupati.jpg (https://dl.airtable.com/WRprlKdmTLWCrzdkScPu_bupati.jpg),map.jpg (https://dl.airtable.com/yttSCaoRiWRkfGopdi9Q_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/WUtSSt2ySbqAacIIQQFb_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/2sSabFLgTXO4q3ERkKkz_logo.jpg)"
KABUPATEN FLORES TIMUR,"Kabupaten Flores Timur dibentuk berdasarkan Undang-Undang Nomor : 69 tahun 1958 tentang Pembentukan Daerah-Daerah Tk II dalam wilayah Daerah-Daerah Tingkat I Bali, NTB dan NTT. Undang-Undang tersebut ditetapkan tanggal 20 Desember 1958 sehingga setiap tanggal
20 Desember diperingati sebagai Hari Ulang Tahun Kabupaten Flores Timur. Kabupaten Flores Timur adalah sebuah kabupaten di Nusa Tenggara Timur, Indonesia. Sebagian besar penduduknya beragama Katolik, diikuti Islam, Hindu, dan Buddha.",Nusa Tenggara Timur,Larantuka,Yosep Lagadoni Herin,Valentinus Tukan,"3.079,2 km2",232.605 jiwa (2010),"75,54 jiwa/km2",383,Danau kelimutu | gua liang bua | labuan bajo | taman nasional komodo | pink beach | pantai kota | pantai kanawa | danau sano nggoang | air terjun cunca rami | ,Pertanian | palawija | jagung | singkong | ubi | kemiri | jambu | mete | kopi | vanili | asam | perikanan ,Minum moke | Kue rambut | jagung titi | rebok | Sambal ikan teri | gurami asam manis | tongkol bakar | tumis bunga pepaya  | jagung caternang | ,www.florestimurkab.go.id,"bupati.jpg (https://dl.airtable.com/gAlzmH5SynqWmG0OTrog_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/YtudaKtSymShwC8SJq2w_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/NnfIbIU3TbSq7CL61xQh_map.jpg),logo.jpg (https://dl.airtable.com/ayPMLxRRECiC2ruzVwE7_logo.jpg)"
KABUPATEN KUPANG,"Kabupaten Kupang adalah salah satu kabupaten di provinsi Nusa Tenggara Timur, Indonesia. Ibu kota kabupaten ini berlokasi di Oelamasi mulai 22 Oktober 2010, setelah sebelumnya berlokasi di Kota Kupang sejak tahun 1958.Kabupaten Kupang terletak di antara 9º19 – 10º57 Lintang Selatan dan 121º30 – 124º11 Bujur Timur.
Kabupaten Kupang merupakan kabupaten yang paling selatan di Negara Republik Indonesia.",Nusa Tenggara Timur,Oelamasi,"Drs. Ayub Titu Eki, MS. Phd.",Korinus Masneno,"5.431,23 Km²[",304.548 jiwa (2010),"42,00 jiwa/km²",380,Pantai ketapang | pantai kelapa lima | kera taman | pantai lasiana | pantai tablolong | air terjun oenesu | air terjun tesbatan | pulau semau | gua alami madira | pantai lobohede | ,Hutan mangrove | padang lamun | rumput laut | terumbu karang | mutiara | ikan | potensi garam | ternak | satwa liar | lahan sawah | kebun | gua | hutan alam | air terjun | sumber air panas | emas | nike ,Emping jagung | krupuk paru | dendeng sapi | abon | sambal lu'at | daging se'i sapi | enteng enteng | keripik pisang | kacang rote,http://www.kab-kupang.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/cPhLAYcfTQ6PeEuPtsoV_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/RmIcn4BDS86RV8JjT2DG_map.jpg),bupati.JPG (https://dl.airtable.com/x4fjyw6SKmLGmKwMY5VQ_bupati.JPG),logo.jpg (https://dl.airtable.com/eYBDiJPnRnOgSf3rJx0j_logo.jpg)"
KABUPATEN LEMBATA,"Lembata adalah salah satu nama dari gugus kepulauan di Kabupaten Flores Timur yang sudah memasyarakat sejak tahun 1965. Tetapi sebelum dikenal dengan nama Lembata, dahulu pada masa pemerintahan Hindia Belanda hingga kini dikenal dalam peta Indonesia dengan nama ""Pulau Lomblen"". Pada tanggal 24 Juni 1967 dilaksanakan Musyawarah Kerja Luar Biasa Panitia Pembentukan Kabupaten Lembata yang diselenggarakan di Lewoleba yang kemudian mengukuhkan nama Lembata. Pengukuhan nama ""Lembata"" ini sesuai sejarah asal masyarakatnya dari pulau ""Lepanbatan"", sehingga mulai 01 Juli 1967 sebutan untuk penduduk yang semula ""Orang Lomblen"" berubah menjadi ""Orang Lembata"".",Nusa Tenggara Timur, Lewoleba, Eliaser Yentji Sunur,"Viktor Mado Watun, SH"," 1.266,39 km2",117.829 jiwa,"93,04 jiwa/km2",383,Pulau pasir putih awelolong | gua maria lewoleba | pantai rekreasi pasir putih waijarang | sumber air panas sabu tobo | sumber gas alam karun watuwawer | pantai rekreasi tanah treket | budaya tradisional perburuan ikan paus | rumah adat dan ritus pesta kacang jontona | pantai pasir putih mingar | pantai lewolein | ,Kelapa | kemiri | kopi | jambu mete | coklat | cengkeh | vanili | pala | kapuk | pinang | ikan tongkol | cakalang | tuna | kerang mutiara | waienga | cumi cumi | lola | teripang | batu laga | japing japing | minyak bumi | barit | emas | timas hitam | perak | nikel | mangan | tembaga | pasir besi ,Jagung titi | kue rambut | rebok,http://www.lembatakab.go.id/,"bupati.jpg (https://dl.airtable.com/Trukb9m2Td6dM2hRcJIV_bupati.jpg),map.jpg (https://dl.airtable.com/GGyOHKsDTyW4E9BTKQXi_map.jpg),logo.jpg (https://dl.airtable.com/G4qwJ6HSh6sxwsqDYJPv_logo.jpg)"
KABUPATEN MALAKA,"Kabupaten Malaka adalah salah satu kabupaten di provinsi Nusa Tenggara Timur, Indonesia. Malaka merupakan hasil pemekaran dari Kabupaten Belu yang disahkan dalam sidang paripurna DPR RI pada 14 Desember 2012 di gedung DPR RI tentang Rancangan UU Daerah Otonomi Baru (DOB).",Nusa Tenggara Timur,Betun,Herman Nai Ulu,,"1.160,63 km²",186.622 jiwa,186.622 jiwa/km2,,Pantai Motadikin | Teluk Hasan Maubesi dan Gunung Lumpur Masin Lulik | Rumah Adat Lorodirma | Perkampungan Adat di Malaka Tengah | ,Hutan | sawah irigasi | jagung | kacang hijau | kopra | kemiri | asam | pisang | kakao | kapuk | pinang | ,rumpu rampe | tumis bunga pepaya | tumis bunga pepaya kangkung | sambal ikan teri | sambal lu'at | lawar teri mentah | sambal belimbing | nasi jagung campur | jagung katemak | jagung bose |,,"bupati.jpg (https://dl.airtable.com/dry5510sR7SuZgCWgteR_bupati.jpg),map.jpg (https://dl.airtable.com/gHtAu4UpSZmdV6c1NVhh_map.jpg),logo.jpg (https://dl.airtable.com/pzgd546TSNqKhKqwCXPd_logo.jpg)"
KABUPATEN MANGGARAI,"Kabupaten Manggarai Barat adalah suatu kabupaten di provinsi Nusa Tenggara Timur, Indonesia. Kabupaten Mangarai Barat merupakan hasil pemekaran dari Kabupaten Manggarai berdasarkan Undang Undang No. 8 Tahun 2003. Wilayahnya meliputi daratan Pulau Flores bagian Barat dan beberapa pulau kecil di sekitarnya, diantaranya adalah Pulau Komodo, Pulau Rinca, Pulau Seraya Besar, Pulau Seraya Kecil, Pulau Bidadari dan Pulau Longos. Luas wilayah Kabupaten Manggarai Barat adalah 9.450 km² yang terdiri dari wilayah daratan seluas 2.947,50 km² dan wilayah lautan 7.052,97 km².",Nusa Tenggara Timur,Ruteng,Prim Meot,,"7.136,4 km2",292.451 jiwa (2010),"40,98 jiwa/km2",0385,Ruteng pu'u | todo | wae rebo | compang cibal | liang toge | ranamese | cepi watu | rana tonjong | mules island | pantai ketebe | rana kulan | wae wole | Cingcoleng Werwitu | cunca rede | liang bua | ulumbu | ina mbele ,Jagung | padi | umbi umbian | sirsak | jeruk | hutan kayu | arang |,pisang luan | caternak jagung | katemak | jagung bose | sambal ikan teri | plecing kangkung | kolo | jawada | roti paun | roti sagu,www.manggarai.go.id,"map.jpg (https://dl.airtable.com/wO6kgTtKTjuKq3yAX76k_map.jpg),logo.jpg (https://dl.airtable.com/wanmXUugTbe49gfzv4mY_logo.jpg)"
KABUPATEN MANGGARAI BARAT,"Kabupaten Manggarai Barat adalah suatu kabupaten di provinsi Nusa Tenggara Timur, Indonesia. Kabupaten Mangarai Barat merupakan hasil pemekaran dari Kabupaten Manggarai berdasarkan Undang Undang No. 8 Tahun 2003. Wilayahnya meliputi daratan Pulau Flores bagian Barat dan beberapa pulau kecil di sekitarnya, diantaranya adalah Pulau Komodo, Pulau Rinca, Pulau Seraya Besar, Pulau Seraya Kecil, Pulau Bidadari dan Pulau Longos. Luas wilayah Kabupaten Manggarai Barat adalah 9.450 km² yang terdiri dari wilayah daratan seluas 2.947,50 km² dan wilayah lautan 7.052,97 km²",Nusa Tenggara Timur,Labuan Bajo,Agustinus C.Dulla/Maxi Gasa,,9.450 km2,"234,235 jiwa (2012)","0,02 jiwa/km2",0385,"puncak waringin | pulau bidadari | pulau sture | wae cicu | wae rana | bukit bingongko | pulau sabdo | pulau seraya kecil | loh gili lawa | loh tala | gua batu cermin | pantai pede | tanjung rangko


",Padi | padi ladang | ubi jalar | kacang tanah | kacang hijau | kacang kedelai | kemiri | jambu mete | kakao | cengkeh | vanili | pohon jati | barakuda | marlin | ekor kuning | kakap merah | baronang | mutiara | rumput laut ,jawada | roti paun | roti sagu | kue rambut | kue cucur | compiang | gula aren | madu amfoang | ,http://manggaraibaratkab.go.id,"map.jpg (https://dl.airtable.com/nyLypLCoT92ZAutd97xF_map.jpg),bupati.JPG (https://dl.airtable.com/aTZ8mY7jSuW28ZpKNlPf_bupati.JPG),wakil-bupati.jpg (https://dl.airtable.com/KlO3LcDORCejFDvO004j_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/dx7LBnITQHW6ANWH7WJg_logo.jpg)"
KABUPATEN MANGGARAI TIMUR,"Kabupaten Manggarai Timur adalah kabupaten di Provinsi Nusa Tenggara Timur. Kabupaten ini belum resmi tetapi telah disetujui RUU pendiriannya oleh DPR RI pada tanggal 17 Juli 2007. Dengan luas wilayah 251.855 ha dengan jumlah penduduk 263.142 jiwa . posisi gegrafis dari manggarai timur tersebut di bagi dalam beberapa bagian yaitu pada sebelah timur berbatasan dengan kabupaten ngada , sebelah barat berbatasan dengan kabupaten manggarai , sebelah utara berbatasan dengan laut flores dan yang terakhir sebelah selatan berbatasan dengan laut sawu",Nusa Tenggara Timur,Borong,Drs. Yosep Tote M.Si ,"Agas, SH. M.Hum. ","2.643,41 km2",232.020 jiwa,"87,77 jiwa/km2",385,Air terjun cunca | air terjun radi | benteng empu | compang pembe | compang riwu | danau rana kulan | danau rana mese | danau rana tonjong | gereja tua lengko ajang | gua alam cing coleng | gunung poco ndeki | hutan lindung pong dode | jembatan alam tetes tana | kuburan megalitik watu | gua alam liang toge ,Perhutanan | hutan banggarangga hulu | jagung | ,Tapa kolo | Gula aren | madu amfoang | compiang | keripik pisang | kue rambut | jawada | ,http://www.manggaraitimurkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/Eo41B0kNQiSyos70P4kz_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/96JDpSVtTCWxrgQUHZUX_map.jpg),bupati.jpg (https://dl.airtable.com/nh6wqMRq2xmB66fWv0Tw_bupati.jpg),logo.jpg (https://dl.airtable.com/kqdOrByKQT23hZP3Uued_logo.jpg)"
