Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN FAKFAK,"Kabupaten Fakfak adalah salah satu kabupaten di Provinsi Papua Barat, Indonesia. Ibukota kabupaten ini terletak di Kota Fakfak. Kabupaten Fakfak terletak pada 131°30' - 138°40' BT dan 2°25' - 4° LS dan berbatasan dengan: Teluk Bintuni di utara; Laut Arafura di selatan; Laut Seram dan Teluk Berau di barat; serta Kabupaten Kaimana di selatan dan timur.[2] Kabupaten ini terkenal dengan hasil buah palanya sehingga dijuluki sebagai ""Kota Pala."" Ibukotanya, Kota Fakfak, merupakan salah satu kota tertua di Papua. Data tahun 2003 menunjukkan bahwa sebanyak 722,52 ha lahan di Kabupaten Fakfak digunakan untuk perumahan/pemukiman, 6274,58 ha untuk jasa/perkantoran, 9,9 ha untuk ladang/tegalan, dan sisanya digunakan untuk yang lain.",Papua Barat,Fakfak," Drs. Mohammad Uswanas, M.Si.",Ir. Abraham Sopaheluwakan,14.320 km2,66.828 jiwa (2010),"4,67 jiwa/km2",956,Air terjun kiti kiti | Taman Nasional Lorentz | Goa kokas | Pantai patawana | ,Ubi kayu | ubi jalar | kacang kacangan | bayam | durian | langsat | manga | rambutan | pisang | padi | jagung | pala | cengkeh | kopi | coklat | emas | biji | batubara | ,Papeda | martabak sagu | sate ulat sagu  | ikan bakar manokwari | ikan bungkus | udang selingkuh ,www.fakfakkab.go.id,"bupati.jpg (https://dl.airtable.com/SJ2NY3tiQ8KKAm4eOItV_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/gEhWy9wSl6Tj9IzltT57_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/llh24PfkTW2QcxEviVC9_map.jpg),logo.jpg (https://dl.airtable.com/i5RQiUDeTgiCauLd3RBA_logo.jpg)"
KABUPATEN KAIMANA,"Kabupaten Kaimana adalah salah satu kabupaten di provinsi Papua Barat, Indonesia. Ibukota kabupaten ini terletak di Kaimana. Kabupaten ini memiliki luas wilayah 18.500 km² dan berpenduduk sebanyak 26.703 jiwa (2000).Secara administratif Kabupaten Kaimana pada tahun 2009 terdiri dari 7 (tujuh) Kecamatan dengan jumlah kampung sebanyak 84 kampung dan kelurahan sebanyak 2 kelurahan. Seluruh kampung yang ada di Kabupaten Kaimana merupakan daerah pedesaan, kampung dan kelurahan yang ada di Kabupaten Kaimana telah definitif.",Papua Barat,Kaimana ,George Yarangga,,18.500 km2,46.249 jiwa 2010),"2,5 jiwa/km2",957,Pulau veby | pulau kilimala | pulau karawatu | tanjung kinara | pulau adi | teluk triton | tanjung bicari | jembatan KM 14 | pantai bantemi | jembatan usaha mina | hadrat pesta lebaran ,Kedelai | pala | cengkeh | kelapa | kopi | jambu mete | pinang ,Sate dan gulai rusa | bakso ikan tenggiri Kima | papeda | soat soat | kue lontar | teh halia ,www.kaimanakab.go.id,"bupati.jpg (https://dl.airtable.com/13dYBxRSS1iguHx3mFSz_bupati.jpg),map.png (https://dl.airtable.com/vA6YUU6SRmeQchtLRIi6_map.png),logo.jpg (https://dl.airtable.com/RfBeUoRfi5J6vB43A9Ag_logo.jpg)"
KABUPATEN MANOKWARI,"Kabupaten Manokwari adalah salah satu kabupaten di provinsi Papua Barat, Indonesia. Ibukota kabupaten ini terletak di Kota Manokwari.Kabupaten Manokwari terletak pada 0,015’ – 3,025’ Lintang Selatan dan 132,035’ – 134,045’ Bujur Timur dengan luas wilayah 37.901 km2. Secara administrasi pemerintahan, Kabupaten Manokwari sebelum pemekaran terbagi dalam 17 kecamatan dengan Manokwari sebagai ibukota kabupaten. Dari 17 kecamatan yang ada, 10 berada di daerah pegunungan, selebihnya berada di dataran rendah dan daerah pantai.",Papua Barat,Kota Manokwari,"Demas Paulus Mandacan , S.SOS. , M.EC.DEV",Drs.Edy Budoyo,"11.674,76 km2",163.879 jiwa (SP2010),"14,04 jiwa/km2",986,Pegunungan Arfak | pantai pasir putih | pantai amban | danau anggi | taman laut | cagar alam pegunungan wondiwoy | hutan wisata gunung meja | tugu pulau mansinam ,,Abon gulung | ikan bakar manokwari | papeda | ikan kuah kuning | mujai lalapan | ikan asap | buah durian ,http://www.manokwarikab.go.id,"map.jpg (https://dl.airtable.com/wVCKqGC6SYmt5QtZBdW9_map.jpg),bupati.jpg (https://dl.airtable.com/vHYGuXWCTuaBkFftWHpf_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/xsmPLKRxRqy8FfuHPfEa_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/piZIWwyQw2aedyZVU7FK_logo.jpg)"
KABUPATEN MANOKWARI SELATAN,"Kabupaten manokwari selatan adalah salah satu kabupaten di provinsi papua barat , indonesia. ibukota kabupaten ini terletak di ransiki , kabupaten manokwari selatan merupakan pamekaran dari kabupaten manokwari . Kabupaten ini resmi di mekarkan pada 25 oktober 2012 , kabupaten ini terdiri dari 6 kecamarab yaitu dataran isim , momi waren , neney , oransbari , ransiki , tahota",Papua Barat,Ransiki,Lazarus Indou,,"2,773.74 km2",,,,Gunung Botak | Gunung meja | pulau mansinam | teluk cendrawasih | gunung arfak | danau anggi  | pasir putih | pantai amban | ,"
",Sambal teri | papeda | martabak sagu | kue sagu atau bagea | sate ulat sagu | aunu senebre | ,,"logo.jpg (https://dl.airtable.com/6VhHhETWTge34A5O4SAf_logo.jpg),map.jpg (https://dl.airtable.com/Pm8oYNMRKOH05KlVPGBu_map.jpg),bupati.jpg (https://dl.airtable.com/aPSnrVYQ5ejEnDDU89cg_bupati.jpg)"
KABUPATEN MAYBRAT,"Kabupaten Maybrat adalah sebuah kabupaten di Papua Barat, Indonesia.Pada 27 Oktober 2008 keluarlah Keputusan Bupati Sorong Selatan Nomor 133 Tahun 2008 tentang Penyerahan Sebagian Cakupan Wilayah Bawahan Kabupaten Sorong Selatan ke Kabupaten Sorong, wilayah yang diserahkan terdiri dari 11 (sebelas) distrik yaitu distrik aifat , distrik aifat utara , di strik aifat timur , distrik aifat selatan , distrik aitinyo barat , distrik aitinyo, distrik aitinyo utara, distrik ayamaru , distrik ayamaru utara, distrik ayamaru timur , distrik mare ",Papua Barat,Kumurkek,"Drs. Bernard Sagrim, MM","Karel Murafer, SH",,27.919 jiwa (2007),"5,11 jiwa/km2",,Danau ayamaru | kolam air biru | segior | mapura | kuala sentuf | wisata alam danau uter | wisata alam air terjun di seni dan kisor | wusata alam hutan lindung di aifat timur | ,Jagung | nanas | pisang | ubi jalar | ubi kayu | kakao | kelapa ,Kehutanan | hutan lindung | hutan terbatas | hutan produksi | hutan produksi terbatas | hutan produksi yang dapat di konversi | hutan suka alama dan hutan wisata | perikanan | minyak bumi | gas alam | batu gamping | zink | marmer | ,,"map.jpg (https://dl.airtable.com/gkCGv7TUTGe3xe31hAOS_map.jpg),logo.jpg (https://dl.airtable.com/48aNrCzVTbW7vTVolHOP_logo.jpg),wakil-bupati.jpg (https://dl.airtable.com/ZUMm9MRR8ueZ2IG3XUYw_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/pg63gUbpTymYH6VaoMlQ_bupati.jpg)"
KABUPATEN PEGUNUNGAN ARFAK,"Kabupaten Pegunungan Arfak merupakan pemekaran dari Kabupaten Manokwari. Kabupaten ini resmi dimekarkan pada 25 Oktober 2012. Kabupaten ini terdiri dari 10 kecamatan, yaitu anggi , anggi gida , didohu , minyambouw , suruey , taige , testega , catubouw , hingk , membey",Papua Barat,Anggi ,Yusak Wabia,,"2.773,74 km2",23.877 jiwa,"8,61 jiwa/km2",,Danau Aggi giji | danau anggi gita | ,Hutan hujan lereng | hutan hujan dataran rendah | cendrawasih | parotania barat | ,,,"map.jpg (https://dl.airtable.com/dkpd1DJ6Q8WEHlYe1xUJ_map.jpg),bupati.jpg (https://dl.airtable.com/hmfaw3faTL28h0qrGwFO_bupati.jpg),logo.jpg (https://dl.airtable.com/vgYqrh6MSEqbymmJAQVw_logo.jpg)"
KABUPATEN RAJA AMPAT,"Kabupaten Raja Ampat adalah salah satu kabupaten di provinsi Papua Barat, Indonesia. Ibukota kabupaten ini terletak di Waisai.
Kabupaten ini memiliki 610 pulau, termasuk kepulauan Raja Ampat. Empat di antaranya, yakni Pulau Misool, Salawati, Batanta dan Waigeo, merupakan pulau-pulau besar. Dari seluruh pulau hanya 35 pulau yang berpenghuni sedangkan pulau lainnya tidak berpenghuni dan sebagian besar belum memiliki nama.Sebagai daerah kepulauan, satu-satunya transportasi antar pulau dan penunjang kegiatan masyarakat Raja Ampat adalah angkutan laut. Demikian juga untuk menjangkau Waisai, ibu kota kabupaten. Bila menggunakan pesawat udara, lebih dulu menuju Kota Sorong. Setelah itu, dari Sorong perjalanan ke Waisai dapat dilanjutkan dengan transportasi laut dan udara.",Papua Barat,Waisai,"Drs. Markus Wanma, M.Si",Drs. Inda Arfan,46.296 km2,27.071 jiwa (2000),"0,58 jiwa/km2",951,Cagar alam misool | cagar alam pulau waigeo | cagar alam batanta | pulau shop | pulau matan | pulau kafiu | pantai peneluran penyu | kepulauan wayag | selat dampir | pantai saonek | teluk mayalibit dan gunung nok | teluk kabui | pulau salawati | pulau painemo ,,Mumu | papeda | cacing laut goreng | sate ulat sagu | bumbu | siram daging ayam ,,"wakil-bupati.jpg (https://dl.airtable.com/drWGQB5eTGGUYYBJMDA5_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/uyqJ6kPlR3SnAvSpJBhG_map.jpg),logo.jpg (https://dl.airtable.com/mfRap6QSQlmvf80CpX86_logo.jpg),bupati.jpg (https://dl.airtable.com/xoQXwhmiTCGgudw9AAnF_bupati.jpg)"
KABUPATEN SORONG,"Kabupaten Sorong adalah sebuah kabupaten di provinsi Papua Barat, Indonesia. Ibu kota kabupaten ini terletak di Aimas.Kabupaten ini merupakan salah satu penghasil minyak utama di Indonesia.Kawasan perairannya dikenal sebagai habitat penyu belimbing (Dermochelys coriacea vandelli).Kabupaten Sorong memiliki luas wilayah 18.170 Km2, daerah ini berbatasan langsung dengan Kabupaten Raja Ampat di sebelah utara dan barat, Kabupaten Sorong Selatan di sebelah selatan, Kabupaten Manokwari di sebelah timur, secara geografis terletak di 00o56 LS dan antara 131o07 BT. Kabupaten Sorong terletak di bagian Barat Provinsi Papua dengan luas wilayah setelah pembentukan kabupaten Tanbrauw ± 13.603 Km2 yang terbagi dalam wilayah daratan seluas 8.457 Km2 dan wilayah lautan seluas 5.146 Km2. (Berdasarkan pembacaan pada Peta Rupa Bumi BAKOSURTANAL skala 1 : 250.000,) Letak geografis Kabupaten Sorong adalah: 130o 40’ 49” – 132o 13’ 48” BT dan 00o 33’ 42” – 01o 35’ 29” LS. Wilayah administrasi Pemerintahan Kabupaten Sorong terdiri dari 19 distrik, 18 kelurahan dan 149 desa/kampung .",Papua Barat,Aimas,"Dr. Drs. Stepanus Malak,M.Si","Suka Harjono, S.Sos.,M.Si","7.415,29 km2",90.933 jiwa (2008),"12,26 jiwa/km2",951,Pantai mailan Makbon | wisata air panas | wisata klasmesen | wisata jeflio | wisata air terjun | wisata embun majaran | water park tirta istana indah | ,Hutan lindung | perikanan | emas | nila | lele | sepat siam | mujair | bandeng | udang windu | udang putih | rumput laut | belut | minyak bumi | gas bumi  | pasir | batu kali | tanah urug | karang | batu gunung | krikil | batu kampur | pasir batu | sirtu ,Papeda dan ikan kuah kuning | sagu batangan | sirih pinang | ,http://www.sorongkab.go.id,"map.jpg (https://dl.airtable.com/VKmPQgJIRdGzA22T6CTk_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/i83F7HDRSiqdACunQeRH_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/CQBbdyRbTBeiCoFt5U9D_bupati.jpg),logo.jpg (https://dl.airtable.com/mq1MayYPQLKBixVRZLMv_logo.jpg)"
KABUPATEN SORONG SELATAN,"Kabupaten Sorong Selatan adalah sebuah kabupaten di Papua Barat, Indonesia. Luas daratannya adalah 9.408,63 km². Pada tahun 2015, kota ini mempunyai penduduk sejumlah 1.987.790 jiwa. Ibu kotanya adalah Teminabuan.",Papua Barat,Teminabuan,Samsudin Anggiluli,Martinus Salamuk,"9.408,63 km2",1.987.790 jiwa (2015),"211,27 jiwa/km2",952,Danau ayamaru | air terjun sungai karon | pantai konda | air terjun bahos | pulau tomase | pulau pasir toborana | air terjun anemun | danau tanimut | danau nawe wafom | pantai seget | pantai nawetira | pantai matemani | pantai sibora | pantai isogo | ,Jagung | kedelai | nanas | pisang | ubi jalar | ubi kayu | kakao | kelapa | jambu mete | pala | sapi | babi | kambing ,Udang seling | ulat sagu | papeda | ikan bakar monokawi | ,www.sorongselatankab.go.id,"map.jpg (https://dl.airtable.com/Az5XFDnxToKqmIhYTqsL_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/9q8gDQBqQLe3Tr9gtQkI_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/xNkQktFiQkyNf95VrnZV_logo.jpg),bupati.jpg (https://dl.airtable.com/caagxNaT6WO3lHVU9WNA_bupati.jpg)"
KABUPATEN TAMBRAUW,"Kabupaten Tambrauw adalah salah satu kabupaten di Provinsi Papua Barat, Indonesia.Pusat pemerintahan berada di Fef.Dasar hukum pembentukan kabupaten ini adalah Undang-Undang Republik Indonesia Tahun 2008 Nomor 56 dengan perubahan Pasal 3 ayat (1) sesuai Keputusan Mahkamah Konstitusi RI Nomor 127/PUU-VII/2009, tanggal 25 Januari 2009. Kabupaten ini diresmikan oleh Menteri Dalam Negeri Indonesia, Mardiyanto pada 29 Oktober 2008. Penunjukan pejabat bupati sementara dilakukan pada tanggal 15 April 2009 di Jakarta dengan menunjuk Menase Paa sebagai pejabatnya.",Papua Barat,Fef,"Gabriel Asem, SE, M.Si","Yohanis Yembra, S.Sos,","5.179,65 km2",29.119 jiwa (2007),"5,62 jiwa/km2",,Pantai Jamursbemedi | ,Ikan cakalang | ikan tongkol | ikan kakap merah | ikan kembung | ikan tengiri | udang | lobster | ikan bubara | karang | gas bumi | nikel | perak | batu bara | tembaga | besi | marmer | batu kapur | fosfor | kelapa | pisang | coklat | ,Papeda | martabak sagu | sate ulat sagu | ikan bakar manokwari | ikan bungkus ,http://tambrauwkab.blogspot.co.id,"map.jpg (https://dl.airtable.com/8YDlgJMUQ6iwL43ZFng7_map.jpg),bupati.jpg (https://dl.airtable.com/GugfD2rIQPGT0Ush1wDC_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/pDB42ys1RChORgXaCFjv_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/MEEkzXgLT66Wc0mPItQg_logo.jpg)"
