Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN ASMAT,"Kabupaten Asmat adalah salah satu kabupaten di provinsi Papua, Indonesia. Ibukota kabupaten ini terletak di Agats.Kabupaten Asmat terletak antara 40 – 70 Lintang Selatan dan 1370 -1400 Bujur Timur.Kabupaten Asmat merupakan salah satu kabupaten dari Provinsi Papua yang terletak di bagian selatan Papua, Kabupaten Asmat memiliki luas 23.746 km2 atau 7,44 persen dari luas Provinsi Papua.Pada bagian utara, Kabupaten Asmat berbatasan dengan Kabupaten Nduga dan Kabupaten Yahukimo, sedangkan di bagian selatan berbatasan dengan Laut Arafuru dan Kabupaten Mappi. Sebelah barat berbatasan dengan Laut Arafuru dan Kabupaten Mimika, dan sebelah timur berbatasan dengan Kabupaten Boven Digoel dan Kabupaten Mappi.",Papua,Agats,"Yuvensius A Biakai, BA, SH","dr. Yulius Patandiana, Sp.B",29.658 km2,76.577 jiwa (SP2010),"2,58 jiwa/km2",902,Taman nasional lorenz | museum kebudayaan dan kerajinan asmat | Pulau raja ampat | carstenz pyramid ( puncak jaya ) | abupaten asmat | lembah baliem | ,Kura kura | moncong babi | kakap batu | kaca kaca | bambit | iriaterina | Udang | ikan asin | gelembung ikan | sirip ikan hiu | tulang ikan hiu | kulit ikan | teripang | ikan beku campuran kelapa | kakao | pinang | kopi | cengkeh | kelapa sawit | sirih | sagu | ubi kayu | ubi jalar | kacang tanah | keladi | kacang kedelai | kacang hijau | ,Sagu | ulat sagu | sagu bakar | ,www.asmatkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/5SaJ8DSTMeOUGrcBIGJg_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/Po0E4qwJSdGA0e1Lrwf3_bupati.jpg),map.jpg (https://dl.airtable.com/EKULmU4SRqSKQuZSHRNm_map.jpg),logo.jpg (https://dl.airtable.com/EddtIAKKRIOJ11aZV5XY_logo.jpg)"
KABUPATEN BIAK NUMFOR,"Kabupaten Biak Numfor adalah salah satu kabupaten di provinsi Papua, Indonesia. Ibu kota kabupaten ini terletak di Biak. Wilayah otonom yang kini disebut sebagai Kabupaten Supiori pernah menjadi bagian dari kabupaten ini.Kabupaten Biak Numfor terletak di Teluk Cenderawasih pada titik 0°21'-1°31' LS, 134°47'-136°48' BT dengan ketinggian 0 - 1.000 meter di atas permukaan laut.Kabupaten ini merupakan gugusan pulau yang berada di sebelah utara daratan Papua dan berseberangan langsung dengan Samudera Pasifik. Posisi ini menjadikan Kabupaten Biak Numfor sebagai salah satu tempat yang strategis dan penting untuk berhubungan dengan dunia luar terutama negara-negara di kawasan Pasifik, Australia atau Filipina. Letak geografis ini memberikan kenyataan bahwa posisinya sangat strategis untuk membangun kawasan industri, termasuk industri pariwisata.",Papua,Biak,"Yusuf Melianus Maryen, S.Sos, MM","Drs. Johanis Than, MM",110.897 jiwa (2003),136.663 Jiwa ,,981,Kepulauan Padaido | laut padaido | ,Mambruk | ular | penyu | biawak | keladi | umbi umbian | pisang | buaya | penyu | kura kura | batu gamping | kalsit | napal | marmer | kalkopicit | pirit ,Singkong marapen | sup ikan | ,www.biakkab.go.id/www.biakkab.go.id/,"bupati.jpg (https://dl.airtable.com/iiP6DZV8RAmrdEwisH3W_bupati.jpg),map.jpg (https://dl.airtable.com/eDs6wwVQSKefA9yXL67F_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/jVB8I7GTnqngfAkMNVg0_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/ANmjUMBfRty3DVFhVrAp_logo.jpg)"
KABUPATEN BOVEN DIGOEL,"Kabupaten Boven Digoel (bahasa Belanda: boven berarti atas) adalah salah satu kabupaten di provinsi Papua, Indonesia. Ibu kota kabupaten ini terletak di Tanah Merah.Kabupaten Boven Digoel merupakan kabupaten baru yang dibentuk dengan Undang-Undang Republik Indonesia Nomor 26 Tahun 2002, sebagai hasil pemekaran dari Kabupaten Merauke, bersamaan dengan sejumlah kabupaten lain di bagian selatan, yakni Kabupaten Asmat dan Kabupaten Mappi.",Papua,Tanah Merah,"Benekditus Tambonop,S.STP","H.Chairul Anwar , ST",27.108 km2,35.376 jiwa (2000),"1,31 jiwa/km2",975,Rumah diatas pohon suku kombay dan koroway | penjara boven digoel | tanah tinggi | gunung koreyom | gua kandom kampung kakuna | pesta ulat sagu ,Batu bara | Pasir besi | nikel | krom | kayu balok | kakao | bawang merah ,Papeda | ikan bungkus khas papua | aunu senebre | ikan bakar | sate ulat sagu ,http://www.bovendigoelkab.go.id,"logo.jpg (https://dl.airtable.com/UKjJ1U6iQHeLh8B7c5sK_logo.jpg),bupati.jpg (https://dl.airtable.com/k0LFpu22T4mTsFPOScSX_bupati.jpg),map.jpg (https://dl.airtable.com/TqkwmddIT4mZwIVEcFEk_map.jpg)"
KABUPATEN DEIYAI,"Kabupaten Deiyai adalah salah satu kabupaten di Provinsi Papua, Indonesia. Dulunya pernah menjadi bagian dari wilayah Kabupaten Paniai. Kabupaten ini diresmikan oleh Menteri Dalam Negeri Indonesia, Mardiyanto, pada 29 Oktober 2008. Dasar hukum pembentukan kabupaten ini adalah Undang-Undang Republik Indonesia Tahun 2008 Nomor 55. Pusat pemerintahan berada di Tigi. ""Pemekaran diharapkan tidak membebani keuangan negara,"" kata Menteri Dalam Negeri Mardiyanto saat menyampaikan pandangan pemerintah dalam rapat paripurna pengesahan pembentukan 12 daerah pemekaran baru di Gedung MPR/DPR, Rabu (29/10). Ke-12 daerah baru tersebut, yaitu Kabupaten Mesuji, Kabupaten Tulang Bawang dan Kabupaten Pringsewu (ketiganya di Provinsi Lampung), Kota Gunung Sitoli, Kabupaten Nias Utara, Kabupaten Nias Barat (di Provinsi Sumatera Barat), Kabupaten Tombrauw (Provinsi Papua Barat). Kemudian Kabupaten Pularu Morotai (Provinsi Maluku Utara), Kabupaten Intan Jaya, Kabupaten Deiyai (di Provinsi Papua), Kabupaten Sabu Raijua di Provinsi Nusa Tenggara Timur, serta Kabupaten Tangerang Selatan di Provinsi Banten.",Papua,Tigi,Dance Takimai,Agustinus Pigome,"537,39 km2",38.301 jiwa (2007),71 jiwa/km2,,Danau tigi | ,"Ikan tawar | lele | emas | nila | kerapu | kopi | sapi | babi | kambing 
","Sambal Terasi | 
",https://www.deiyaikab.go.id,"bupati.jpg (https://dl.airtable.com/yLRmWya1Sby0FabLHZCj_bupati.jpg),map.jpg (https://dl.airtable.com/xPw0Esf0RHuR7AgVPmqD_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/sfhOoNnSjy2YQTRIEoOe_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/VQmvyw9RM2AlvaI2JTuY_logo.jpg)"
KABUPATEN DOGIYAI,"Kabupaten Dogiyai adalah sebuah kabupaten di Provinsi Papua, Indonesia. Wilayah kabupaten ini dulu tercakup dalam Kabupaten Nabire. Pusat pemerintahan Kabupaten Dogiyai secara definitif berada di Kigamani, Distrik Kamu.

Kabupaten ini dibentuk pada tanggal 4 Januari 2008 berdasarkan Undang-Undang Nomor 8 Tahun 2008, bersama-sama dengan pembentukan 5 kabupaten lainnya di Papua. Peresmiannya dilakukan oleh Mendagri Mardiyanto pada tanggal 20 Juni 2008 di Nabire.",Papua,Mapia Barat,Thomas Tigi,Herman Auwe,"4.237,4 km2",51.805 jiwa,"12,23 jiwa/km2",967,Danau Makamo | ,"Kopi | ubi jalar | kacang | ubi talas | 
",Ulat sagu | petatas | keladi | siput felle | udang selingkuh | ,,"map.jpg (https://dl.airtable.com/TOVEXO0uRFGWaO8VU1u6_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/vZJsvtV1TuGpSm3GGkqt_wakil-bupati.jpg),bupati.JPG (https://dl.airtable.com/mJIZtxcTAWvoDoooMdVd_bupati.JPG),logo.jpg (https://dl.airtable.com/GsRcGe8ORraPpMmeBb7x_logo.jpg)"
KABUPATEN INTAN JAYA,"Kabupaten Intan Jaya adalah salah satu kabupaten di Provinsi Papua, Indonesia. Daerah ini dulunya pernah menjadi bagian dari wilayah Kabupaten Paniai. Kabupaten ini diresmikan oleh Menteri Dalam Negeri Indonesia, Mardiyanto pada tanggal 29 Oktober 2008.Kabupaten Intan Jaya adalah salah satu kabupaten di Provinsi Papua, Indonesia. Daerah ini dulunya menjadi bagian dari wilayah Kabupaten Paniai. Kabupaten ini diresmikan oleh Menteri Dalam Negeri Indonesia, Mardiyanto pada tanggal 29 Oktober 2008.
Kabupaten Intan Jaya yang merupakan Daerah Otonomi Baru (DOB) hasil pemekaran dari Kabupaten Paniai berdasarkan Undang-Undang Republik Indonesia Nomor: 54 Tahun 2008, tentang pembentukan Kabupaten Intan Jaya, dengan perhitungan waktu pemekaran sekitar 1.5 tahun.


",Papua,Sugapa," Natalis Tabuni, SS. M.Si "," Pdt. Yan Kobogau, S.Th, M Div.","3.922,02 km2",41.163 jiwa (2007)776,"10,5 jiwa/km2",,Air terjun dahu | air terjun wu | air terjun pini wu | air terjun ugi wu | air terjun jele wu | air terjun kambalu wu | air terjun bagunglea wu  | air terjun wagapigu wu,Kol | bayam | cabai | buncis | cabai | terong | kacang tanah | kedelai | sawi | tomat | pisang | keladi | ubi kayu | ubi singkong | ubi jalar | ubi serabut ,Papeda | ikan kuah kuning | ,http://www.intanjayakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/KLtHOxRvSduk2U4RSZTI_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/Umw9DZh5TgClvik9Hp3d_bupati.jpg),map.jpg (https://dl.airtable.com/ixtqEqSpQ9uiiDEVmlRL_map.jpg),logo.jpg (https://dl.airtable.com/y5YGcXNrSD2HdMo7QzZu_logo.jpg)"
KABUPATEN JAYAPURA,"Kabupaten Jayapura adalah salah satu kabupaten di provinsi Papua, Indonesia. Ibukota kabupaten ini terletak di Sentani, 33 km dari Kota Jayapura. jarak terjauh dari barat ke timur yaitu 336 km dibagi menjadi 19 distrik , 239 kampung dan 5 kelurahan distrik. Kabupaten Jayapura  Memiliki batas wilayah yaitu pada sebelah utara berbatasan dengan samudra pasifik dan pada sebelah selatan berbatasan dengan yalimo dan kabupaten yahukimo, pada sebelah barat berbatasan dengan kabupaten sarmi, dan yang terakhir di sebelah timur berbatasan dengan keerom dan kota jayapura ",Papua,Sentani,"Mathius Awaitouw, SE, M.Si","Robert Dhjoensoe, SH","17.516,6 km2",111.943 jiwa (2010),"6,39 jiwa/km2",967,Pantai base G | pantai harlem | danau sentani | desa tablanusu,Pertambangan bahan galian c | lumba | babi hutan | buaya | ikan hiu | burung cendrawasih | burung maleo,Papeda | carabak | udang selingkuh | kelapa muda skyline | es buah pak ali | ,http://jayapurakab.go.id/,"map.jpg (https://dl.airtable.com/G1Ef41eCRWiSvG3wyj5h_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/wu6ipkX6R6K5RTLMmasd_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/RPVaCCQZS8vh3ljRfQAm_bupati.jpg),logo.jpg (https://dl.airtable.com/iUVBwnEjQ3CPDVqPczAw_logo.jpg)"
KABUPATEN JAYAWIJAYA,"Kabupaten Jayawijaya adalah salah satu kabupaten di provinsi Papua, Indonesia. Ibu kota kabupaten ini terletak di Wamena yang terletak di Lembah Baliem. Lembah Baliem lebih terkenal sehingga banyak orang menyebut Lembah Baliem identik dengan Jayawijaya atau Wamena. Dalam literatur asing Lembah Baliem juga sering disebut sebagai Lembah Agung.",Papua,Wamena ,John Wempi Wetipo.S.Sos.M.Par,Jhon R. Banua ,6.585 km2,196.085 jiwa (2010),"29,78 jiwa/km2",969,Puncak Carstenz | Jembatan gantung kali baliem | rumah tradisional | Pegunungan Jayawijaya | jembatan antung wesaput | telaga anegara | gua kontilola | gua wihuda | telaga biru maima | sumber air garam di atas gunung ,Jagung | kedelai | ubi jalar | ubi kayu | kopi | sapi | babi | domba | kambing | kerbau | kuda ,Udang selingkuh | lobster air tawar ,http://www.jayawijayakab.go.id/,"map-.jpg (https://dl.airtable.com/ESURvPWcQTCLfN4C4rZe_map-.jpg),bupati.jpg (https://dl.airtable.com/luZEF28QrCOL8UWRgEJh_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/f6K7qO7ITGaZYypvTO6w_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/cnt5L2ZuQ2Gkwp1JIAbd_logo.jpg)"
KABUPATEN KEEROM,"Kabupaten Keerom adalah salah satu kabupaten di Provinsi Papua, Indonesia. Sebelum berdiri sendiri sebagai kabupaten otonom, Keerom pernah menjadi bagian dari Kabupaten Jayapura.Kabupaten Keerom secara geografis berbatasan langsung dan berada memanjang di daerah perbatasan Republik Indonesia dengan Negara Papua New Guinea (PNG) memiliki luas 9.365 Km2, secar astronimis Kabupaten Keerom terletak antara 1400 15' 0 - 1410 0'0 Lintang Selatan dan 20 37' 0 - 40 0' 0 Bujur Timur.",Papua,Waris,"Yusuf Wali, SE.MM"," Muh.Markum,SH",8.390 km2,48.536 jiwa (2000),"5,78 jiwa/km2",967,Danau love | taman nasional lorenz | pegunungan cycloops | danau sentani | air terjun kemiri | pantai amay | pantai tablanusu | pegunungan dafonsoro ,Batuan interusi | dirit | granodiorit | monzonit | andesit | emas | tembaga | diorit | basal | ayam ras | ayam ras buras | ,Papeda | petatas | ,http://keeromkab.go.id,"map.jpg (https://dl.airtable.com/clpLxiF9TD6rjMH20w4k_map.jpg),bupati.jpg (https://dl.airtable.com/al5nP4GzS5yRSuOmYCPS_bupati.jpg),logo.jpg (https://dl.airtable.com/QSk84rPWSsuJfpc4bcbG_logo.jpg)"
KABUPATEN KEPULAUAN YAPEN,"Kabupaten Kepulauan Yapen adalah salah satu kabupaten di provinsi Papua, Indonesia. Ibukota kabupaten ini terletak di Serui.

Kabupaten ini dahulu bernama Kabupaten Yapen Waropen, yang dibentuk berdasarkan Undang-Undang Nomor 12 Tahun 1969 tentang Pembentukan Provinsi Otonom Irian Barat dan Kabupaten-kabupaten Otonom di Provinsi Irian Barat.",Papua,Serui,Tonny Tesar,Frans Sanadi,18.746 km²,82.951 jiwa (2011),26 jiwa/km²,983,Pantai Ketuapi | pantai nubabo | perkampungan ansus | ,Jagung | kedelai | ubi jalar | ubi kayu | kelapa sawit | kakao | kopi | kelapa | jambu mete | pinang | sagu | sapi | babi | kambing ,Anuve habre | aunu senebre | eurimoo | ikan bakar manokwari | ikan bungkus papua | ikan kuah kuning | kue bagea | kue lontar | martabak sagu | sate ulat sagu | udang selingkuh ,www.kepyapenkab.go.id,"map.jpg (https://dl.airtable.com/J83cAKRERnuG9XZmpD0n_map.jpg),bupati.jpg (https://dl.airtable.com/oUUhJQhDQmEetUkGTXMA_bupati.jpg),logo.jpg (https://dl.airtable.com/fV9uYOOOQuOoR1TUwsdZ_logo.jpg)"
