Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BENGKALIS,"Kabupaten Bengkalis adalah salah satu kabupaten di Provinsi Riau, Indonesia. Wilayahnya mencakup daratan bagian timur pulau Sumatera dan wilayah kepulauan, dengan luas adalah 7.793,93 km². Ibukota kabupaten ini berada di Bengkalis tepatnya berada di Pulau Bengkalis yang terpisah dari Pulau Sumatera. Pulau Bengkalis sendiri berada tepat di muara sungai Siak, sehingga dikatakan bahwa pulau Bengkalis adalah delta sungai Siak. Kota terbesar di kabupaten ini adalah kota Duri di kecamatan Mandau.",Riau,Bengkalis,"Amril Mukminin, SE, M.Si","H.Muhammad, ST, MP","7.793,93 Km²",498.335 Jiwa (2010),"32,5 jiwa/km2",0766,lapangan tugu | lapangan pasir | pantai prapat tunggal | pantai selat baru | kedai kopi | pantai rupat utara | pusat pelatihan gajah | taman andam dewi | parit 3 pambang | pantai jangkang | taman bermain kuala muda | taman kera jinak | kebun binatang,sagu | ubi kayu | jagung | kacang | pisang | durian | rambutan | nanas | mangga | kelapa | minyak sawit | karet | kopi | coklat | buah pisang | buah pinang,lempok durian | mie sagu,http://www.bengkaliskab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/3X063RIqSIwA5moQUoRd_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/gbjX8YZ1SzSZZdZIhDny_bupati.jpg),map.jpg (https://dl.airtable.com/Xs4qKAORu69ANWi29FmS_map.jpg),logo.jpg (https://dl.airtable.com/hqqfyRGJQi5ByfoZ7oqn_logo.jpg)"
KABUPATEN INDRAGIRI HILIR,"Kabupaten Indragiri Hilir dengan Ibu Kota Tembilahan adalah sebuah daerah dengan perkebunan kelapa terluas di Indonesia bahkan di dunia yang terletak di bagian selatan Provinsi Riau. Daerah ini terkenal dengan julukan ""Negeri Seribu Parit"" karena daerah ini terdiri dari perairan, sungai, rawa-rawa, dan perkebunan kelapa yang dipisahkan oleh ribuan parit.",Riau,Tembilahan,"Drs H.M. Wardan, MP","H. Rosman Malomo, SH, MH",11.606 Km² ,685.530 jiwa (2013),59 jiwa/km2,0768,komplek makam tuan guru syech abdurrahman siddiq | pasar pajak | pantai solop | bukit berbunga | air terjun 86 | pulau burung | danau taga raja guntung | pantai tertitip | goa api panjang | bukit sari intan | pantai sesai | bukit sari segunung,kebun kelapa | kelapa sawit | peternakan sapi | kambing | domba | pertambangan batubara | granit | pasir | pasir sungai | pasir kuarsa | tanah liat | kaolin | gambut | tanag urug,amplang udang | amplang tenggiri | keripik pisang | brongko kue lapon | asam pedas patin | gulai lada hitam | nasi kunyit | guLai rampai | gulai ayam kuning | ikan salai semalam | roti jala | bolu kembojo,http://www.inhilkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/IqX9yspDQuq03qnwrjyg_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/66JFgMAyTSGA4XihGx3d_map.jpg),bupati.jpg (https://dl.airtable.com/93dCG8oFTQaB9RYwOHVy_bupati.jpg),logo.jpg (https://dl.airtable.com/wkomEvhySfybcLxW6hZh_logo.jpg)"
KABUPATEN INDRAGIRI HULU,"Indragiri Hulu adalah salah satu Kabupaten di Provinsi Riau, yang berjarak dari Pekanbaru sekitar 156 KM. Di daerah yang dikenal ""Kota Bersejarah"" ini, banyak terdapat lokasi wisata sejarah, budaya dan panorama. Salah satunya masih terdapat peninggalan Kerajaan Indragiri dan beberapa danau yang berkaitan dengan kejayaan kerajaan melayu tersebut.",Riau,Rengat,"H. Yopie Arianto, SE","H. Khairizal, SE, M.Si","8.198,26 km2",363.442 jiwa,"44,33 jiwa/km2",0769,taman nasional bukit tiga puluh | situs cagar budaya komplek makam raja indragiri | danau meduyan | danau raja | tugu 5 januari | danau komang | danau batang pahit | mesjid raya Ar-Rahman | mesjid raya peranap | tari rentak bulian,perkebunan karet | kelapa sawit | pertambangan minyak bumi | emas | batubara | pasir kuarsa | kakao | kedelai | nanas | jagung | kedongdong | rambutan | durian | peternakan sapi potong | tambak udang air tawar,dodol kedondong ,http://www.inhukab.go.id,"map.jpg (https://dl.airtable.com/NL9UcTOiTnuIj8IRdFlw_map.jpg),bupati.jpg (https://dl.airtable.com/wmWO6c5TsSMsY1G0qYor_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/ENCBH2YeTMqbZk5YMycF_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/V53ZSNbQdWh9N74MHrdQ_logo.jpg)"
KABUPATEN KAMPAR,"Kabupaten Kampar adalah salah satu kabupaten di Provinsi Riau, Indonesia. Di samping julukan Bumi Sarimadu, Kabupaten Kampar yang beribukota di Bangkinang ini juga dikenal dengan julukan Serambi Mekkah di Provinsi Riau. Kabupaten ini memiliki luas 10.928,20 km² atau 12,26% dari luas Provinsi Riau dan berpenduduk ±688.204 jiwa (SP2010).",Riau,Bangkinang,"H. Jefri Noer, SH","H. Ibrahim Ali, SH","10.928,20 km2",688.204 jiwa (2010),"62,98 jiwa/km2",0762,candi muara takus | istana kerajaan gunung sahilan | tamanrekreasi stanum | air terjung merangin | museum kandil kemilau emas | makam syeh burhannudin | hutan wisata rimbo terantang | kawasan bangkinang siabu | air terjun alahan | outbound kampar,perkebunan kelapa sawit | karet | ikan patin | lladang padi | jagung | kacang tanah | ubi jalar | kacang kedelai | kacang hijau | pertambangan batubara | batu gamping | kaolin | pasir kuarsa | bentonite | perikanan air tawar,kue palito daun | kue jalo | lapek bugih | lemang | gulai siput kuantan | gulai asam pedas ikan patin | gulai belacan | pongkek cubodak | oluo | rendang burung kuaran | roti jala | kuabu ikan | goreng pekasam | lomang topuong | mangkuk palito daun | galu-galu | dadio | kuabu paku | gulai ikan baung, 	http://www.kamparkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/AoihVcqpRGWqthRg8sKs_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/1Uj00MXCTwOZGdUAmDBL_map.jpg),logo.jpg (https://dl.airtable.com/fD5JfibIRSuNbdKu6ssQ_logo.jpg),bupatii.jpg (https://dl.airtable.com/6qX1PIZgSUO27c9gdRRu_bupatii.jpg)"
KABUPATEN KEPULAUAN MERANTI,"Kabupaten Kepulauan Meranti adalah salah satu kabupaten di provinsi Riau, Indonesia, dengan ibu kotanya adalah Selatpanjang. Kabupaten Kepulauan Meranti terdiri dari Pulau Tebing Tinggi, Pulau Padang, Pulau Merbau, Pulau Ransang, Pulau Topang, Pulau Manggung, Pulau Panjang, Pulau Jadi, Pulau Setahun, Pulau Tiga, Pulau Baru, Pulau Paning, Pulau Dedap,Pulau Berembang, Pulau Burung[5]. Adapun nama Meranti diambil dari nama gabungan ""Pulau Merbau, Pulau Ransang dan Pulau Tebingtinggi"".",Riau,Selatpanjang,"Drs. Irwan Nasir, M.Si.",H. Said Hasyim,3707.84 km²,"238,412 jiwa (2012)",55 jiwa/km2,0763,perayaan imlek(Chinese New Year) Di Selatpanjang | kelenteng hoo ann kiong | Pantai Pulau Rangsang | Tasik Nambus | Tasik Air Putih | tasik putri pepuyu | pulau legenda dedap durhaka,perkebunan kopi | karet | kelapa | pinang | sagu | sarang burung walet | batu bata | batako,mie sagu | mie sultan | rama rama lada hitam | miso, 	http://www.merantikab.go.id,"Bupati.jpg (https://dl.airtable.com/RBLI0ztUSEG6V5pKDqCj_Bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/OC3lrQ7qQAuK49VQIRlk_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/2BPEjIwRkKJcaqrpcgCY_logo.jpg),map.jpg (https://dl.airtable.com/eLsNOptYTteWO8bJiiFU_map.jpg)"
KABUPATEN KUANTAN SINGINGI,"candi muara takus | istana kerajaan gunung sahilan | tamanrekreasi stanum | air terjung merangin | museum Kabupaten Kuantan Singingi (Kuansing) adalah salah satu kabupaten di Provinsi Riau, Indonesia. Kabupaten Kuansing disebut pula dengan rantau Kuantan atau sebagai daerah perantauan orang-orang Minangkabau (Rantau nan Tigo Jurai).[4] Dalam kehidupan sehari-hari, masyarakat Kuansing menggunakan adat istiadat serta bahasa Minangkabau.[5] Kabupaten ini berada di bagian barat daya Provinsi Riau dan merupakan pemekaran dari Kabupaten Indragiri Hulu.",Riau,Teluk Kuantan,"H. Sukarmis, SE, MM",H. Zulkiflli,"6.235,04 km2",281.095 jiwa (2012),"45,08 jiwa/km2",0760,pacu jalur | air panas sungai pinang | air terjun guruh gemurai | air terjun tujuh tingkat | danau kebun nopi | danau masjid koto kari | danau rawang udang | desa wisata koto sentajo | hutan kota pulau bungin | hutan margasatwa | perahu baganduang,perkebunan jeruk | rambutan | mangga | kelapa | duku | nangka | papaya | pisang | cabai | terung | timun | kol | tomat | minyak sawit | coklat | karet | peternakan |  sapi | ayam | kerbau | itik | pertambangan emas | baatu gamping | suntan | batubara | gas alam | pasir sungai | sirtu | mangan | kaolin,lomang | wajik takiak | wajik lopur | dodol tapai | kue pia | kerupuk sagu nyonyok | kare-kare | madu | ikan salai,http://www.kuansing.go.id,"bupati.jpg (https://dl.airtable.com/MlHc58q4RjKhOvOGxYaO_bupati.jpg),wakil-bupatii.jpg (https://dl.airtable.com/cNQzfc71RcWALGsrEQDb_wakil-bupatii.jpg),map.jpg (https://dl.airtable.com/PPeRsi0ZQPyMqLVJP9Nu_map.jpg),logo.jpg (https://dl.airtable.com/6JqF3gKqShmdtBaPmBcF_logo.jpg)"
KABUPATEN PELALAWAN,"Kabupaten Pelalawan dibentuk berdasarkan UU. No. 53 Tahun 1999, yang merupakan pemekaran dari Kabupaten Kampar, dan diresmikan oleh Menteri Dalam Negeri pada tanggal 12 Oktober 1999. Sementara peresmian operasionalnya dilakukan oleh Bapak Gubernur Riau pada tanggal 5 Desember 1999, dimana Pangkalan Kerinsi sebagai Ibu Kota Kabupaten Pelalawan.",Riau,Pangkalan Kerinci ,H. M. Harris,Drs. H. Marwan Ibrahim,"13.924,94 km2",356.945 jiwa (2012),"25,63 jiwa/km2",0761,Taman Nasional Tesso Nilo | Bono Sungai Kampar | Sungai Kampar | Danau Tajwid | Hutan Rindang | Upacara Potang Balimau | Makam Mahmud Syah dari Malaka | Komplek Makam Raja-Raja Pelalawan | Istana Kesultanan Pelalawan | Balai Adat Pelalawan | Makam Panglima Kudin | Tugu Selamat Datang Kota Pangkalan Kerinci | Pemandangan Kota Pangkalan Kerinci,"perkebunan kelapa sawit | karet | peternakan kambing | kerbau | sapi | domba | perikanan laut | budidaya kolam ikan | budidaya tambak ikan",sambal nanas | gulai ayam nanas | sambal salai | sempedas patin | udang galah | ikan salai,http://www.pelalawankab.go.id,"bupati.jpg (https://dl.airtable.com/AGWrz1iDS6eT96sr3sEy_bupati.jpg),map.jpg (https://dl.airtable.com/1sbgr6dURzee1QyBjU7q_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/henVumFET8uUAQGCkopX_wakil-bupati.jpg),logo.png (https://dl.airtable.com/6Ax6YvJURCMehrXa3qKt_logo.png)"
KABUPATEN ROKAN HILIR,"Kabupaten Rokan Hilir adalah sebuah kabupaten di Provinsi Riau, Indonesia. Ibukotanya terletak di Bagansiapiapi, kota terbesar, bersejarah, dan pernah dikenal sebagai penghasil ikan terbesar di Indonesia. Kabupaten ini sebelumnya termasuk ke dalam Kabupaten Bengkalis. Pusat pemerintahan kabupaten berada di tengah-tengah kota Bagansiapiapi, tepatnya di Jalan Merdeka No 58. Kabupaten ini mempunyai luas sebesar 8.941 km² dan penduduk sejumlah 349.771 jiwa. Rokan Hilir terbagi dalam 15 kecamatan dan 83 desa.",Riau,bagansiapi-api,"H. Suyatno, AMP",Erianda,"8.881,59 km2",504.591 jiwa (2009),"56,81 jiwa/km2",0767,"pulau jemur | Masjid Al-Ikhlas | danau napangga | batu belah bertangkup | pulau tilan | bono sunngai rokan | desa rantau bais | upacara bakar tongkang
",PERTANIAN Padi | Ladang Jagung | Ubi Jalar | Ubi Rambat | Kacang Kedelai | Kacang Tanah | Kacang Hijau | PERKEBUNAN Karet | Kelapa Sawit | Kelapa | Kakao | Kopi | Cengkeh | Palawija | Aren | Hutan Lindung dan Wisata | Hutan Tanaman Industri | Hutan Kota | PETERNAKAN Sapi | Kerbau | Kambing | Babi | Ayam Buras | Ayam Petelur | Ayam Pedaging | Itik | PERIKANAN Danau | Keramba | Laut,o yi | pulut panggang | ci cong pan | cai pao | kiam ke | bubu ciacia | lolia | karipeng | cokbe | hamke | hamki misuah | cha yoci tekua | ke mie,http://www.rohilkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/LisojolgT7W4Xqthp2lN_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/NHPBnES7R2WqMgIfyMa8_logo.jpg),map.jpg (https://dl.airtable.com/up5NkyxlQO4ppyb07Ymj_map.jpg),bupati.jpg (https://dl.airtable.com/gVflN70NTFiRdXpAFvGF_bupati.jpg)"
KABUPATEN ROKAN HULU,"Kabupaten Rokan Hulu memiliki berbagai macam suku dan ragam budaya, sebagian besar merupakan keturunan suku Melayu Rokan dan Mandailing. Selain itu terdapat pula suku Jawa, Minang Kabau, Sunda, batak dan masih terdapat adanya massyarakat terasing yaitu : Suku Bonai dan Suku Sakai, dua suku pertama dan suku terakhir merupakan suku asli Rokan Hulu. Kecamatan yang paling padat penduduknya adalah kecamatan Ujung Batu 494 jiwa/km2 diikuti oleh Pagaran Tapah Darussalam 128 jiwa/km2. Masyarakat Rokan Hulu masih sangat kuat memegang teguh budaya dan tradisi kesehariannya. Hukum dan Adat masih berpengaruh dalam kehidupan bermasyarakat, terlihat dengan upacara Perkawinan, Penyambutan Tamu Negeri dan acara budaya lainnya",Riau,Pasir Pengaraian,"Drs. H. Achmad, M.Si","Ir. H. Hafith Syukri, MM",7.449.85 km²,475.011 jiwa (2010),115.887 jiwa/km2,0762,Air Terjun Aek Martua | Taman Nasional Bukit Suligi | Pemandian Air Panas Pawan | Pemandian Air Panas Hapanasan | Goa Huta Sikapir | Sungai Bungo | Masjid Tua Konto Darusslam | Masjid Agung Madani Islamic Centre | Istana Rokan | Benteng 7 Lapis | Makam Raja-Raja Rambah,perkebunan kelapa sawit | karet | kopi | kelapa | pinang | enau | gambir | kakao | pertanian padi sawah | padi ladang | ubi kayu | kacang tanah | ubi jalar | kacang kedelai | kacang hijau | pertambangan batubara | batu gamping | tanah liat | porselin | pasir kwarsa | feldspar | ,kindong | pendang ikan kwan | gulai lingkitang | gulai alo-alo | gulai jangek torong | gulai pcuk ubi tumbuk | gulai krasak labu cinu | gulai tunjang | paih | pokasam limbek | baka ikan kopiek | giliang kumangi | gilaing paih | kokek asam durian,http://www.rokanhulukab.go.id,"wakil-Bupati.jpg (https://dl.airtable.com/cfVOrQJTUmjtbwAKx4W9_wakil-Bupati.jpg),map.png (https://dl.airtable.com/Mlz1HQU2R4KdPvXbZk7m_map.png),logo.png (https://dl.airtable.com/CLPu8rstQruCalswOXyQ_logo.png),Bupati.jpg (https://dl.airtable.com/ikYk84zOSsGScEyP4Gcw_Bupati.jpg)"
KABUPATEN SIAK,"Kabupaten Siak merupakan pemekaran dari Kabupaten Bengkalis, sesuai dengan Keputusan Guipernur Propinsi Riau No. 253/U/1999 tanggal 26 Mei 1999 yang memutuskan Kota Siak Sri Indrapura sebagai ibukota kabupaten. Kota Siak Sri Indrapura adalah kota pinggiran sungai yang terbentuk semenjak hadirnya Kerajaan Siak pada abad ke-18. Kota yang terletak di belahan timur Pulau Sumatra ini merupakan kota pelabuhan yang terbentuk dari proses aktifitas kehidupannya di pinggir Sungai Siak. Pada masa kini kota Siak Sri Indrapura akumulasi kebudayaan material dan spiritual dari berbagai etnik, strata sosial, ekonomi dan sistem pemerintahan pada masa lalu dan masa kini.",Riau,Siak Sri Indrapura,"Drs. H. Syamsur, M.Si","Drs. H. Alfedri, M.Si","8.0556,09km²",377.200  jiwa (2010),"44,09 jiwa/km2",0764,sungai mempura | monumen pompa angguk | danau zamrud | danau naga sakti | istana siak sri indrapura | jembatan siak | masjid syahabuddin | makam sultan kasim II,pertanian padi | jagung | kedelai | kacang tanah | ubi kayu | ubi jalar | peternakan sapi | kerbau | babi | ayam buras | babi | itik | domba | perkebunan kelapa sawit | kelapa | karet | kopi | sagu | pinang | kakao | ,udang galah | gulai dan asam pedas patin | sambal belacan | kue apam | kembang loyang | kue bangkit | bubur asura | bolu kemojo,http://www.siakkab.go.id/,"map.png (https://dl.airtable.com/mYtOsIFiQKupWKdO1Y46_map.png),bupati.jpg (https://dl.airtable.com/qoORuFvcRgytLW1CgRmO_bupati.jpg),logo.png (https://dl.airtable.com/vEnyJEQjR1CP194ljerV_logo.png),wakil-bupati.jpg (https://dl.airtable.com/hqmezDSSScyld8KjtRLL_wakil-bupati.jpg)"
