Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BANTAENG,"Kabupaten Bantaeng adalah sebuah kabupaten di provinsi Sulawesi Selatan, Indonesia. Terletak dibagian selatan provinsi Sulawesi Selatan. Kabupaten ini memiliki luas wilayah 395,83 km² atau 39.583 Ha yang dirinci berdasarkan Lahan Sawah mencapai 7.253 Ha (18,32%) dan Lahan Kering mencapai 32.330 Ha. Secara administrasi Kabupaten Bantaeng terdiri atas 8 kecamatan yang terbagi atas 21 kelurahan dan 46 desa. Jumlah penduduk mencapai 170.057 jiwa. Kabupaten Bantaeng terletak di daerah pantai yang memanjang pada bagian barat dan timur sepanjang 21,5 kilometer yang cukup potensial untuk perkembangan perikanan dan rumput laut.",Sulawesi Selatan,Kota Bantaeng,Nurdin Abdullah,"Drs. H. Muhammad Yasin, MT","395,83 km2",176.699 jiwa (2010),"446,4 jiwa/km2",0413,Pemandian Alam Eremerasa | Air Terjun Bissapu | Pantai Seruni | Pantai Marina Korong Batu | Waduk Cekdam Balangsikuyu | Hutan Wisata Gunung Loka | Gua Batu Ejayya,Cengkeh | Jagung | Nanas | Jambu Mete | Jarak | Kakao | Kapuk | Kelapa | Kemiri | Kopi | Lada | Pala | Tembakau | Vanili | Pisang | Kentang | Ubi Jalar | Ubi Kayu,Bakso Rumput Laut | Kapurung Tassabbe,http://www.bantaengkab.go.id,"map.jpg (https://dl.airtable.com/lwXyNUbMT0azDdLq7OCM_map.jpg),logo.jpg (https://dl.airtable.com/u035Zu3kSHyxM19BqGr0_logo.jpg),bupati.jpg (https://dl.airtable.com/nMUNav0XS2qadw4k4xJF_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/Cpo8SkUdSymeuVT6OlJw_wakil-bupati.jpg)"
KABUPATEN BARRU,"Kabupaten Barru adalah salah satu Daerah Tingkat II di provinsi Sulawesi Selatan, Indonesia. Ibu kota kabupaten ini terletak di Kota Barru. Kabupaten ini memiliki luas wilayah 1.174,72 km² dan berpenduduk sebanyak 159.235 jiwa (2006). Kabupaten Barru dahulu sebelum terbentuk adalah sebuah kerajaan kecil yang masing-masing dipimpin oleh seorang raja, yaitu: Kerajaan Berru (Barru), Kerajaan Tanete, Kerajaan Soppeng Riaja dan Kerajaan Mallusetasi.",Sulawesi Selatan,Kota Barru,Andi Idris Syukur,Andi Anwar Aksa,"1.174,71 km2",165.983 jiwa (2010),"141,3 jiwa/km2",0428,Pulau Dutungeng | Air Terjun Waesay | Pantai Wisata Ujung Batu | Pantai Kupa | Pantai Labuangnge | Saoraja Lapinceng,Kakao | Kapuk | Kelapa | Kemiri | Kopi | Cengkeh | Jambu Mete | Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Gigoso | Otak - Otak | Gogos,http://www.barrukab.go.id/,"map.jpg (https://dl.airtable.com/5OasZrYBSte3SYsWpSPU_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/vg2fwUPGTdaeJchyGNiz_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/U0RCo76cTZ6JvogyclTb_logo.jpg),bupati.jpg (https://dl.airtable.com/GCjRDsfNSby6XqGolfqj_bupati.jpg)"
KABUPATEN BONE,"Kabupaten Bone adalah salah satu Daerah otonom di provinsi Sulawesi Selatan, Indonesia. Ibu kota kabupaten ini terletak di kota Watampone. Berdasarkan data Kabupaten Bone Dalam Angka Tahun 2015 yang diterbitkan oleh Badan Pusat Statistik Kabupaten Bone, jumlah penduduk Kabupaten Bone Tahun 2015 adalah 738.515 jiwa, terdiri atas 352.081 laki‐laki dan 386.434  perempuan. Dengan luas wilayah Kabupaten Bone sekitar 4.559 km2 persegi, rata‐rata tingkat kepadatan penduduk Kabupaten Bone adalah 162 jiwa per km2. Berikut jumlah penduduk Kabupaten Bone berdasarkan jumlah kelamin Tahun 2015.",Sulawesi Selatan,Kota Watampone,"Dr.H. A. Fahsar M.Padjalangi,M.Si.","Dr.H. Ambo Dalle,M.M",4.559 km²,"734,119 jiwa (2014)",161 jiwa/Km2,0481,Tanjung Palette | Goa Mampu | Pantai Tete Tonra | Museum Lapawawoi | Air Terjun Ladenring | Museum Arajangnge | Bendungan Ponre-ponre,Aren | Cengkeh Jambu Mete | Jarak | Kakao | Kapuk | Kelapa | Kemiri } Kopi | Lada | Pinang | Sagu | Tebu | Tembakau | Vanili | Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Lawa | Barobbo | Masak Poppo,http://www.bone.go.id/,"bupati.jpg (https://dl.airtable.com/UEfveZ4BRb2bN981r49k_bupati.jpg),map.jpg (https://dl.airtable.com/eZBTNrPsQ6vFWiYSxQC5_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/0GhItJNqTNy9CifV24un_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/VLhZRTjwS3CNmvcc2AaO_logo.jpg)"
KABUPATEN BULUKUMBA,"Kabupaten Bulukumba adalah salah satu Daerah Tingkat II di provinsi Sulawesi Selatan, Indonesia. Ibu kota kabupaten ini terletak di Kota Bulukumba. Kabupaten ini memiliki luas wilayah 1.154,67 km² dan berpenduduk sebanyak 394.757 jiwa (berdasarkan sensus penduduk 2010). Kabupaten Bulukumba mempunyai 10 kecamatan, 24 kelurahan, serta 123 desa. Secara kewilayahan, Kabupaten Bulukumba berada pada kondisi empat dimensi, yakni dataran tinggi pada kaki Gunung Bawakaraeng – Lompobattang, dataran rendah, pantai dan laut lepas. Kabupaten Bulukumba terletak di ujung bagian selatan ibu kota Provinsi Sulawesi Selatan, terkenal dengan industri perahu pinisi yang banyak memberikan nilai tambah ekonomi bagi masyarakat dan Pemerintah Daerah. Luas wilayah Kabupaten Bulukumba 1.154,67 Km2 dengan jarak tempuh dari Kota Makassar sekitar 153 Km.",Sulawesi Selatan,Kota Bulukumba,H. Zainuddin Hasan,H. Syamsuddin,"1.154,67 km2",394.560 jiwa,"341,71 jiwa/km2",0413,Pantai Tanjung Bira | Pantai Apparalang | Pantai Bara | Pantai Mandala Ria | Pantai Ksuso | Pantai Ssamboang | Pantai Ujung Tiro | Pantai Marumasa | Pulau Kambing | Pulau Liukang Loe | Air Terjun Bravo | Bukit Kahayya | Goa Passohara | Goa Passea | Permandian Alam Hila-Hila | Permandian Alam Limbua | Perkebunan Karet Balombessie | Puncak Pua Janggo,Cengkeh | Jambu Mete | Kakao | Kapuk | Karet | Kelapa | Kemiri | Kopi | Lada | Pala | Tembakau | Vanili | Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Baulu Peca | Bandang-bandang | Pallubasa | Kue Barongko | Jagung Marning,http://www.bulukumbakab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/RdQ0LnrQaOQETPADSz95_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/3GxoKPxtQjGWnzmKhRT9_map.jpg),bupati.jpg (https://dl.airtable.com/aww2TpwXSsKMjnQ0p6y4_bupati.jpg),logo.jpg (https://dl.airtable.com/9XupYyKZS3y4qCY2w5nH_logo.jpg)"
KABUPATEN ENREKANG,"Kabupaten Enrekang adalah salah satu Daerah Tingkat II di provinsi Sulawesi Selatan, Indonesia. Ibu kota kabupaten ini terletak di Kota Enrekang. Kabupaten ini memiliki luas wilayah 1.786,01 km² dan berpenduduk sebanyak ± 190.579 jiwa. Ditinjau dari segi sosial budaya, masyarakat Kabupaten Enrekang memiliki kekhasan tersendiri. Hal tersebut disebabkan karena kebudayaan Enrekang (Massenrempulu') berada di antara kebudayaan Bugis, Mandar dan Tana Toraja. Bahasa daerah yang digunakan di Kabupaten Enrekang secara garis besar terbagi atas 3 bahasa dari 3 rumpun etnik yang berbeda di Massenrempulu', yaitu bahasa Duri, Enrekang dan Maiwa. Bahasa Duri dituturkan oleh penduduk di Kecamatan Alla', Baraka, Malua, Buntu Batu, Masalle, Baroko, Curio dan sebagian penduduk di Kecamatan Anggeraja. Bahasa Enrekang dituturkan oleh penduduk di Kecamatan Enrekang, Cendana dan sebagian penduduk di Kecamatan Anggeraja. Bahasa Maiwa dituturkan oleh penduduk di Kecamatan Maiwa dan Kecamatan Bungin. Melihat dari kondisi sosial budaya tersebut, maka beberapa masyarakat menganggap perlu adanya penggantian nama Kabupaten Enrekang menjadi Kabupaten Massenrempulu', sehingga terjadi keterwakilan dari sisi sosial budaya.",Sulawesi Selatan,Kota Enrekang,Drs. H. Muslimin Bando M.Pd,"H.M.Amiruddin,SH",1.786.01 Km²,190.579 jiwa,"106,7 jiwa/km2",0420,Pemandian Alam Lewaja | Air Terjun Lambai | Lo'ko Bubau | Desa Bone-Bone | Sapo Kaluppini | Situs Tontonan | Bunker Jepang | Lo'ko Palakka | Situs Benteng Alla | Villa Bampapuang | Lo'ko Malilin | Lo'ko Tappaan | Buntu/Buttu Kabobong | Situs Batu Tondon | Maccerang Manurung Palipada | Gunung Latimojong,Padi | Pepaya | Salak | Kopi | Kakao | Kemiri | Jambu Mete | Lada | Cengkeh | Vanili | Murbei,Dangke | Baro'bo | Pulu' Mandoti | Baje' Kotu | Nasu Cemba | Camme Tuttu',http://www.enrekangkab.go.id/,"bupati.jpg (https://dl.airtable.com/WX2zLtOARb6JIa21y81e_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/cZ4i3rrJTYCAUfm0Rg1d_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/Kz9nhQPQCKVyhlYxDsYg_map.jpg),logo.jpg (https://dl.airtable.com/hIfei7dwS6jXRAlVmVBY_logo.jpg)"
KABUPATEN GOWA,"Kabupaten Gowa adalah salah satu Daerah Tingkat II di provinsi Sulawesi Selatan, Indonesia. Ibu kota kabupaten ini terletak di Kota Sungguminasa. Kabupaten ini memiliki luas wilayah 1.883,32 km² dan berpenduduk sebanyak ± 652.941 jiwa.",Sulawesi Selatan,Kota Sungguminasa,Adnan Purichta Ichsan Yasin Limpo,Abd Rauf Malagani Kr Kio,"1.883,32 km2",652.941 jiwa (2010),"346,7 jiwa/km2",0411,Perkebunan Teh Desa Bulutana | Perkebunan Buah Markisa Desa Kanreapia | Makam Sultan Hasanuddin | Tirta Dam Bili-Bili | Makam Arung Palakka | Air Terjun Takapala | Air Terjun Ketemu Jodoh,Batu Bara | Belerang | Emas | Perak | Tembaga | Timah | Seng | Batu Apung | Bentonit,Tenteng Karamel | Tenteng Wijen | Dodol Ketan Hitam | Waje' | Keripik Ubi Jalar,http://www.gowa.go.id/,"bupati.jpg (https://dl.airtable.com/RhWwIpsBRviSYAn7DjVI_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/s9p8HMeS8mmtHW0ESJ0Q_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/s5AdLMzQ2ifoRXRMGFxA_map.jpg),logo.jpg (https://dl.airtable.com/A02c3fU0QwiQteyRo7Yk_logo.jpg)"
KABUPATEN JENEPONTO,"Kabupaten Jeneponto adalah salah satu Daerah Tingkat II di provinsi Sulawesi Selatan, Indonesia. Ibu kota kabupaten ini terletak di Bontosunggu. Kabupaten ini memiliki luas wilayah 749,79 km2 dan berpenduduk sebanyak 330.735 jiwa, kondisi tanah (topografi) pada bagian utara terdiri dari dataran tinggi dengan ketinggian 500 sampai dengan 1400 m, bagian tengah 100 sampai dengan 500 m dan pada bagian selatan 0 sampai dengan 150 m di atas permukaan laut. dan memiliki pelabuhan yang besar terletak di desa Bungeng.",Sulawesi Selatan,Kota Bontosunngu,"Drs. H. Iksan Iskandar, M.Si","H. Mulyadi Mustamu, SH","749,79 km2",342.700 jiwa,457 jiwa/km2,0419,Air Terjun Je'ne Ariba | Bungun Salapang | Agrobisnis Industri Garam,Rumput Laut | Garam | Aren | Cengkeh | Jambu Mete | Jarak | Kakao | Kapuk | Kelapa | Kemiri | Kopi | Pala | Tembakau | Vanili | Jagung Kedelai | Kentang | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Gantala' Jarang | Coto Kuda | Sate Kuda | Ballo,http://jenepontokab.go.id,"map.jpg (https://dl.airtable.com/hHhXUQKRUWT4oQhwxAzb_map.jpg),bupati.JPG (https://dl.airtable.com/oSb67If5TGWdRMMiXVEY_bupati.JPG),wakil-bupati.jpg (https://dl.airtable.com/6I9gVusnTZKU8bauBwrO_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/JOM7REEuTWeced5yKRsY_logo.jpg)"
KABUPATEN KEPULAUAN SELAYAR,"Kabupaten Kepulauan Selayar (dahulu Kabupaten Selayar, perubahan nama berdasarkan PP. No. 59 Tahun 2008)[1] adalah sebuah kabupaten yang terletak di Provinsi Sulawesi Selatan, Indonesia. Ibu kota kabupaten Kepulauan Selayar adalah Kota Benteng. Kabupaten ini memiliki luas sebesar 10.503,69 km² (wilayah daratan dan lautan) dan berpenduduk sebanyak 123.283 jiwa. Kabupaten Kepulauan Selayar terdiri dari 2 sub area wilayah pemerintahan yaitu wilayah daratan yang meliputi kecamatan Benteng, Bontoharu, Bontomanai, Buki, Bontomatene, dan Bontosikuyu serta wilayah kepulauan yang meliputi kecamatan Pasimasunggu, Pasimasunggu Timur, Takabonerate, Pasimarannu, dan Pasilambena.",Sulawesi Selatan,Kota Benteng,"Drs. H. Syahrir Wahab, MM","H. Saiful Arief, SH",10.503.69 km2,122.055 jiwa,12/km2,0414,Plaza Marina | Dermaga Benteng | Pantai Taloiya | Pantai Pa'badilang | Pantai Labuang Nipaiya | Pantai Rampang-Rampangan | Pantai Pamatata | Pulau Pasitanete | Pantai Lembangia | Pulau Gusung | Pulau Pasi | Pantai Dongkalang,Aloevera | Aren | Cengkeh | Gambir | Jambu Mete | Jarak | Kacang Hijau | Kakao | Kapas | Kapok | Kapuk | Karet | Kayu Manis | Kelapa | Kelapa Sawit | Kemiri | Kenari | Kopi | Lada | Nilam | Pala | Pinang | Sagu | Tebu | Teh | Tembakau | Vanila | Vanili | Jagung | Kacang Panjang | Kedelai | Kentang | Nanas | Padi | Ubi Jalar | Ubi Kayu,Ikan Bakar Baronang | Songkolo Begadang | Nasi Santan | Tenteng Kenari,http://kepulauanselayarkab.go.id/,"bupati.jpg (https://dl.airtable.com/C6PpAZ6QxeWQktgWkqNo_bupati.jpg),map.jpg (https://dl.airtable.com/PgAD2TIxSdmCyPD0ROS1_map.jpg),wakil-bupati.JPG (https://dl.airtable.com/yimFvLTIRDqRFue2HpzZ_wakil-bupati.JPG),logo.jpg (https://dl.airtable.com/NIzaMJR6ajhUT39Lym7w_logo.jpg)"
KABUPATEN LUWU,"Kabupaten Luwu adalah sebuah kabupaten di Sulawesi Selatan yang dalam kurun waktu tiga tahun dimekarkan menjadi tiga daerah strategis, yaitu Kabupaten Luwu, Kabupaten Luwu Utara yang kemudian dimekarkan lagi menjadi Kabupaten Luwu Timur dan Kota Palopo. Pemekaran ini turut menjadikan Kota Palopo selaku perintahan otonom kota Palopo. Luas wilayah Kabupaten Luwu 3.000,25 km², sebelum Kota Palopo menjadi kota otonom dengan jarak tempuh dari Kota Makassar lebih dari 367 km. Pemekaran kabupaten Luwu yang kemudian melahirkan kabupaten Luwu Utara dan kota otonom Palopo dibawah kepemimpinan Bupati Luwu Dr. Kamrul Kasim yang menjabat Bupati Luwu dari tahun 1999 sampai tahun 2003. Kabupaten Luwu memindahkan pusat pemerintahan dari kota Palopo ke kota Belopa, sejak tahun 2006, seiring ditetapkannya Belopa sebagai Ibukota Kabupaten Luwu berdasarkan Peraturan Pemerintah RI Nomor 80 Tahun 2005, dan diresmikan menjadi ibu kota sejak 13 Februari 2006. Periode 2004-2009 Luwu dipimpin oleh Bupati H.M. Basmin Mattayang kemudian dilakukan pemilihan Kepala Daerah langsung pertama di daerah itu dan memilih Ir. H. Andi Mudzakkar sebagai bupati terpilih periode 2009-2014.",Sulawesi Selatan,Kota Belopa,Ir. H. Andi Mudzakkar,Syukur Bijak,"3.000,25 km2",332.482 jiwa (2010),"110,82 jiwa/km2",0471,Museum Batara Guru | Penangkaran Buaya Radda | Air Terjun Sarambu Alla,Besi | Mangan | Galena | Hematit | Nikel | Crom | Emas | Kwarsit | Marmer | Batu Sabak | Filit | Rijang | Gamping | Granit | Andesit | Lempung | Basal | Padi | Jagung | Kacang Hijau | Kacang Tanah | Kedelai | Ubi Jalar | Ubi Kayu ,Kapurung | Lawa Pakis,http://luwukab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/SkZIbr5RoqcbGTWiO81M_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/t7xf5moSvmuQHYIzTY2g_bupati.jpg),map.jpg (https://dl.airtable.com/kkJx1WEFS7iE1grqu5ye_map.jpg),logo.jpg (https://dl.airtable.com/G2GNzKWT5GgzGuW56VHw_logo.jpg)"
KABUPATEN LUWU TIMUR,"Kabupaten Luwu Timur adalah salah satu Daerah Tingkat II di provinsi Sulawesi Selatan, Indonesia. Kabupaten ini berasal dari pemekaran Kabupaten Luwu Utara yang disahkan dengan UU Nomor 7 Tahun 2003 pada tanggal 25 Februari 2003. Malili adalah ibu kota dari Kabupaten Luwu Timur yang terletak di ujung utara Teluk Bone. Kabupaten ini memiliki luas wilayah 6.944,98 km2. Kabupaten ini terdiri atas 11 Kecamatan yakni Kecamatan Malili, kecamatan Angkona, Tomoni, Tomoni Timur, Kalena, Towuti, Nuha, Wasponda, Wotu, Burau dan Mangkutana. Di kabupaten ini terletak Sorowako, tambang nikel yang dikelola oleh INCO, sebuah perusahaan Kanada yang kini berubah nama menjadi PT Vale . Pada tahun 2008, Pendapatan Asli Daerahnya berjumlah Rp. 38,190 miliar. Pendapatan per kapita masyarakat Luwu Timur pada tahun 2005 adalah Rp. 24,274 juta.",Sulawesi Selatan,Kota Malili,H. Muhammad Thoriq Husler,Irwan Bacri Syam,"6,944.88 km2",243.069 jiwa (2010),35 jiwa/km2,0474,Pantai Lemo | Air Terjun Salu Anuang | Sungai Malili | Air Terjun Mata Buntu | Air Terjun Atue,Padi | Kacang Kedelai | Kacang Hijau | Daun Bawang | Cabai | Tomat | Bayam | Mangga | Durian | Jeruk | Pisang | Nanas | Jahe | Laos | Kencur | Kunyit | Laos| Nikel,Kapurung | Dange | Lawa dan Pocco | Bolu Peca | Apang Gola | Toli-Toli | Doko-Doko,http://www.luwutimurkab.go.id/,"bupati.jpg (https://dl.airtable.com/Mym6XVkwRJkDI1QggGqw_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/wCfYswZgSuyEdFyR1E0Q_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/tYFpE62TXGP8nUxPLvVD_logo.jpg),map.jpg (https://dl.airtable.com/DGW3cUscTAKKwhSpv9M9_map.jpg)"
