Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BANGGAI,"Kabupaten Banggai adalah salah satu Daerah Tingkat II di Provinsi Sulawesi Tengah, Indonesia. Ibu kota kabupaten ini terletak di Luwuk. Kabupaten ini memiliki luas wilayah 9.672 km² (data UU No 51/1999), dan berpenduduk sebanyak 323.626 jiwa (2010). Kabupaten Banggai dulunya merupakan bekas Kerajaan Banggai yang meliputi wilayah Banggai daratan dan Banggai Kepulauan. Pada tahun 1999 Kabupaten Banggai dimekarkan menjadi Kabupaten Banggai dan Kabupaten Banggai Kepulauan. Kabupaten Banggai merupakan salah satu kabupaten di Sulawesi Tengah yang memiliki potensi sumber daya alam yang melimpah, baik berupa hasil laut (ikan, udang, mutiara, rumput laut dan sebagainya), aneka hasil bumi (kopra, sawit, coklat, beras, kacang mente dan lainnya) serta hasil pertambangan (nikel yang sedang dalam taraf eksplorasi) dan gas (Blok Matindok dan Senoro).",Sulawesi Tengah,Luwuk,"Muhammad Sofhian Mile SH, MH","Ir. H. Herwin Yatim, MM","9.672,70 km2","323,626 (2010)",31 jiwa/km2 (2010),0461,Teluk Lalong | Suaka Margasatwa Bangkirang | Kilo Lima | Air Terjun Salodik,Kelapa Sawit | Kakao | Karet | Kopi | Kelapa | Cengkeh | Jambu Mete | Kapuk | Kemiri | Lada | Pala | Sagu | Vanili | Jagung | Kedelai | Ubi Jalar | Ubi Kayu,Milu Siram | Pisang Louwe,http://banggaikab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/Nf09Gm6xQfiilyAIhd3H_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/scMH6mmDRVOkhZmoR5Qv_logo.jpg),bupati.jpg (https://dl.airtable.com/2bHtixQNRYytnpRt0sYI_bupati.jpg),map.jpg (https://dl.airtable.com/9VDaiKLVTiSnlwSQSqK5_map.jpg)"
KABUPATEN BANGGAI KEPULAUAN,"Kabupaten Banggai Kepulauan adalah salah satu kabupaten yang terdapat di provinsi Sulawesi Tengah dan beribukota di Salakan. Kabupaten ini sebelumnya merupakan kesatuan wilayah dengan Kabupaten Banggai. Berdasarkan Undang-Undang Nomor 51 Tahun 1999 menetapkan pulau-pulau di tengah lautan tersebut menjadi daerah otonom Banggai Kepulauan, sementara kabupaten induk tetap disebut Kabupaten Banggai dan pemekarannya disebut Kabupaten Banggai Kepulauan (Bangkep).",Sulawesi Tengah,Salakan,Drs. Lania Laosa,Drs. H. Zakaria Kamindang,"3.214,46 km2",171.627 jiwa (2010),"53,39 jiwa/km2",0462,Pulau Peleng | Pulau Banggai | Pulau Bangkurung | Pulau Salue Besar | Pulau Labobo | Pulau Sampu-sampuan | Pantai Lambangan Pauno,Jagung | Kedelai | Ubi Jalar | Ubi Kayu | Kakao | Kopi | Kelapa | Cengkeh | Jambu Mete | Kapuk | Kemiri | Lada | Nilam | Pala | Vanili,"Ubi Banggai | Onyop | Sayur Lilin | Ikan Kadompe
",http://www.bangkepkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/uQ3P4GmwQD6clJNWoSLl_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/lbvMAvBFRkGtFU0egLGn_bupati.jpg),map.jpg (https://dl.airtable.com/P4SLAHLNRhOXB85N12lF_map.jpg),logo.jpg (https://dl.airtable.com/KH3cuQThSH2pB5J9Kykg_logo.jpg)"
KABUPATEN BANGGAI LAUT,"Kabupaten Banggai Laut adalah salah satu kabupaten di provinsi Sulawesi Tengah, Indonesia. Banggai Laut merupakan hasil pemekaran dari Kabupaten Banggai Kepulauan yang disahkan dalam sidang paripurna DPR RI pada 14 Desember 2012 di gedung DPR RI tentang Rancangan UU Daerah Otonomi Baru (DOB).",Sulawesi Tengah,Banggai,"Drs. Furqanuddin Masulili, MM",-,"725,67 km²",63.580 jiwa,"90,37jiwa/km2",0462,"Danau Ubur-ubur | Pantai Bongo

","Granit | Pasir Kuarsa | Bijih Besi | Rumput Laut | Ubi Jalar | Ubi ayu

",Coto Banggai | Kondro,http://banggailautkab.go.id/,"map.jpg (https://dl.airtable.com/yWOVsvj5RT2yQmIrZhE0_map.jpg),bupati.jpg (https://dl.airtable.com/Uinr0ZWaT4qDe1Ev22CS_bupati.jpg),logo.jpg (https://dl.airtable.com/gy3fb0nfQ6WwWBWW5pFa_logo.jpg)"
KABUPATEN BUOL,"Kabupaten Buol adalah salah satu kabupaten di provinsi Sulawesi Tengah, Indonesia. Ibu kota kabupaten ini terletak di Kota Buol. Kabupaten ini memiliki luas wilayah 3.507 km² dan berpenduduk sebanyak 132.352 jiwa (2015).",Sulawesi Tengah,Buol,H. Amirudin Rauf,H. Syamsudin Koloi,3.507 km2,132.330 jiwa (2010),"37,73 jiwa/km2",0445,Pemandian Alam Tirtari Kulango | Goa Tirtari Kulango | Pemandian Alam Kumalingon | Goe Kolera Kumalingon | Pulau Busak | Gunung Pogogul | Air Terjun Rante Maranu | Air Terjun Conu,Sagu | Kelapa | Cengkeh | Jambu Mete | Kapuk | Lada | Nilam | Pala | Vanili | Kelapa Sawit | Kakao | Kopi | Jagung | Kedelai | Ubi Jalar | Ubi Kayu,Llyabul | Tombuat | Woku Belanga,http://buolkab.go.id/,"bupati.jpg (https://dl.airtable.com/lzE5xpdTQoC3L7IcWA9o_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/RG9DdNzoSMy2GfsE2D85_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/KczL6v4iR1O1j0C0grsy_map.jpg),logo.jpg (https://dl.airtable.com/srLXEmWRTm2cDpO2tDve_logo.jpg)"
KABUPATEN DONGGALA,"Kabupaten Donggala adalah salah satu kabupaten di provinsi Sulawesi Tengah, Indonesia. Ibu kota kabupaten ini terletak di Banawa. Kabupaten ini memiliki luas wilayah 12.890,8 km² dan berpenduduk sebanyak 466.898 jiwa (2007).",Sulawesi Tengah,Banawa,"Drs. Kasman Lassa, SH",Vera Elena Enor Laruni,"4.764,83 km2",277.236 jiwa (2010),"58,18 jiwa/km2",0457,Pusat Laut Donggala | Tanjung Karang Beach,Jagung | Kedelai | Kentang | Ubi Jalar | Ubi Kayu | Kakao | Kelapa Sawit | Kopi | Kelapa | Cengkeh | Jambu Mete | Kapuk | Kemiri | Lada | Nilam | Pala | Sagu | Vanili,Kaledo | Ikan Bakar Rica Kaili | Uta Dada,http://www.donggala.go.id/,"bupati.jpg (https://dl.airtable.com/OQSJ0d8R6aDAPADCAK7n_bupati.jpg),map.jpg (https://dl.airtable.com/9ppTVaE3Sq62xATS8DMm_map.jpg),logo.jpg (https://dl.airtable.com/QJ39ppuTQSGB3CkwdjB1_logo.jpg),wakil-bupati.jpg (https://dl.airtable.com/FV3Mnp6TUSC0AteGL34A_wakil-bupati.jpg)"
KABUPATEN MOROWALI,"Kabupaten Morowali adalah sebuah kabupaten di provinsi Sulawesi Tengah, Indonesia. Ibu kota kabupaten ini terletak di Bungku (sebelumnya pernah dipindahkan sementara hingga tahun 2005 ke Kolonodale, Petasia, Morowali). Kabupaten ini memiliki luas wilayah 14.489,62 km² dan berpenduduk sebanyak 179.649 jiwa (2009). Kabupaten ini merupakan hasil pemekaran dari Kabupaten Poso pada 3 November 1999. Mata pencaharian terbesar penduduk kabupaten ini adalah petani.",Sulawesi Tengah,Bungku,Anwar Hafid,"Drs. S.U. Marunduh, M.Hum","15.490,12 km2",179.649 jiwa (2004),"11,6 jiwa/km2",0465,Cagar Alam Bungku Utara | Danau Petasia | Taman Laut Bungku Selatan,"Karet | Kopi | Kakao | Kelapa Sawit | Kelapa | Cengkeh | Jambu Mete | Kemiri | Lada | Pala | Sagu | Vanili | Jagung | Ubi Jalar | Ubi Kayu | Kedelai
",Dunui | Ikan Kuah Kuning,http://morowalikab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/v1eTXm8AQMOc5DsZAp0A_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/yPi969ZRdGxBwgO1ZlPG_bupati.jpg),logo.jpg (https://dl.airtable.com/v7ZkanVQSvwK4sKoTnWd_logo.jpg),map.jpg (https://dl.airtable.com/pWW8aQAHSRKr3fxOJOQx_map.jpg)"
KABUPATEN MOROWALI UTARA,"Kabupaten Morowali Utara adalah sebuah kabupaten di provinsi Sulawesi Tengah, Indonesia. Morowali Utara merupakan hasil pemekaran dari Kabupaten Morowali yang disahkan dalam sidang paripurna DPR RI pada 12 April 2013 di gedung DPR RI tentang Rancangan UU Daerah Otonomi Baru (DOB). Luas daratan Kabupaten Morowali Utara merupakan luas Kabupaten terbesar di Sulawesi Tengah yaitu 10.004,28 km2 atau sekitar 14,72 persen dari luas daratan Propinsi Sulawesi Tengah. Wilayah Kabupaten Morowali Utara terdiri dari 1o Kecamatan dengan wilayah daratan yang terluas adalah Kecamatan Kecamatan Bungku Utara yaitu 2.406,79 km2 atau 20,02 persen dari luas daratan Kabupaten Morowali Utara . Sementara itu wilayah daratan terkecil adalah Petasia Barat dengan luas sebesar 465,29 km2 atau 4,64 persen dari total luas daratan di Kabupaten Morowali Utara. Secara admistratif Kabupaten Morowali Utara terbagi atas 9 kecamatan, 122 desa serta 3 Kelurahan.",Sulawesi Tengah,Kolonodale,"Drs. Abdul Haris Rengga, MSi",-,"18.262,00 km2",104.299 jiwa,"5,71 jiwa/km2",0465,Istana Raja Mori | Kuburan Raja Mori | Muara Bajoe | Danau Tiu | Air Terjun Menduru | Pemandian Panapa | Permandian Korowalelo | Permandian Lemboroma,Aloevera | Bawang Merah } Ikan Kerapu | Ikan Laut | Jagung | Jeruk | Kakao | Kelapa | Padi | Pisang | Rumput Laut | Sapi | Ubi Kayu,Dunui | Ikan Kuah Kuning,www.morowaliutarakab.go.id,"bupati.jpg (https://dl.airtable.com/VWeGWSx5Q664fVe3iE1s_bupati.jpg),map.jpg (https://dl.airtable.com/5xq6hQSIRcORFo79CftM_map.jpg),logo.jpg (https://dl.airtable.com/6ua9a7LRqigWbcAgG8aQ_logo.jpg)"
KABUPATEN PARIGI MOUTONG,"Kabupaten Parigi Moutong adalah salah satu Daerah Tingkat II di provinsi Sulawesi Tengah, Indonesia. Ibu kota kabupaten ini terletak di Parigi. Kabupaten ini memiliki luas wilayah 6.231 km² dan berpenduduk sebanyak 373.346 jiwa (2006), dengan jumlah penduduk laki-laki sebanyak 190.092 jiwa dan penduduk perempuan sebanyak 183.254 jiwa. Bupati yang menjabat saat ini adalah H. Samsurizal Tombolotutu.",Sulawesi Tengah,Parigi,H. Samsurizal Tombolotutu,-,"6.231,85 km2",373.346 jiwa,"59,91 jiwa/km2",0450,Pantai Nalera | Pulau Kelelawar | Air Terjun | Panjat Tebing Likunggavali | Pantai Juna Yasa,Jambu Mete | Kapuk | Lada | Nilam | Pala | Vanili | Cengkeh | Kelapa | Kopi | Kakao | Kelapa Sawit,Lalampa | Binte,-,"map.jpg (https://dl.airtable.com/ahUSvvzBSGinvVtTzqc0_map.jpg),bupati.jpg (https://dl.airtable.com/8FAbzg8KQfy6VoaVvyxi_bupati.jpg),logo.jpg (https://dl.airtable.com/Mp4UBtEqTkOk0iiodEoQ_logo.jpg)"
KABUPATEN POSO,"Kabupaten Poso adalah sebuah kabupaten di provinsi Sulawesi Tengah, Indonesia. Kabupaten ini mempunyai luas sebesar 8.712,25 km² dan berpenduduk sebanyak 225.379 jiwa (2013). Ibu kota kabupaten ini terletak di Kota Poso.",Sulawesi Tengah,Poso,Darmin A. Sigilipu,Ir. Samsuri,"8.712,25 km²",225.379 jiwa,26 jiwa/km²,0452,Danau Poso | Air Terjun Sulewana | Air Terjun Saluopa | Goa Pamona | Goa Tangkaboba | Lembah Bada | Taman Nasional Lore Lindu | Pantai Imbo | Pantai Madale | Pantai Siuri,Emas | Marmer | Kedelai | Kentang | Jagung | Ubi Jalar | Ubi Kayu | Kelapa Sawit | Kakao | Kopi | Kelapa | Cengkeh | Jambu Mete | Kemiri | Lada | Vanili,Tosu-TosuKatue | Wayawo Masapi | Ituwu Manu | Winagoe | Inau Tarente Sulewana,http://posokab.go.id/,"map.jpg (https://dl.airtable.com/XKwiO3mTOGx9cciO1juc_map.jpg),bupati.jpg (https://dl.airtable.com/ozaISRVhQbya9rBkZn2e_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/2JRlAvb5TPqux3hVZFal_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/dL46anpGQmqpyscKnLFf_logo.jpg)"
KABUPATEN SIGI,"Kabupaten Sigi adalah sebuah kabupaten di Provinsi Sulawesi Tengah, Indonesia. Ibukotanya adalah Bora yang berada di Kecamatan Sigi Biromaru. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 27 Tahun 2008 yang merupakan pemekaran dari Kabupaten Donggala.",Sulawesi Tengah,Sigi Biromaru,M. Irwan Lapata,Livingstone Sango,5.196 km2,217.874 jiwa,"41,93 jiwa/km2",0451,Air Terjun Wera | Taman Nasional Lore Lindu |,Galena | Emas | Tembaga | Belerang | Wolfram-tungsten | Bijih Besi | Granit | Pasir dan Batu | Kaolin | Lempung | Batubara | Kakao | Kopi | Kelapa | Cengkeh | Jambu Mete | Kemiri,Uta Dada | Kaledo,http://www.sigikab.go.id/,"bupati.jpg (https://dl.airtable.com/kfwPUY1tRGa61BG46qP4_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/Qtg1NgeAR6UyktM7AjCL_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/iZygILwQVaDwYAjCkCMK_map.jpg),logo.jpg (https://dl.airtable.com/AOdcK8MRTiWOCEGZBQk2_logo.jpg)"
