Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BOMBANA,"Kabupaten Bombana adalah salah satu Daerah Tingkat II di provinsi Sulawesi Tenggara, Indonesia, dengan ibukota Rumbia, dibentuk berdasarkan UU Nomor 29 Tahun 2003 tanggal 18 Desember 2003 yang merupakan hasil pemekaran Kabupaten Buton.

Jumlah penduduk pada tahun 2005 sebanyak 110.029 jiwa tercatat laki-laki sebanyak 54.635 jiwa dan perempuan 55.394 jiwa.

PDRB berdasarkan harga berlaku pada tahun 2005 sebesar Rp. 516.353.940.000,- sedikit lebih tinggi dibanding tahun sebelumnya, yaitu sebesar Rp. 409.844.460.000,- .

Berdasarkan harga berlaku, PDRB perkapita pada tahun 2004 adalah sebesar Rp. 3.961.955,24,- pada tahun 2005 menjadi Rp. 4.860.670,99,- atau naik sebesar 22,68 persen.",Sulawesi Tenggara,Rumbia,"H. Tafdil, SE.MM",Ir. Hj Masyhura Ilah Ladamay,"2.845,36 km2",110.029 jiwa (2005),"38,67 jiwa/km2",401,Pulau malangke | ojek wisata tapuhahi | objek wisata tahi ite | pulau sagori | gua watuburi | pulau basa | tanjjung bunga | air terjun sangkona | objek wisata pajongga | tanjung ponu ponu ,Jagung | kedelai | nanas | pisang | ubi jalar | ubi kayu | kako | kelapa | aren | cenegkeh | jambu mete ,kasoami | kabuto | lapa lapa | singonggi | sate gogos | ,http://bombanakab.go.id,"bupati.jpg (https://dl.airtable.com/LAXHB5h5SOiCoy2hP3tr_bupati.jpg),map.jpg (https://dl.airtable.com/G5l6jKSQdewr275bK1QA_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/6W5UOXNSTqPHdrlDdcne_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/PnQxmY18TCCYn3cX7C3N_logo.jpg)"
KABUPATEN BUTON,"Kabupaten Buton adalah salah satu Daerah Tingkat II di provinsi Sulawesi Tenggara, Indonesia. Kabupaten Buton terletak di Pulau Buton yang merupakan pulau terbesar di luar pulau induk Kepulauan Sulawesi, yang menjadikannya pulau ke-130 terbesar di dunia. Ibu kota kabupaten ini terletak di Pasar Wajo. Kabupaten ini memiliki luas wilayah 2.488.71 km² (sebelum pemekaran 6.463 km²) dan pada tahun 2004 berpenduduk sebanyak 265.724 jiwa (sebelum pemekaran 533.931 jiwa). Kabupaten Buton terkenal sebagai penghasil aspal.",Sulawesi Tenggara,Pasar Wajo," 	Samsu Umar Abdul Samiun, S.H.",La Bakry,"2.488,71 km2", 	255.712 jiwa (2010),"102,75 jiwa/km2",402,Hutan Lindung lambusango | basilikata | kepulauan batuatas | kawi kawi ,Jagung | ubi kayu| padi | kedelai | pepaya | labu | buncis | kangkung | kacang merah | jambu mete | kelapa | coklat | kakao | kapuk | kopi | kemiri | kelapa hibrida | babi | kambing | ternak unggas ,Kasoami | hugu hugu | kapussu nosu | otak otak | ikan parende | ,http://www.butonkab.go.id/,"bupati.jpg (https://dl.airtable.com/dE3F7HKZSfaP8e8XXvgL_bupati.jpg),map.jpg (https://dl.airtable.com/tef7OguzQthLeRR7Y0i5_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/Nx8hhrPzS7agZiK3h1HM_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/isYAOlQTs2EBVd6Cfkzb_logo.jpg)"
KABUPATEN BUTON SELATAN,"Kabupaten Buton Selatan atau disingkat Busel merupakan salah satu kabupaten di Provinsi Sulawesi Tenggara, hasil pemekaran dari Kabupaten Buton pada pertengahan tahun 2014 menjelang akhir kepengurusan DPR RI periode 2009-2014 . Alasan pemekaran kabupaten ini salah satunya karena akses yang menghambat pelayanan. Sejak pemekaran Kota Baubau pada tahun 2001, ibukota Kabupaten Buton dipindahkan ke Pasarwajo. Akses menuju Pasarwajo bagi masyarakat Buton Selatan harus melalui Kota Baubau terlebih dahulu karena belum ada akses langsung dari wilayah Buton Selatan ke Pasarwajo. Terlebih beberapa daerah di Buton Selatan merupakan pulau-pulau yang terpisah dari Pulau Buton, seperti Pulau Kadatua, Pulau Siompu, dan Pulau Batu Atas, pulau paling selatan di Sulawesi Tenggara. Kabupaten Buton Selatan sebagian besar wilayahnya terletak di Pulau Buton yang merupakan pulau terbesar di luar pulau induk Kepulauan Sulawesi, atau pulau ke-130 terbesar di dunia ",Sulawesi Tenggara,Batauga,Drs Laode Mustari M.Si,,"509,92 km² ",92.953,,,Pantai pasir putih | batu atas | siompu | liwutongkidi | kadatua | ,"Pohon palm agel ikan laut | rumput laut | mangan | uranium | nikel | aspal | pasir besi | marmer | logam mulia | 

","Kasoami | kabuto | lapa lapa 
 singonggi | sate gogos pokea | sate poke | gogos | 
",,"bupati.jpg (https://dl.airtable.com/fz76ERM8RKmFJqFdMlBB_bupati.jpg),map.jpg (https://dl.airtable.com/ABHylZ1oRpOWEEOtdRAI_map.jpg),logo.jpg (https://dl.airtable.com/eYDB3WUASFO9EYTX5onF_logo.jpg)"
KABUPATEN BUTON TENGAH,"Kabupaten Buton Tengah atau disingkat Buteng merupakan salah satu kabupaten di Provinsi Sulawesi Tenggara. Ibukotanya berada di Labungkari, Kecamatan Lakudo. Buton Tengah merupakan hasil pemerkaran dari Kabupaten Buton yang disahkan pada pertengahan tahun 2014 bersama Kabupaten Buton Selatan dan Kabupaten Muna Barat. Ketiga daerah otonomi baru tersebut disahkan menjelang akhir kepengurusan DPR RI periode 2009-2014 [1]. Salah satu alasan pemekaran wilayah ini adalah karena permasalahan akses. Seluruh wilayah Buton Tengah tidak berada di Pulau Buton, sedangkan ibukota Kabupaten Buton berada di Pasarwajo. Pelayanan dan kontrol membutuhkan biaya dan waktu yang panjang karena harus melewati laut menuju Kota Baubau, lalu dilanjutkan perjalanan darat menuju Pasarwajo di ujung timur Pulau Buton ",Sulawesi Tenggara,Labungkari,Ir Abdul Mansur Amila,,"958,31 km2",,,,"Pantai mutiara | pantai katembe | pantai lamena | 
",Padi ladang | jagung | singkong | ubi jalar | kacang hijau | rumput laut | tambang nikel | ,Kabuto | kasoami | lapa lapa ,www.pemda-buteng.com/,"bupati.jpg (https://dl.airtable.com/5ZSR8dYkRkyQV7p1macc_bupati.jpg),map.jpg (https://dl.airtable.com/ejKCIqI5Q2sm2cFtqhAZ_map.jpg),logo.jpg (https://dl.airtable.com/opnY5fcVRbK6RnCiqJk0_logo.jpg)"
KABUPATEN BUTON UTARA,"Kabupaten Buton Utara adalah sebuah kabupaten di provinsi Sulawesi Tenggara, Indonesia. Ibukotanya adalah Buranga. Kabupaten yang juga dikenal sebagai Kabupaten Butur ini terletak di Pulau Buton yang merupakan pulau terbesar di luar pulau induk Kepulauan Sulawesi, yang menjadikannya pulau ke-130 terbesar di dunia [2]. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 14 Tahun 2007 pada tanggal 2 Januari 2007. Buton Utara merupakan kawasan yang kaya sumberdaya alam. Buton Utara memiliki banyak potensi bahan tambang (aspal, minyak bumi, emas dan konon uranium), hasil hutan (jati, damar dan rotan), hasil laut serta kawasan perkebunan yang subur.

Kabupaten Buton Utara adalah 1 dari 16 usulan pemekaran kabupaten/kota yang disetujui oleh Dewan Perwakilan Rakyat pada tanggal 8 Desember 2006.",Sulawesi Tenggara,Buranga,"Drs. H. Muh. Ridwan Zakaria, M.Si","Harmin Hari , SP. M.Si","1.923,03 km2",48.184 jiwa,"25,06 jiwa/km2",402,Pantai membuku | pantai bone | danau moloku | pemandian eengkapala | pemandian alami mata rumbia | makam / kubur jin | sumur tua | guci tegensano | benteng panggilia | masjid keraton kulisusu | benteng lipu | benteng mata oleo | makam tasau eya | kamali ,jagung | kedelai | nanas | pisang | ubi jalar | ubi kayu | kakao | kopi | kelapa | cengkeh | jambu mete | kapuk | kemiri | lada | pala | perikanan tangkap ,tumpi tumpi | hole hole | ,www.butonutarakab.go.id/,"map.jpg (https://dl.airtable.com/p6V8K8tbROD1Qj3T8Aq4_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/MFEJtL5RTYyamPKgWIS6_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/8C2mWA3TTCer5LR4nV8x_bupati.jpg),logo.jpg (https://dl.airtable.com/mdls5mATMCIr039v0wsp_logo.jpg)"
KABUPATEN KOLAKA,"Kabupaten Kolaka adalah sebuah kabupaten di provinsi Sulawesi Tenggara, Indonesia. Ibu kotanya adalah Kolaka. Kabupaten Kolaka(induk) telah dua kali mengalami pemekaran, yakni Kabupaten Kolaka Utara, dan yang terbaru adalah Kabupaten Kolaka Timur yang telah disahkan pada akhir tahun 2012. Pasca pemekaaran, Kabupaten Kolaka mencakup jazirah daratan dan kepulauan yang memiliki wilayah daratan seluas ± 3.283,64 Km2, dan wilayah perairan (laut) diperkirakan seluas ± 15.000 Km² dan jumlah penduduk 213.064 jiwa (2011). Dari luas wilayah tersebut Kabupaten Kolaka dibagi dalam 12 (dua belas) Kecamatan. Bupati Kolaka saat ini adalah DR. H. Buhari Matta, SE.,M.Si. (periode 2009-2014)

Produk Domestik Regional Bruto (PDRB) Kabupaten Kolaka tahun 2011 atas dasar harga konstan 2011 adalah Rp. 3,312,711.080.000,- dengan pertumbuhan PDRB dalam kurun waktu 2007–2011, yaitu tahun 2007 sebesar 9,23% dan tahun 2011 sebesar 13,07%.

Berdasarkan harga berlaku tahun dasar 2007 PDRB Perkapita pada tahun 2008 adalah sebesar Rp. 17,008,316.14,- sedangkan tahun 20011 sebesar Rp. 22,604,244.21,- sehingga dari tahun 2010 sampai dengan tahun 2011 mengalami kenaikan.
",Sulawesi Tenggara,Kolaka,Plt. Amir Sahaka,,"6,918.38 km²",315.232 jiwa,43 jiwa / km2,405,Danau Koloimba | mata air pokeo | pantai mendaa | pantai tanjung ladongi | pantai poturua | pantai pasir putih | tanjung kayu angin | pantai harapan | kawasan wisata pulau lemo | ,Lahan jagung | ubi jalar | ubi bakar | sawah | ikan layang | ikan kembung | lemuru | ikan merah | tenggiri | kerapu | sapi | kambing domba | babi | itik | kopi | kelapa sawit | kakao | vanili | tebu | jambu mete | ,Kapurung | ,http://www.kolaka.go.id/,"map.jpg (https://dl.airtable.com/lQLF2lmQSpCgYKHaGWJX_map.jpg),bupati.jpg (https://dl.airtable.com/1nkQRuwNQfSexaeV21dG_bupati.jpg),logo.jpg (https://dl.airtable.com/TSiF0gFUSKdyMKArgeNf_logo.jpg)"
KABUPATEN KOLAKA TIMUR,"Kabupaten Kolaka Timur adalah salah satu kabupaten di provinsi Sulawesi Tenggara, Indonesia. Kolaka Timur merupakan hasil pemekaran dari Kabupaten Kolaka yang disahkan dalam sidang paripurna DPR RI pada 14 Desember 2012 di gedung DPR RI tentang Rancangan UU Daerah Otonomi Baru (DOB)",Sulawesi Tenggara,Tirawuta,Anwar Sanusi ,-,"3.634,74 km²",111.179 Jiwa,,,Samparona | walengkabola | danau biru | tumburano | pulalu labengki | tamborasi ,kakao | beras | kopra | ,Sate gogos pokea | pisang epe | ,http://kolakatimurkab.go.id,"bupati.jpg (https://dl.airtable.com/KdillvIRS8hBMqUOjOPv_bupati.jpg),map.jpg (https://dl.airtable.com/6TvyeQMSQ6grzdbyyOgt_map.jpg),logo.jpg (https://dl.airtable.com/aGZFZwfQliT6aueUByaQ_logo.jpg)"
KABUPATEN KOLAKA UTARA,"Kabupaten Kolaka Utara adalah salah satu Daerah Tingkat II di provinsi Sulawesi Tenggara, Indonesia dengan ibukota Kecamatan Lasusua. Kabupaten ini merupakan hasil pemekaran dari Kabupaten Kolaka yang disahkan dengan UU Nomor 29 tahun 2003 tanggal 18 Desember 2003.

Jumlah penduduk dari hasil registrasi akhir tahun 2005, yaitu sebesar 113.317 jiwa terdiri dari penduduk laki-laki sebesar 57.438 jiwa atau 50.69% dan perempuan sebesar 56.879 jiwa atau 49.31%.


",Sulawesi Tenggara, Lasusua,Rusda Mahmud,Bobby Alimuddin Page,3.391 km2,113.317 jiwa (2005),"33,42 jiwa/km2",401,Pemandian alam wae botoe | wisata gua pemandian alam | pemandian alam danau biru | wisata alam pantai tanjung sapiri | wisata alam teluk lakeko | ekowisata perkebunan cengkih |,Jagung | kedelai  nanas | pisang  | ubi jalar | ubi kayu | kelapa sawit | kako | kopi | kelapa | arenn | kemiri | lada | jambu mete | nilam | pala | sagu | lempung hitam | tanah liat | silika | pasir besi | besi | minyak bumi | ,tumpi tumpi | hole hole | kabuto | kasoami | sinonggi | ,kolutkab.go.id/,"map.jpg (https://dl.airtable.com/PRjkCNZdQjCBit8K3ewz_map.jpg),bupati.jpg (https://dl.airtable.com/ytG7xfSQgWMKM6vj6vQg_bupati.jpg),logo.jpg (https://dl.airtable.com/YTuAltCjQ9W3wYVtOJIS_logo.jpg)"
KABUPATEN KONAWE,"Kabupaten Konawe adalah salah satu Daerah Tingkat II di provinsi Sulawesi Tenggara, Indonesia. Ibu kota kabupaten ini terletak di Unaaha. Dulu kabupaten ini bernama Kabupaten Kendari. Kabupaten ini memiliki luas wilayah 16.480 km² dan berpenduduk sebanyak 443.911 (2000). Kabupaten Konawe dikenal sebagai lumbung beras di provinsi Sulawesi Tenggara. Separuh produksi beras provinsi tersebut berasal dari Kabupaten Konawe.",Sulawesi Tenggara,Unaaha,Kery Saiful Konggoasa,Parinringi,3.391 km2, 	113.317 jiwa (2005),"33,42 jiwa/km2",408,Pantai batu gong | air panas sonai | pantai bokori | pantai toronipa | ,Jagung | kedelai | nanas | pisang | ubi jalar | ubi kayu | kelapa sawit  | kakao | kopi | kelapa | aren | cengkeh | jambu mete | jarak | kapuk | kemiri | lada | nilam | pala | pinang | sagu | vanili | ,Sate pokea | gogos | , 	http://www.konawekab.go.id/,"map.jpg (https://dl.airtable.com/xOBsUZm0Rf2ks76kFiF5_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/WBGUySvCTyyacbremwLo_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/pvp9e76gRB2cyjYMqLUJ_bupati.jpg),logo.jpg (https://dl.airtable.com/rDzH5G9lSHe5BB9FvN5f_logo.jpg)"
KABUPATEN KONAWE KEPULAUAN,"Kabupaten Konawe Kepulauan adalah salah satu kabupaten di provinsi Sulawesi Tenggara, Indonesia. Konawe Kepulauan merupakan hasil pemekaran dari Kabupaten Konawe yang disahkan dalam sidang paripurna DPR RI pada 12 April 2013 di gedung DPR RI tentang Rancangan UU Daerah Otonomi Baru (DOB)",Sulawesi Tenggara,Langara,Muhammad Nur Sinapoy,H Abdul Salam,1.513 Km,,29.164 jiwa,,,"Jambu mete | kelapa | cengkeh | cokelat | pala | merica | pisang | nikel | besi | kromit | mineral logam | sapi | 
",Tumpi tumpi | kapurung ,,"map.jpg (https://dl.airtable.com/NyixwxwjTC9pxsChZtbc_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/viMG26wBSfiZqfskPQ0v_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/k0qVV5BLQFysGwT284kG_bupati.jpg),logo.jpg (https://dl.airtable.com/u2PFYszZQ9CkXoV0oXP0_logo.jpg)"
