Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BOLAANG MONGONDOW,"Kabupaten Bolaang Mongondow adalah kabupaten di provinsi Sulawesi Utara, Indonesia. Ibukotanya adalah Lolak. Etnis Mayoritas di kabupaten ini adalah Suku Mongondow. Bahasa ibu penduduk asli di daerah ini adalah Bahasa Mongondow. Kabupaten Bolaang Mongondow ditetapkan pada tanggal 23 Maret 1954, terletak pada salah satu daerah Sulawesi Utara yang secara historis geografis adalah bekas danau, serta merupakan daerah subur penghasil utama tambang dan hasil bumi lainnya.",Sulawesi Utara,Lolak,H. Salihi Mokodongan,Yanny Ronny Tuuk,"5.397,69 km²",213.484 jiwa (2010),"39,55 jiwa/km2",0434,Danau Moa | Pantai Lolan | Taman Nasional Bogan Nani | Pulau Lembeh,Tembaga | Aren | Kelapa | Kopi  Kakao | Jambu Mete | Kemiri | Lada | Pala | Vanili | Jagung | Kedelai | Nanas  | Pisang | Ubi Jalar | Ubi Kayu,Dinangoi | Inambal,http://www.bolmongkab.go.id/,"bupati.jpg (https://dl.airtable.com/oexlAZZiSiqljoV9vDrs_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/yaU2aNzSvm1U0vmmoAjg_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/HgfVN1BBRj6Zscn6H0E6_map.jpg),logo.jpg (https://dl.airtable.com/M8D3agEpR4KxfR4uCXRv_logo.jpg),cover.jpg (https://dl.airtable.com/D9UtmvASKSsPogKKVKcY_cover.jpg)"
KABUPATEN BOLAANG MONGONDOW SELATAN,"Kabupaten Bolaang Mongondow Selatan adalah sebuah kabupaten di Provinsi Sulawesi Utara, Indonesia dengan pusat pemerintahan berada di Bolaang Uki. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 30 Tahun 2008 yang merupakan pemekaran dari Kabupaten Bolaang Mongondow. Peresmian dilakukan oleh Menteri Dalam Negeri, Mardiyanto di Manado pada hari Selasa, 30 September 2008.",Sulawesi Utara,Bolaang Uki,H. Herson Mayulu S.IP,"Tahlis Gallang, S.IP, MM","1.932,30 km2",57.001 jiwa (2010),"29,5 jiwa/km2",0434,Pulau Bunaken | Gunung Manado Tua | Pulau Siladen | Pulau Mantehage | Cagar Alam Tangkoko,Kopi | Kakao | Kelapa | Aren | Cengkeh | Kemiri | Lada | Pala | Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Ikan Bakar Rica | Pisang Goreng Goroho | Tinutuan,http://bolselkab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/J2k8YYKOTJCH8mbaXuOK_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/pErIaQZISsCfeXphAzqB_logo.jpg),map.jpg (https://dl.airtable.com/czybpx8TC6kohGuvXF9M_map.jpg),bupati.jpg (https://dl.airtable.com/vIGwAvT9Q8auR8GPyINQ_bupati.jpg),cover.jpg (https://dl.airtable.com/Bt6I3baQNi7fBSWlg3rW_cover.jpg)"
KABUPATEN BOLAANG MONGONDOW TIMUR,"Kabupaten Bolaang Mongondow Timur adalah sebuah kabupaten di Provinsi Sulawesi Utara, Indonesia dengan pusat pemerintahan berlokasi di Tutuyan. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 29 Tahun 2008 yang merupakan pemekaran dari Kabupaten Bolaang Mongondow. Peresmian dilakukan oleh Menteri Dalam Negeri, Mardiyanto di Manado pada hari Selasa, 30 September 2008.",Sulawesi Utara,Tutuyan,Sehan Salim Anjar,-,"899,42 km2",63.654 jiwa (2010),"70,77 jiwa/km2",0432,Pantai Kotabunan | Pulau Nanas Kotabunan | Pulau Kumeke Kotabunan | Pulau  Racun Buyat | Tanjung Woka Dodap,Lada | Pala | Vanili Kakao | Kopi | Kelapa Aren | Cengkeh | Jambu Mete | Kemiri | Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Dinangoi,http://www.boltimkab.go.id/,"map.jpg (https://dl.airtable.com/cH1mAX0S7qeOKnHpdHKw_map.jpg),logo.jpg (https://dl.airtable.com/Qcd1ylo2TSe3i5eGu3Ix_logo.jpg),bupati.jpg (https://dl.airtable.com/mcLVp1R1a4wuDMRj9Sgd_bupati.jpg),cover.jpg (https://dl.airtable.com/WOuAqNdTRqLNCLPAeibA_cover.jpg)"
KABUPATEN BOLAANG MONGONDOW UTARA,"Kabupaten Bolaang Mongondow Utara adalah sebuah kabupaten di provinsi Sulawesi Utara, Indonesia. Ibukotanya adalah Boroko. Kabupaten ini disetujui pemekarannya oleh Dewan Perwakilan Rakyat pada tanggal 8 Desember 2006. Kabupaten ini kemudian dibentuk berdasarkan Undang-Undang Nomor 10 Tahun 2007 pada tanggal 2 Januari 2007.",Sulawesi Utara,Boroko,Drs. Depri Pontoh,"Suriansyah Korompot,SH","1.852,86 km2",71.570 jiwa (2013),39 jiwa/km²,0435,Pulau Keramat | Tanjung Buaya | Pulau Bongkil | Tanjung Dulang | Pantai Iok,Nanas | Pisang | Ubi Jalar | Ubi Kayu | Jagung | Kedelai | Vanili | Kakao | Kopi | Kelapa | Aren | Cengkeh | Pala,Dinangoi,www.bolmutkab.go.id,"map.jpg (https://dl.airtable.com/S4Qsxi6Q9SYYikEF3SpQ_map.jpg),logo.jpg (https://dl.airtable.com/YRt4i3pSTOmnGQFA9fcS_logo.jpg),wakil-bupati.jpg (https://dl.airtable.com/6KCXo8lRSHi6cMnqv0bp_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/zjkZDaNFSzuEO8vseMIc_bupati.jpg),cover.jpg (https://dl.airtable.com/iwWgYLWdT8ZEFnHWazAZ_cover.jpg)"
KABUPATEN KEPULAUAN SANGIHE,"Kabupaten Kepulauan Sangihe adalah sebuah kabupaten di Provinsi Sulawesi Utara, Indonesia. Kabupaten ini berasal dari pemekaran Kabupaten Kepulauan Sangihe dan Talaud pada tahun 2000. Ibu kota kabupaten ini adalah Tahuna. Kabupaten ini memiliki luas wilayah 1.012,94 km² dan berpenduduk sebanyak 129.609 jiwa (2008). Dengan disahkannya Undang-Undang Nomor 15 Tahun 2007, sebagian wilayah Kabupaten Sangihe dimekarkan menjadi kabupaten baru, yaitu Kabupaten Kepulauan Siau Tagulandang Biaro atau disingkat Kabupaten Sitaro yang diresmikan pada tanggal 23 Mei 2007.",Sulawesi Utara,Tahuna,Drs.Hironimus Rompas Makagansa MSi,"Jabes Ezar Gaghana, SE, ME","1.012,94 km²",126.100 jiwa (2010),124 jiwa/km2,0432,Gunung Api Karangetang | Pulau Makalehi | Danau Makalehi,Emas | Perak | Tembaga | Nikel | Titanium | Jagung | Kedelai | Kentang | Nanas | Pisang | Ubi Jalar | Ubi Kayu | Aren | Cengkeh | Jambu Mete | Jarak | Kakao | Kayu Manis | Kelapa | Kemiri | Kopi | Lada | Pala | Vanili,Kue Gulung | Ketupat Kuning | Sagu Bakar & Kuah Sasi,http://www.sangihekab.go.id/,"map.jpg (https://dl.airtable.com/BzfgWu3GSLOlha2I5zyr_map.jpg),bupati.jpg (https://dl.airtable.com/DJBCOTKuRRKgONblUQOE_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/f4S8ZFDuTAWpTtCx2cnR_wakil-bupati.jpg),cover.jpg (https://dl.airtable.com/mWwvq85CQGG7rYLXTmix_cover.jpg),logo.jpg (https://dl.airtable.com/TbgSjCmxT8qyWMlBBlbe_logo.jpg)"
KABUPATEN SIAU TAGULANDANG BIARO,"Kabupaten Kepulauan Siau Tagulandang Biaro atau disingkat Kabupaten Sitaro adalah sebuah kabupaten di provinsi Sulawesi Utara, Indonesia, beribukota di Ondong Siau. Kabupaten ini dibentuk berdasarkan Undang-Undang Nomor 15 Tahun 2007 tanggal 2 Januari 2007 dan diresmikan pada tanggal 23 Mei 2007 sekaligus dengan pelantikan PPS Bupati Kabupaten Kepulauan Siau Tagulandang Biaro Drs. Idrus Mokodompit. Saat ini kabupaten ini dipimpin oleh Bupati Tonny Supit, SE, MM. serta Wakil Bupati Siska Salindeho",Sulawesi Utara,Ondong,"Tonny Supit, SE, MM.",Siska Salindeho ,"275,96 km2",78.443 jiwa,"284,25 jiwa/km2",0432,Permandian Air Panas Lehi | Danau Kapeta | Ake Sio (Permandian Bidadari) | Pantai Lanage | Pantai Taman Laut Balirangen | Pantai Kalihiang | Pantai Tanganga | Pantai Pulau Pahepa | Pantai Manupitaeng | Pulau Mahoro,ladang padi | jagung | ubi kayu | ubi jalar | kacang-kacangan | perkebunan pala | fuli | cengkeh | kelapa | buah-buahan | perikanan laut | danau | kolam | telaga |,Binde Biluhuta | Milu Siram,http://www.sitarokab.go.id/,"map.png (https://dl.airtable.com/bpx7RrHyR2mXfjkqqwFx_map.png),bupati.jpg (https://dl.airtable.com/103qfSK7QzuW6aApNTxX_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/8z4CRC0jSTg5DmtmnHo1_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/zS0p1NtR26qpWbvm9Jeu_logo.jpg),cover.jpg (https://dl.airtable.com/Tdz2yFTAQeWHz7ytJOXV_cover.jpg)"
KABUPATEN KEPULAUAN TALAUD,"Kabupaten Kepulauan Talaud adalah salah satu kabupaten di Provinsi Sulawesi Utara, Indonesia dengan ibu kota Melonguane. Kabupaten ini berasal dari pemekaran Kabupaten Kepulauan Sangihe dan Talaud pada tahun 2000. Kabupaten Kepulauan Talaud terletak di sebelah utara Pulau Sulawesi. Wilayah ini adalah kawasan paling utara di Indonesia timur, berbatasan dengan daerah Davao del Sur, Filipina di sebelah utara. Jumlah penduduknya adalah 91.067 jiwa. Kabupaten Kepulauan Talaud merupakan daerah bahari dengan luas lautnya sekitar 37.800 Km² (95,24%) dan luas wilayah daratan 1.251,02. Terdapat tiga pulau utama di Kabupaten Kepulauan Talaud, yaitu Pulau Karakelang, Pulau Salibabu, dan Pulau Kabaruan.",Sulawesi Utara,Melonguane,Sri Wahyumi Maria Manalip SE,"Petrus Simon Tuange, S.Sos, M.Si.","1.025,76 km2",83.434 jiwa (2010),"81,34 jiwa/km2",0433,Benteng Portugis | Pulau Mahoro | Pulau Kamara | Gunung Api Bawah Laut Pulau Mahagetang | Air Terjun Nguralawo | Air Terjun Kadadima | Air Terjun Elong dan Matei,perkebunan pala | vanili | pisang abaka | cengkeh | kelapa | buah-buahan | perikanan laut | pertambangan pasir besi | mangan | nikel | batu alam,kue bangket sagu | kue kering ubi | gulung sagu | tinutuan | woku blanga | cakalang fufu,http://www.talaudkab.go.id/,"bupati.jpg (https://dl.airtable.com/CqHekpYqRW2m9nvd8uoH_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/2zo40sWZSUaJZJ0UV0eo_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/wVrVVduVT3qxLfA6hwoq_map.jpg),logo.jpg (https://dl.airtable.com/U0SQPxglRXeoELaQR6wy_logo.jpg),cover.jpg (https://dl.airtable.com/LRf3kXtLSgWXj8YkaNLZ_cover.jpg)"
KABUPATEN MINAHASA,"Kabupaten Minahasa adalah salah satu kabupaten di provinsi Sulawesi Utara, Indonesia. Ibu kota kabupaten ini terletak di Tondano. Kabupaten ini memiliki luas wilayah 1.025,85 km². Pada 25 Februari 2003 Kabupaten Minahasa dimekarkan menjadi Kabupaten Minahasa, Kabupaten Minahasa Selatan dan Kota Tomohon berdasarkan UU No.10/2003.  Pada tanggal 18 Desember 2003 Kabupaten Minahasa dimekarkan lagi menjadi Kabupaten Minahasa dan Kabupaten Minahasa Utara berdasarkan UU No. 33/2003",Sulawesi Utara,Tondano,"Drs. Jantje W. Sajow, M.Si",Ivan Sarundajang,"1.025,85 km2",309.876 jiwa (2010),"302,07 jiwa/km2",0431,Bukit Kasih | Danau Tondano,Emas | Perak | Tembaga | Mangan |  Besi |Cengkeh | Aren | Jambu Mete | Kakao | Kelapa | Kemiri | Kopi | Lada | Pala | Vanili | Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Sate Kolombi | Nike Goreng Tondano,http://www.minahasa.go.id/,"bupati.jpg (https://dl.airtable.com/zbTFAsp0Tmqy9d3PwCse_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/gP80XEl3S0yZexwzwG6x_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/8gfg1i0jQfSlSTnSDYTV_map.jpg),logo.jpg (https://dl.airtable.com/OL29GXXgQnCD7jnrCETh_logo.jpg),cover.jpg (https://dl.airtable.com/3HtvFRGPRLWPM74GTg4U_cover.jpg)"
KABUPATEN MINAHASA SELATAN,Wilayah Minahasa Selatan dibentuk berdasarkan Undang-Undang Nomor 10 Tahun 2003 tentang Pembentukan Kabupaten Minahasa Selatan dan Kota Tomohon di Provinsi Sulawesi Utara oleh DPR RI. Namun kedua daerah pemekaran baru ini diresmikan pada tanggal 4 Agustus 2003. Ibukota Kabupaten Minahasa Selatan adalah Kota Amurang.,Sulawesi Utara,Kota Amurang, 	Christiani Eugenia Paruntu,Franky Donny Wongkar,"1.429,7 km2",195.553 jiwa (2010)," 	136,78 jiwa/km2",0430,Pantai bentenan | pantai moint | agrowisata modoinding | bukit doa pinaling | pantai lakban | ,Pasir Besi | Emas | Perak | Cengkeh | Aren | Jambu Mete | Kakao | Kelapa | Kemiri | Kopi | Lada | Pala | Vanili | Jagung | Kedelai | Nanas | Pisang | Ubi Jalar | Ubi Kayu,Cap Tikus | Dabu dabu | Rice Rodo,http://www.minselkab.go.id/,"bupati.jpg (https://dl.airtable.com/rYBFoQQmWv8rQi3q0BEw_bupati.jpg),map.jpg (https://dl.airtable.com/4A9vUORKSDKNNPHteUGC_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/oXpLO60S3SW07jXxd9rA_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/RIXUjGFmSKeGoqYNxCPk_logo.jpg),cover.jpg (https://dl.airtable.com/9r0LX8CMQbcBvegUQnns_cover.jpg)"
KABUPATEN MINAHASA TENGGARA,"Kabupaten Minahasa Tenggara adalah kabupaten baru di Provinsi Sulawesi Utara, Indonesia, dengan ibu kota Ratahan yang merupakan pemekaran dari Kabupaten Minahasa Selatan. Tanggal 23 Mei 2007 bertempat di Manado telah diresmikan oleh Menteri Dalam Negeri Ad Interim Widodo AS bersama dengan tiga kabupaten lainnya, yaitu Kabupaten Bolaang Mongondow Utara, Kota Kotamobagu dan Kabupaten Kepulauan Siau Tagulandang Biaro (Sitaro). Luas wilayah kabupaten Minahasa Tenggara adalah 730,62 km² dan berpenduduk 100.443 jiwa.",Sulawesi Utara,Ratahan,James Sumendap,H. Arhawi,"730,62 km²",100.443 jiwa,"137,47 jiwa/km2",0431,Pantai Lakban | Pantai Bentenan | Danau Bulilin | Taman Laut Tumbak,Emas | Jagung | Kedelai | Kentang | Nanas | Pisang | Ubi Jalar | Ubi Kayu | Aren | Cengkeh | Jambu Mete | Jarak | Kakao | Kayu Manis | Kelapa | Kemiri | Kopi | Lada | Pala | Vanili,Dodol Salak Pangu,www.mitrakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/aGpx476TQevyB627d4uo_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/oXKeLpnRRJ2OIUdHlGNR_map.jpg),logo.jpg (https://dl.airtable.com/YLrFARfOSAOfRJQkLDe8_logo.jpg),bupati.jpg (https://dl.airtable.com/YBvDaq2SeWSUj8eee1cS_bupati.jpg),cover.jpg (https://dl.airtable.com/5jekxeTKSgGeewejqInb_cover.jpg)"
