Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN AGAM,"Kabupaten Agam adalah sebuah kabupaten yang terletak di provinsi Sumatera Barat, Indonesia.
Penamaan kabupaten ini dengan nama kabupaten Agam, didasari oleh Tambo, di mana sebelumnya beberapa nagari yang berada dalam kawasan kabupaten ini sekarang, dahulunya dikenal juga dengan nama Luhak Agam.[4] Kata agam dalam bahasa Minang hanya untuk merujuk kepada nama suatu kawasan, namun jika dirujuk dari bahasa Ibrani (agam, אגם), dapat bermaksud dengan danau atau kolam atau rawa-rawa serta juga dapat serumpun dengan kata agamon yang berarti alang-alang.",Sumatera Barat,Lubuk Basung,"H. Syafirman Azis, S.H.",,"2.232,30 km2",459.487 jiwa (2011),"205,84 jiwa/km2",0752,Puncak lawang | ekowisata lasi | pulau ujuang | pantai ujung karang | pantai tiku | kelok 44 | aia tigo raso | taman wisata muko muko | ngalau kamang | ,Jagung | kedelai | kentang | nanas | pisang | ubi jalar | ubi kayu | kelapa sawit | kakao | karet | tebu | kopi | aren | cengkeh | gembir | kemiri | nilam | pala | pinang | tembakau ,Lubuk basung | asin pensi | kerupuk ubi | ,www.agamkab.go.id/,"map.jpg (https://dl.airtable.com/1PkseB4AQKSrcmllofna_map.jpg),bupati.jpg (https://dl.airtable.com/A5VBmqBRHe6gSHyKzK7g_bupati.jpg),logo.jpg (https://dl.airtable.com/5Swt71dzT0KcdcuHLN3x_logo.jpg)"
KABUPATEN DHARMASRAYA,"Kabupaten Dharmasraya adalah salah satu kabupaten di Provinsi Sumatera Barat, Indonesia. Pada kawasan ini dahulunya pernah berdiri sebuah Kerajaan Melayu dengan nama ibu kotanya Pulau Punjung. Kabupaten ini dibentuk berdasarkan Undang-undang No. 38 Tahun 2003, dan merupakan pemekaran dari Kabupaten Sijunjung. Kabupaten Dharmasraya dikenal juga dengan sebutan Ranah Cati Nan Tigo.",Sumatera Barat,Pulau Punjung,Sutan Riska Tuanku Kerajaan,Amrizal Dt. Rajo,"2.961,13 km2",191.422 jiwa (2010),"64,64 jiwa/km2",0754,Bendungan Batu Bakawik | Telaga berenang siang | danau cinta | Timbulun indah | gua cigak | air terjun sungai batang | air terjun sungai pinang | ,Karet | kelapa sawit | coklat | tanaman padi | tanaman hortikultura | Perikanan | kakao | kehutanan | batubara | bitumen padat | emas sekunder | bijih besi | tanah liat,Tambuah ciek | rendang | rendang lokan | dendeng balado | dendeng batokok | gulai paku | gulai itiak | ikan balado | ,www.dharmasrayakab.go.id,"map.jpg (https://dl.airtable.com/ooxGYupfRqOQVIvPWC8x_map.jpg),bupati.jpg (https://dl.airtable.com/wYy56xFnTDiJSEaVyvkd_bupati.jpg),logo.jpg (https://dl.airtable.com/0ydDG8KTeyPFsks0oNPw_logo.jpg),wakil-bupati.JPG (https://dl.airtable.com/6GViOkS8PPloihQhAymR_wakil-bupati.JPG)"
KABUPATEN KEPULAUAN MENTAWAI,"Kabupaten Kepulauan Mentawai adalah salah satu kabupaten yang terletak di provinsi Sumatera Barat, Indonesia.

Kabupaten ini dibentuk berdasarkan UU RI No. 49 Tahun 1999 dan dinamai menurut nama asli geografisnya. Kabupaten ini terdiri dari 4 kelompok pulau utama yang berpenghuni yaitu Pulau Siberut, Pulau Sipora, Pulau Pagai Utara dan Pulau Pagai Selatan yang dihuni oleh mayoritas masyarakat suku Mentawai. Selain itu masih ada beberapa pulau kecil lainnya yang berpenghuni namun sebahagian besar pulau yang lain hanya ditanami dengan pohon kelapa.",Sumatera Barat,Tuapejat,Yudas Sabaggalet, Rijel Samaloisa,"6.011,35 km2",68.807 jiwa (2012),"11,45 jiwa/km2",759,Pulau Sipora | desa sikakap | pulau siberut | taman nasional siberut | desa madobak | pulau nyang nyang | pantai indah mentawai | ,Kerapu | rumput laut | udang | kepiting | mutiara | deposit pasir | batu gunung | ,Sambalado matah | palai bada | sate padang | sate pariaman | pical | dadiah | lamang | lamang tapai | cancang | katan durian ,http://www.mentawaikab.go.id/,"wakil-bupati.jpg (https://dl.airtable.com/opAy1FZKTkqc6ONzknif_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/JKdOS5OETNWK95HxP5tY_map.jpg),bupati.jpg (https://dl.airtable.com/P8910A8TRCiiWugvL1DR_bupati.jpg),logo.jpg (https://dl.airtable.com/cK9uQAzUSsW5ziy0LHR0_logo.jpg)"
KABUPATEN LIMA PULUH KOTA,"Kabupaten Lima Puluh Kota adalah sebuah kabupaten di Provinsi Sumatera Barat, Indonesia. Ibu kota kabupaten ini terletak di Sarilamak. Kabupaten ini memiliki luas wilayah 3.354,30 km2 dan berpenduduk sebanyak 348.555 jiwa (Sensus Penduduk 2010). Kabupaten ini terletak di bagian timur wilayah provinsi Sumatera Barat atau 124 km dari Kota Padang, ibu kota provinsi.Penduduk Kabupaten Lima Puluh Kota berdasarkan Sensus Penduduk Tahun 2010, berjumlah 348.555 jiwa yang terdiri atas 172.571 Laki-Laki dan 175.984 Perempuan. Kabupaten Lima Puluh Kota memiliki kepadatan penduduk 98 jiwa per km², dan pertumbuhan penduduk dari tahun ke tahun sekitar 1,11 persen per tahun.",Sumatera Barat,Sarilamak,Ir . Irfendi Arbi MP,Ferizal Ridwan S.sos ,"3.354,30 km2",348.555 jiwa (2010),"103,91 jiwa/km2",0752,Lembah harau | pemandian batang tabik | panorama selat malaka | danau buatan koto panjang | kapalo banda ,Gambir | karet | sawit | kakao | kayu manis | kopi | ,Ikan salai alami | gulai daun singkong | ubi jalar ungu | bandrek | kue pukis | lapau wonuru | rubik ganepo | ,http://www.limapuluhkotakab.go.id/,"bupati.jpg (https://dl.airtable.com/SkNgASkRT2K3Hw8UK1vA_bupati.jpg),map.jpg (https://dl.airtable.com/EIIBHjF3RXuMXAGeEQpJ_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/ILPFFSVeSYew6xsacasb_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/GKjOlYJYTuChIHzFI9b8_logo.jpg)"
KABUPATEN PADANG PARIAMAN,"Padang Pariaman adalah sebuah kabupaten di provinsi Sumatera Barat, Indonesia. Kabupaten ini memiliki luas wilayah 1.328,79 km² dan populasi 391.056 jiwa (Sensus Penduduk 2010). Kabupaten ini bermotto ""Saiyo Sakato""

Ibukota Kabupaten Padang Pariaman adalah Parit Malintang. Berdasarkan Peraturan Pemerintah (PP) no 79 tahun 2008 tanggal 30 Desember 2008 tentang pemindahan ibu kota kabupaten Padang Pariaman dari Kota Pariaman ke Nagari Parit Malintang di kecamatan Enam Lingkung",Sumatera Barat,Parit Malintang,Ali Mukhni,Suhatri Bur,"1.328,79 km2",391.056 jiwa (2010),"294,29 jiwa/km2",0751,Lubuak Nyarai | sipak rago | masjid tua lubuk bareh | muaro gasan lestari | makam syekh burhanuddin | lubuk cimantuang | ikan larangan | lubuk bonta wisata alam | gandang tasa ,Padi dan palawija | semangka | pisang | pinang | nenas | manggis |,Sala lauak | nasik sek | sate pariaman | gulai kapalo lauak | nasi sala | rakik | katupek gulai tunjang | ,http://www.padangpariamankab.go.id/,"bupati.jpg (https://dl.airtable.com/QblQy6qmQ2C7QZTsdRYc_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/ZwGZocb3Rw6ftorFMaKV_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/zHHRxDmQq6k1unbvJZvz_map.jpg),logo.jpg (https://dl.airtable.com/Kkfd8bNScWWv97XMepSN_logo.jpg)"
KABUPATEN PASAMAN,"Kabupaten Pasaman adalah salah satu kabupaten di provinsi Sumatera Barat, Indonesia. Ibu kota kabupaten ini terletak di Lubuk Sikaping. Kabupaten ini memiliki luas wilayah 3.947,63 km² dan berpenduduk sebanyak 253.299 jiwa menurut sensus penduduk tahun 2010.

Seperti wilayah Indonesia lainnya, Sumatera Barat, khususnya Pasaman pernah dikuasai oleh kolonial Belanda. Perang melawan penjajahan Belanda di Pasaman dipimpin oleh Tuanku Imam Bonjol yang dikenal dengan Perang Paderi (1821-1830). Karena terlalu banyak permasalahan di kubu Tuanku Imam Bonjol menyebabkan dia dan pengikutnya mengalami kekalahan melawan Belanda.

Sumber pendapatan utama kabupaten Pasaman berasal dari subsektor tanaman pangan. Mesti demikian, Kabupaten Pasaman lebih dikenal karena produksi kelapa sawitnya. Pada tahun 2000, produksi kelapa sawit di kabupaten Pasaman tercatat sebanyak 788.446 ton. Jumlah tersebut dipanen dari areal seluas 78.387 hektare. Di samping kelapa sawit, kabupaten Pasaman juga dikenal akan produksi minyak nilamnya. Minyak nilam yang dihasilkan Pasaman, selain yang dihasilkan Kepulauan Mentawai, merupakan yang terbaik di dunia.",Sumatera Barat,Lubuk Sikaping,"H. Benny Utama, S.H",H. Daniel Lubis,"3.947,63 km2",253.299 jiwa (2010),"64,16 jiwa/km2",0753,Rimbo panti | ikan larangan lubuak landua | goa jeppang | pemandian air panas | air terjun simpang | bendungan batang tongar | goa ampung guo | gunung batu | gunung malintang | gunung indah koto balingka | goa kepang | ,Perkebunan sawit | Ubi labor | tambang bijih besi | jagung | nanas | kedelai | ubi jalar | kelapa sawit | kakao | karet | kelapa | aren | cengkeh | nilam | lada | pala | pinang ,Lele asap | randang paku | kacang talu | emping jaguang | limau manih batang saman | ,www.pasamankab.go.id/,"map.jpg (https://dl.airtable.com/xFXSpMVzSumIB6yB8pCf_map.jpg),bupati.jpg (https://dl.airtable.com/tnJ1YhETaq7hJSFJdwtW_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/Yzk4Z1GpSjeyaOC87NXN_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/IebB2VsaS0YtHmo9PqeA_logo.jpg)"
KABUPATEN PASAMAN BARAT,"Kabupaten Pasaman Barat adalah salah satu kabupaten di Sumatera Barat, Indonesia. Daerah ini dibentuk dari hasil pemekaran Kabupaten Pasaman berdasarkan UU No.38 Tahun 2003 tanggal 18 Desember 2003, dengan ibu kota kabupaten di Simpang Ampek. Potensi terbesar Pasaman Barat terletak pada sektor perkebunan kelapa sawit, jeruk dan salak.

Daerah-daerah penting di Pasaman Barat antara lain Simpang Ampek, Sasak, Kinali, Talu, Air Bangis, Silaping, Ujung Gading, Muara Kiawai, Sungai Aur, Parit, Paraman Ampalu, Sikabau, Pulau Panjang, Cubadak, Simpang Tonang, Simpang Tiga, Desa Baru, Sigantang dan lain-lain.

Kabupaten Pasaman Barat merupakan salah satu dari 3 (tiga) Kabupaten Pemekaran di Provinsi Sumatera Barat, berdasarkan Undang-undang Nomor 38 Tahun 2003 tentang Pembentukan Kabupaten Dharmasraya, Solok Selatan dan Pasaman Barat. Kabupaten Pasaman Barat dengan luas wilayah 3.864,02 km², jumlah penduduk 365.129 jiwa dengan administrasi pemerintahan yang meliputi 11 (sebelas) kecamatan.",Sumatera Barat,Simpang Ampek,"Drs. H. Baharauddin, R",Syahrul,"3.864,02 km2",365.129 jiwa,"94,49 jiwa/km2",0753,Bendungan batang tongar | gunung talamu pasaman barat | danau laut tinggal | pantai sikilang | ikan larangan lubuk landur | air terjun sampuran botung | air terjun siburai burai | gunung talamau | danau indah |  ,kelapa sawit | jagung | jeruk | tambang | basalt | granit | andesit | ,Lele asap pasaman barat | ,http://pasamanbaratkab.go.id,"map.jpg (https://dl.airtable.com/1iXffVSLRlSTfZWSv3mx_map.jpg),bupati.jpg (https://dl.airtable.com/nToFxaMRsahp4ad24B36_bupati.jpg),logo.jpg (https://dl.airtable.com/08E6IoUSCmYjSBM2hk1n_logo.jpg)"
KABUPATEN PESISIR SELATAN,"Kabupaten Pesisir Selatan adalah sebuah kabupaten di Sumatera Barat, Indonesia. Kabupaten ini memiliki luas wilayah 5.749,89 km² dan populasi ±420.000 jiwa. Ibu kotanya ialah Painan.",Sumatera Barat,Painan,Hendrajoni,Rusman Yulanwar ,"5.749,89 km2",393.428 jiwa 2006,"68,42 jiwa/km2","0756,0757","Air terjun pelangai | pantai carocok painan | jembatan akar | wisata mandeh | pantai batu kalang | pantai teluk sikulo | air terjun bayang sani | pantai muara bayang | jembatan akar | goa batu ngalau dewa | pantai carocok | pulau cingkuak | pantai sago | air terjun timbulun 
",Sawit | karet | batubara | emas | besi | timah hitam | batu andesit | granit | pasir laut ,Katupek gulai pakih | putu kambang | pinukuik batang kapeh | ,http://www.pesisirselatankab.go.id/,"bupati.jpg (https://dl.airtable.com/lZawgfd2RzE4nwf4tQ46_bupati.jpg),map.jpg (https://dl.airtable.com/Zv09JzR2Tziz1JArfn04_map.jpg),logo.jpg (https://dl.airtable.com/OSAzc2aDQkKX2lSmmZ7F_logo.jpg)"
KABUPATEN SIJUNJUNG,"Kabupaten Sijunjung (sebelumnya disebut Kabupaten Sawahlunto Sijunjung) adalah salah satu kabupaten di provinsi Sumatera Barat, Indonesia. Ibu kota kabupaten ini adalah Muaro Sijunjung. Sebelum tahun 2004, kabupaten Sijunjung merupakan kabupaten terluas ketiga di Sumatera Barat dengan nama Kabupaten Sawahlunto Sijunjung. Namun sejak dimekarkan (yang menghasilkan kabupaten Dharmasraya), kabupaten ini menjadi kabupaten tersempit kedua di Sumatera Barat.Kabupaten ini berbatasan langsung dengan kabupaten Kuantan Singingi, Riau di sebelah timur, kabupaten Tanah Datar dan kota Sawahlunto di sebelah barat, serta kabupaten Solok dan kabupaten Dharmasraya di sebelah selatan. Saat ini, kabupaten Sijunjung memiliki luas 3.130,80 km² yang terdiri dari 8 kecamatan dengan jumlah penduduk lebih dari 202.000 jiwa.",Sumatera Barat,Muaro Sijunjung,Drs. H. Yuswir Arifin,"H. Arrival Boy, S.H.","3.130,80 km2",202.280 jiwa (2008),"64,61 jiwa/km2",0754,Kamang baru | tanjung gadang | sijunjung | lubuk tarok | kupitan | sumbur kudus | ,Kelapa sawit | daging sapi | daging kerbau | daging kambing | daging domba | ikan | telur ayam | telur ayam buras ,Rendang | dendeng balado | dendeng batokok | soto padang | lamang tapai ,http://www.sijunjung.go.id,"wakil-bupati.jpg (https://dl.airtable.com/qxKgWmmsTFy7F44FYxA0_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/hiAvB8OIR9aoFH3uO76b_bupati.jpg),map.jpg (https://dl.airtable.com/pNTS5TOBR5eQAolariEZ_map.jpg),logo.jpg (https://dl.airtable.com/hM4GtnTRkqGzAzvSkIIQ_logo.jpg)"
KABUPATEN SOLOK,"Kabupaten Solok adalah sebuah kabupaten di provinsi Sumatera Barat, Indonesia.Kabupaten ini merupakan salah satu sentra produksi beras terbesar di Sumatera Barat, yang dikenal dengan nama Bareh Solok.
Secara geografis letak Kabupaten Solok berada antara 00° 32’ 14’’ dan 01° 46’45” Lintang Selatan dan 100° 25’ 00” dan 101° 41’ 41” Bujur Timur. Topografi wilayahnya sangat bervariasi antara dataran, lembah dan berbukit-bukit, dengan ketinggian antara 329 meter – 1 458 meter di atas permuakaan laut.
Kabupaten Solok disamping punya banyak sungai juga memiliki banyak danau yang terkenal dengan pesona keindahan alamnya. Di antaradanau-danau tersebut, yang terluas adalah Danau Singkarak, diikuti oleh Danau Kembar (Danau Di atas dan Danau Di bawah) , serta Danau Talang. Disamping itu Kabupaten Solok juga memiliki satu gunung berapi, yaitu Gunung Talang. Dilihat dari letaknya, posisi Kabupaten Solok sangat strategis karena disamping dilewati jalur Jalan Lintas Sumatera, daerahnya juga berbatasan langsung dengan Kota Padang selaku ibukota Provinsi Sumatera Barat.",Sumatera Barat,Arosuka,"H. Gusmai, SE,MM","Yulfadri Nurdin,SH",3.738 km2,348.566 jiwa (2010),"93,25 jiwa/km2",0755,Danau diatas | danau dibawah | danau singkarak | danau talang | kebun teh kecamatan gunung talang | bukit cambai | masjid agung al muhsinin | masjid tuo kayu jao | pemandian air panas bukik gadang | ,Batu baroda | batu palimauan | batu pacatuan | batu kabau | fosil gajah purba | batombe ,Kue panyaram | galamai | ikan bilih | limpiang pinyaram | tumbung pisang | ,http://www.solokkab.go.id/,"map.jpg (https://dl.airtable.com/vfWqwLAESzmEgPZos4bK_map.jpg),logo.jpg (https://dl.airtable.com/aqYOsVQsalBFZNjGBhmA_logo.jpg)"
