Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN BANYU ASIN,"Kabupaten Banyuasin adalah salah satu kabupaten di Provinsi Sumatera Selatan. Kabupaten ini merupakan pemekaran dari Kabupaten Musi Banyuasin yang terbentuk berdasarkan UU No. 6 Tahun 2002.

Nama kabupaten ini berasal dari nama Sungai Banyuasin, yang melintasi wilayah kabupaten ini dan Kabupaten Musi Banyuasin. Perkataan banyuasin sendiri berasal dari istilah bahasa Jawa banyu (air) dan asin, merujuk pada kualitas air sungai tersebut yang masin rasanya, terutama ke arah pantai.",Sumatera Selatan,Pangkalan Balai,"Yan Anton Ferdian, SH","Ir.S.A Suprino,MM","11.832,99 km2",750.110 jiwa (SP2010),"63,39 jiwa/km2",0711,Penas KTNA XXI | danau kedukan air batu | monumen front langkan | wisata air sungsang | budaya adat perkawinan desa sungsang | ,Padi | palawija | kelapa sawit | karet | kakao | kayu bulat | kayu olahan | kambing | domba | ayam itik | sapi | domba | bareng | minyak bumi ,"Rampai Talang | bolu kojo | gulai tempoyak | ikan peda | kue bangket | pepes asam belimbing |
",http://www.banyuasinkab.go.id/,"map.jpg (https://dl.airtable.com/kOLbolKkSWa9JhpJTBxH_map.jpg),bupati.jpg (https://dl.airtable.com/QqmOvaRQxRZxgdJY6y6Q_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/01UQIcJQrOcEiJCeRmjA_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/rjPHHjHhQO6MPUF7JDAC_logo.jpg)"
KABUPATEN EMPAT LAWANG,"Kabupaten Empat Lawang adalah sebuah kabupaten di provinsi Sumatera Selatan, Indonesia. Ibukota kabupaten ini terletak di Tebing Tinggi.

Kabupaten Empat Lawang diresmikan pada 20 April 2007 setelah sebelumnya disetujui oleh DPR dengan disetujuinya Rancangan Undang-Undangnya pada 8 Desember 2006 tentang pembentukan kabupaten Empat Lawang bersama 15 kabupaten/kota baru lainnya. Kabupaten Empat Lawang merupakan pemekaran dari kabupaten Lahat.",Sumatera Selatan,Tebing Tinggi,"H. Budi Antoni Aljufri, SE, MM ","H. Syahril Hanafiah, SIP, MM","2.256,44 km2",221.176 jiwa (2010),"98,02 jiwa/km2",0702,Curug tanjung alam | air terjun tujuh panggung | sumber air panas desa penantian | tebat sakedi | air terjun jaya loka | gua batu | ayek muare  | air limus ,Nanas | pisang | kelapa sawit | kako | karet | kelapa | kayu manis | kemiri | lada | nilam | ,"Pindang masak asam ikan sungai | pindang tulang | kelicuk | rebung asam | tempoyak | 
",www.empatlawangkab.go.id,"map.jpg (https://dl.airtable.com/cLVtqIxWQmWTR8isUTX0_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/JCm2sKYSxSJ3kFVWQMNQ_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/tdHsLXBjRoqvcR94Vu2V_bupati.jpg),logo.jpg (https://dl.airtable.com/dPTvnGmWToK7K0XZbsPM_logo.jpg)"
KABUPATEN LAHAT,"Kabupaten Lahat adalah salah satu kabupaten di Provinsi Sumatera Selatan. Kabupaten Lahat sebenarnya hanya terdiri 7 kecamatan induk yaitu Lahat, Kikim, Kota Agung, Jarai, Tanjung Sakti, Pulau Pinang, dan Merapi. Namun pasca pemekaran, jumlah Kecamatan di Kabupaten Lahat bertambah menjadi 22 kecamatan. Sekarang Kabupaten Lahat dipimpin oleh H. Saifudin Aswari Rivai, SE dan Marwan Mansyur, SH, MM, sedangkan Sekretaris Daerah dijabat oleh H. Nasrun Aswari, SE, MM. Ketua DPRD ; Herliansyah SH MH. Wakil ketua I DPRD ; Parhan Bersyah MBA. Wakil ketua II DPRD ; H. Hermansyah, SH",Sumatera Selatan,Lahat,"H. Saifudin Aswari Riva'i, S.E.","Marwan Mansyur, SH, MM","4.361,83 km2",384.600 jiwa (2013),"88,17 jiwa/km2",0731,Taman rekreasi ribang kemambang | rumah adat dirut TRRK lahat | wisata alam air terjun desa perigi | pemandian tepian sungai | air terjun bahu | air terjun gegas  | air terjun gunung nyawe | air terjun keghuh | air terjun lebah rawang | air terjun lintang besar | ,"Batu bara | minyak dan gas bumi | bahan galian | emas dpm | batu gamping | andesit | marmer | pasir dan batu kali | trass | granit | betonit | kaolin | batu sabak | karet | kelapa saiwt | kakao | kemiri | kayu manis | cengkeh | pinang | 
",Tempoyak | pindang patin | tebu telok | duren lahat | es duren ,www.lahatkab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/kusRdHOUSCG9G8dUJGPI_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/EwQzAuNEQSit2xaQN2Mo_bupati.jpg),map.jpg (https://dl.airtable.com/bC1qaaNgSzqFGyvanWWC_map.jpg),logo.jpg (https://dl.airtable.com/2nxeXeLQRpwl2b7UsphW_logo.jpg)"
KABUPATEN MUARA ENIM,"Kabupaten Muara Enim adalah salah satu kabupaten di provinsi Sumatera Selatan, Indonesia. Ibu kota kabupaten ini terletak di Muara Enim. Kabupaten ini memiliki luas wilayah 7.300,50 km² dan populasi penduduk lebih dari 550.000 jiwa


Secara geografis posisi Kabupaten Muara Enim terletak antara 4° sampai 6° Lintang Selatan dan 104° sampai 106° Bujur Timur. Kabupaten Muara Enim merupakan daerah agraris dengan luas wilayah 7.300,50 km², terdiri atas 20 kecamatan. 
",Sumatera Selatan,Muara Enim,Ir. Muzakir Sai Sohar,,"7.300,50 km2",567.146 jiwa (2012),"77,69 jiwa/km2","0734, 0713",Air terjun napal carik | air terjun curup tenang | air panas gemuhak | taman bukit asam ,Sawah | batu bara | minyak dan gas bumi | tanaman pangan | hortikultura | lada | nilam | kayu manis | kako | aren | kapuk ,Bekasam | pejit | ikan kerutuk | gulai ikan asam belimbing | ikan pirang | pais tempoyak | pais ikan asam belimbing ,http://www.muaraenimkab.go.id/,"map.jpg (https://dl.airtable.com/K9YksP8NSMCDCOlWneBm_map.jpg),bupati.jpg (https://dl.airtable.com/v7GDwgbbT2eoHCRQl9eL_bupati.jpg),logo.jpg (https://dl.airtable.com/p9TmpZ7QPaqThILD3fU4_logo.jpg)"
KABUPATEN MUSI BANYUASIN,"Kabupaten Musi Banyuasin adalah salah satu kabupaten di Provinsi Sumatera Selatan dengan ibu kota Kota Sekayu. Kabupaten ini memiliki luas wilayah ±14.265,96 km² yang terbentang pada lokasi 1,3° - 4° LS, 103° - 105° BT. Bupati Kabupaten Musi Banyuasin adalah H. Pahri Azhari, ST yang dilantik pada tanggal 29 Juli 2008 menggantikan Alex Noerdin. Kabupaten ini bermotto Bumi Serasan Sekate dengan ibukota Sekayu Kota Randik (""Rapi, Aman, Damai, Indah, dan Kenangan"") dan merupakan bagian dari Kabupaten dan Kota di Sumatera Selatan.",Sumatera Selatan,Kota Sekayu,Ir. H. Pahri Azhari,"Beni Hernedi, A.Md.","14.265,96 km²",561.458 jiwa (2010),39 jiwa/km²,0714,Sungai musi | danau konger | danau ulak lia | danau cala | rumah rakit | sirkuit sky land | gunung sari jost waterboom | ,Jagung | nanas | pisang | kelapa sawit | karet | kopi | kelapa | cengkeh | gambir | lada | ,Pindang baung salai | pindang baung segar ,http://www.mubakab.go.id,"bupati.jpg (https://dl.airtable.com/iSF4KBNERRmzafVLHfAf_bupati.jpg),map.jpg (https://dl.airtable.com/QqNKCRWtTPNtmUAGZNRo_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/d8zxL0cBS9F1kuOeyuI9_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/6OufMYbER0qIUSH2zGCE_logo.jpg)"
KABUPATEN MUSI RAWAS,"Kabupaten Musi Rawas atau Musirawas adalah salah satu kabupaten di Provinsi Sumatera Selatan, Indonesia. Jumlah penduduknya pada tahun 2010 adalah 525.508 jiwa. Luasnya adalah 12.185,43 km² dan kepadatan penduduknya adalah 43,12 jiwa/km².Kabupaten ini dibagi kepada 14 kecamatan (pasca pemekaran Kabupaten Musi Rawas Utara). Ibukotanya saat ini berada di Muara Beliti, namun sebelum tahun 2004, ibukotanya berada di Kota Lubuklinggau.",Sumatera Selatan,Muara Beliti,H.Hendra Gunawan,Hj. Suwarti,"12.185,43 km2",525.508 jiwa (2010),"43,13 jiwa/km2",0733,Danau gegas | air terjun curug tinggi | air terjun satan | air terjun tekuyung | danau aur | bukit cogong | ,Kelapa sawit | minyak gas | kambing | domba | ikan tangkap | ikan budidaya | ,Roti kemang | bubur durian | sambal kabau | buah kabau | ,http://disbudpar-musirawas.org,"bupati.jpg (https://dl.airtable.com/mKYDkgH0TxaKawDaiNwg_bupati.jpg),map.jpg (https://dl.airtable.com/KRl6ac3zSTeHNX7w2o99_map.jpg),wakil-bupati.jpg (https://dl.airtable.com/YHUxsF7TTEm3OXFlnfuE_wakil-bupati.jpg),logo.jpg (https://dl.airtable.com/RZNL57JLR3eIXoMWA2GU_logo.jpg)"
KABUPATEN MUSI RAWAS UTARA,Kabupaten Musi Rawas Utara adalah sebuah Daerah Otonomi Baru (DOB) di Sumatera Selatan yang merupakan pemekaran dari kabupaten induknya yakni Kabupaten Musi Rawas. Ibu kota kabupaten ini berada di Rupit dan berpenduduk ±195.000 jiwa.,Sumatera Selatan,Rupit,H.akisropi ayub,"Andi Wijaya , SE","12.185,43 km2", 	195.689 jiwa," 43,13 jiwa/km2",0733,Candi tingkip | candi lesung batu | danau rayo /raya | goa napalicin | ,Pindang musi rawas | buah kabau | sambal kabau ,Karet | emas | batu bara | minyak bumi | aluminium ,http://www.muratarakab.go.id,"wakil-bupati.jpg (https://dl.airtable.com/evSWx0i9Tpy1GkeODaPT_wakil-bupati.jpg),bupati.jpg (https://dl.airtable.com/uJqtY2EDS4OtT1FT7E70_bupati.jpg),map.jpg (https://dl.airtable.com/YXLmNdcVTOFcI3ogZ86F_map.jpg),logo.jpg (https://dl.airtable.com/K60TnWuESfmddHh3RfBb_logo.jpg)"
KABUPATEN OGAN ILIR,"Kabupaten Ogan Ilir adalah salah satu kabupaten di Provinsi Sumatera Selatan. Ogan Ilir berada di jalur lintas timur Sumatera dan pusat pemerintahannya terletak sekitar 35 km dari Kota Palembang. Kabupaten ini merupakan pemekaran dari Kabupaten Ogan Komering Ilir. Landasan hukumnya adalah Undang-Undang Nomor 37 tahun 2003 tentang Pembentukan Kabupaten OKU Timur, Kabupaten OKU Selatan dan Kabupaten Ogan Ilir di Provinsi Sumatera Selatan yang disahkan pada 18 Desember 2003. Pada 2013, jumlah penduduk Kabupaten Ogan Ilir mencapai 450.933 jiwa atau 117.783 kepala keluarga dengan pertumbuhan penduduk mencapai 2 persen. Populasi penduduk di Kabupaten Ogan Ilir berasal dari Suku Ogan dengan 3 (tiga) sub-suku, yakni: Suku Pegagan Ulu, Suku Penesak dan Suku Pegagan Ilir. Mayoritas penduduknya berprofesi sebagai petani.",Sumatera Selatan,Indralaya," 	Ahmad Wazir Noviadi Mawardi, S.Psi.","H. M. Ilyas Panji Alam, S.E., S.H., M.M.","2.382,48 km²", 	450.933 jiwa (2013),169 jiwa/km²,0711,Sungai ogan | danau lebong | pantai jodoh | pantai tanjung laut | wisata lebak palas | ,Nanas | pisang | kelapa sawit | karet | tebu | aren | kapuk | lada | sapi | domba | kambing | kerbau ,Pindang Meranjat | martabak telur | susu kedelai ,www.oganilirkab.go.id/,"bupati.jpg (https://dl.airtable.com/CNWo4MUzSS2N6wMiTYP1_bupati.jpg),wakil-bupati.jpg (https://dl.airtable.com/bQor5dshQXOgNLc5Ic6q_wakil-bupati.jpg),map.jpg (https://dl.airtable.com/r7zyc3xcSOiMFWveRbns_map.jpg),logo.jpg (https://dl.airtable.com/3daRWqJDQNe9y2mZ7uhS_logo.jpg)"
KABUPATEN OGAN KOMERING ILIR,"Kabupaten Ogan Komering Ilir atau sering disingkat OKI yang beribukotakan Kayu Agung, adalah salah satu Kabupaten di Sumatera Selatan yang memiliki luas 19.023,47 Km² dan berpenduduk sekitar 700.000 jiwa. Pada Tahun 2005 Kabupaten ini memiliki 18 Kecamatan, yang terdiri atas 299 Desa/Kelurahan.

Iklim di Kayu Agung, Ibu Kota Kabupaten Ogan tergolong Tropik Basah dengan curah hujan rerata Tahunan > 2.500 mm/tahun dan jumlah hari hujan dan hari hujan rata-rata > 116 hari/tahun. Musim Kemarau umumnya berkisar antara bulan Mei sampai Oktober setiap tahunnya, sedangkan musim penghujan berkisar antara bulan November sampai Bulan April.

Penyimpangan musim biasanya terjadi dalam lima tahun, berupa musim penghujan, dengan rata-rata curah hujan lebih kurang 1.000 mm/tahun dengan rata-rata hari hujan 60 hari/tahun. Di wilayah OKI juga terdapat beberapa pelabuhan yakni, Pelabuhan Sungai Lumpur yang dimana jumlah dermaganya adalah 2 Buah.",Sumatera Selatan,Kayu Agung,"Iskandar, SE",Muhammad Rifa'i,"19.023,47 km2",752.906 jiwa (2012),"39,58 jiwa/km2",0712,Danau teluk rasau | danau teloko | danau teluk gelam | hutan suaka sebokor | kuala lebung itam | kuala sungai sibur | lebak air itam | lebak deling ,Gas metan batu bara |,Bolu kojo | gulai tempoyak,www.kaboki.go.id,"map.jpg (https://dl.airtable.com/6ZjlBzJOR9d37a4pYX3Q_map.jpg),bupati.jpg (https://dl.airtable.com/KL1ufMiuTByVdQE3Uwz4_bupati.jpg),logo.jpg (https://dl.airtable.com/oY4J8kORb2PEJGYHT6Xj_logo.jpg)"
KABUPATEN OGAN KOMERING ULU,"Kabupaten Ogan Komering Ulu adalah salah satu kabupaten di provinsi Sumatera Selatan, Indonesia. Ibu kota kabupaten ini terletak di Kota Baturaja. Kabupaten ini terkenal dengan wilayah dengan jumlah penduduk terbanyak Suku Ogan di Provinsi Sumatera Selatan. Namun di lain sisi, juga terdapat suku Komering, Suku Jawa, Suku Bali, dan Suku Lampung.",Sumatera Selatan,Baturaja,"H. Maulan Aklil, S.IP, M.Si",,"3.617,60 km2",334.295 jiwa (2011),"92,41 jiwa/km2",0735,Wisata terpadu gua putri | gua harimau | gua silabe | museum purbakala | air terjun kambas | air panas gemuhak | ,Ayam buras | ayam petelur | itik | perkebunan karet | sawit | kopi robusta | ,Pindang patin | kue tanduk kambing | tekwan baturaja | kince duren ,http://www.okukab.go.id,"bupati.jpg (https://dl.airtable.com/YA5SUJMTlS2R32lVlcln_bupati.jpg),map.jpg (https://dl.airtable.com/EmvQzYkGSceM1MC4XdVy_map.jpg),logo.jpg (https://dl.airtable.com/DwnOTIILRgmt8Oz9SDkh_logo.jpg)"
