Kabupaten,Deskripsi,Provinsi,Ibu Kota,Bupati,Wakil Bupati,Luas Wilayah,Populasi Total,Populasi Kepadatan,Kode Area,Potensi Pariwisata,Potensi SDA,Kuliner Khas,Website Kabupaten,Attachments
KABUPATEN ASAHAN,"Kabupaten Asahan adalah sebuah kabupaten yang terletak di Sumatera Utara, Indonesia. Kabupaten ini beribukotakan Kisaran dan mempunyai wilayah seluas 3.675 km². Penduduknya berjumlah 668.272 jiwa (Sensus 2010). Asahan juga merupakan Kabupaten pertama di Indonesia yang membentuk lembaga pengawas pelayanan umum bernama Ombudsman Daerah Asahan, melalui SK Bupati Asahan Nomor: 419-Huk/Tahun 2004, tanggal 20 Oktober 2004. Di era kolonial, wilayah ini disebut sebagai Assaban oleh orang Eropa.",Sumatera Utara,Kota Kisaran,"Drs. H. Taufan Gama Simatupang, M.AP",H.Surya BSc,3.675 km2,668.272 jiwa (2010),"181,84 jiwa/km2",0623,Sungai Asahan | Paritohan | Air Terjun Simonang Monang Asahan | Jembatan Gantung Bedeng Asahan | Air Terjun Alam Tani Asahan | Kuliner Kisaran Asahan | Air Terjun Ponot Asahan | Air Terjun Unong Sisapa Asahan | Air Terjun Simanik-manik | Air Terjun Pancoran Kembar,pertanian karet | Pertanian kelapa sawit |  Pertanian kakao | Pertanian jagung | Pertanian Ubi Kayu | Pertanian Kedelai | Pertanina Cengkeh | Pertanian Kapuk | Pertanian Pinang,Anyang Pakis | Kerang Rebus | Nasi Perang Kamal | Ikan Pare Dan Sembilang bakar | Ayam Penyet jingkrak | Miso | Es Kolor ijo,www.asahankab.go.id,"asahwakilbupati.jpg (https://dl.airtable.com/mT9b0JJlQkSbR5tA3Tc4_asahwakilbupati.jpg),asahbupati.jpg (https://dl.airtable.com/C8U4BjWpRq2o9ezGRvkg_asahbupati.jpg),ASAHAN-map.jpg (https://dl.airtable.com/pOixgppPQ1yW3pls4XyT_ASAHAN-map.jpg),asahan-logo.jpg (https://dl.airtable.com/6EW9EMpVR7OjZeXc978k_asahan-logo.jpg)"
KABUPATEN BATU BARA,"Kabupaten Batubara adalah salah satu kabupaten di Provinsi Sumatera Utara, Indonesia. DPR menyetujui Rancangan Undang-Undang pembentukannya tanggal 8 Desember 2006. Kabupaten ini diresmikan pada tanggal 15 Juni 2007, bersamaan dengan dilantiknya Penjabat Bupati Batubara, Drs. H. Sofyan Nasution, S.H.

Kabupaten ini merupakan hasil pemekaran dari Kabupaten Asahan dan beribukota di Kecamatan Limapuluh.

Kabupaten Batubara adalah salah satu dari 16 kabupaten dan kota baru yang dimekarkan pada dalam kurun tahun 2006.",Sumatera Utara,Kota LimaPuluh,"H. OK Arya Zulkarnaen, SH, MM","H.R.M Harry Nugroho, SE","904,96 km2","382,474 jiwa","0,42 jiwa/km2",0622,Sumur bor simpang dolok | Kubah Datuk Batubara | Meriam Simpang Dolok | Kantor camat lama | Pantai sejarah | Istana Niat Lima Laras | Situs Perkuburan mesjid lama | pulau pandang | pulau salah namo | Istana Indra Pura,"Industri Perikanan
",Kerang kepah | Kepiting jumbo kwala tanjung | Cumi Isi Pulut | Mie Rebus Asli Melayu | Kue Karas | Bilis Gulung ,www.batubarakab.go.id,"wakil-bupati.JPG (https://dl.airtable.com/JPaPJuqHQwK48sNoPt8S_wakil-bupati.JPG),logobb.jpg (https://dl.airtable.com/EpXgKbfQSjKnr6zX9AXi_logobb.jpg),bupati.jpg (https://dl.airtable.com/GJre4LapQedxCMMjIRgE_bupati.jpg),bbmap.jpg (https://dl.airtable.com/ooeKGdAdT1ekroOmGAUk_bbmap.jpg)"
KABUPATEN DAIRI,"Kabupaten Dairi adalah sebuah kabupaten di provinsi Sumatera Utara, Indonesia. Ibu kotanya ialah Sidikalang. Kabupaten ini kemudian dimekarkan menjadi dua kabupaten, yaitu Kabupaten Dairi sebagai kabupaten induk dan Kabupaten Pakpak Bharat dengan dasar hukum Undang Undang Nomor 9 Tahun 2003 Tentang Pembentukan Kabupaten Nias Selatan, Kabupaten Pakpak Bharat dan Kabupaten Humbang Hasundutan yang dikeluarkan pada tanggal 25 Februari 2003.",Sumatera Utara,Kota Sidikalang,Kanjeng Raden Adipati (KRA) Johnny Sitohang Adinegoro," Irwansyah Pasi, S.H.","1.927,8 km2",270.053 jiwa ,"140,08 jiwa/km2",0627,"Pantai silalahi, Puncak Sidiangkat, Hutan Wisata Lae Pondom, Aek Nauli, Air Terjun Lae Basbas, Air Terjun Lae Pendaroh, Panorama Kangkung",Pertanian Kakao | Perkebunan Kopi  | Pertanian Jagung ,Pelleng | Ginaru | Ikan Lele | Gettuk | Lappet | Durian Sidikalang | Nanas PakPak Bharat | Kopi Sidikalang ,www.dairikab.go.id,"daiwbp.jpg (https://dl.airtable.com/gb4nKX8rQ3yNYTSHn8Yq_daiwbp.jpg),dairimap.jpg (https://dl.airtable.com/Mrzu0zdR1SMYv3TgSMqA_dairimap.jpg),dailog.jpg (https://dl.airtable.com/Khy3spaTv2yhvd3dBRJA_dailog.jpg),daibup.jpg (https://dl.airtable.com/Pd7ZgNP1Spa69LosHU6w_daibup.jpg)"
KABUPATEN DELI SERDANG,"Kabupaten Deli Serdang adalah sebuah kabupaten di provinsi Sumatera Utara, Indonesia. Ibu kota kabupaten ini berada di Lubuk Pakam.Kabupaten Deli Serdang dikenal sebagai salah satu daerah dari 33 Kabupaten/Kota di Provinsi Sumatera Utara. Kabupaten yang memiliki keanekaragaman sumber daya alamnya yang besar sehingga merupakan daerah yang memiliki peluang investasi cukup menjanjikan. Selain memiliki sumber daya alam yang besar, Deli Serdang juga memiliki keanekaragaman budaya, yang disemarakan oleh hampir semua suku-suku yang ada di nusantara. Adapun suku asli penghuni Deli Serdang adalah Suku Karo, Melayu, dan Simalungun; serta beberapa suku pendatang yang dominan seperti dari suku Jawa, Batak, Minang, Banjar, dan lain-lain.",Sumatera Utara,Lubuk Pakam,Drs. H. Ashari Tambunan,H. Zainuddin Mars,"2.808,91 km2",1.790.431 jiwa ,"637,41 jiwa/km2",0621,danau linting | air terjun tarungang | goa | pemandian putrid hijo | air terjun dwi warna | Bumi Perkemahan sibolangit | hill park | Lau Mentar Canyon | Sumber air panas negeri suah,perikanan | perkebunan | pertanian,gulai masam | soto daging | ,www.Deliserdangkab.go.id,"dswbp.jpg (https://dl.airtable.com/gkxOTfzTyGsB8vK5Y5L4_dswbp.jpg),dsbpt.jpg (https://dl.airtable.com/yeOs49TJShH2meEmH6aC_dsbpt.jpg),dlsrmap.jpg (https://dl.airtable.com/VFFI7WP1TjiN4zeRl5j7_dlsrmap.jpg),dlsrlogo.jpg (https://dl.airtable.com/Lf6BOcapToqbxc8GbqYl_dlsrlogo.jpg)"
KABUPATEN HUMBANG HASUNDUTAN,"Humbang Hasundutan adalah sebuah kabupaten di Sumatera Utara, Indonesia. Dibentuk pada 28 Juli 2003, kabupaten ini mempunyai luas sebesar 2.335,33 km² dan beribukotakan Dolok Sanggul. Kondisi fisik kabupaten ini berada pada ketinggian 330-2.075 meter dpl. Menurut data tahun Sensus Penduduk 2010 penduduknya berjumlah 171.650 jiwa.",Sumatera Utara,Dolok Sanggul,"Drs.Maddin Sihombing, M.Si",Drs. Marganti Manullang,"2.335,33 km2",171.650 jiwa,"73,5 jiwa/km2",0633,Aek Sipangolu | Istana sisingamangaraja | air terjun binaga janji | sipinus humbahas | air terjun sampuren pollung | danau tao silosung | pukau simamora | goa pertenunan ibunda sisingamangaraja | tombak sulu-sulu,peternak kuda | perkebunan kopi | tambang emas | timah | tembaga |  gas alam | pertanian | perkebuna | perikanan | kehutanan | pertambangan | energy | irigasi | perindustrian | pariwisata | perhubungan ,rendang daging kuda | susu kerbau | sate daging kuda,www.humbanghasundutankab.go.id,"huhawbp.jpg (https://dl.airtable.com/yLTIA8GfQWOat2UlEiAZ_huhawbp.jpg),huhamap.jpg (https://dl.airtable.com/LPjtFJMT6qNihV2W4r5U_huhamap.jpg),huhalogo.jpg (https://dl.airtable.com/LX4elG1zT5CN2jiTQrcd_huhalogo.jpg),huhabpti.jpg (https://dl.airtable.com/CKanZDGQO63yE9p1EmcC_huhabpti.jpg)"
KABUPATEN KARO,"Kabupaten Karo adalah salah satu Kabupaten di provinsi Sumatera Utara, Indonesia. ibu kota kabupaten ini terletak di Kabanjahe. Kabupaten ini memiliki luas wilayah 2.127,25 km2 dan berpenduduk sebanyak kurang lebih 500.000 jiwa. Kabupaten ini berlokasi di dataran tinggi Karo, Bukit Barisan Sumatera Utara. Terletak sejauh 77 km dari kota Medan, ibu kota Provinsi Sumatera Utara. Wilayah Kabupaten Karo terletak di dataran tinggi dengan ketinggian antara 600 sampai 1.400 meter di atas permukaan laut. Karena berada diketinggian tersebut, Tanah Karo Simalem, nama lain dari kabupaten ini mempunyai iklim yang sejuk dengan suhu berkisar antara 16 sampai 17° C.",Sumatera Utara,kabanjahe,"Terkelin Brahmana, SH","Narjo, Sh","2.127,25 km2",362.307 jiwa,"170,32 jiwa/km2",0628,gunung sinabung | gunung sibayak | danau lau kawar | air panas lau debuk-debuk | bukit gundaling | air terjun sikulikap | air terjun sipiso-piso | air terjun tongging | putri hijau | pagoda,pertanian padi | Pertanian singkong  | pertanian ubi kayu | pertanian ubi jalar | pertanian palawija | pertanian sayur-sayuran | perkebunan kopi | perkebunan Jagung | perkebunan karet | Perkebunan kelapa sawit | perkebunan kelapa | perkebunan cengkeh | perkebunan kemiri | perkebunan aren | perkebunan kayu manis | perkebunan pinang | perkebunan vanili | perkebunan tembakau,gule kuta-kuta | cimpa tuang | tasak telu | cimpa | labar | trites | lomok-lomok | kuah kental cipera manuk | ,www.karokab.go.id,"karmap.jpg (https://dl.airtable.com/7etgSw1QUWQuSB5kFIaw_karmap.jpg),karbup.jpg (https://dl.airtable.com/jhfApef4Swm951UFgMY6_karbup.jpg),karlo.jpg (https://dl.airtable.com/pYHP0vERRxat1FXdVOWc_karlo.jpg)"
KABUPATEN LABUHAN BATU,"Kabupaten Labuhanbatu adalah salah satu kabupaten yang ada di provinsi Sumatera Utara, Indonesia. Ibu kota kabupaten ini terletak di Rantau Prapat. Kabupaten Labuhanbatu terkenal dengan hasil perkebunan kelapa sawit dan karet.",Sumatera Utara,Rantau Prapat,Dr.H. Tigor Panusunan Siregar Sp.Pd,"H. Akhmad Edi Susanto, ST","2.562,01 km2",887.345 jiwa,"346,35 jiwa/km2",0624,Air terjun linggahara | wisata aek buruh | wisata pemandian banyu wangi | pulau sikantan | wisata gunung gajah dan liontin, perkebunan karet | Perkebunan kelapa sawit | peternakan lembu | perkebunan kedelai | pertanian sayuran | bunga teratai | perikanan ikan lele,Roti Bakar Akur | Holat | Miesop Miekel | Ikan Asam Baung | es timun serut | sate kerang mikel,www.labuhanbatukab.go.id,"labamap.jpg (https://dl.airtable.com/tOrwbqySTmCiV96aBwmn_labamap.jpg),laba.jpg (https://dl.airtable.com/hl4hR680Soi5uO2z57IE_laba.jpg),labalog.jpg (https://dl.airtable.com/ynBTivqXQ52kpV0mQUAn_labalog.jpg)"
KABUPATEN LABUHAN BATU SELATAN,"Kabupaten Labuhanbatu Selatan (Labusel) yang beribukota di Kota Pinang, Kota Pinang adalah kabupaten yang baru dimekarkan dari Kabupaten Labuhanbatu sesuai dengan Undang-Undang Nomor 22 Tahun 2008 pada 24 Juni 2008 tentang Pembentukan Kabupaten Labuhanbatu Selatan, semasa pemerintahan Presiden Susilo Bambang Yudhoyono.",Sumatera Utara,Kota Pinang,"H. Wildan Aswan Tanjung, S.H., M.H.","Drs. Maslin Pulungan, M.M.",3.596 km²,277.673 jiwa (2010),77 jiwa/km²,0625,Pemandian alam Sampuran | Danau buatan Simatahari | Pusat pelatihan gajah | Kawasan wisata Outbound | Danau Pagaran Padang | Kolam Gaul | Pemandian Sungai Sarjuk | taman rekreasi kolam renang cikampak | air terjun pandayangan,perkebunan kelapa sawit | perkebunan karet | perkebunan kakao (coklat) | perkebunan pinang | ,lalapan pakkat | Roti Bakar Akur | Holat | Miesop Miekel | Ikan Asam Baung | es timun serut | sate kerang mikel,www.labuhanbatuselatankab.go.id,"lbsmap.jpg (https://dl.airtable.com/qh15ivumTsWkVoJxLDqu_lbsmap.jpg),lbsbup.jpg (https://dl.airtable.com/WvrQqewrT6OHXDSBeibq_lbsbup.jpg),lbswabup.jpg (https://dl.airtable.com/J7nzQZVHQ8K9nvqSFNOR_lbswabup.jpg),lbslogo.jpg (https://dl.airtable.com/VZpBHFwQsOa9j3OytkW6_lbslogo.jpg)"
KABUPATEN LABUHAN BATU UTARA,KABUPATEN LABUHAN BATU UTARA,Sumatera Utara,Aek Kanopan,"H. Khairuddin Syah Sitorus, SE","H. Minan Pasaribu, S.H, M.M.",3.571 km2,330.701 jiwa (2010),"92,61 jiwa/km2",0624,Pemandian alam Sampuran | Danau buatan Simatahari | Pusat pelatihan gajah | Kawasan wisata Outbound | Danau Pagaran Padang | Kolam Gaul | Pemandian Sungai Sarjuk,Pertambangan batubara | Pertambangan biji emas | Pertambangan batu kapur | perkebunan kelapa sawit | perkebunan karet | peternakan sapi | peternakan itik | ikan cumi-cumi | udang | ikan arwana,Roti Bakar Akur | Holat | Miesop Miekel | Ikan Asam Baung | es timun serut | sate kerang mikel,www.labuhanbatuutarakab.go.id,"lbrbp.jpg (https://dl.airtable.com/KVM347NqRBGD7v3jFRKA_lbrbp.jpg),lbrmap.jpg (https://dl.airtable.com/Cf40sUOTRsajO5lgWUXe_lbrmap.jpg),lbrwbp.jpg (https://dl.airtable.com/Cdr5ZKZjQYy1Pzrchc64_lbrwbp.jpg),lbrlogo.jpg (https://dl.airtable.com/VLUTTv3ETtWkRf0BUOvw_lbrlogo.jpg)"
KABUPATEN LABUHAN BATU UTARA,KABUPATEN LABUHAN BATU UTARA,Sumatera Utara,Binjai,"H. Ngogesa Sitepu, SH","DRS. H. Sulistianto, M.Si",6.272 km2,902.986 jiwa (2000),"143,97 jiwa/km2",0620,wisata alam batu rongring | air terjun goa angklung | air terjun saringgana | pemandian air panas sibayak | Bangunan bersejarah masjid aziz | Monumen tengku amir hamzah | gedung mambi | gedung peninggalan belanja | Kampung Bali Langkat | Tubing | Tangkahan,Perkebunan kelapa sawit | peternakan lembu | perkebunan itik | Budidaya tambak | budidaya laut | budidaya air tawar | perikanan udang | ,bubur pedas | nasi ayam kecap cenara | Soto udang | nasi ikan asam asin | manis halua | ,www.langkatkab.go.id,"wabup.jpg (https://dl.airtable.com/PAsTqn3gT1uXzdtkh3O8_wabup.jpg),bupatii.jpg (https://dl.airtable.com/yuTtmcReT0y0nX4ZxNAm_bupatii.jpg),map.jpg (https://dl.airtable.com/lATOmabsQgqeGmvQA5fI_map.jpg),langkat-logo.jpg (https://dl.airtable.com/RBwooJ1ASAeiejAyeeLa_langkat-logo.jpg)"
